name,P,VX,LS,LS_micrometres,ST,observed_target,predicted_mean,predicted_std,absolute_error,residual_observed_minus_predicted,covered_95,screenshot_bug_any,initial_emptiness_frame_count,screenshot_bug_frame_count,initial_empty_like_block_timestep_width,sequence_pattern_category,first_observed_conduction_percentile,first_observed_conduction_quantile,nearest_neighbor_name,nearest_neighbor_distance_standardized,mean_5nn_distance_standardized,inverse_mean_5nn_density_proxy,sparse_region_top_decile,process_boundary_dimension_count,process_boundary_dimensions,label_sequence_rle
P-228p907235932_VX-0p414638318501_LS-7p95917332413e-05_ST-340p25610662_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16345267376e-05_H-02b1b704be,228.907235932,0.414638318501,7.95917332413e-05,79.59173324129999,340.25610662,20476.0,55168.35927222312,17619.64157807701,34692.35927222312,-34692.35927222312,False,False,29,0,19837.0,no_bug,0.25630252100840334,Q2,P-244p476502118_VX-0p49526990633_LS-8p73976519147e-05_ST-336p403249939_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p74038709269e-06_H-f06f0c9a83,0.7440544178467816,0.8948373574761084,1.1175215156633442,False,0,,Initial Emptiness × 29 → Conduction × 150
P-129p840936159_VX-0p750604494449_LS-8p84568803437e-05_ST-319p185657099_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p42698070514e-06_H-f575443233,129.840936159,0.750604494449,8.84568803437e-05,88.4568803437,319.185657099,76053.0,41976.61908388755,16186.716631639034,34076.38091611245,34076.38091611245,False,True,0,31,12020.0,initial_empty_like_block_bug_only,0.9369747899159664,Q4,P-137p340072051_VX-0p708357837186_LS-8p48461574474e-05_ST-331p337392673_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p81028761138e-06_H-701e6757d1,0.5137395775717316,0.9142642963675591,1.093775622620266,False,0,,Screenshot Bug × 31 → Forming Phase × 179 → Conduction × 112
P-227p786589532_VX-0p30483440954_LS-7p3391662288e-05_ST-359p259536614_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p58253807708e-05_H-180177fd7b,227.786589532,0.30483440954,7.3391662288e-05,73.39166228799999,359.259536614,67064.0,33672.86636690067,15986.943033036883,33391.13363309933,33391.13363309933,False,True,0,32,26979.0,initial_empty_like_block_bug_only,0.8949579831932774,Q4,P-207p940614893_VX-0p318461267696_LS-7p4904937331e-05_ST-370p987623474_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p51482176715e-05_H-0b12abf205,0.5353548283871861,0.7594139894118379,1.3168048178480065,False,0,,Screenshot Bug × 32 → Forming Phase × 45 → Conduction × 57
P-173p720948038_VX-0p230617607979_LS-6p23730108092e-05_ST-383p499521736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p09182665855e-05_H-eb41f0639c,173.720948038,0.230617607979,6.23730108092e-05,62.373010809200004,383.499521736,89809.0,56496.661277041945,12751.088115260993,33312.338722958055,33312.338722958055,False,True,0,34,37976.0,initial_empty_like_block_bug_only,0.9915966386554622,Q4,P-181p214517461_VX-0p293157847988_LS-6p39704529171e-05_ST-391p855294349_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p64557102466e-05_H-e6df4d4a2d,0.4108700102862399,0.6855499920996317,1.4586828262310156,False,0,,Screenshot Bug × 34 → Forming Phase × 44 → Conduction × 24
P-220p072225453_VX-0p425314653287_LS-7p24382024748e-05_ST-381p760927113_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1342474485e-05_H-ba17ade68b,220.072225453,0.425314653287,7.24382024748e-05,72.43820247480001,381.760927113,55551.0,23520.24130400945,13750.11143563271,32030.758695990546,32030.758695990546,False,True,0,30,19962.0,initial_empty_like_block_bug_only,0.8361344537815126,Q4,P-207p687789994_VX-0p40901295179_LS-7p09627718894e-05_ST-395p011679_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p17945424024e-05_H-d9444347fb,0.4875634150334084,0.5889412063289202,1.6979623589791881,False,0,,Screenshot Bug × 30 → Forming Phase × 56 → Conduction × 98
P-227p690023792_VX-0p392329282459_LS-7p92871102354e-05_ST-391p94840599_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p22961013075e-05_H-12074f4927,227.690023792,0.392329282459,7.92871102354e-05,79.28711023540001,391.94840599,21640.0,51246.91893404216,15980.38425610571,29606.91893404216,-29606.91893404216,True,False,30,0,20964.0,no_bug,0.27310924369747897,Q2,P-220p072225453_VX-0p425314653287_LS-7p24382024748e-05_ST-381p760927113_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1342474485e-05_H-ba17ade68b,0.6322687770866123,0.6828176966898851,1.4645197464070778,False,0,,Initial Emptiness × 30 → Conduction × 140
P-139p185905374_VX-0p93275027917_LS-8p26285474625e-05_ST-371p150203889_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p17193155633e-06_H-b789300819,139.185905374,0.93275027917,8.26285474625e-05,82.6285474625,371.150203889,10242.0,39795.49750427622,15160.9373722671,29553.497504276223,-29553.497504276223,True,False,102,0,9957.0,no_bug,0.09663865546218488,Q1,P-122p399838052_VX-0p958262341264_LS-8p77032416896e-05_ST-376p830559352_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03423790676e-06_H-79d0c72bd8,0.5347241804510557,0.7956598257479256,1.2568185141919619,False,0,,Initial Emptiness × 34 → Conduction × 290 → Initial Emptiness × 68
P-98p6430415843_VX-0p873233253177_LS-7p66258838728e-05_ST-323p115187787_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p52443529316e-06_H-95ed9fb76f,98.6430415843,0.873233253177,7.66258838728e-05,76.6258838728,323.115187787,71452.0,42166.08485379777,19136.56687825754,29285.915146202227,29285.915146202227,True,True,0,111,11244.0,multiple_separated_bug_blocks,0.907563025210084,Q4,P-110p234671953_VX-0p866589137882_LS-8p08580037422e-05_ST-348p980680204_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56679098795e-06_H-6705b84f8a,0.8835071537462095,1.0529336378827743,0.9497274700140055,True,0,,Screenshot Bug × 38 → Forming Phase × 197 → Conduction × 66 → Screenshot Bug × 73
P-207p940614893_VX-0p318461267696_LS-7p4904937331e-05_ST-370p987623474_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p51482176715e-05_H-0b12abf205,207.940614893,0.318461267696,7.4904937331e-05,74.904937331,370.987623474,26658.0,55702.96998561848,13956.536689090051,29044.96998561848,-29044.96998561848,False,False,32,0,25825.0,no_bug,0.44537815126050423,Q2,P-227p786589532_VX-0p30483440954_LS-7p3391662288e-05_ST-359p259536614_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p58253807708e-05_H-180177fd7b,0.5350760456193456,0.6473725690044483,1.5447055495976445,False,0,,Initial Emptiness × 32 → Conduction × 108
P-180p4231768_VX-0p853402947533_LS-8p92029044014e-05_ST-332p421625378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p65280518067e-06_H-0b12abf205,180.4231768,0.853402947533,8.92029044014e-05,89.2029044014,332.421625378,10572.0,39332.67584767516,18903.069512483515,28760.67584767516,-28760.67584767516,True,False,37,0,10261.0,no_bug,0.10504201680672269,Q1,P-186p850960621_VX-0p845582390035_LS-8p39602076571e-05_ST-354p289806443_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p70508641129e-06_H-f404b6f8f4,0.7883897229416975,1.0297513968365082,0.9711081753043711,True,0,,Initial Emptiness × 33 → Conduction × 334 → Initial Emptiness × 4
