budget,subset,boundary_definition,quantile,run_id,prediction_count,mean_confidence,median_confidence,fraction_confidence_ge_080,fraction_confidence_ge_090,accuracy_confidence_ge_080,accuracy_confidence_ge_090,brier_score
30,B1_q30,B1,30,primary_common__r03_f03,25,0.83007488112,0.874763669311,0.64,0.4,0.875,1,0.17074469278
30,B1_q30,B1,30,primary_common__r03_f04,25,0.768957600633,0.779048301448,0.36,0.12,1,1,0.0842339058902
30,B1_q30,B1,30,primary_common__r03_f05,25,0.84953127222,0.889136966342,0.76,0.44,1,1,0.0591440037146
30,B1_q30,B1,30,primary_common__r04_f01,25,0.768512696119,0.824757793745,0.56,0.12,1,1,0.106161539672
30,B1_q30,B1,30,primary_common__r04_f02,25,0.784610307069,0.804668697096,0.56,0.24,0.928571428571,0.833333333333,0.111818571674
30,B1_q30,B1,30,primary_common__r04_f03,25,0.79199713059,0.820635379083,0.6,0.32,0.933333333333,1,0.135492275015
30,B1_q30,B1,30,primary_common__r04_f04,25,0.774999811782,0.787605133671,0.44,0.16,1,1,0.0735782675687
30,B1_q30,B1,30,primary_common__r04_f05,25,0.822136188287,0.844289248243,0.68,0.32,1,1,0.111682188386
30,B2_q20,B2,20,primary_common__r01_f01,17,0.722023298771,0.716427607641,0.294117647059,0,1,,0.113042668494
30,B2_q20,B2,20,primary_common__r01_f02,17,0.74210927687,0.740855251691,0.352941176471,0.176470588235,1,1,0.174231505628
30,B2_q20,B2,20,primary_common__r01_f03,17,0.71456133495,0.718432837149,0.352941176471,0.0588235294118,1,1,0.117566426711
30,B2_q20,B2,20,primary_common__r01_f04,17,0.725953688531,0.730586689803,0.352941176471,0.176470588235,1,1,0.126650650078
30,B2_q20,B2,20,primary_common__r01_f05,17,0.683164313991,0.686009152747,0.176470588235,0,1,,0.178635066928
30,B2_q20,B2,20,primary_common__r02_f01,17,0.759372765593,0.783715241006,0.470588235294,0,0.875,,0.137104823852
30,B2_q20,B2,20,primary_common__r02_f02,17,0.726725088322,0.714945934763,0.235294117647,0.0588235294118,1,1,0.137709502145
30,B2_q20,B2,20,primary_common__r02_f03,17,0.685080062735,0.693473552399,0.235294117647,0,1,,0.163234935717
30,B2_q20,B2,20,primary_common__r02_f04,17,0.725318745011,0.701166998977,0.411764705882,0.235294117647,1,1,0.122950533587
30,B2_q20,B2,20,primary_common__r02_f05,17,0.826953781438,0.846293036586,0.705882352941,0.294117647059,0.833333333333,1,0.146059720511
30,B2_q20,B2,20,primary_common__r03_f01,17,0.760869306883,0.770728010202,0.352941176471,0.235294117647,0.833333333333,1,0.22232109237
30,B2_q20,B2,20,primary_common__r03_f02,17,0.725063775636,0.711571421889,0.176470588235,0.0588235294118,1,1,0.118469185554
30,B2_q20,B2,20,primary_common__r03_f03,17,0.793272674613,0.750978951184,0.411764705882,0.294117647059,0.714285714286,1,0.248089278826
30,B2_q20,B2,20,primary_common__r03_f04,17,0.732473236687,0.777330877119,0.176470588235,0.0588235294118,1,1,0.111373146726
30,B2_q20,B2,20,primary_common__r03_f05,17,0.849574409858,0.925138219202,0.705882352941,0.588235294118,1,1,0.0741433265913
30,B2_q20,B2,20,primary_common__r04_f01,17,0.784122909928,0.824757793745,0.529411764706,0.294117647059,1,1,0.109204036784
30,B2_q20,B2,20,primary_common__r04_f02,17,0.755177750384,0.796187297045,0.470588235294,0.235294117647,0.875,0.75,0.151362166795
