boundary_definition,quantile,budget,matched_run_count,mean_binary_minus_random_accuracy,median_binary_minus_random_accuracy,sd_binary_minus_random_accuracy,ci95_lower,ci95_upper
B2,20,23,20,0.0647058823529,0.0588235294118,0.0952333254089,0.0201353140903,0.109276450616
B2,20,24,20,0.0617647058824,0.0588235294118,0.0944170932979,0.0175761460066,0.105953265758
B2,20,25,20,0.0676470588235,0.0588235294118,0.103261333189,0.0193192672647,0.115974850382
B2,20,26,20,0.0823529411765,0.0882352941176,0.103481553813,0.0339220831932,0.13078379916
B2,20,27,20,0.0676470588235,0.0588235294118,0.0815864372872,0.0294634308046,0.105830686842
B2,20,28,20,0.0470588235294,0.0588235294118,0.0965626684315,0.0018661035811,0.0922515434777
B2,20,29,20,0.0470588235294,0.0882352941176,0.110626434349,-0.00471594147661,0.0988335885354
B2,20,30,20,0.0352941176471,0.0588235294118,0.0748944501013,0.000242436038733,0.0703457992554
B2,20,31,20,0.0411764705882,0.0588235294118,0.0663868345467,0.0101064756238,0.0722464655527
B2,20,32,20,0.0352941176471,0.0588235294118,0.0724220013237,0.00139957768582,0.0691886576083
B2,20,33,20,0.0411764705882,0.0294117647059,0.0834076642938,0.00214048209292,0.0802124590835
B2,20,34,20,0.0323529411765,0.0588235294118,0.0842224768428,-0.00706439133033,0.0717702736833
B2,20,35,20,0.0441176470588,0.0588235294118,0.0806886224763,0.00635420930574,0.0818810848119
B2,20,36,20,0.0352941176471,0.0294117647059,0.0818649851692,-0.00301987479349,0.0736081100876
B2,20,37,20,0.0294117647059,0.0294117647059,0.0905275016546,-0.0129564102457,0.0717799396574
B2,20,38,20,0.0264705882353,0.0294117647059,0.0963266312454,-0.0186116629095,0.07155283938
B2,20,39,20,0.0294117647059,0,0.0701223012564,-0.00340648249342,0.0622300119052
B2,20,40,20,0.0441176470588,0.0294117647059,0.0806886224763,0.00635420930574,0.0818810848119
B2,20,41,20,0.0441176470588,0.0588235294118,0.0760407064447,0.00852950096837,0.0797057931493
B2,20,42,20,0.0411764705882,0.0588235294118,0.0741613709549,0.00646788058151,0.075885060595
B2,20,43,20,0.0441176470588,0.0588235294118,0.085083009806,0.00429757272807,0.0839377213896
B2,20,44,20,0.05,0.0588235294118,0.0837888962183,0.0107855894718,0.0892144105282
B2,20,45,20,0.0411764705882,0.0294117647059,0.0834076642938,0.00214048209292,0.0802124590835
B2,20,46,20,0.0529411764706,0.0588235294118,0.089312312296,0.0111417276454,0.0947406252958
B2,20,47,20,0.05,0.0588235294118,0.0880286538009,0.00880132184342,0.0911986781566
B2,20,48,20,0.0588235294118,0.0588235294118,0.0895159894415,0.0169287567482,0.100718302075
B2,20,49,20,0.0617647058824,0.0588235294118,0.0944170932979,0.0175761460066,0.105953265758
B2,20,50,20,0.0647058823529,0.0588235294118,0.0952333254089,0.0201353140903,0.109276450616
B2,20,51,20,0.0617647058824,0.0588235294118,0.108758661949,0.0108640852674,0.112665326497
B2,20,52,20,0.0588235294118,0.0588235294118,0.106260076172,0.00909228293613,0.108554775887
B2,20,53,20,0.0647058823529,0.0588235294118,0.100807159514,0.0175266794303,0.111885085276
B2,20,54,20,0.0588235294118,0.0588235294118,0.109634248976,0.00751312145396,0.11013393737
B2,20,55,20,0.0676470588235,0.0588235294118,0.106730350382,0.0176957172427,0.117598400404
B2,20,56,20,0.0647058823529,0.0588235294118,0.102597835209,0.0166886174079,0.112723147298
B2,20,57,20,0.0617647058824,0.0588235294118,0.100036416607,0.0149462217436,0.108583190021
B2,20,58,20,0.0647058823529,0.0588235294118,0.100807159514,0.0175266794303,0.111885085276
B2,20,59,20,0.0558823529412,0.0588235294118,0.0981990441264,0.00992378559334,0.101840920289
B2,20,60,20,0.0705882352941,0.0882352941176,0.0965626684315,0.0253955153458,0.115780955242
B2,20,61,20,0.0705882352941,0.0882352941176,0.102063931315,0.022820845063,0.118355625525
B2,20,62,20,0.0764705882353,0.0882352941176,0.0975011031976,0.030838667297,0.122102509174
B2,20,63,20,0.0647058823529,0.117647058824,0.0829698257615,0.0258748085984,0.103536956107
B2,20,64,20,0.0617647058824,0.0882352941176,0.0820316598959,0.0233727072685,0.100156704496
B2,20,65,20,0.0647058823529,0.0882352941176,0.080745028371,0.0269160458285,0.102495718877
B2,20,66,20,0.0617647058824,0.0882352941176,0.0820316598959,0.0233727072685,0.100156704496
B2,20,67,20,0.0617647058824,0.0882352941176,0.0820316598959,0.0233727072685,0.100156704496
B2,20,68,20,0.0558823529412,0.0588235294118,0.0774643690012,0.0196279122644,0.092136793618
B2,20,69,20,0.0558823529412,0.0588235294118,0.0774643690012,0.0196279122644,0.092136793618
B2,20,70,20,0.05,0.0588235294118,0.0695354934399,0.0174563873126,0.0825436126874
B2,20,71,20,0.0529411764706,0.0588235294118,0.0761005574626,0.0173250192415,0.0885573336997
B2,20,72,20,0.05,0.0588235294118,0.0745898760453,0.0150908634377,0.0849091365623
B2,20,73,20,0.0470588235294,0.0588235294118,0.0753792088844,0.011780267827,0.0823373792318
B2,20,74,20,0.0470588235294,0.0588235294118,0.0753792088844,0.011780267827,0.0823373792318
B2,20,75,20,0.0470588235294,0.0588235294118,0.0753792088844,0.011780267827,0.0823373792318
B2,20,76,20,0.0470588235294,0.0588235294118,0.0777576845868,0.010667106933,0.0834505401259
B2,20,77,20,0.05,0.0882352941176,0.0769927398441,0.0139662885632,0.0860337114368
B2,20,78,20,0.0529411764706,0.0882352941176,0.0761005574626,0.0173250192415,0.0885573336997
B2,20,79,20,0.05,0.0588235294118,0.0745898760453,0.0150908634377,0.0849091365623
B2,20,80,20,0.05,0.0588235294118,0.0721069846006,0.0162528924034,0.0837471075966
B2,30,16,20,0.044,0.04,0.072140214349,0.0102373404025,0.0777626595975
B2,30,17,20,0.044,0.04,0.0673091844832,0.0124983319775,0.0755016680225
B2,30,18,20,0.048,0.04,0.0656626145334,0.0172689504351,0.0787310495649
B2,30,19,20,0.026,0.04,0.0350037591966,0.00961773641713,0.0423822635829
B2,30,20,20,0.048,0.06,0.0681793300981,0.016091091294,0.079908908706
B2,30,21,20,0.052,0.06,0.065018216071,0.0215705381991,0.0824294618009
B2,30,22,20,0.048,0.04,0.0763372020777,0.0122730896818,0.0837269103182
B2,30,23,20,0.044,0.04,0.0647586612781,0.0136920135814,0.0743079864186
B2,30,24,20,0.042,0.04,0.0642036234426,0.0119517792845,0.0720482207155
B2,30,25,20,0.046,0.04,0.0702177065689,0.01313710174,0.07886289826
B2,30,26,20,0.056,0.06,0.070367456593,0.0230670165713,0.0889329834287
B2,30,27,20,0.046,0.04,0.0554787773553,0.0200351329471,0.0719648670529
B2,30,28,20,0.032,0.04,0.0656626145334,0.00126895043515,0.0627310495649
B2,30,29,20,0.032,0.06,0.0752259753571,-0.00320684020409,0.0672068402041
B2,30,30,20,0.024,0.04,0.0509282260689,0.000164856506338,0.0478351434937
B2,30,31,20,0.03,0.04,0.0427969502111,0.00997041075039,0.0500295892496
B2,30,32,20,0.028,0.04,0.046971435889,0.00601669131372,0.0499833086863
B2,30,33,20,0.032,0.04,0.0559699167316,0.00580527264347,0.0581947273565
B2,30,34,20,0.026,0.04,0.0554787773553,3.51329471431e-05,0.0519648670529
B2,30,35,20,0.034,0.04,0.0539395373007,0.00875551946766,0.0592444805323
B2,30,36,20,0.028,0.04,0.05366563146,0.0028837113471,0.0531162886529
B2,30,37,20,0.022,0.04,0.0615244923416,-0.00679434876355,0.0507943487636
B2,30,38,20,0.018,0.04,0.0642036234426,-0.0120482207155,0.0480482207155
B2,30,39,20,0.022,0.02,0.0476389933165,-0.000295735179469,0.0442957351795
B2,30,40,20,0.03,0.02,0.0548682632839,0.0043208623279,0.0556791376721
B2,30,41,20,0.03,0.04,0.0517076803824,0.00580006065849,0.0541999393415
B2,30,42,20,0.028,0.04,0.0504297322493,0.00439815879542,0.0516018412046
B2,30,43,20,0.03,0.04,0.057856446668,0.00292234945509,0.0570776505449
B2,30,44,20,0.034,0.04,0.0569764494285,0.00733420084083,0.0606657991592
B2,30,45,20,0.028,0.02,0.0567172117198,0.00145552782319,0.0545444721768
B2,30,46,20,0.036,0.04,0.0607323723613,0.00757637479885,0.0644236252011
B2,30,47,20,0.034,0.04,0.0598594845846,0.00598489885352,0.0620151011465
B2,30,48,20,0.04,0.04,0.0608708728202,0.0115115545888,0.0684884454112
B2,30,49,20,0.042,0.04,0.0642036234426,0.0119517792845,0.0720482207155
B2,30,50,20,0.044,0.04,0.0647586612781,0.0136920135814,0.0743079864186
B2,30,51,20,0.042,0.04,0.0739558901252,0.0073875779818,0.0766124220182
B2,30,52,20,0.04,0.04,0.0722568517968,0.00618275239657,0.0738172476034
B2,30,53,20,0.044,0.04,0.0685488684693,0.0119181420126,0.0760818579874
B2,30,54,20,0.04,0.04,0.0745512893037,0.0051089225887,0.0748910774113
B2,30,55,20,0.046,0.04,0.0725766382595,0.012033087725,0.079966912275
B2,30,56,20,0.044,0.04,0.0697665279418,0.0113482598373,0.0766517401627
B2,30,57,20,0.042,0.04,0.0680247632929,0.0101634307856,0.0738365692144
B2,30,58,20,0.044,0.04,0.0685488684693,0.0119181420126,0.0760818579874
B2,30,59,20,0.038,0.04,0.066775350006,0.00674817420347,0.0692518257965
B2,30,60,20,0.046,0.06,0.0702177065689,0.01313710174,0.07886289826
B2,30,61,20,0.046,0.06,0.0737278066518,0.0114943243332,0.0805056756668
B2,30,62,20,0.05,0.06,0.0709336235319,0.0168020422875,0.0831979577125
B2,30,63,20,0.042,0.08,0.0615244923416,0.0132056512364,0.0707943487636
