experiment_name,population_row_index,has_keyhole,active_sample_count,active_duration_ms,first_active_time_s,last_active_time_s,median_dt_us,dt_cv,dt_p99_p01_ratio,sampling_effectively_uniform,derivative_method,duplicate_timestamp_count,nonpositive_dt_count_raw,missing_width_count,invalid_or_sentinel_row_count,obvious_jump_count,largest_jump_um,jump_threshold_um,oscillation_mad_delta_um,nonmonotonic_fraction,monotonic_nondecreasing,significant_negative_step_fraction,quality_flag,bounds_known_sentinel_rows_excluded,cooling_rows_in_primary
P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,40,0,95737,1.7388445,0.0003611585,0.002100003,0.018000000000066574,0.016164481049475286,1.05555555558768,True,centered_finite_difference,0,0,0,19863,6,5.626799999999946,5.0,0.018532527731387444,0.7999603075123256,False,0.0032067351884348624,ok,0,0
P-203p030488295_VX-0p654564663741_LS-6p39602473907e-05_ST-333p568221635_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p36996796534e-06_H-0e4c2fc094,41,0,78145,1.4195432,0.0002469078,0.001666451,0.018099999999992254,0.013981305973439705,1.0555555555629175,True,centered_finite_difference,0,0,0,13582,33,5.587000000000046,5.0,0.011564297304390484,0.9016943079443079,False,0.0034935503685503684,ok,0,0
P-203p317554156_VX-0p724937635215_LS-5p40301996917e-05_ST-325p306920736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p65453187788e-06_H-dfd65b549a,42,0,70256,1.2762901,0.0002283849,0.001504675,0.018100000000100674,0.012870341580395796,1.0555555555629175,True,centered_finite_difference,0,0,0,12563,157,7.993999999999992,5.0,0.013343419966487717,0.8945128460607786,False,0.004284392569923849,ok,0,0
P-204p071587815_VX-0p957219619336_LS-8p8582220221e-05_ST-334p090301355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03972182096e-06_H-676863bc48,43,0,53518,0.9723636,0.0001671704,0.001139534,0.018199999999972145,0.008007961527011892,1.0555555555629175,True,centered_finite_difference,0,0,0,18559,93,7.355399999999989,5.0,0.010378215529630907,0.9453631556327896,False,0.0036623876525216288,ok,0,0
P-207p432942583_VX-0p674802143379_LS-5p74396795379e-05_ST-382p34582068_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p14894084192e-06_H-676863bc48,44,0,75648,1.3742011,0.0002422709,0.001616472,0.018099999999992254,0.013676602244714802,1.0555555555629175,True,centered_finite_difference,0,0,0,13327,109,7.7450000000000045,5.0,0.01260211885712603,0.8909540365116925,False,0.0041112007085542055,ok,0,0
P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,45,1,80031,1.4534077,0.0006465953,0.002100003,0.018000000000066574,0.01764671556529603,1.05555555558768,True,centered_finite_difference,0,0,0,35569,0,4.011800000000001,5.0,0.00622692931771955,0.3917905785330501,False,0.002461576908659253,ok,0,0
P-209p47686991_VX-0p866693950214_LS-6p90699464413e-05_ST-369p570871734_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56611777644e-06_H-b021dd2b47,46,0,59023,1.0723236999999999,0.0001862363,0.00125856,0.018199999999917935,0.01017210765044297,1.0555555555629175,True,centered_finite_difference,0,0,0,12402,27,6.145300000000134,5.0,0.011712557526456658,0.9346514858866185,False,0.004049337535156382,ok,0,0
P-210p211145159_VX-0p921242046338_LS-8p23126060485e-05_ST-311p238003519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p23653975868e-06_H-0e4c2fc094,47,0,55634,1.0107869,0.0001732591,0.001184046,0.018199999999972145,0.008925857267912266,1.0555555555629175,True,centered_finite_difference,0,0,0,15536,75,8.757300000000022,5.0,0.009488654198645498,0.944673125662826,False,0.0038646127298545825,ok,0,0
P-210p302841339_VX-0p779412575788_LS-5p86430912284e-05_ST-304p177226769_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p18943131388e-06_H-c15424829d,48,0,65474,1.189459,0.000210046,0.001399505,0.018199999999917935,0.01190058284094802,1.0555555555629175,True,centered_finite_difference,0,0,0,11554,17,7.1211999999999875,5.0,0.013491680188722441,0.9000351289844669,False,0.0041391107784888425,ok,0,0
P-210p331349445_VX-0p877062157481_LS-5p88084341536e-05_ST-346p930868597_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p50031780743e-06_H-0e4c2fc094,49,0,58146,1.0563954999999998,0.0001872905,0.001243686,0.018199999999972145,0.009962653315675982,1.0555555555629175,True,centered_finite_difference,0,0,0,17821,88,6.523199999999861,5.0,0.013491680188427474,0.893627998968097,False,0.004333992604695159,ok,0,0
P-211p964201781_VX-0p31026524833_LS-8p22948660567e-05_ST-308p041416816_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p5548375556e-05_H-22f5435fc5,50,0,88812,1.6128794,0.0004871236,0.002100003,0.018000000000066574,0.01677287959903381,1.05555555558768,True,centered_finite_difference,0,0,0,26788,2,6.209100000000002,5.0,0.01171255752616169,0.6512368963304095,False,0.002488430487214422,ok,0,0
P-212p474685749_VX-0p445530901525_LS-8p01654967217e-05_ST-390p176194232_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p08278024858e-05_H-4e23685f04,51,0,96627,1.7550335,0.0003449695,0.002100003,0.018000000000066574,0.016091059223316006,1.05555555558768,True,centered_finite_difference,0,0,0,18973,84,7.307799999999986,5.0,0.009785174642040427,0.8570881543269927,False,0.002939167511849813,ok,0,0
P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,52,1,89777,1.6304327,0.0004695703,0.002100003,0.018000000000066574,0.0166839063340689,1.05555555558768,True,centered_finite_difference,0,0,0,25823,0,4.8704000000000285,5.0,0.00800605198002747,0.5023168775619319,False,0.003308233826412404,ok,0,0
P-213p315910834_VX-0p426447159191_LS-8p60684535809e-05_ST-346p722503996_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13123525366e-05_H-6aeda8a35c,53,0,96000,1.7436284,0.0003563746,0.002100003,0.018000000000066574,0.016142679866212144,1.05555555558768,True,centered_finite_difference,0,0,0,19600,18,6.2724999999999795,5.0,0.009785174642040427,0.8546130688861342,False,0.002947947374451817,ok,0,0
P-217p682945702_VX-0p631899079757_LS-7p17459883069e-05_ST-324p134516573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p63432129838e-06_H-7c2e16b959,54,0,81253,1.4759814,0.0002502366,0.001726218,0.018099999999992254,0.01430231877182131,1.0555555555629175,True,centered_finite_difference,0,0,0,13765,159,7.2549000000000206,5.0,0.010526475751612802,0.8976148279426968,False,0.0032614581794909664,ok,0,0
P-222p079289377_VX-0p741891960581_LS-8p7279944479e-05_ST-335p366959171_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p50245704137e-06_H-0f2c16c7e5,55,0,69424,1.2611953,0.0002090827,0.001470278,0.018199999999917935,0.012511771018631919,1.0555555555629175,True,centered_finite_difference,0,0,0,11501,154,6.257500000000022,5.0,0.009636914420395635,0.9498149028419977,False,0.003370640853895683,ok,0,0
P-225p007853492_VX-0p825221323097_LS-8p70957490335e-05_ST-338p940755161_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p84585064393e-06_H-c2c7cd9590,56,0,62366,1.1330331999999999,0.0001887808,0.001321814,0.018199999999917935,0.01098891777126104,1.0555555555629175,True,centered_finite_difference,0,0,0,10384,164,8.8016,5.0,0.009043873532973708,0.9440391245089393,False,0.0033672733103503566,ok,0,0
P-227p095146149_VX-0p485569900572_LS-4p61845747353e-05_ST-309p475761642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p93496630935e-06_H-c5f6eebf67,57,1,96763,1.7575073,0.0003424957,0.002100003,0.018000000000066574,0.016079929697538766,1.05555555558768,True,centered_finite_difference,0,0,0,18837,0,4.113500000000014,5.0,0.0203116503934004,0.7576734668568239,False,0.004226865918439056,ok,0,0
