experiment_name,population_row_index,has_keyhole,P,VX,LS,ST,log_h,prefix_tau,current_width_um,width_gain_so_far_um,median_positive_dWdt_so_far_um_per_ms,max_positive_dWdt_so_far_um_per_ms,normalized_slope_so_far_um_per_tau,latest_source_tau
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,5,0,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,19.801624025695173,0.2,114.73795153846156,114.73795153846156,328.38487254175766,62819.487768074534,559.5291869911091,0.2
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,5,0,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,19.801624025695173,0.4,185.1414789473684,185.1414789473684,317.71322178141577,94841.47969807869,443.5886161038654,0.4
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,5,0,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,19.801624025695173,0.6,231.37536533333324,231.37536533333324,281.566342657055,94841.47969807869,363.92596192406006,0.6
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,5,0,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,19.801624025695173,0.8,264.132484,264.132484,271.47064169529966,94841.47969807869,306.73556909011614,0.8
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,5,0,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,19.801624025695173,1.0,283.29909999999995,283.29909999999995,271.47064169529966,94841.47969807869,258.73280926729285,1.0
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,6,0,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,19.6163894445236,0.2,173.25758287292825,173.25758287292825,957.6350606858398,4568.867286455795,837.9387497337214,0.2
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,6,0,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,19.6163894445236,0.4,271.9276151381216,271.9276151381216,1456.0666737202396,9201.790173602301,660.2669246167059,0.4
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,6,0,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,19.6163894445236,0.6,304.95890417582433,304.95890417582433,3009.3495653732452,26642.243658839143,485.1320519286373,0.6
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,6,0,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,19.6163894445236,0.8,315.2497737777779,315.2497737777779,4562.632457026251,155856.17787426774,354.82908526629416,0.8
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,6,0,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,19.6163894445236,1.0,301.347,301.347,9201.790173602301,155856.17787426774,256.6387512829581,1.0
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,7,0,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,19.27319543192164,0.2,178.73679780219783,178.73679780219783,12193.972014628704,74834.71500989946,869.2026466371842,0.2
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,7,0,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,19.27319543192164,0.4,274.834731868132,274.834731868132,19564.196041714094,74834.71500989946,677.2368442360117,0.4
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,7,0,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,19.27319543192164,0.6,304.54900939226536,304.54900939226536,19740.3271244158,74834.71500989946,487.83591189198387,0.6
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,7,0,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,19.27319543192164,0.8,332.2091799999996,332.2091799999996,19564.196041714094,74834.71500989946,364.04343716633986,0.8
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,7,0,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,19.27319543192164,1.0,304.7311000000001,304.7311000000001,19564.196041714094,141465.62499924796,268.5679647007123,1.0
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,8,0,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,19.1313440555154,0.2,180.80180637362636,180.80180637362636,1077.686798093743,1554.0200458923669,878.2783508221916,0.2
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,8,0,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,19.1313440555154,0.4,286.6320039779006,286.6320039779006,1004.3969561737664,4486.54460897842,698.369497166021,0.4
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,8,0,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,19.1313440555154,0.6,314.40728336842136,314.40728336842136,1056.2515392687735,4486.54460897842,505.10198228115286,0.6
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,8,0,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,19.1313440555154,0.8,326.8647875555553,326.8647875555553,1554.0200458923669,89560.34105007871,365.1703296465008,0.8
