subset,prefix_tau,contrast,metric,mean_difference,ci_low,ci_high,repeat_blocks
full,1.0,h_plus_width_history - h_only,conduction_recall,0.0037500000000000254,0.0025000000000000022,0.0051785714285714655,20
full,1.0,h_plus_width_history - h_only,false_negative,1.5,1.1,1.95,20
full,1.0,h_plus_width_history - h_only,false_positive,-1.05,-1.45,-0.65,20
full,1.0,h_plus_width_history - h_only,brier_score,0.002565072594883681,0.0020586362090736373,0.0031013739267906565,20
q20,0.2,h_plus_width_history - h_only,roc_auc,0.0057987371150311105,0.002307639333949848,0.00902619375127081,20
q20,0.2,h_plus_width_history - h_only,pr_auc,0.018631943293911445,0.013785194075401522,0.023505620787112158,20
q20,0.2,h_plus_width_history - h_only,accuracy,0.018986786092049235,0.013072881066302118,0.024873235169287772,20
q20,0.2,h_plus_width_history - h_only,balanced_accuracy,0.018503426931015542,0.01136735783024851,0.025064170764574133,20
q20,0.2,h_plus_width_history - h_only,keyhole_recall,0.01654591411091688,0.0018611473892949837,0.029478586905424,20
q20,0.2,h_plus_width_history - h_only,conduction_recall,0.02046093975111422,0.01603639651484738,0.024898458892289053,20
q20,0.2,h_plus_width_history - h_only,false_negative,-0.5,-0.9,-0.1,20
q20,0.2,h_plus_width_history - h_only,false_positive,-0.95,-1.15,-0.75,20
q20,0.2,h_plus_width_history - h_only,brier_score,-0.004330460186191985,-0.005589545974552963,-0.00305048427502795,20
q20,0.4,h_plus_width_history - h_only,roc_auc,0.02846267527714679,0.024772593716124315,0.032218618379585395,20
q20,0.4,h_plus_width_history - h_only,pr_auc,0.05231191768067215,0.045179466607615834,0.05944149846933287,20
q20,0.4,h_plus_width_history - h_only,accuracy,0.01703088282035649,0.00987049386720436,0.02362850106271157,20
q20,0.4,h_plus_width_history - h_only,balanced_accuracy,0.014938162232335716,0.0070625075236726885,0.02243992512035955,20
q20,0.4,h_plus_width_history - h_only,keyhole_recall,0.005064539302929177,-0.008466883259838966,0.01803951480480957,20
q20,0.4,h_plus_width_history - h_only,conduction_recall,0.02481178516174225,0.019511666268945026,0.0302204122340426,20
q20,0.4,h_plus_width_history - h_only,false_negative,-0.15,-0.55,0.25,20
q20,0.4,h_plus_width_history - h_only,false_positive,-1.15,-1.4,-0.9,20
q20,0.4,h_plus_width_history - h_only,brier_score,-0.016107899153833448,-0.018049040874516416,-0.01434247771607343,20
q20,0.6,h_plus_width_history - h_only,roc_auc,-0.006569130715463484,-0.01406857191285341,-0.00035559374495879937,20
q20,0.6,h_plus_width_history - h_only,pr_auc,0.0035469837711207984,-0.004448084578194848,0.01120140188717831,20
q20,0.6,h_plus_width_history - h_only,accuracy,-0.01238125909178539,-0.020199767337925213,-0.004604835953520173,20
q20,0.6,h_plus_width_history - h_only,balanced_accuracy,-0.0205474127467975,-0.029356903358490838,-0.012160240826415597,20
q20,0.6,h_plus_width_history - h_only,keyhole_recall,-0.05833728944859369,-0.07337466853051008,-0.043627483331347,20
q20,0.6,h_plus_width_history - h_only,conduction_recall,0.01724246395499867,0.011869963511152257,0.022678368443921213,20
q20,0.6,h_plus_width_history - h_only,false_negative,1.75,1.3,2.2,20
q20,0.6,h_plus_width_history - h_only,false_positive,-0.8,-1.05,-0.55,20
q20,0.6,h_plus_width_history - h_only,brier_score,0.0030642116372382533,-2.1489086490523774e-06,0.006628451404930311,20
q20,0.8,h_plus_width_history - h_only,roc_auc,-0.0053067726525641064,-0.010222481674921796,-0.000659668753253356,20
q20,0.8,h_plus_width_history - h_only,pr_auc,0.008008025390862266,0.0019890836769360883,0.013975155282348335,20
q20,0.8,h_plus_width_history - h_only,accuracy,0.001307026307026299,-0.0032726045883940567,0.005929793890320191,20
q20,0.8,h_plus_width_history - h_only,balanced_accuracy,-0.00037304187716825644,-0.005495541668668513,0.004691001327533227,20
q20,0.8,h_plus_width_history - h_only,keyhole_recall,-0.008290345754542083,-0.01704704963186609,0.001671203370808826,20
q20,0.8,h_plus_width_history - h_only,conduction_recall,0.007544262000205582,0.0012046459039983582,0.013953309692671423,20
q20,0.8,h_plus_width_history - h_only,false_negative,0.25,-0.05,0.5,20
q20,0.8,h_plus_width_history - h_only,false_positive,-0.35,-0.65,-0.05,20
q20,0.8,h_plus_width_history - h_only,brier_score,-0.00029928981686247675,-0.002182620981803367,0.0016106249866227858,20
q20,1.0,h_plus_width_history - h_only,roc_auc,-0.010602729565389957,-0.015685459768665925,-0.005979841554041668,20
q20,1.0,h_plus_width_history - h_only,pr_auc,-0.0005576554586528392,-0.0061624984672941025,0.005147130876694503,20
q20,1.0,h_plus_width_history - h_only,accuracy,0.002632052632052612,-0.0025708457616352436,0.007878122351806544,20
q20,1.0,h_plus_width_history - h_only,balanced_accuracy,-0.000510703268159135,-0.005651360592196743,0.004571182810611411,20
q20,1.0,h_plus_width_history - h_only,keyhole_recall,-0.01502600442290375,-0.02448908716364742,-0.006796490147783246,20
q20,1.0,h_plus_width_history - h_only,conduction_recall,0.014004597886585484,0.008408184831903793,0.02032038105097113,20
q20,1.0,h_plus_width_history - h_only,false_negative,0.45,0.2,0.7,20
q20,1.0,h_plus_width_history - h_only,false_positive,-0.65,-0.95,-0.35,20
q20,1.0,h_plus_width_history - h_only,brier_score,0.002687902350367327,0.0009071596297043087,0.00448625172395358,20
q30,0.2,h_plus_width_history - h_only,roc_auc,0.006467385491808708,0.00407382182335545,0.008698123637162474,20
q30,0.2,h_plus_width_history - h_only,pr_auc,0.020226199701033197,0.015287858985279915,0.025068891935014603,20
q30,0.2,h_plus_width_history - h_only,accuracy,0.016137298873811434,0.010748197169507671,0.021470108686508043,20
q30,0.2,h_plus_width_history - h_only,balanced_accuracy,0.015155509726075673,0.008137391359004986,0.02174814576149965,20
q30,0.2,h_plus_width_history - h_only,keyhole_recall,0.012098637098637094,-0.0011742410426620875,0.024191651165335365,20
q30,0.2,h_plus_width_history - h_only,conduction_recall,0.018212382353514273,0.01354645152542592,0.022869794758709656,20
q30,0.2,h_plus_width_history - h_only,false_negative,-0.45,-0.9,0.05,20
q30,0.2,h_plus_width_history - h_only,false_positive,-1.35,-1.7,-1.0,20
q30,0.2,h_plus_width_history - h_only,brier_score,-0.0024612489283115857,-0.0035286412757554795,-0.0014843130236383434,20
q30,0.4,h_plus_width_history - h_only,roc_auc,0.022655333089453493,0.020481962068898796,0.02462072024120511,20
q30,0.4,h_plus_width_history - h_only,pr_auc,0.05034491849722382,0.04448027923973728,0.056556134056100354,20
q30,0.4,h_plus_width_history - h_only,accuracy,0.014777393759034996,0.00944402278398104,0.020525329926740325,20
q30,0.4,h_plus_width_history - h_only,balanced_accuracy,0.011502236825866962,0.00513659118969366,0.018197187690331608,20
q30,0.4,h_plus_width_history - h_only,keyhole_recall,0.0014580369843527675,-0.010891862256993842,0.013730836099257154,20
q30,0.4,h_plus_width_history - h_only,conduction_recall,0.02154643666738113,0.016147917343262493,0.02744605882919686,20
q30,0.4,h_plus_width_history - h_only,false_negative,-0.05,-0.55,0.4,20
q30,0.4,h_plus_width_history - h_only,false_positive,-1.6,-2.05,-1.2,20
q30,0.4,h_plus_width_history - h_only,brier_score,-0.012388594666712322,-0.013582050385051439,-0.011132368966735444,20
q30,0.6,h_plus_width_history - h_only,roc_auc,-0.0014271081019458954,-0.006789220250143125,0.0029859494418299137,20
q30,0.6,h_plus_width_history - h_only,pr_auc,0.008954319347617212,0.002132559164926986,0.015563266629002731,20
q30,0.6,h_plus_width_history - h_only,accuracy,-0.00627420051645714,-0.012113972528657247,-0.0008807876230442487,20
q30,0.6,h_plus_width_history - h_only,balanced_accuracy,-0.017542117050498452,-0.02416553498829093,-0.011256847257696661,20
q30,0.6,h_plus_width_history - h_only,keyhole_recall,-0.05190772756562232,-0.0627917935648199,-0.04079811719614354,20
q30,0.6,h_plus_width_history - h_only,conduction_recall,0.016823493464625378,0.010904711245131208,0.022876592057089497,20
q30,0.6,h_plus_width_history - h_only,false_negative,1.95,1.55,2.4,20
q30,0.6,h_plus_width_history - h_only,false_positive,-1.25,-1.7,-0.8,20
q30,0.6,h_plus_width_history - h_only,brier_score,0.002006942392810069,-3.573785784355202e-05,0.004287427534648734,20
q30,0.8,h_plus_width_history - h_only,roc_auc,-5.208790816221276e-05,-0.003300768568815631,0.0029448852707526577,20
q30,0.8,h_plus_width_history - h_only,pr_auc,0.014003524382564414,0.00903102593974805,0.01898722285775576,20
q30,0.8,h_plus_width_history - h_only,accuracy,0.005394213528956171,0.00137635661259261,0.009441174508950512,20
q30,0.8,h_plus_width_history - h_only,balanced_accuracy,0.003090655786672375,-0.001204728944878527,0.007424714376624981,20
q30,0.8,h_plus_width_history - h_only,keyhole_recall,-0.0039475203948888095,-0.011990279753437638,0.004163357436383752,20
q30,0.8,h_plus_width_history - h_only,conduction_recall,0.010128831968233536,0.004731185249777521,0.01558025992376656,20
q30,0.8,h_plus_width_history - h_only,false_negative,0.15,-0.15,0.45,20
q30,0.8,h_plus_width_history - h_only,false_positive,-0.75,-1.15,-0.35,20
q30,0.8,h_plus_width_history - h_only,brier_score,-0.0012189076019835355,-0.0024914024276653612,0.0001347494821919355,20
q30,1.0,h_plus_width_history - h_only,roc_auc,-0.0037584180042723623,-0.007131410229693404,-0.0007408030975487408,20
q30,1.0,h_plus_width_history - h_only,pr_auc,0.0054331063703930375,0.0006561118394010305,0.010457320222707652,20
q30,1.0,h_plus_width_history - h_only,accuracy,0.004931112298368945,0.00046658722889364365,0.009379454595024296,20
q30,1.0,h_plus_width_history - h_only,balanced_accuracy,0.0007413016838034858,-0.004544396203160642,0.006113523500068204,20
q30,1.0,h_plus_width_history - h_only,keyhole_recall,-0.012025841631104784,-0.023174490279753428,-0.0012446657183499189,20
q30,1.0,h_plus_width_history - h_only,conduction_recall,0.013508444998711743,0.008731416401982354,0.018943271876779428,20
q30,1.0,h_plus_width_history - h_only,false_negative,0.45,0.05,0.9,20
q30,1.0,h_plus_width_history - h_only,false_positive,-1.0,-1.4,-0.6,20
q30,1.0,h_plus_width_history - h_only,brier_score,0.0012322110209146136,1.656410451568814e-05,0.0024873555813015058,20
