model,subset,metric,mean,sd_across_repeats,repeat_blocks
h_plus_width_dynamics,q20,balanced_accuracy,0.8008790116655524,0.022036645948464193,20
h_plus_width_dynamics,q20,keyhole_recall,0.6675919838179988,0.042628315832176016,20
h_plus_width_dynamics,q20,conduction_recall,0.9341660395131057,0.008885556786940365,20
h_plus_width_dynamics,q20,false_negative,10.0,1.2977713690461004,20
h_plus_width_dynamics,q20,false_positive,3.05,0.39403446282620613,20
h_plus_width_dynamics,q20,brier_score,0.12041218173857497,0.007208479758049597,20
h_plus_width_dynamics,q30,roc_auc,0.9422719016573561,0.01403239488785849,20
h_plus_width_dynamics,q30,pr_auc,0.8627087472089098,0.019521842385263326,20
h_plus_width_dynamics,q30,accuracy,0.8739815926516725,0.012489114543730842,20
h_plus_width_dynamics,q30,balanced_accuracy,0.8323434081369374,0.018766724785595594,20
h_plus_width_dynamics,q30,keyhole_recall,0.7058722690301639,0.0360561430313851,20
h_plus_width_dynamics,q30,conduction_recall,0.9588145472437107,0.005150170966422774,20
h_plus_width_dynamics,q30,false_negative,11.0,1.2565617248750864,20
h_plus_width_dynamics,q30,false_positive,3.05,0.39403446282620613,20
h_plus_width_dynamics,q30,brier_score,0.09020750300226438,0.004946363218032605,20
h_plus_width_shape_only,full,roc_auc,0.9922627551020409,0.0006005586718556631,20
h_plus_width_shape_only,full,pr_auc,0.9660197250443401,0.0024624401688764326,20
h_plus_width_shape_only,full,accuracy,0.9608571428571426,0.0036021237320934007,20
h_plus_width_shape_only,full,balanced_accuracy,0.9225000000000001,0.006590483977279645,20
h_plus_width_shape_only,full,keyhole_recall,0.8585714285714285,0.012174880374668432,20
h_plus_width_shape_only,full,conduction_recall,0.9864285714285715,0.002485187049780233,20
h_plus_width_shape_only,full,false_negative,9.9,0.8522416262267903,20
h_plus_width_shape_only,full,false_positive,3.8,0.6958523739384593,20
h_plus_width_shape_only,full,brier_score,0.029268179812972923,0.0008293032245458165,20
h_plus_width_shape_only,q20,roc_auc,0.9225416071288957,0.006689265805313438,20
h_plus_width_shape_only,q20,pr_auc,0.8312006233393532,0.012877782035311137,20
h_plus_width_shape_only,q20,accuracy,0.8417822812559654,0.01623679281911008,20
h_plus_width_shape_only,q20,balanced_accuracy,0.8202669990019306,0.017961976980177582,20
h_plus_width_shape_only,q20,keyhole_recall,0.7204903100005297,0.032448608802998546,20
h_plus_width_shape_only,q20,conduction_recall,0.9200436880033319,0.01519971201484437,20
h_plus_width_shape_only,q20,false_negative,8.4,0.9403246919632545,20
h_plus_width_shape_only,q20,false_positive,3.7,0.6569466853317862,20
h_plus_width_shape_only,q20,brier_score,0.1124792600780113,0.0048545973076290745,20
h_plus_width_shape_only,q30,roc_auc,0.9520121518279415,0.003298697491342161,20
h_plus_width_shape_only,q30,pr_auc,0.8639681535355539,0.013394471470454996,20
h_plus_width_shape_only,q30,accuracy,0.8825046027178243,0.010818476440076875,20
h_plus_width_shape_only,q30,balanced_accuracy,0.8501054690512154,0.013828039843069911,20
h_plus_width_shape_only,q30,keyhole_recall,0.7514799212167634,0.022695503596806246,20
h_plus_width_shape_only,q30,conduction_recall,0.9487310168856673,0.00901962332032129,20
h_plus_width_shape_only,q30,false_negative,9.3,0.8013147091860316,20
h_plus_width_shape_only,q30,false_positive,3.8,0.6958523739384593,20
h_plus_width_shape_only,q30,brier_score,0.08515467138120077,0.0022218051711662737,20
static_width,full,roc_auc,0.6156989795918368,0.01495440050107842,20
static_width,full,pr_auc,0.24527396734833587,0.011414909823072361,20
static_width,full,accuracy,0.7908571428571429,0.0017588200321459766,20
static_width,full,balanced_accuracy,0.49857142857142855,0.00439705008036493,20
