experiment_name,has_keyhole,onset_available,first_keyhole_monitor_row_index,first_keyhole_time_s,first_keyhole_tau,peak_dWdt_tau,peak_minus_first_keyhole_ms,peak_precedes_first_observed_keyhole,robust_peak_dWdt_tau,robust_peak_minus_first_keyhole_ms,robust_peak_precedes_first_observed_keyhole,result_type,warning_threshold_fitted
P-377p008330657_VX-0p791215989527_LS-4p31405408456e-05_ST-371p11107289_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p09709695819e-06_H-3d091b92d3,1,True,25148.0,0.0004572921,0.2135851318392176,0.32,0.1246709559999999,False,0.005,-0.24436912100000002,True,descriptive_peak_timing_not_learned_warning,False
P-377p125910628_VX-0p77115452106_LS-4p31707402483e-05_ST-313p190582012_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p25571201526e-06_H-8b3ff695c9,1,True,24770.0,0.0004504164,0.1980329642202028,0.225,0.0324179825,False,0.005,-0.23205143150000002,True,descriptive_peak_timing_not_learned_warning,False
P-378p283018896_VX-0p735158781064_LS-4p42419225112e-05_ST-367p022862863_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p56201180925e-06_H-36d24309a8,1,True,25261.0,0.0004593476,0.1883397586789308,0.38,0.241896518,False,0.005,-0.2313951444999999,True,descriptive_peak_timing_not_learned_warning,False
P-378p699667122_VX-0p273966982762_LS-4p19552514454e-05_ST-349p537322979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p76084014007e-05_H-c87ffcf9e3,1,True,46506.0,0.0008452199,0.1677447948030175,0.415,0.3727842745000001,False,0.01,-0.23783029699999986,True,descriptive_peak_timing_not_learned_warning,False
P-378p895448518_VX-0p547210222693_LS-4p25171421559e-05_ST-392p752580943_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p81584517788e-06_H-dc75daed1b,1,True,30062.0,0.0005465838,0.1465126437954658,0.25,0.175427575,False,0.005,-0.2398865024999999,True,descriptive_peak_timing_not_learned_warning,False
P-379p421209359_VX-0p229921993373_LS-5p57538994548e-05_ST-334p989783011_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p09815534923e-05_H-1553ff852f,1,True,63508.0,0.00115399,0.3426010943665092,0.015,-0.4714259354999999,True,0.005,-0.48581617849999986,True,descriptive_peak_timing_not_learned_warning,False
P-383p924442814_VX-0p598551929363_LS-4p34843261877e-05_ST-301p171019532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p05965258211e-06_H-82800d7335,1,True,28812.0,0.0005238829,0.1625661152329161,0.5650000000000001,0.6240092330000001,False,0.005,-0.24432015899999993,True,descriptive_peak_timing_not_learned_warning,False
P-385p522203_VX-0p931994182449_LS-4p05647861864e-05_ST-365p262393292_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p17612737704e-06_H-3a5de7627d,1,True,21920.0,0.0003985752,0.2224782573831007,0.325,0.10176911,False,0.01,-0.2109184119999999,True,descriptive_peak_timing_not_learned_warning,False
P-385p792960663_VX-0p466570238049_LS-4p25767555058e-05_ST-363p826454642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p03395377793e-05_H-3d091b92d3,1,True,30140.0,0.0005480004,0.1138295966829418,0.635,0.9127565285,False,0.005,-0.19059970449999997,True,descriptive_peak_timing_not_learned_warning,False
P-387p363679816_VX-0p298546823055_LS-4p09005526538e-05_ST-395p436254411_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61586733821e-05_H-c87ffcf9e3,1,True,45343.0,0.0008240989,0.1791756786141179,0.32,0.21889986,False,0.0,-0.2785138999999999,True,descriptive_peak_timing_not_learned_warning,False
