tau,has_keyhole,metric,median,q25,q75,n
0.025,1,dWdt_robust_um_per_ms,644.232112928452,479.97626498377963,826.1622360561746,70
0.03,0,width_um,37.259036252747265,34.3777764065934,39.16804768956044,280
0.03,0,dWdt_um_per_ms,-544.2359014608703,-1039.5688727402992,97.25297834809336,280
0.03,0,dWdt_robust_um_per_ms,755.8659550645848,582.7403282497552,948.0393541697184,280
0.03,1,width_um,36.8217986043956,30.275455486263738,38.05457609615383,70
0.03,1,dWdt_um_per_ms,-123.72008113772901,-522.3301458155382,595.8278717035801,70
0.03,1,dWdt_robust_um_per_ms,650.422067530383,483.00769718156454,919.5630657430027,70
0.035,0,width_um,42.004649747252714,38.933280687154706,45.103604362637334,280
0.035,0,dWdt_um_per_ms,-554.088576258895,-1095.182729946141,-31.365946896686545,280
0.035,0,dWdt_robust_um_per_ms,738.8879962137846,560.0986421181943,911.3051957335251,280
0.035,1,width_um,42.63589135359114,34.483166196428584,44.58867905975263,70
0.035,1,dWdt_um_per_ms,297.67406925239504,-168.24632561854045,1017.7535309802765,70
0.035,1,dWdt_robust_um_per_ms,714.5148515208541,479.3131477163903,1020.038938605913,70
0.04,0,width_um,46.63627971428545,43.10452626689333,49.89405412087906,280
0.04,0,dWdt_um_per_ms,-563.3618316534614,-1145.1990722303512,-72.2274018498957,280
0.04,0,dWdt_robust_um_per_ms,741.2768678375712,552.7898831353307,927.5089897428696,280
0.04,1,width_um,48.100815428571416,38.36491737362637,51.44525770964119,70
0.04,1,dWdt_um_per_ms,334.9794274407422,-91.67855952664254,1104.3859753950712,70
0.04,1,dWdt_robust_um_per_ms,715.8111314690609,507.25053968609143,1058.6291757220913,70
0.045,0,width_um,52.92204688461538,47.61796959684066,54.6296113440934,280
0.045,0,dWdt_um_per_ms,-536.8485267571457,-1124.1372908542253,216.01092772565934,280
0.045,0,dWdt_robust_um_per_ms,721.2287952033972,542.2260403220199,918.138868552905,280
0.045,1,width_um,54.75680382188393,43.29999331593408,57.47970753090656,70
0.045,1,dWdt_um_per_ms,480.74836221459316,-228.48285511834882,1533.4869913670132,70
0.045,1,dWdt_robust_um_per_ms,709.7395137292056,525.9427456172509,1042.2812497818252,70
0.05,0,width_um,57.93711705133262,52.50612104395606,60.48840975555521,280
0.05,0,dWdt_um_per_ms,-508.782202227559,-958.0476014375649,193.9009090688034,280
0.05,0,dWdt_robust_um_per_ms,696.9084435429904,531.9633516332132,927.3192633330319,280
0.05,1,width_um,60.50967255820838,47.798753942611256,63.24657751373632,70
0.05,1,dWdt_um_per_ms,409.07574568284167,-166.42197905321683,909.1557981012281,70
0.05,1,dWdt_robust_um_per_ms,689.9407651395062,532.6913063469831,1004.4272209449289,70
0.055,0,width_um,62.5602734683459,56.69494168887363,66.0997311717033,280
0.055,0,dWdt_um_per_ms,-301.3801926094719,-909.6308001755739,292.981622009184,280
0.055,0,dWdt_robust_um_per_ms,672.6146916042387,509.26501536690057,904.942776374028,280
0.055,1,width_um,65.77984421016485,52.736487212016584,70.02979376030221,70
0.055,1,dWdt_um_per_ms,411.9927532421961,-3.322047168723204,1102.8010601989758,70
0.055,1,dWdt_robust_um_per_ms,678.2019335315983,536.1718843325177,989.6204578453682,70
0.06,0,width_um,67.8347570979297,61.08459323076923,70.67624269780218,280
0.06,0,dWdt_um_per_ms,-386.4370402738415,-968.3379437790836,393.06484826045136,280
0.06,0,dWdt_robust_um_per_ms,654.115220622744,483.80161597696735,856.0186631966272,280
0.06,1,width_um,70.89062538461536,57.4475854313187,75.78207271978025,70
0.06,1,dWdt_um_per_ms,733.0755645459426,9.329020130975469,1336.4625886523272,70
0.06,1,dWdt_robust_um_per_ms,663.797487864658,542.0085725254556,937.1059070216746,70
0.065,0,width_um,72.46755787637363,66.31896750206043,75.09255406593407,280
0.065,0,dWdt_um_per_ms,-324.09112210364583,-1003.2353208774815,314.96721696667674,280
0.065,0,dWdt_robust_um_per_ms,629.3966485573983,478.84750008845594,824.7730059442483,280
0.065,1,width_um,76.07932252109012,61.49030953777473,82.50479682005498,70
0.065,1,dWdt_um_per_ms,718.4973508638566,209.42789380363445,1128.996162559726,70
0.065,1,dWdt_robust_um_per_ms,650.8878433183193,527.700689589719,898.8087428750507,70
0.07,0,width_um,77.13065805494506,70.42086298214284,80.44926616620882,280
0.07,0,dWdt_um_per_ms,-236.875244762734,-949.7731629638425,314.273332132148,280
0.07,0,dWdt_robust_um_per_ms,648.7667845229932,468.6575005558425,822.0696834335843,280
0.07,1,width_um,81.48396418956042,66.29881509679136,87.93326893406594,70
0.07,1,dWdt_um_per_ms,738.6304312575144,83.1059805579741,1103.1147949885562,70
0.07,1,dWdt_robust_um_per_ms,654.1577024921157,512.9383544949291,805.6293715711856,70
0.075,0,width_um,81.24843041208791,74.15578206043958,85.10254122252746,280
0.075,0,dWdt_um_per_ms,-267.1972375106244,-948.4500545718944,371.98421631892836,280
0.075,0,dWdt_robust_um_per_ms,640.6697078593645,461.82798798352746,797.2146862808619,280
0.075,1,width_um,85.48813176510987,70.83649725536553,92.77838520604395,70
0.075,1,dWdt_um_per_ms,670.6093014134276,71.63329458949194,1122.8525766290782,70
0.075,1,dWdt_robust_um_per_ms,603.8009099000717,466.6901156285271,778.8373137519775,70
0.08,0,width_um,85.9106843846154,77.6999615966244,89.7217843901099,280
0.08,0,dWdt_um_per_ms,-200.7308959669615,-990.9410756081428,274.15544239978703,280
0.08,0,dWdt_robust_um_per_ms,629.9040380834265,464.48706727233696,792.5572315064691,280
0.08,1,width_um,90.55519471428573,76.0021075164835,97.28126298901103,70
0.08,1,dWdt_um_per_ms,421.9610022689129,-12.76514124195018,919.3057226559077,70
0.08,1,dWdt_robust_um_per_ms,578.5216280061554,469.4478857057211,708.0489911387621,70
0.085,0,width_um,90.16458222527471,82.19730260167871,94.20358998351648,280
0.085,0,dWdt_um_per_ms,-213.97461055391142,-889.1176148720832,322.6953577531706,280
0.085,0,dWdt_robust_um_per_ms,620.0417123120956,454.38543539932425,792.093408434866,280
0.085,1,width_um,93.90141471428572,80.2268059745879,101.56666581936814,70
0.085,1,dWdt_um_per_ms,339.5604717579366,-114.55396907591448,927.8947512386659,70
0.085,1,dWdt_robust_um_per_ms,552.6416053133803,451.6087196107119,620.2950076570769,70
0.09,0,width_um,94.46675998626372,85.90527197390108,98.60714561126373,280
0.09,0,dWdt_um_per_ms,-115.98481702901776,-898.7926050599299,342.0589305213839,280
0.09,0,dWdt_robust_um_per_ms,591.1265782577238,447.2673604556808,797.406239608183,280
0.09,1,width_um,97.67924768406596,84.54863695441989,105.68738571961326,70
0.09,1,dWdt_um_per_ms,320.0353739685546,-38.748974340756625,687.0307028138363,70
0.09,1,dWdt_robust_um_per_ms,497.65472886732283,441.33546195478664,580.6241569256215,70
0.095,0,width_um,98.80538912362638,89.08791658035713,103.30415949175824,280
0.095,0,dWdt_um_per_ms,-114.69269159884615,-1065.6304974491757,429.0937002533712,280
0.095,0,dWdt_robust_um_per_ms,602.3208062462213,444.0769254944684,782.0891692266246,280
0.095,1,width_um,101.22806273618784,88.42132941552197,108.99518578777472,70
0.095,1,dWdt_um_per_ms,573.6920143146497,35.16533487157004,963.7487469775156,70
0.095,1,dWdt_robust_um_per_ms,476.42393764406063,413.6871315234163,573.2392395857236,70
0.1,0,width_um,102.94205403846155,93.05405945525465,107.55231763736265,280
0.1,0,dWdt_um_per_ms,-301.57832780386934,-944.1979380509551,333.5599217109484,280
0.1,0,dWdt_robust_um_per_ms,575.9975277544879,425.9174360224128,775.5783167222693,280
0.1,1,width_um,104.67584985413755,91.29795329427483,112.87408916504765,70
0.1,1,dWdt_um_per_ms,307.2705485583238,-81.12339566932543,653.7274133620678,70
0.1,1,dWdt_robust_um_per_ms,455.46830403220304,389.1545201758115,565.5757621392524,70
0.105,0,width_um,107.58565209184323,97.27367244916061,112.10275170310696,280
0.105,0,dWdt_um_per_ms,-280.1600902027612,-1121.3270877938962,264.3993506859415,280
0.105,0,dWdt_robust_um_per_ms,583.6994643016059,425.6254093821557,755.7369017710662,280
0.105,1,width_um,108.46972242032967,95.64625098888953,114.97027259851023,70
0.105,1,dWdt_um_per_ms,344.36896499624163,-334.91916243324556,968.1679446932839,70
0.105,1,dWdt_robust_um_per_ms,445.66086503008944,382.02583839717204,546.5713888613806,70
0.11,0,width_um,111.92900793406591,101.29037179395607,116.54225347525954,280
0.11,0,dWdt_um_per_ms,-275.7243355681918,-1120.2238802827012,292.98536874127643,280
0.11,0,dWdt_robust_um_per_ms,588.3706906818015,432.2898530179921,759.2834556447887,280
0.11,1,width_um,111.20921249175824,99.59765239835164,119.3544620434324,70
0.11,1,dWdt_um_per_ms,501.117870912887,48.554887241739024,890.6452509502673,70
0.11,1,dWdt_robust_um_per_ms,448.51176411464905,371.26647635215,523.8549375665824,70
0.115,0,width_um,115.68293915521974,104.35250879314779,121.05392724861878,280
0.115,0,dWdt_um_per_ms,-276.0840583730614,-1142.51292491874,272.29290628438946,280
0.115,0,dWdt_robust_um_per_ms,570.2533634925775,407.6765221333941,729.4113233394966,280
0.115,1,width_um,116.57871109340658,103.37671152177315,121.54332386126376,70
0.115,1,dWdt_um_per_ms,593.906432950334,51.59299815565804,920.7374093642607,70
0.115,1,dWdt_robust_um_per_ms,438.8845037695722,361.01812081080055,541.6283865574605,70
0.12,0,width_um,120.17087458241758,106.83613828553848,125.79974531318683,280
0.12,0,dWdt_um_per_ms,-294.63964797966753,-1088.3859135374146,227.78376738024167,280
0.12,0,dWdt_robust_um_per_ms,563.548037658715,406.1509019299149,697.5363285137099,280
0.12,1,width_um,119.38314481257967,106.16416846056704,125.71689051417643,70
0.12,1,dWdt_um_per_ms,628.20102788298,137.55496145755853,1067.2585525971472,70
0.12,1,dWdt_robust_um_per_ms,416.99316350296795,358.34100287556254,568.2439017082924,70
0.125,0,width_um,123.54899303415851,110.55169140079533,129.73882694024724,280
0.125,0,dWdt_um_per_ms,-336.9522690557495,-1145.4114652513097,286.8688536182303,280
0.125,0,dWdt_robust_um_per_ms,541.009605522344,396.2013626888395,712.4124806822067,280
0.125,1,width_um,124.82975969203446,110.55989257596684,127.97137203038675,70
0.125,1,dWdt_um_per_ms,393.95188563337103,-121.02289615890523,737.3533288223421,70
0.125,1,dWdt_robust_um_per_ms,411.142834949845,355.9255287846927,547.1999217590761,70
0.13,0,width_um,127.41183443406594,113.61446927812521,133.7673063585165,280
0.13,0,dWdt_um_per_ms,-458.1848846966456,-1245.0027675010513,167.1987383965273,280
0.13,0,dWdt_robust_um_per_ms,538.2129407197428,385.37755563526457,715.853230002718,280
0.13,1,width_um,128.78954742582417,113.27897189423078,131.19421497252748,70
0.13,1,dWdt_um_per_ms,335.9990812359271,19.861920062205783,926.1783431189875,70
0.13,1,dWdt_robust_um_per_ms,414.4290786355093,321.91797140147384,562.7308447200595,70
