population,record_type,candidate_id,unit,fold_n,majority_direction,majority_direction_fraction,threshold_minimum,threshold_q25,threshold_median,threshold_q75,threshold_maximum,threshold_iqr,candidate_value_iqr,threshold_iqr_over_candidate_iqr,threshold_unique_count,stability_class,stability_rule
new-data,within_population_loo,T0_depth,um,164,higher,1.0,77.778445,82.41506749999999,82.41506749999999,82.41506749999999,92.527355,0.0,41.98339875,0.0,4,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-remote-clean,within_population_loo,R0,dimensionless,63,higher,1.0,0.47533759012654153,0.49366705561391555,0.49366705561391555,0.49366705561391555,0.5187930834413962,0.0,0.09452538239364583,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-old,within_population_loo,T0_depth,um,241,higher,1.0,78.43734,78.59645499999999,78.59645499999999,78.59645499999999,78.59940499999999,0.0,23.262460000000004,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-old,within_population_loo,max_depth,um,241,higher,1.0,107.08127999999999,107.169935,107.169935,107.169935,107.318935,0.0,24.023960000000002,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-old,within_population_loo,G3,um,240,higher,1.0,76.42518749999999,76.43563499999999,76.43563499999999,76.43563499999999,76.63294250000001,0.0,23.83227749999999,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-old,within_population_loo,R3,dimensionless,240,higher,1.0,0.4307948798691007,0.431491418489115,0.431491418489115,0.431491418489115,0.4475782908885235,0.0,0.10418625943132531,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-old,within_population_loo,T0_width,um,241,higher,1.0,145.14277500000003,145.19675999999998,145.19675999999998,145.19675999999998,151.64261499999998,0.0,51.916425000000004,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-old,within_population_loo,T0_total_height,um,241,higher,1.0,92.59128,92.69389000000001,92.69389000000001,92.69389000000001,97.047355,0.0,23.828950000000006,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-old,within_population_loo,T0_kinetic_energy,nJ,241,higher,1.0,1.4664205,1.4730165,1.4730165,1.4730165,1.4740455,0.0,1.3507881999999998,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-old,within_population_loo,R0,dimensionless,241,higher,1.0,0.453557135402738,0.4559295168357515,0.4559295168357515,0.4559295168357515,0.4582681013454347,0.0,0.10071931476945628,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-combined,within_population_loo,T0_depth,um,405,higher,1.0,74.30221,77.778445,77.778445,77.778445,78.58800500000001,0.0,28.08798000000001,0.0,4,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-combined,within_population_loo,max_depth,um,405,higher,1.0,108.14150000000001,108.601,108.601,108.601,111.9012,0.0,33.150859999999994,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-combined,within_population_loo,G3,um,404,higher,1.0,100.85673,100.9587625,100.9587625,100.9587625,102.2617125,0.0,31.795373749999996,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-combined,within_population_loo,R3,dimensionless,404,higher,1.0,0.5497152543170012,0.5519829667262584,0.5519829667262584,0.5519829667262584,0.5782153663226665,0.0,0.1343320467963573,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-combined,within_population_loo,T0_width,um,405,higher,1.0,133.96793,134.07150000000001,134.07150000000001,134.07150000000001,134.179435,0.0,52.22272000000001,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-combined,within_population_loo,T0_total_height,um,405,higher,1.0,95.560025,95.90286499999999,95.90286499999999,95.90286499999999,104.253645,0.0,30.084379999999996,0.0,5,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-combined,within_population_loo,T0_kinetic_energy,nJ,405,higher,1.0,3.0882224999999996,3.0908675,3.0908675,3.0908675,3.3667689999999997,0.0,1.756087,0.0,4,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
all-combined,within_population_loo,R0,dimensionless,405,higher,1.0,0.45469991525716136,0.4559295168357515,0.4559295168357515,0.4559295168357515,0.46633260445901886,0.0,0.12291790980871975,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
