budget,model,metric,mean,ci_lower,ci_upper,repeat_blocks
20,H,accuracy,0.9544444444444442,0.9512345679012345,0.9574104938271606,20
20,H,balanced_accuracy,0.9190481102492161,0.9130539280409309,0.9245007426968146,20
20,H,fraction_p_0_01,0.5985185185185184,0.5458024691358025,0.6496296296296296,20
20,H,fraction_p_01_10,0.15123456790123457,0.11604629629629629,0.18926234567901234,20
20,H,fraction_p_10_90,0.11185185185185184,0.08604938271604938,0.1374074074074074,20
20,H,fraction_p_90_99,0.030123456790123453,0.023209876543209877,0.03716049382716049,20
20,H,fraction_p_99_1,0.10827160493827162,0.09135802469135804,0.1254320987654321,20
20,H,p01,2.187272878684725e-08,1e-12,6.561618636054177e-08,20
20,H,p10,1.4885069573690581e-05,1e-12,4.465520672107175e-05,20
20,H,p50,0.005599463633256316,0.00225266834175382,0.009846064221135016,20
20,H,p90,0.9697799613182188,0.9487797629513312,0.9874105393268922,20
20,H,p99,0.9999837652878438,0.9999512958655312,0.9999999999990002,20
20,M3,brier_score,0.04226647182607244,0.03947128055151481,0.045051908079276004,20
20,M3,log_loss,0.5094128040370982,0.4287647499200533,0.5821653381028243,20
20,M3,ECE_10_equal_width,0.04117060120049368,0.03741759836888131,0.04505831159304381,20
20,M3,accuracy,0.9541975308641975,0.9508641975308642,0.9571604938271605,20
20,M3,balanced_accuracy,0.9202333305826043,0.9135756983413102,0.9261183002558179,20
20,M3,fraction_p_0_01,0.5864197530864197,0.5340740740740741,0.6390123456790124,20
20,M3,fraction_p_01_10,0.15037037037037038,0.11592592592592595,0.18654320987654321,20
20,M3,fraction_p_10_90,0.1282716049382716,0.09851851851851852,0.15839506172839507,20
20,M3,fraction_p_90_99,0.027407407407407408,0.021481481481481483,0.033456790123456794,20
20,M3,fraction_p_99_1,0.10753086419753084,0.09123456790123458,0.12469135802469138,20
20,M3,p01,1.0723270373884589e-12,1e-12,1.2169811121653765e-12,20
20,M3,p10,1.0133664586222002e-05,1e-12,3.0400991758666002e-05,20
20,M3,p50,0.0067989684953146,0.002773066065431236,0.011602511393243033,20
