simulation_id,population_row_index,P_W,VX_m_per_s,LS_m,ST_K,has_keyhole,partition,XI_m,XF_m,XL_m,TE_s,DT_s,material,folder_hash,domain_max_x_m,observation_duration_s,max_depth_um,first_keyhole_timestep,keyhole_frame_count,configuration_group,domain_mapping_expected_m,domain_mapping_absolute_error_m,t_90pct_domain_s,observation_completion_ratio,observation_ends_before_90pct_domain_from_TE,observation_ends_before_90pct_domain,TE_vs_time_dat_flag_mismatch
P-166p111836501_VX-0p454755470987_LS-7p13150844087e-05_ST-303p391516497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06081639712e-05_H-0e4c2fc094,30,166.111836501,0.454755470987,7.13150844087e-05,303.391516497,False,new-data,0.0002,0.0014,0.0012,0.0021,1.06081639712e-05,TI64,0e4c2fc094,0.001212,0.0021,66.837,,0,CFG_MAIN,0.001212,0.0,0.0023986517361353145,0.8754918308330581,True,True,False
P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,31,167.350234557,0.509305540745,7.79284260895e-05,367.465417979,False,new-data,0.0002,0.0014,0.0012,0.0021,9.47195782704e-06,TI64,0c5439e4b5,0.001212,0.0021,62.98711000000001,,0,CFG_MAIN,0.001212,0.0,0.002141739904114147,0.9805112170558304,True,True,False
P-168p279672268_VX-0p662944494492_LS-8p51138696034e-05_ST-361p222757169_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p27680920966e-06_H-1d842653b1,32,168.279672268,0.662944494492,8.51138696034e-05,361.222757169,False,new-data,0.0002,0.0014,0.0012,0.0021,7.27680920966e-06,TI64,1d842653b1,0.001212,0.0021,54.55363,,0,CFG_MAIN,0.001212,0.0,0.0016453866184315423,1.2762957814752474,False,False,False
P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,33,172.471893954,0.300060565388,5.45268436948e-05,394.546009672,False,new-data,0.0002,0.0014,0.0012,0.0021,1.60771562794e-05,TI64,0e4c2fc094,0.001212,0.0021,71.23713000000001,,0,CFG_MAIN,0.001212,0.0,0.0036352660956614435,0.5776743558074807,True,True,False
P-173p043282634_VX-0p866796851528_LS-6p96390683614e-05_ST-349p021338305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56545699781e-06_H-27614c4053,34,173.043282634,0.866796851528,6.96390683614e-05,349.021338305,False,new-data,0.0002,0.0014,0.0012,0.0021,5.56545699781e-06,TI64,27614c4053,0.001212,0.0021,51.38208,,0,CFG_MAIN,0.001212,0.0,0.001258426352238272,1.6687508142728271,False,False,False
P-173p906668607_VX-0p677544388934_LS-8p62016404031e-05_ST-334p396108383_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p12000672104e-06_H-89021150a8,35,173.906668607,0.677544388934,8.62016404031e-05,334.396108383,False,new-data,0.0002,0.0014,0.0012,0.0021,7.12000672104e-06,TI64,89021150a8,0.001212,0.0021,54.75972,,0,CFG_MAIN,0.001212,0.0,0.0016099314197202442,1.3044033890368536,False,False,False
P-177p821134596_VX-0p63969291749_LS-8p76195222961e-05_ST-320p228793407_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5413068851e-06_H-0e4c2fc094,36,177.821134596,0.63969291749,8.76195222961e-05,320.228793407,False,new-data,0.0002,0.0014,0.0012,0.0021,7.5413068851e-06,TI64,0e4c2fc094,0.001212,0.0021,55.06646,,0,CFG_MAIN,0.001212,0.0,0.0017051931796900847,1.2315320193701869,False,False,False
P-185p872045369_VX-0p416268682161_LS-7p15564692144e-05_ST-371p982346013_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p15889587897e-05_H-bc28d74e69,37,185.872045369,0.416268682161,7.15564692144e-05,371.982346013,False,new-data,0.0002,0.0014,0.0012,0.0021,1.15889587897e-05,TI64,bc28d74e69,0.001212,0.0021,75.07011,,0,CFG_MAIN,0.001212,0.0,0.002620422930539156,0.8013973528952144,True,True,False
P-187p255870651_VX-0p828194463092_LS-4p64611349328e-05_ST-375p783913497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p82486459159e-06_H-bc28d74e69,38,187.255870651,0.828194463092,4.64611349328e-05,375.783913497,False,new-data,0.0002,0.0014,0.0012,0.0021,5.82486459159e-06,TI64,bc28d74e69,0.001212,0.0021,63.52674,,0,CFG_MAIN,0.001212,0.0,0.0013170819760465226,1.5944337848305827,False,False,False
P-198p376734591_VX-0p636800402216_LS-8p40585875992e-05_ST-361p411435367_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5755614887e-06_H-1605f46060,39,198.376734591,0.636800402216,8.40585875992e-05,361.411435367,False,new-data,0.0002,0.0014,0.0012,0.0021,7.5755614887e-06,TI64,1605f46060,0.001212,0.0021,63.060520000000004,,0,CFG_MAIN,0.001212,0.0,0.0017129386165651405,1.22596337060286,False,False,False
