run_id,repeat,fold,budget,C,coefficient,intercept,threshold_log_h,perfect_h_separation,diagnostic_only
w85__r12_f04,12,4,80,1000.0,4.186608881437032,-1.0232943852771144,20.682197113780123,False,True
w85__r12_f04,12,4,80,10000.0,4.190110623248502,-1.0238444446777146,20.68216268444353,False,True
w85__r12_f04,12,4,80,1000000.0,4.190496557925305,-1.0239050553845779,20.682158892018062,False,True
w85__r12_f05,12,5,16,1.0,1.8415380877863228,-0.8153802829798554,20.562600704065353,True,True
w85__r12_f05,12,5,16,10.0,4.262236046942908,-1.3309726723085489,20.45463912130751,True,True
w85__r12_f05,12,5,16,100.0,8.793090857483328,-1.927605238062069,20.377657484240547,True,True
w85__r12_f05,12,5,16,1000.0,15.669146433549693,-2.97428404977458,20.353334928374192,True,True
w85__r12_f05,12,5,16,10000.0,22.843737976332577,-4.132041603769366,20.34594311900245,True,True
w85__r12_f05,12,5,16,1000000.0,25.92500890685598,-4.6008667155497145,20.34311823740059,True,True
w85__r12_f05,12,5,20,1.0,1.854021427313716,-1.3626954066651882,20.79466454897855,True,True
w85__r12_f05,12,5,20,10.0,4.203514331769312,-2.3970841808266297,20.67160387028606,True,True
w85__r12_f05,12,5,20,100.0,8.230586332873626,-3.885916333057933,20.59830258545607,True,True
w85__r12_f05,12,5,20,1000.0,24.95687136059393,-9.604514655184678,20.533098410659633,True,True
w85__r12_f05,12,5,20,10000.0,77.88483311390934,-28.812962425667678,20.521966944991735,True,True
w85__r12_f05,12,5,20,1000000.0,303.7354982638691,-112.16079875194804,20.521465037884703,True,True
w85__r12_f05,12,5,24,1.0,1.7987841093204318,-1.1036705681748753,20.720011196943894,False,True
w85__r12_f05,12,5,24,10.0,3.856324552661546,-1.8139421734700762,20.62103197719285,False,True
w85__r12_f05,12,5,24,100.0,6.363326750770346,-2.6305912430219807,20.581641527285644,False,True
w85__r12_f05,12,5,24,1000.0,7.869027484016178,-3.1142904462255574,20.569452195437048,False,True
w85__r12_f05,12,5,24,10000.0,8.160231579127688,-3.2080146182306675,20.567628808015836,False,True
w85__r12_f05,12,5,24,1000000.0,8.19578516512555,-3.2194644523804334,20.56741564495703,False,True
w85__r12_f05,12,5,32,1.0,1.7922291441214235,-1.0425844833935511,20.734997096647206,False,True
w85__r12_f05,12,5,32,10.0,3.7277834433765773,-1.6911453813902115,20.65618511090024,False,True
w85__r12_f05,12,5,32,100.0,5.449133822064542,-2.26097256466518,20.632346488113438,False,True
w85__r12_f05,12,5,32,1000.0,5.938450184475424,-2.4217687946944406,20.62796990655876,False,True
w85__r12_f05,12,5,32,10000.0,5.999135650444159,-2.441763518448223,20.627482280372696,False,True
w85__r12_f05,12,5,32,1000000.0,6.005981508483672,-2.4440190520414715,20.62742788538421,False,True
w85__r12_f05,12,5,40,1.0,1.807113785834819,-1.0105533369855177,20.750386578621672,False,True
w85__r12_f05,12,5,40,10.0,3.6095306536482266,-1.5932172957290323,20.68397434372032,False,True
w85__r12_f05,12,5,40,100.0,4.7252016413403775,-1.9515315963301767,20.66797290195519,False,True
w85__r12_f05,12,5,40,1000.0,4.941413616757408,-2.0207854302528565,20.66568652338317,False,True
w85__r12_f05,12,5,40,10000.0,4.964190093768527,-2.0280785319529695,20.66545700025214,False,True
w85__r12_f05,12,5,40,1000000.0,4.966721256368596,-2.0288890570608573,20.66543162757422,False,True
w85__r12_f05,12,5,60,1.0,2.1144147026520703,-0.8738786654166273,20.688831005616237,False,True
w85__r12_f05,12,5,60,10.0,3.4552857095752905,-1.2192162983617192,20.659598323053036,False,True
w85__r12_f05,12,5,60,100.0,3.8334500632983683,-1.3158342424847005,20.654952864881608,False,True
w85__r12_f05,12,5,60,1000.0,3.88154547017695,-1.3284369930617463,20.65446615239031,False,True
w85__r12_f05,12,5,60,10000.0,3.886412890221603,-1.3297217830387345,20.654418730081176,False,True
w85__r12_f05,12,5,60,1000000.0,3.8869488212693017,-1.3298632817592928,20.654413520340103,False,True
w85__r12_f05,12,5,80,1.0,2.621024259391244,-1.0770497534568488,20.685378439553073,False,True
w85__r12_f05,12,5,80,10.0,3.9126545101751566,-1.382730640842222,20.658965564109128,False,True
w85__r12_f05,12,5,80,100.0,4.255210532063059,-1.4650680544353427,20.654787502958875,False,True
w85__r12_f05,12,5,80,1000.0,4.296440556798011,-1.4740336464015606,20.654228614574222,False,True
w85__r12_f05,12,5,80,10000.0,4.300610907228248,-1.4750142486580862,20.65418055397388,False,True
w85__r12_f05,12,5,80,1000000.0,4.30107061547644,-1.475122338940389,20.654175261411076,False,True
w85__r13_f01,13,1,16,1.0,1.7488693373701791,-1.2410615371257339,20.816981361468365,True,True
w85__r13_f01,13,1,16,10.0,4.0684303100244,-2.273691033591883,20.707031741145958,True,True
w85__r13_f01,13,1,16,100.0,8.267108164308723,-4.467000696275812,20.69352063608824,True,True
w85__r13_f01,13,1,16,1000.0,23.29500939275528,-12.838532410228819,20.701391887098946,True,True
w85__r13_f01,13,1,16,10000.0,47.68072557118138,-26.283286272933303,20.701469923238633,True,True
w85__r13_f01,13,1,16,1000000.0,84.38266521080477,-46.49401560704949,20.701291332467676,True,True
w85__r13_f01,13,1,20,1.0,1.8357277576693087,-0.7246850610023514,20.649865717614038,False,True
w85__r13_f01,13,1,20,10.0,4.2840230265913215,-1.5361049149414956,20.62546847625737,False,True
w85__r13_f01,13,1,20,100.0,9.231833980045657,-3.7673951835043784,20.658842683575457,False,True
w85__r13_f01,13,1,20,1000.0,22.613696772580532,-10.047414984359543,20.683252062622213,False,True
