simulation_id,population_row_index,configuration_group,VX_m_per_s,has_keyhole,observation_duration_s,domain_max_x_m,t_90pct_domain_s,observation_completion_ratio,observation_ends_before_90pct_domain,P_W,LS_m,ST_K
P-210p302841339_VX-0p779412575788_LS-5p86430912284e-05_ST-304p177226769_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p18943131388e-06_H-c15424829d,48,CFG_MAIN,0.779412575788,False,0.0021,0.001212,0.0013995155247491123,1.5005192603179316,False,210.302841339,5.86430912284e-05,304.177226769
P-210p331349445_VX-0p877062157481_LS-5p88084341536e-05_ST-346p930868597_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p50031780743e-06_H-0e4c2fc094,49,CFG_MAIN,0.877062157481,False,0.0021,0.001212,0.0012436974856296092,1.688513504501375,False,210.331349445,5.88084341536e-05,346.930868597
P-211p964201781_VX-0p31026524833_LS-8p22948660567e-05_ST-308p041416816_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p5548375556e-05_H-22f5435fc5,50,CFG_MAIN,0.31026524833,False,0.0021,0.001212,0.003515701503378872,0.5973203350687568,True,211.964201781,8.22948660567e-05,308.041416816
P-212p474685749_VX-0p445530901525_LS-8p01654967217e-05_ST-390p176194232_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p08278024858e-05_H-4e23685f04,51,CFG_MAIN,0.445530901525,False,0.0021,0.001212,0.0024483150243144068,0.8577327587114961,True,212.474685749,8.01654967217e-05,390.176194232
P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,52,CFG_MAIN,0.351323873231,True,0.0021,0.001212,0.0031048274344931434,0.6763660925789328,True,212.944274192,4.80439392259e-05,351.894554175
P-213p315910834_VX-0p426447159191_LS-8p60684535809e-05_ST-346p722503996_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13123525366e-05_H-6aeda8a35c,53,CFG_MAIN,0.426447159191,False,0.0021,0.001212,0.00255787845338054,0.8209928807307479,True,213.315910834,8.60684535809e-05,346.722503996
P-217p682945702_VX-0p631899079757_LS-7p17459883069e-05_ST-324p134516573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p63432129838e-06_H-7c2e16b959,54,CFG_MAIN,0.631899079757,False,0.0021,0.001212,0.0017262250174813877,1.2165273812703519,False,217.682945702,7.17459883069e-05,324.134516573
P-222p079289377_VX-0p741891960581_LS-8p7279944479e-05_ST-335p366959171_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p50245704137e-06_H-0f2c16c7e5,55,CFG_MAIN,0.741891960581,False,0.0021,0.001212,0.00147029494583788,1.4282848526036853,False,222.079289377,8.7279944479e-05,335.366959171
P-225p007853492_VX-0p825221323097_LS-8p70957490335e-05_ST-338p940755161_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p84585064393e-06_H-c2c7cd9590,56,CFG_MAIN,0.825221323097,False,0.0021,0.001212,0.001321827211039944,1.5887099179535202,False,225.007853492,8.70957490335e-05,338.940755161
P-227p095146149_VX-0p485569900572_LS-4p61845747353e-05_ST-309p475761642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p93496630935e-06_H-c5f6eebf67,57,CFG_MAIN,0.485569900572,True,0.0021,0.001212,0.0022464324883297764,0.9348155401551154,True,227.095146149,4.61845747353e-05,309.475761642
P-230p324353521_VX-0p227660683076_LS-8p68191306555e-05_ST-386p564919231_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p11899592755e-05_H-0602c4a780,58,CFG_MAIN,0.227660683076,False,0.0021,0.001212,0.004791341154132697,0.4382906439856985,True,230.324353521,8.68191306555e-05,386.564919231
P-231p081894821_VX-0p850370876493_LS-5p5190986405e-05_ST-302p777484886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67296074733e-06_H-179e4a5e71,59,CFG_MAIN,0.850370876493,False,0.0021,0.001212,0.0012827344281809716,1.6371276500140264,False,231.081894821,5.5190986405e-05,302.777484886
P-233p106311211_VX-0p310101846937_LS-6p6327379673e-05_ST-336p786172861_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p55565684328e-05_H-add9572a86,60,CFG_MAIN,0.310101846937,False,0.0021,0.001212,0.003517554025473463,0.5970057559293178,True,233.106311211,6.6327379673e-05,336.786172861
P-233p11801175_VX-0p947725383123_LS-6p63357513021e-05_ST-310p062780041_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p09020934642e-06_H-1d842653b1,61,CFG_MAIN,0.947725383123,False,0.0021,0.001212,0.0011509663236047684,1.8245538178935643,False,233.11801175,6.63357513021e-05,310.062780041
P-233p918914285_VX-0p55009860706_LS-6p76633993968e-05_ST-363p156889773_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76955611431e-06_H-9f078c62f6,62,CFG_MAIN,0.55009860706,False,0.0021,0.001212,0.001982917218841503,1.0590457231628163,False,233.918914285,6.76633993968e-05,363.156889773
P-236p369825033_VX-0p606859942193_LS-6p45901770765e-05_ST-328p218563755_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p94931460723e-06_H-0e4c2fc094,63,CFG_MAIN,0.606859942193,False,0.0021,0.001212,0.0017974493357696237,1.1683222209436193,False,236.369825033,6.45901770765e-05,328.218563755
P-238p364831187_VX-0p683428278389_LS-5p30391716287e-05_ST-377p396343519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p05870792234e-06_H-1d842653b1,64,CFG_MAIN,0.683428278389,False,0.0021,0.001212,0.0015960709184748257,1.3157310089997247,False,238.364831187,5.30391716287e-05,377.396343519
P-240p986949999_VX-0p621810109213_LS-6p5255993688e-05_ST-389p31118835_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p75818940789e-06_H-377b770359,65,CFG_MAIN,0.621810109213,False,0.0021,0.001212,0.0017542333002282349,1.19710417065209,False,240.986949999,6.5255993688e-05,389.31118835
P-241p526098173_VX-0p390351171714_LS-7p60309896784e-05_ST-322p459160533_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p23584119956e-05_H-0e4c2fc094,66,CFG_MAIN,0.390351171714,False,0.0021,0.001212,0.0027944068803748856,0.7515011556650164,True,241.526098173,7.60309896784e-05,322.459160533
P-242p307622127_VX-0p748861384084_LS-6p09484851001e-05_ST-306p16946129_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p44194066558e-06_H-1d842653b1,67,CFG_MAIN,0.748861384084,False,0.0021,0.001212,0.001456611361172343,1.4417023345951596,False,242.307622127,6.09484851001e-05,306.16946129
