run_id,path,query_count,budget_count_16_80,initial_design_match,unique_queries,all_in_training_pool,no_test_query
w85__r06_f05,A0,80,65,True,True,True,True
w85__r06_f05,A1,80,65,True,True,True,True
w85__r07_f01,A0,80,65,True,True,True,True
w85__r07_f01,A1,80,65,True,True,True,True
w85__r07_f02,A0,80,65,True,True,True,True
w85__r07_f02,A1,80,65,True,True,True,True
w85__r07_f03,A0,80,65,True,True,True,True
w85__r07_f03,A1,80,65,True,True,True,True
w85__r07_f04,A0,80,65,True,True,True,True
w85__r07_f04,A1,80,65,True,True,True,True
w85__r07_f05,A0,80,65,True,True,True,True
w85__r07_f05,A1,80,65,True,True,True,True
w85__r08_f01,A0,80,65,True,True,True,True
w85__r08_f01,A1,80,65,True,True,True,True
w85__r08_f02,A0,80,65,True,True,True,True
w85__r08_f02,A1,80,65,True,True,True,True
w85__r08_f03,A0,80,65,True,True,True,True
w85__r08_f03,A1,80,65,True,True,True,True
w85__r08_f04,A0,80,65,True,True,True,True
w85__r08_f04,A1,80,65,True,True,True,True
w85__r08_f05,A0,80,65,True,True,True,True
w85__r08_f05,A1,80,65,True,True,True,True
w85__r09_f01,A0,80,65,True,True,True,True
w85__r09_f01,A1,80,65,True,True,True,True
w85__r09_f02,A0,80,65,True,True,True,True
w85__r09_f02,A1,80,65,True,True,True,True
w85__r09_f03,A0,80,65,True,True,True,True
w85__r09_f03,A1,80,65,True,True,True,True
w85__r09_f04,A0,80,65,True,True,True,True
w85__r09_f04,A1,80,65,True,True,True,True
w85__r09_f05,A0,80,65,True,True,True,True
w85__r09_f05,A1,80,65,True,True,True,True
w85__r10_f01,A0,80,65,True,True,True,True
w85__r10_f01,A1,80,65,True,True,True,True
w85__r10_f02,A0,80,65,True,True,True,True
w85__r10_f02,A1,80,65,True,True,True,True
w85__r10_f03,A0,80,65,True,True,True,True
w85__r10_f03,A1,80,65,True,True,True,True
w85__r10_f04,A0,80,65,True,True,True,True
w85__r10_f04,A1,80,65,True,True,True,True
w85__r10_f05,A0,80,65,True,True,True,True
w85__r10_f05,A1,80,65,True,True,True,True
w85__r11_f01,A0,80,65,True,True,True,True
w85__r11_f01,A1,80,65,True,True,True,True
w85__r11_f02,A0,80,65,True,True,True,True
w85__r11_f02,A1,80,65,True,True,True,True
w85__r11_f03,A0,80,65,True,True,True,True
w85__r11_f03,A1,80,65,True,True,True,True
w85__r11_f04,A0,80,65,True,True,True,True
w85__r11_f04,A1,80,65,True,True,True,True
w85__r11_f05,A0,80,65,True,True,True,True
w85__r11_f05,A1,80,65,True,True,True,True
w85__r12_f01,A0,80,65,True,True,True,True
w85__r12_f01,A1,80,65,True,True,True,True
w85__r12_f02,A0,80,65,True,True,True,True
w85__r12_f02,A1,80,65,True,True,True,True
w85__r12_f03,A0,80,65,True,True,True,True
w85__r12_f03,A1,80,65,True,True,True,True
w85__r12_f04,A0,80,65,True,True,True,True
w85__r12_f04,A1,80,65,True,True,True,True
w85__r12_f05,A0,80,65,True,True,True,True
w85__r12_f05,A1,80,65,True,True,True,True
w85__r13_f01,A0,80,65,True,True,True,True
w85__r13_f01,A1,80,65,True,True,True,True
w85__r13_f02,A0,80,65,True,True,True,True
w85__r13_f02,A1,80,65,True,True,True,True
w85__r13_f03,A0,80,65,True,True,True,True
w85__r13_f03,A1,80,65,True,True,True,True
w85__r13_f04,A0,80,65,True,True,True,True
w85__r13_f04,A1,80,65,True,True,True,True
w85__r13_f05,A0,80,65,True,True,True,True
w85__r13_f05,A1,80,65,True,True,True,True
w85__r14_f01,A0,80,65,True,True,True,True
w85__r14_f01,A1,80,65,True,True,True,True
w85__r14_f02,A0,80,65,True,True,True,True
w85__r14_f02,A1,80,65,True,True,True,True
w85__r14_f03,A0,80,65,True,True,True,True
w85__r14_f03,A1,80,65,True,True,True,True
w85__r14_f04,A0,80,65,True,True,True,True
w85__r14_f04,A1,80,65,True,True,True,True
w85__r14_f05,A0,80,65,True,True,True,True
w85__r14_f05,A1,80,65,True,True,True,True
w85__r15_f01,A0,80,65,True,True,True,True
w85__r15_f01,A1,80,65,True,True,True,True
w85__r15_f02,A0,80,65,True,True,True,True
w85__r15_f02,A1,80,65,True,True,True,True
w85__r15_f03,A0,80,65,True,True,True,True
w85__r15_f03,A1,80,65,True,True,True,True
w85__r15_f04,A0,80,65,True,True,True,True
w85__r15_f04,A1,80,65,True,True,True,True
w85__r15_f05,A0,80,65,True,True,True,True
w85__r15_f05,A1,80,65,True,True,True,True
w85__r16_f01,A0,80,65,True,True,True,True
w85__r16_f01,A1,80,65,True,True,True,True
w85__r16_f02,A0,80,65,True,True,True,True
w85__r16_f02,A1,80,65,True,True,True,True
w85__r16_f03,A0,80,65,True,True,True,True
w85__r16_f03,A1,80,65,True,True,True,True
w85__r16_f04,A0,80,65,True,True,True,True
w85__r16_f04,A1,80,65,True,True,True,True
w85__r16_f05,A0,80,65,True,True,True,True
w85__r16_f05,A1,80,65,True,True,True,True
w85__r17_f01,A0,80,65,True,True,True,True
w85__r17_f01,A1,80,65,True,True,True,True
w85__r17_f02,A0,80,65,True,True,True,True
w85__r17_f02,A1,80,65,True,True,True,True
w85__r17_f03,A0,80,65,True,True,True,True
w85__r17_f03,A1,80,65,True,True,True,True
w85__r17_f04,A0,80,65,True,True,True,True
w85__r17_f04,A1,80,65,True,True,True,True
w85__r17_f05,A0,80,65,True,True,True,True
w85__r17_f05,A1,80,65,True,True,True,True
w85__r18_f01,A0,80,65,True,True,True,True
w85__r18_f01,A1,80,65,True,True,True,True
w85__r18_f02,A0,80,65,True,True,True,True
w85__r18_f02,A1,80,65,True,True,True,True
w85__r18_f03,A0,80,65,True,True,True,True
w85__r18_f03,A1,80,65,True,True,True,True
w85__r18_f04,A0,80,65,True,True,True,True
w85__r18_f04,A1,80,65,True,True,True,True
w85__r18_f05,A0,80,65,True,True,True,True
w85__r18_f05,A1,80,65,True,True,True,True
w85__r19_f01,A0,80,65,True,True,True,True
w85__r19_f01,A1,80,65,True,True,True,True
w85__r19_f02,A0,80,65,True,True,True,True
w85__r19_f02,A1,80,65,True,True,True,True
w85__r19_f03,A0,80,65,True,True,True,True
w85__r19_f03,A1,80,65,True,True,True,True
w85__r19_f04,A0,80,65,True,True,True,True
w85__r19_f04,A1,80,65,True,True,True,True
w85__r19_f05,A0,80,65,True,True,True,True
w85__r19_f05,A1,80,65,True,True,True,True
w85__r20_f01,A0,80,65,True,True,True,True
w85__r20_f01,A1,80,65,True,True,True,True
w85__r20_f02,A0,80,65,True,True,True,True
w85__r20_f02,A1,80,65,True,True,True,True
w85__r20_f03,A0,80,65,True,True,True,True
w85__r20_f03,A1,80,65,True,True,True,True
w85__r20_f04,A0,80,65,True,True,True,True
w85__r20_f04,A1,80,65,True,True,True,True
w85__r20_f05,A0,80,65,True,True,True,True
w85__r20_f05,A1,80,65,True,True,True,True
