challenger,subset,metric,effect,mean,ci_low,ci_high,positive_repeat_blocks
M3_T2,B1_q30,roc_auc,MODEL,-0.04881684251602318,-0.05340301852590418,-0.044590518610132,0
M3_T2,B1_q30,roc_auc,PATH,-0.005726663300311241,-0.009607580145125205,-0.001876073423249846,4
M3_T2,B1_q30,pr_auc,TOTAL,-0.06699770806178351,-0.07775417735127378,-0.05624660316243646,0
M3_T2,B1_q30,pr_auc,MODEL,-0.06405662392957547,-0.07263962647623992,-0.05616013881079138,0
M3_T2,B1_q30,pr_auc,PATH,-0.002941084132208063,-0.008785643291313722,0.0028290371179157336,9
M3_T2,full81,accuracy,TOTAL,-0.019032600308641984,-0.021421754436728422,-0.016621334876543215,0
M3_T2,full81,accuracy,MODEL,-0.020536265432098764,-0.022540039062500006,-0.018674756462191328,0
M3_T2,full81,accuracy,PATH,0.0015036651234567795,-0.00031691261574076846,0.003183858989197549,14
M3_T2,full81,balanced_accuracy,TOTAL,-0.039523241392469446,-0.04415043100750306,-0.03469969393217555,0
M3_T2,full81,balanced_accuracy,MODEL,-0.03393501508791271,-0.037937267078139165,-0.03005984933982179,0
M3_T2,full81,balanced_accuracy,PATH,-0.005588226304556743,-0.010190558166957405,-0.001438900897425413,8
M3_T2,full81,keyhole_recall,TOTAL,-0.07161718750000005,-0.08042935267857147,-0.06253707217261907,0
M3_T2,full81,keyhole_recall,MODEL,-0.054940104166666684,-0.06291155598958338,-0.047125274367559526,0
M3_T2,full81,keyhole_recall,PATH,-0.01667708333333336,-0.025746354166666693,-0.008483807663690538,3
M3_T2,full81,roc_auc,TOTAL,-0.02316238065287739,-0.027333204445844344,-0.019315726059317244,0
M3_T2,full81,roc_auc,MODEL,-0.018401560918351958,-0.020581560261715637,-0.01642223564730128,0
M3_T2,full81,roc_auc,PATH,-0.004760819734525431,-0.00704670838221299,-0.0026959651674830763,3
M3_T2,full81,pr_auc,TOTAL,-0.047742626123303454,-0.05627950994793085,-0.0402426668230853,0
M3_T2,full81,pr_auc,MODEL,-0.0432746581355295,-0.04821308161432741,-0.03890321455636593,0
M3_T2,full81,pr_auc,PATH,-0.0044679679877739605,-0.008900929606977642,-0.0004167912670035243,9
M3_T3,B1_q20,accuracy,TOTAL,-0.03387867647058824,-0.04181560202205881,-0.026465418198529406,0
M3_T3,B1_q20,accuracy,MODEL,-0.021675091911764706,-0.0255859375,-0.017888327205882383,0
M3_T3,B1_q20,accuracy,PATH,-0.012203584558823529,-0.017148609834558813,-0.007490808823529418,2
M3_T3,B1_q20,balanced_accuracy,TOTAL,-0.0365874103110431,-0.04535471146962844,-0.028002842074375242,0
M3_T3,B1_q20,balanced_accuracy,MODEL,-0.02170229125258421,-0.0264764765900874,-0.016956921668555,0
M3_T3,B1_q20,balanced_accuracy,PATH,-0.01488511905845889,-0.020184994817465513,-0.00976708597663186,2
M3_T3,B1_q20,keyhole_recall,TOTAL,-0.04694720362103173,-0.06295775514632934,-0.030778432694692437,2
M3_T3,B1_q20,keyhole_recall,MODEL,-0.020064654637896823,-0.028014064825148798,-0.012530741954985112,2
M3_T3,B1_q20,keyhole_recall,PATH,-0.026882548983134906,-0.03764678703187004,-0.01626393074156744,3
M3_T3,B1_q20,roc_auc,TOTAL,-0.04022886857066547,-0.04909841913999633,-0.032493914754949955,0
M3_T3,B1_q20,roc_auc,MODEL,-0.03008010088869465,-0.03561310686925922,-0.02520820651516452,0
M3_T3,B1_q20,roc_auc,PATH,-0.01014876768197082,-0.013792599910397782,-0.006765239513091106,2
