budget,log_P_median,log_P_q25,log_P_q75,log_P_physics,log_VX_median,log_VX_q25,log_VX_q75,log_VX_physics,log_LS_median,log_LS_q25,log_LS_q75,log_LS_physics
50,1.0,1.0,1.0,1.0,-0.5394511341305066,-0.5739149887624444,-0.48609670934307314,-0.5,-1.4419171608591865,-1.5478354117770619,-1.3267548969974936,-1.5
51,1.0,1.0,1.0,1.0,-0.531365276388883,-0.5813089447609956,-0.49818933740234456,-0.5,-1.42881847811978,-1.536371143380132,-1.324852480598314,-1.5
52,1.0,1.0,1.0,1.0,-0.5318637593388663,-0.571854368187984,-0.49417747743942775,-0.5,-1.4406521484032653,-1.527388989484391,-1.3258751388380345,-1.5
53,1.0,1.0,1.0,1.0,-0.5301290569143022,-0.5660451242154756,-0.4926842180299297,-0.5,-1.4267154688942951,-1.5307687495664581,-1.3249171385058311,-1.5
54,1.0,1.0,1.0,1.0,-0.523867872813467,-0.5610257433839266,-0.49243490236064663,-0.5,-1.416965761030152,-1.5305237692652194,-1.3238992464789217,-1.5
55,1.0,1.0,1.0,1.0,-0.5264912097575654,-0.5658227376042754,-0.4900710809448172,-0.5,-1.4345034711183586,-1.5351807919562979,-1.3293797780139887,-1.5
56,1.0,1.0,1.0,1.0,-0.5238774221101645,-0.5606960680121738,-0.48852078996634285,-0.5,-1.4150060229158818,-1.5103154779795376,-1.3204092459823467,-1.5
57,1.0,1.0,1.0,1.0,-0.5144428916787316,-0.5572829012579903,-0.4845523058408438,-0.5,-1.414237883291559,-1.4920487612385556,-1.3312546408463164,-1.5
58,1.0,1.0,1.0,1.0,-0.5143285286367938,-0.5526595501013947,-0.48184276536519427,-0.5,-1.4130362757252581,-1.4917738957250315,-1.3290296059896343,-1.5
59,1.0,1.0,1.0,1.0,-0.5093284502555318,-0.5483133678455779,-0.47969622836446923,-0.5,-1.404820866529007,-1.5054933440815539,-1.321157626667499,-1.5
60,1.0,1.0,1.0,1.0,-0.5083704732211631,-0.548217907138012,-0.47656117985218915,-0.5,-1.406060993130133,-1.4992644473029828,-1.3299295888590443,-1.5
61,1.0,1.0,1.0,1.0,-0.5083208468245893,-0.5396328703244228,-0.47503944605084236,-0.5,-1.4032510314129383,-1.5019530402704073,-1.3275204672843475,-1.5
62,1.0,1.0,1.0,1.0,-0.5050685752767705,-0.5346702710144953,-0.46935087801125486,-0.5,-1.4126385083529756,-1.4993408543510982,-1.339065064928954,-1.5
63,1.0,1.0,1.0,1.0,-0.5054646500762936,-0.5308728290477168,-0.46896542388648144,-0.5,-1.4119168985238302,-1.5025144860184396,-1.3442782199013328,-1.5
64,1.0,1.0,1.0,1.0,-0.5008815222540711,-0.5289669830467981,-0.4689725742736312,-0.5,-1.4214880632557416,-1.507075070068706,-1.3421604078668394,-1.5
65,1.0,1.0,1.0,1.0,-0.49883657128312675,-0.5282848630407919,-0.4681575539084638,-0.5,-1.4195034044242711,-1.514194557414071,-1.3438394723689202,-1.5
66,1.0,1.0,1.0,1.0,-0.49845738844749765,-0.528004067751281,-0.46737245837787295,-0.5,-1.4233049979923869,-1.51695720565776,-1.342408894884804,-1.5
67,1.0,1.0,1.0,1.0,-0.4980042373000694,-0.5255342080817135,-0.46750320390527283,-0.5,-1.4128411177461009,-1.516580737558598,-1.3416902765243655,-1.5
68,1.0,1.0,1.0,1.0,-0.4981402917149662,-0.5260725395234449,-0.4679834914986892,-0.5,-1.4130764424743476,-1.511743562352484,-1.3431692664334374,-1.5
69,1.0,1.0,1.0,1.0,-0.4972381511048166,-0.520485222907886,-0.4669637918830506,-0.5,-1.4137450313081557,-1.5088323597465512,-1.3445387499937105,-1.5
70,1.0,1.0,1.0,1.0,-0.4946230975319137,-0.5197972616020955,-0.4642687258745013,-0.5,-1.4137109394257756,-1.5098609263111227,-1.3397454744648323,-1.5
