target,target_label,target_unit,model,model_label,n,target_median_abs_scale,relative_error_denominator_definition,MAE,relative_MAE_pct,RMSE,relative_RMSE_pct,R2
total_height,T0 total vertical melt-pool height,um,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,164,100.6287575,median(abs(y_observed)),12.649467568591833,12.570430046889758,21.849947280434435,21.713422507909268,0.9050870940133658
total_height,T0 total vertical melt-pool height,um,matern52_no_nugget,"Matérn 5/2, numerical jitter",164,100.6287575,median(abs(y_observed)),13.48916363613234,13.404879451216852,21.998568253265447,21.86111485403708,0.9037915282029394
total_height,T0 total vertical melt-pool height,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,164,100.6287575,median(abs(y_observed)),12.93548512109958,12.854660479236845,22.365222632442173,22.225478270903,0.9005577516363639
total_height,T0 total vertical melt-pool height,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,164,100.6287575,median(abs(y_observed)),12.60907849482216,12.53029333570193,22.40059116090844,22.260625806602487,0.9002429855323664
total_height,T0 total vertical melt-pool height,um,rbf_learned_nugget,RBF + learned nugget,164,100.6287575,median(abs(y_observed)),13.941672703824684,13.854561111742516,22.63673382693556,22.49529298514449,0.8981286615630804
total_height,T0 total vertical melt-pool height,um,rbf_no_nugget,"RBF, numerical jitter",164,100.6287575,median(abs(y_observed)),16.108987841613732,16.008334239458073,23.94045719711872,23.790870315693525,0.8860565503440518
total_height,T0 total vertical melt-pool height,um,polynomial_ridge_degree2,Polynomial Ridge degree 2,164,100.6287575,median(abs(y_observed)),23.229344053920045,23.084200412511347,34.24211279805777,34.02815820125551,0.7668982194996157
total_height,T0 total vertical melt-pool height,um,linear_ridge,Linear Ridge,164,100.6287575,median(abs(y_observed)),33.16768628483545,32.96044501477169,44.51666863191915,44.23851564690059,0.6060239720839524
total_height,T0 total vertical melt-pool height,um,training_mean,Training-fold mean,164,100.6287575,median(abs(y_observed)),54.23174547658238,53.89288988943581,71.35821894612587,70.91235221315921,-0.0123075764989277
width,T0 melt-pool width,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,164,166.656785,median(abs(y_observed)),2.349755500955552,1.4099368957318792,3.504704702797941,2.102947505436361,0.9907474426254076
width,T0 melt-pool width,um,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,164,166.656785,median(abs(y_observed)),2.3839715305945988,1.4304677307885176,3.5386774929904754,2.12333238817158,0.99056719423452
width,T0 melt-pool width,um,matern32_no_nugget,"Matérn 3/2, numerical jitter",164,166.656785,median(abs(y_observed)),2.3939888759,1.4364784943499298,3.591417046655564,2.1549779966387588,0.9902839307048408
width,T0 melt-pool width,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,164,166.656785,median(abs(y_observed)),2.439091072813832,1.463541417058916,3.6627189259153856,2.1977616608381023,0.989894306801962
width,T0 melt-pool width,um,rbf_learned_nugget,RBF + learned nugget,164,166.656785,median(abs(y_observed)),2.8297708388333387,1.6979631755366806,4.031865771729987,2.4192629011354003,0.9877546541785264
width,T0 melt-pool width,um,matern52_no_nugget,"Matérn 5/2, numerical jitter",164,166.656785,median(abs(y_observed)),2.7486776732050635,1.6493043911803908,4.148349250542879,2.4891571324521107,0.9870368797597506
width,T0 melt-pool width,um,polynomial_ridge_degree2,Polynomial Ridge degree 2,164,166.656785,median(abs(y_observed)),3.240672617346131,1.9445188609309432,4.299549416521656,2.5798826111530087,0.9860746918669192
width,T0 melt-pool width,um,rbf_no_nugget,"RBF, numerical jitter",164,166.656785,median(abs(y_observed)),4.118665537594771,2.4713458486522293,6.847691209572967,4.108858339954756,0.964677839455437
width,T0 melt-pool width,um,linear_ridge,Linear Ridge,164,166.656785,median(abs(y_observed)),8.705815906203123,5.223799262780164,10.81626349719481,6.490142898889362,0.9118720959355988
width,T0 melt-pool width,um,training_mean,Training-fold mean,164,166.656785,median(abs(y_observed)),29.26080666916056,17.557524987152824,36.658676511438856,21.99651007994596,-0.0123075764989273
