anisotropy_ratio,any_length_bound_hit,any_length_lower_bound_hit,any_length_upper_bound_hit,budget,extra_length,fallback_status,fold,interior_lml,l_LS,l_LS_lower_bound_hit,l_LS_upper_bound_hit,l_P,l_P_lower_bound_hit,l_P_upper_bound_hit,l_ST,l_ST_lower_bound_hit,l_ST_upper_bound_hit,l_VX,l_VX_lower_bound_hit,l_VX_upper_bound_hit,length_upper_bound,m0_lml,model,objective_value,optimizer_converged,optimizer_evaluations,optimizer_iterations,optimizer_message,path_family,posterior_iterations,repeat,residual_sd,residual_sd_any_bound_hit,residual_sd_lower_bound_hit,residual_sd_upper_bound_hit,rho,run_id,selected_boundary,selected_lml,selected_fit_optimizer_message,sigma2
,,,,19,1.0,none,1,-5.764007908272314,0.6977074379019741,,,100.00000000000004,,,0.6988945287164419,,,100.00000000000004,,,,-5.764007687709938,M1,5.764007687709938,True,37,33,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-5.764007687709938,optimizer_disabled,1.0
,,,,19,1.0,none,1,-5.764007919549716,0.6977074379019741,,,100.00000000000004,,,0.6988945287164419,,,100.00000000000004,,,,-5.764007687709938,M2,5.764007687709938,True,37,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-5.764007687709938,optimizer_disabled,1.0
1046.595667489567,True,False,True,20,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.09554788263156735,False,False,100.0,-7.355582684059217,M0,7.355582684059217,True,26,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-7.355582684059217,,
,,,,20,1.0,none,1,-7.355582949741638,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.09554788263156735,,,,-7.355582684059217,M1,7.355582684059217,True,23,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-7.355582684059217,optimizer_disabled,1.0
,,,,20,1.0,none,1,-7.355582976194047,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.09554788263156735,,,,-7.355582684059217,M2,7.355582684059217,True,22,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-7.355582684059217,optimizer_disabled,1.0
992.0077702931661,True,False,True,21,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.1008056620065055,False,False,100.0,-7.5608677832527365,M0,7.5608677832527365,True,37,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-7.5608677832527365,,
,,,,21,1.0,none,1,-7.560868066909505,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.1008056620065055,,,,-7.5608677832527365,M1,7.560867783252736,True,23,21,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-7.560867783252736,optimizer_disabled,1.0
,,,,21,1.0,none,1,-7.560868094495472,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.1008056620065055,,,,-7.5608677832527365,M2,7.560867783252736,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-7.560867783252736,optimizer_disabled,1.0
951.0442657671014,True,False,True,22,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.10514757682634382,False,False,100.0,-7.722682866604739,M0,7.722682866604739,True,33,26,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-7.722682866604739,,
,,,,22,1.0,none,1,-7.722683133029771,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.10514757682634382,,,,-7.722682866604739,M1,7.722682866604738,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-7.722682866604738,optimizer_disabled,1.0
,,,,22,1.0,none,1,-7.722683161709789,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.10514757682634382,,,,-7.722682866604739,M2,7.722682866604738,True,22,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-7.722682866604738,optimizer_disabled,1.0
1027.3771401359882,True,False,True,23,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.09733523950782437,False,False,100.0,-7.836983229823276,M0,7.836983229823276,True,29,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-7.836983229823276,,
,,,,23,1.0,none,1,-7.836983536733683,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.09733523950782437,,,,-7.836983229823276,M1,7.836983229823276,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-7.836983229823276,optimizer_disabled,1.0
,,,,23,1.0,none,1,-7.836983564579992,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.09733523950782437,,,,-7.836983229823276,M2,7.836983229823276,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-7.836983229823276,optimizer_disabled,1.0
986.3001243072695,True,False,True,24,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.10138901692852904,False,False,100.0,-7.931845735630725,M0,7.931845735630725,True,22,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-7.931845735630725,,
,,,,24,1.0,none,1,-7.931846043672832,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.10138901692852904,,,,-7.931845735630725,M1,7.931845735630725,True,26,23,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-7.931845735630725,optimizer_disabled,1.0
,,,,24,1.0,none,1,-7.931846074903868,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.10138901692852904,,,,-7.931845735630725,M2,7.931845735630725,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-7.931845735630725,optimizer_disabled,1.0
947.8549699829213,True,False,True,25,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.10550137222132398,False,False,100.0,-8.015047176004858,M0,8.015047176004858,True,24,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-8.015047176004858,,
,,,,25,1.0,none,1,-8.015047469700088,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.10550137222132398,,,,-8.015047176004858,M1,8.015047176004858,True,28,25,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-8.015047176004858,optimizer_disabled,1.0
,,,,25,1.0,none,1,-8.015047503606363,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.10550137222132398,,,,-8.015047176004858,M2,8.015047176004858,True,24,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-8.015047176004858,optimizer_disabled,1.0
884.8209228749075,True,False,True,26,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.11301721898153809,False,False,100.0,-8.182949333657596,M0,8.182949333657596,True,27,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-8.182949333657596,,
,,,,26,1.0,none,1,-8.182949630659163,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.11301721898153809,,,,-8.182949333657596,M1,8.182949333657598,True,24,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-8.182949333657598,optimizer_disabled,1.0
,,,,26,1.0,none,1,-8.182949659094927,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.11301721898153809,,,,-8.182949333657596,M2,8.182949333657598,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-8.182949333657598,optimizer_disabled,1.0
937.1264358111256,True,False,True,27,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.10670918691291159,False,False,100.0,-8.2652884091204,M0,8.2652884091204,True,26,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-8.2652884091204,,
,,,,27,1.0,none,1,-8.265288697568261,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.10670918691291159,,,,-8.2652884091204,M1,8.2652884091204,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-8.2652884091204,optimizer_disabled,1.0
,,,,27,1.0,none,1,-8.265288728538119,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.10670918691291159,,,,-8.2652884091204,M2,8.2652884091204,True,22,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-8.2652884091204,optimizer_disabled,1.0
957.5711855841772,True,False,True,28,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.10443087835709457,False,False,100.0,-8.31502965123042,M0,8.31502965123042,True,29,23,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-8.31502965123042,,
,,,,28,1.0,none,1,-8.315030012783623,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.10443087835709457,,,,-8.31502965123042,M1,8.315029651230418,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-8.315029651230418,optimizer_disabled,1.0
,,,,28,1.0,none,1,-8.315030038670002,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.10443087835709457,,,,-8.31502965123042,M2,8.315029651230418,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-8.315029651230418,optimizer_disabled,1.0
932.2650054044296,True,False,True,29,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.1072656373673692,False,False,100.0,-8.360231253888905,M0,8.360231253888905,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-8.360231253888905,,
,,,,29,1.0,none,1,-8.360231594743482,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.1072656373673692,,,,-8.360231253888905,M1,8.360231253888903,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-8.360231253888903,optimizer_disabled,1.0
,,,,29,1.0,none,1,-8.360231621345303,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.1072656373673692,,,,-8.360231253888905,M2,8.360231253888903,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-8.360231253888903,optimizer_disabled,1.0
716.6542366176254,True,False,True,30,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.1395373038914379,False,False,100.0,-11.102939964400898,M0,11.102939964400898,True,30,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-11.102939964400898,,
,,,,30,1.0,none,1,-11.102940625998443,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.1395373038914379,,,,-11.102939964400898,M1,11.102939964400898,True,32,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-11.102939964400898,optimizer_disabled,1.0
,,,,30,1.0,none,1,-11.102940658819316,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.1395373038914379,,,,-11.102939964400898,M2,11.102939964400898,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-11.102939964400898,optimizer_disabled,1.0
693.4396093679345,True,False,True,31,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.14420866453121903,False,False,100.0,-11.167727811793261,M0,11.167727811793261,True,26,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-11.167727811793261,,
,,,,31,1.0,none,1,-11.167728466693898,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.14420866453121903,,,,-11.167727811793261,M1,11.167727811793263,True,21,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-11.167727811793263,optimizer_disabled,1.0
,,,,31,1.0,none,1,-11.16772849749553,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.14420866453121903,,,,-11.167727811793261,M2,11.167727811793263,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-11.167727811793263,optimizer_disabled,1.0
651.8400929520204,True,False,True,32,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.15341185833955856,False,False,100.0,-11.270117577809177,M0,11.270117577809177,True,37,26,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-11.270117577809177,,
,,,,32,1.0,none,1,-11.27011820155842,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.15341185833955856,,,,-11.270117577809177,M1,11.270117577809177,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-11.270117577809177,optimizer_disabled,1.0
,,,,32,1.0,none,1,-11.270118233684347,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.15341185833955856,,,,-11.270117577809177,M2,11.270117577809177,True,23,21,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-11.270117577809177,optimizer_disabled,1.0
588.1415777866589,True,False,True,33,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.17002708833530863,False,False,100.0,-11.36441680222349,M0,11.36441680222349,True,28,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-11.36441680222349,,
,,,,33,1.0,none,1,-11.364417375764749,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.17002708833530863,,,,-11.36441680222349,M1,11.36441680222349,True,24,22,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-11.36441680222349,optimizer_disabled,1.0
,,,,33,1.0,none,1,-11.364417401167666,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.17002708833530863,,,,-11.36441680222349,M2,11.36441680222349,True,24,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-11.36441680222349,optimizer_disabled,1.0
366.5861645837087,True,False,True,34,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.27278716345871634,False,False,100.0,-13.69935994494459,M0,13.69935994494459,True,31,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-13.69935994494459,,
,,,,34,1.0,none,1,-13.69936123746852,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.27278716345871634,,,,-13.69935994494459,M1,13.699359944944593,True,24,21,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-13.699359944944593,optimizer_disabled,1.0
,,,,34,1.0,none,1,-13.699361229437454,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.27278716345871634,,,,-13.69935994494459,M2,13.699359944944593,True,28,26,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-13.699359944944593,optimizer_disabled,1.0
394.74183670562945,True,False,True,35,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.25333012795036713,False,False,100.0,-13.947681634044487,M0,13.947681634044487,True,36,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-13.947681634044487,,
,,,,35,1.0,none,1,-13.947682759409599,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.25333012795036713,,,,-13.947681634044487,M1,13.947681634044487,True,29,25,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-13.947681634044487,optimizer_disabled,1.0
,,,,35,1.0,none,1,-13.947682754013439,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.25333012795036713,,,,-13.947681634044487,M2,13.947681634044487,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-13.947681634044487,optimizer_disabled,1.0
360.4485747029099,True,False,True,36,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.27743208606781805,False,False,100.0,-14.057088668823472,M0,14.057088668823472,True,42,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-14.057088668823472,,
,,,,36,1.0,none,1,-14.057089772075631,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.27743208606781805,,,,-14.057088668823472,M1,14.057088668823468,True,31,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-14.057088668823468,optimizer_disabled,1.0
,,,,36,1.0,none,1,-14.057089766754066,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.27743208606781805,,,,-14.057088668823472,M2,14.057088668823468,True,26,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-14.057088668823468,optimizer_disabled,1.0
383.40723102328496,True,False,True,37,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.26081928536691285,False,False,100.0,-14.145483539195856,M0,14.145483539195856,True,33,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-14.145483539195856,,
,,,,37,1.0,none,1,-14.145484661524598,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.26081928536691285,,,,-14.145483539195856,M1,14.145483539195856,True,31,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-14.145483539195856,optimizer_disabled,1.0
,,,,37,1.0,none,1,-14.145484655662237,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.26081928536691285,,,,-14.145483539195856,M2,14.145483539195856,True,32,30,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-14.145483539195856,optimizer_disabled,1.0
362.98155132049936,True,False,True,38,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.2754960951492097,False,False,100.0,-14.215920603034284,M0,14.215920603034284,True,30,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-14.215920603034284,,
,,,,38,1.0,none,1,-14.215921711773484,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.2754960951492097,,,,-14.215920603034284,M1,14.215920603034283,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-14.215920603034283,optimizer_disabled,1.0
,,,,38,1.0,none,1,-14.21592170653533,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.2754960951492097,,,,-14.215920603034284,M2,14.215920603034283,True,23,20,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-14.215920603034283,optimizer_disabled,1.0
354.3426510271652,True,False,True,39,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.2822127105222049,False,False,100.0,-14.276856330084366,M0,14.276856330084366,True,35,23,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-14.276856330084366,,
