budget,fold,frobenius_norm,max_abs_cross_covariance,min_eigenvalue,model,path_family,repeat,run_id
40,2,5.55122397162425,0.915569165567379,0.0020683249311102864,M2,early8__coverage_then_margin_B40,61,w85__r61_f02
16,3,5.77577680049457,0.8812597920805801,0.0006456961853535327,M0,early8__coverage_then_margin_B40,61,w85__r61_f03
16,3,5.77577680049457,0.8812597920805801,0.0006456961853534634,M1,early8__coverage_then_margin_B40,61,w85__r61_f03
16,3,5.77577680049457,0.8812597920805801,0.0006456961853534634,M2,early8__coverage_then_margin_B40,61,w85__r61_f03
28,3,5.712363730107577,0.7882988793517139,0.0009353829263131875,M0,early8__coverage_then_margin_B40,61,w85__r61_f03
28,3,5.712363730107576,0.7882988793517139,0.0009353829263131614,M1,early8__coverage_then_margin_B40,61,w85__r61_f03
28,3,5.712363730107576,0.7882988793517139,0.0009353829263131614,M2,early8__coverage_then_margin_B40,61,w85__r61_f03
40,3,2.5471477915167577,0.3465868674977617,5.808516637940816e-05,M0,early8__coverage_then_margin_B40,61,w85__r61_f03
40,3,3.6727158984219916,0.4856908242684719,0.0006834751737984145,M1,early8__coverage_then_margin_B40,61,w85__r61_f03
40,3,3.672163602336756,0.485391570098997,0.0007010839176712516,M2,early8__coverage_then_margin_B40,61,w85__r61_f03
16,4,0.010868972677829093,0.001960832248421236,0.000470348240506927,M0,early8__coverage_then_margin_B40,61,w85__r61_f04
16,4,0.010868972677829093,0.001960832248421236,0.000470348240506927,M1,early8__coverage_then_margin_B40,61,w85__r61_f04
16,4,0.010868972677829093,0.001960832248421236,0.000470348240506927,M2,early8__coverage_then_margin_B40,61,w85__r61_f04
28,4,0.010868671165020062,0.001960544059902834,0.0004709755537140905,M0,early8__coverage_then_margin_B40,61,w85__r61_f04
28,4,0.010937049735793205,0.0019424701457331848,0.00047363203156944664,M1,early8__coverage_then_margin_B40,61,w85__r61_f04
28,4,0.010868671165020062,0.001960544059902834,0.00047097555371409107,M2,early8__coverage_then_margin_B40,61,w85__r61_f04
40,4,0.010871083772075787,0.0019608527867192695,0.00047044301914682846,M0,early8__coverage_then_margin_B40,61,w85__r61_f04
40,4,0.010938847783965583,0.0019427171000402411,0.00047319364845677933,M1,early8__coverage_then_margin_B40,61,w85__r61_f04
40,4,0.010871083772075787,0.0019608527867192695,0.00047044301914682705,M2,early8__coverage_then_margin_B40,61,w85__r61_f04
16,5,6.476299449920339,0.9718538559330356,0.008906899026568969,M0,early8__coverage_then_margin_B40,61,w85__r61_f05
16,5,6.476299449920339,0.9718538559330356,0.008906899026568615,M1,early8__coverage_then_margin_B40,61,w85__r61_f05
16,5,6.476299449920339,0.9718538559330356,0.008906899026568615,M2,early8__coverage_then_margin_B40,61,w85__r61_f05
28,5,4.137035999968439,0.8237970025341669,0.0264441055112094,M0,early8__coverage_then_margin_B40,61,w85__r61_f05
28,5,4.137035999968439,0.8237970025341671,0.026444105511209265,M1,early8__coverage_then_margin_B40,61,w85__r61_f05
28,5,4.137035999968439,0.8237970025341671,0.026444105511209265,M2,early8__coverage_then_margin_B40,61,w85__r61_f05
40,5,3.763924932425317,0.6994736625914039,0.017181659595201855,M0,early8__coverage_then_margin_B40,61,w85__r61_f05
40,5,3.7639249324253172,0.6994736625914041,0.01718165959520174,M1,early8__coverage_then_margin_B40,61,w85__r61_f05
40,5,3.7639249324253172,0.6994736625914041,0.01718165959520174,M2,early8__coverage_then_margin_B40,61,w85__r61_f05
16,1,5.1076065952764775,0.9855357260443406,0.000591804307447648,M0,early8__coverage_then_margin_B40,62,w85__r62_f01
16,1,5.1076065952764775,0.9855357260443406,0.0005918043074472101,M1,early8__coverage_then_margin_B40,62,w85__r62_f01
16,1,5.1076065952764775,0.9855357260443406,0.0005918043074472101,M2,early8__coverage_then_margin_B40,62,w85__r62_f01
28,1,4.84796790203038,0.9852642467754359,0.0005983699771339727,M0,early8__coverage_then_margin_B40,62,w85__r62_f01
28,1,4.84796790203038,0.9852642467754359,0.0005983699771343805,M1,early8__coverage_then_margin_B40,62,w85__r62_f01
28,1,4.84796790203038,0.9852642467754359,0.0005983699771343805,M2,early8__coverage_then_margin_B40,62,w85__r62_f01
40,1,4.851681524506895,0.9385832963961304,0.0005456477826617282,M0,early8__coverage_then_margin_B40,62,w85__r62_f01
40,1,4.851681524506895,0.9385832963961306,0.0005456477826615376,M1,early8__coverage_then_margin_B40,62,w85__r62_f01
40,1,4.851681524506895,0.9385832963961306,0.0005456477826615376,M2,early8__coverage_then_margin_B40,62,w85__r62_f01
16,2,6.531203335408239,0.9699953203813529,0.003757605601777579,M0,early8__coverage_then_margin_B40,62,w85__r62_f02
16,2,6.531203335408239,0.9699953203813528,0.0037576056017774003,M1,early8__coverage_then_margin_B40,62,w85__r62_f02
16,2,6.531203335408239,0.9699953203813528,0.0037576056017774003,M2,early8__coverage_then_margin_B40,62,w85__r62_f02
28,2,2.591917038556013,0.4151030261180821,0.0019213148772899142,M0,early8__coverage_then_margin_B40,62,w85__r62_f02
28,2,2.591917038556013,0.41510302611808203,0.0019213148772898236,M1,early8__coverage_then_margin_B40,62,w85__r62_f02
28,2,2.591917038556013,0.41510302611808203,0.0019213148772898236,M2,early8__coverage_then_margin_B40,62,w85__r62_f02
40,2,4.330100752158254,0.7659332293348667,0.0014674150626147043,M0,early8__coverage_then_margin_B40,62,w85__r62_f02
40,2,4.330100752158254,0.7659332293348667,0.0014674150626144294,M1,early8__coverage_then_margin_B40,62,w85__r62_f02
40,2,4.330100752158254,0.7659332293348667,0.0014674150626144294,M2,early8__coverage_then_margin_B40,62,w85__r62_f02
16,3,0.010155076683649084,0.0015506535057999097,0.0006727465264121301,M0,early8__coverage_then_margin_B40,62,w85__r62_f03
16,3,0.010155076683649084,0.0015506535057999101,0.0006727465264121301,M1,early8__coverage_then_margin_B40,62,w85__r62_f03
16,3,0.010155076683649084,0.0015506535057999101,0.0006727465264121301,M2,early8__coverage_then_margin_B40,62,w85__r62_f03
28,3,4.125729980193245,0.8106239200353604,0.028034939149907276,M0,early8__coverage_then_margin_B40,62,w85__r62_f03
28,3,4.125729980193245,0.8106239200353602,0.028034939149907543,M1,early8__coverage_then_margin_B40,62,w85__r62_f03
28,3,4.125729980193245,0.8106239200353602,0.028034939149907543,M2,early8__coverage_then_margin_B40,62,w85__r62_f03
40,3,3.6715493294335575,0.747757188797197,0.03761930012525139,M0,early8__coverage_then_margin_B40,62,w85__r62_f03
40,3,3.6715493294335575,0.747757188797197,0.037619300125251554,M1,early8__coverage_then_margin_B40,62,w85__r62_f03
40,3,3.6715493294335575,0.747757188797197,0.037619300125251554,M2,early8__coverage_then_margin_B40,62,w85__r62_f03
16,4,6.896954903678182,0.9304180737693346,0.0017183670543092322,M0,early8__coverage_then_margin_B40,62,w85__r62_f04
16,4,6.896954903678182,0.9304180737693346,0.0017183670543091626,M1,early8__coverage_then_margin_B40,62,w85__r62_f04
16,4,6.896954903678182,0.9304180737693346,0.0017183670543091626,M2,early8__coverage_then_margin_B40,62,w85__r62_f04
28,4,1.301283479958996,0.27642278386079233,0.036171121706329676,M0,early8__coverage_then_margin_B40,62,w85__r62_f04
28,4,1.3012834799589956,0.2764227838607921,0.036171121706329835,M1,early8__coverage_then_margin_B40,62,w85__r62_f04
28,4,1.3012834799589956,0.2764227838607921,0.036171121706329835,M2,early8__coverage_then_margin_B40,62,w85__r62_f04
40,4,4.4572023975684845,0.705975274851292,0.00341018039406067,M0,early8__coverage_then_margin_B40,62,w85__r62_f04
40,4,4.381306058708159,0.6941849574501933,0.0033830863243321093,M1,early8__coverage_then_margin_B40,62,w85__r62_f04
40,4,4.4572023975684845,0.7059752748512921,0.0034101803940603374,M2,early8__coverage_then_margin_B40,62,w85__r62_f04
16,5,0.011371814114791417,0.001965091241764733,0.0004613006083466783,M0,early8__coverage_then_margin_B40,62,w85__r62_f05
16,5,0.011371814114791417,0.0019650912417647336,0.0004613006083466781,M1,early8__coverage_then_margin_B40,62,w85__r62_f05
16,5,0.011371814114791417,0.0019650912417647336,0.0004613006083466781,M2,early8__coverage_then_margin_B40,62,w85__r62_f05
28,5,4.453861795840952,0.7721757729387002,0.0005623639026207311,M0,early8__coverage_then_margin_B40,62,w85__r62_f05
28,5,4.453861795840952,0.7721757729387002,0.0005623639026208889,M1,early8__coverage_then_margin_B40,62,w85__r62_f05
28,5,4.453861795840952,0.7721757729387002,0.0005623639026208889,M2,early8__coverage_then_margin_B40,62,w85__r62_f05
40,5,4.288505604832371,0.711626817528591,0.001859986963777273,M0,early8__coverage_then_margin_B40,62,w85__r62_f05
40,5,4.288505604832371,0.7116268175285911,0.0018599869637779911,M1,early8__coverage_then_margin_B40,62,w85__r62_f05
40,5,4.288505604832371,0.7116268175285911,0.0018599869637779911,M2,early8__coverage_then_margin_B40,62,w85__r62_f05
16,1,2.8063554076068598,0.5470990759751215,0.10091833041806036,M0,early8__coverage_then_margin_B40,63,w85__r63_f01
16,1,2.8063554076068598,0.5470990759751214,0.10091833041805998,M1,early8__coverage_then_margin_B40,63,w85__r63_f01
16,1,2.8063554076068598,0.5470990759751214,0.10091833041805998,M2,early8__coverage_then_margin_B40,63,w85__r63_f01
28,1,5.19772817653574,0.9514502392067637,0.04493957606670804,M0,early8__coverage_then_margin_B40,63,w85__r63_f01
28,1,5.19772817653574,0.9514502392067636,0.04493957606670787,M1,early8__coverage_then_margin_B40,63,w85__r63_f01
28,1,5.19772817653574,0.9514502392067636,0.04493957606670787,M2,early8__coverage_then_margin_B40,63,w85__r63_f01
40,1,5.720286949660781,0.9691102957906361,0.018459789754241986,M0,early8__coverage_then_margin_B40,63,w85__r63_f01
40,1,5.720286949660781,0.9691102957906359,0.01845978975424231,M1,early8__coverage_then_margin_B40,63,w85__r63_f01
40,1,5.720286949660781,0.9691102957906359,0.01845978975424231,M2,early8__coverage_then_margin_B40,63,w85__r63_f01
16,2,1.3498890076822099,0.2507296987963089,0.12421851439953915,M0,early8__coverage_then_margin_B40,63,w85__r63_f02
16,2,3.3331605484602025,0.6030991404960845,0.0710827653354117,M1,early8__coverage_then_margin_B40,63,w85__r63_f02
16,2,2.0842313549752483,0.3890506387435756,0.10277510629530132,M2,early8__coverage_then_margin_B40,63,w85__r63_f02
28,2,4.191492832256737,0.9390444688659859,0.004895354651502491,M0,early8__coverage_then_margin_B40,63,w85__r63_f02
28,2,4.191492832256737,0.9390444688659859,0.004895354651502957,M1,early8__coverage_then_margin_B40,63,w85__r63_f02
28,2,4.191492832256737,0.9390444688659859,0.004895354651502957,M2,early8__coverage_then_margin_B40,63,w85__r63_f02
40,2,3.4155724788301933,0.8747155819228352,0.11773691782276463,M0,early8__coverage_then_margin_B40,63,w85__r63_f02
40,2,3.4155724788301938,0.8747155819228352,0.11773691782276396,M1,early8__coverage_then_margin_B40,63,w85__r63_f02
40,2,3.4155724788301938,0.8747155819228352,0.11773691782276396,M2,early8__coverage_then_margin_B40,63,w85__r63_f02
16,3,4.767004963616204,0.8925477445103457,0.016661008573774,M0,early8__coverage_then_margin_B40,63,w85__r63_f03
16,3,4.767004963616204,0.8925477445103458,0.016661008573773776,M1,early8__coverage_then_margin_B40,63,w85__r63_f03
16,3,4.767004963616204,0.8925477445103458,0.016661008573773776,M2,early8__coverage_then_margin_B40,63,w85__r63_f03
28,3,4.5251926897964,0.8211626447422977,0.009129827562019731,M0,early8__coverage_then_margin_B40,63,w85__r63_f03
28,3,4.5251926897964,0.8211626447422976,0.00912982756201994,M1,early8__coverage_then_margin_B40,63,w85__r63_f03
28,3,4.5251926897964,0.8211626447422976,0.00912982756201994,M2,early8__coverage_then_margin_B40,63,w85__r63_f03
40,3,3.3346029795650955,0.6409643221255754,0.0055690915266734,M0,early8__coverage_then_margin_B40,63,w85__r63_f03
40,3,3.334602979565096,0.6409643221255753,0.005569091526673441,M1,early8__coverage_then_margin_B40,63,w85__r63_f03
40,3,3.334602979565096,0.6409643221255753,0.005569091526673441,M2,early8__coverage_then_margin_B40,63,w85__r63_f03
16,4,0.8339858524743945,0.1586110962598367,0.006633440440326133,M0,early8__coverage_then_margin_B40,63,w85__r63_f04
16,4,4.614938375064693,0.8518688410837307,9.397879931053711e-05,M1,early8__coverage_then_margin_B40,63,w85__r63_f04
16,4,4.369344407140197,0.7688918372454204,0.00016038239126544914,M2,early8__coverage_then_margin_B40,63,w85__r63_f04
28,4,4.273648650629071,0.9985382385970004,0.001165065726488566,M0,early8__coverage_then_margin_B40,63,w85__r63_f04
28,4,4.273648650629071,0.9985382385970003,0.0011650657264890465,M1,early8__coverage_then_margin_B40,63,w85__r63_f04
28,4,4.273648650629071,0.9985382385970003,0.0011650657264890465,M2,early8__coverage_then_margin_B40,63,w85__r63_f04
40,4,4.246185030508057,0.8068275056225434,0.10488238419744228,M0,early8__coverage_then_margin_B40,63,w85__r63_f04
40,4,4.662458312796472,0.9136009144124808,0.0559155921699066,M1,early8__coverage_then_margin_B40,63,w85__r63_f04
40,4,4.263861447605223,0.7689221105867382,0.13182096898908,M2,early8__coverage_then_margin_B40,63,w85__r63_f04
16,5,6.755062940785975,0.9483003170988792,0.00020258814135603047,M0,early8__coverage_then_margin_B40,63,w85__r63_f05
16,5,6.755062940785974,0.9483003170988791,0.0002025881413558949,M1,early8__coverage_then_margin_B40,63,w85__r63_f05
16,5,6.755062940785974,0.9483003170988791,0.0002025881413558949,M2,early8__coverage_then_margin_B40,63,w85__r63_f05
28,5,5.262930003271553,0.7793691382087851,0.0007967363052731436,M0,early8__coverage_then_margin_B40,63,w85__r63_f05
28,5,5.262930003271553,0.7793691382087851,0.0007967363052723844,M1,early8__coverage_then_margin_B40,63,w85__r63_f05
28,5,5.262930003271553,0.7793691382087851,0.0007967363052723844,M2,early8__coverage_then_margin_B40,63,w85__r63_f05
40,5,4.093291427834412,0.6474698046368036,0.0003231691154707739,M0,early8__coverage_then_margin_B40,63,w85__r63_f05
40,5,4.093291427834413,0.6474698046368037,0.0003231691154705052,M1,early8__coverage_then_margin_B40,63,w85__r63_f05
40,5,4.093291427834413,0.6474698046368037,0.0003231691154705052,M2,early8__coverage_then_margin_B40,63,w85__r63_f05
16,1,0.011223319944394038,0.0019325370229219564,0.00032334262266920673,M0,early8__coverage_then_margin_B40,64,w85__r64_f01
16,1,0.011270562268982423,0.0018909784460770188,0.0003054894177669807,M1,early8__coverage_then_margin_B40,64,w85__r64_f01
16,1,0.011223319944394036,0.0019325370229219569,0.00032334262266920673,M2,early8__coverage_then_margin_B40,64,w85__r64_f01
28,1,4.42935544620974,0.9769958402706871,0.0005903930393049923,M0,early8__coverage_then_margin_B40,64,w85__r64_f01
28,1,4.42935544620974,0.9769958402706872,0.0005903930393052839,M1,early8__coverage_then_margin_B40,64,w85__r64_f01
28,1,4.42935544620974,0.9769958402706872,0.0005903930393052839,M2,early8__coverage_then_margin_B40,64,w85__r64_f01
40,1,3.907468297760422,0.8750035645704801,0.0903595596489246,M0,early8__coverage_then_margin_B40,64,w85__r64_f01
40,1,3.907468297760422,0.8750035645704801,0.09035955964892484,M1,early8__coverage_then_margin_B40,64,w85__r64_f01
40,1,3.907468297760422,0.8750035645704801,0.09035955964892484,M2,early8__coverage_then_margin_B40,64,w85__r64_f01
16,2,3.2740312589435807,0.49923692508332557,0.00982799655633364,M0,early8__coverage_then_margin_B40,64,w85__r64_f02
16,2,3.2740312589435807,0.4992369250833255,0.009827996556333771,M1,early8__coverage_then_margin_B40,64,w85__r64_f02
16,2,3.2740312589435807,0.4992369250833255,0.009827996556333771,M2,early8__coverage_then_margin_B40,64,w85__r64_f02
28,2,0.009927668031472013,0.0021889807976655795,0.0003071528180222182,M0,early8__coverage_then_margin_B40,64,w85__r64_f02
28,2,0.009927668031472013,0.00218898079766558,0.0003071528180222183,M1,early8__coverage_then_margin_B40,64,w85__r64_f02
28,2,0.009927668031472013,0.00218898079766558,0.0003071528180222183,M2,early8__coverage_then_margin_B40,64,w85__r64_f02
40,2,0.015394383165263209,0.0024516501579072386,1.9117123862615565e-05,M0,early8__coverage_then_margin_B40,64,w85__r64_f02
40,2,0.015394383165263209,0.0024516501579072386,1.9117123862616263e-05,M1,early8__coverage_then_margin_B40,64,w85__r64_f02
40,2,0.015394383165263209,0.0024516501579072386,1.9117123862616263e-05,M2,early8__coverage_then_margin_B40,64,w85__r64_f02
16,3,4.743462228124011,0.854739272882008,0.0826397008935124,M0,early8__coverage_then_margin_B40,64,w85__r64_f03
16,3,4.6752055250270645,0.7562497137560017,0.07425880747791426,M1,early8__coverage_then_margin_B40,64,w85__r64_f03
16,3,4.198804718181037,0.698404912377882,0.16764692157128602,M2,early8__coverage_then_margin_B40,64,w85__r64_f03
28,3,4.12983059975608,0.6690521362500044,0.00045317627496799543,M0,early8__coverage_then_margin_B40,64,w85__r64_f03
28,3,4.129830599756079,0.6690521362500044,0.0004531762749680438,M1,early8__coverage_then_margin_B40,64,w85__r64_f03
28,3,4.129830599756079,0.6690521362500044,0.0004531762749680438,M2,early8__coverage_then_margin_B40,64,w85__r64_f03
40,3,4.382898839606941,0.8949709962007486,0.05966554072112352,M0,early8__coverage_then_margin_B40,64,w85__r64_f03
40,3,4.382898839606941,0.8949709962007486,0.05966554072112319,M1,early8__coverage_then_margin_B40,64,w85__r64_f03
40,3,4.382898839606941,0.8949709962007486,0.05966554072112319,M2,early8__coverage_then_margin_B40,64,w85__r64_f03
16,4,0.6699927595841454,0.01857130575449471,0.1746969963685209,M0,early8__coverage_then_margin_B40,64,w85__r64_f04
16,4,4.759431448343715,0.9478248532365983,0.02832730526064766,M1,early8__coverage_then_margin_B40,64,w85__r64_f04
16,4,2.605602160557595,0.40892093853357303,0.04443248452066825,M2,early8__coverage_then_margin_B40,64,w85__r64_f04
28,4,2.5003723281205392,0.4577125888794999,0.1262035906272535,M0,early8__coverage_then_margin_B40,64,w85__r64_f04
28,4,2.5003723281205392,0.4577125888794999,0.12620359062725328,M1,early8__coverage_then_margin_B40,64,w85__r64_f04
28,4,2.5003723281205392,0.4577125888794999,0.12620359062725328,M2,early8__coverage_then_margin_B40,64,w85__r64_f04
40,4,3.179242984821404,0.6107511457650705,0.02524373575476684,M0,early8__coverage_then_margin_B40,64,w85__r64_f04
40,4,3.179242984821404,0.6107511457650705,0.025243735754766468,M1,early8__coverage_then_margin_B40,64,w85__r64_f04
40,4,3.1795174333284195,0.6116475025025003,0.025653637571400854,M2,early8__coverage_then_margin_B40,64,w85__r64_f04
16,5,6.64142476755019,0.9769618556205987,0.004487609071295899,M0,early8__coverage_then_margin_B40,64,w85__r64_f05
16,5,6.641424767550191,0.9769618556205987,0.0044876090712960654,M1,early8__coverage_then_margin_B40,64,w85__r64_f05
16,5,6.641424767550191,0.9769618556205987,0.0044876090712960654,M2,early8__coverage_then_margin_B40,64,w85__r64_f05
28,5,3.4770198432716346,0.5750769150913453,0.3357958675976485,M0,early8__coverage_then_margin_B40,64,w85__r64_f05
28,5,3.477019843271635,0.5750769150913453,0.33579586759764807,M1,early8__coverage_then_margin_B40,64,w85__r64_f05
28,5,3.477019843271635,0.5750769150913453,0.33579586759764807,M2,early8__coverage_then_margin_B40,64,w85__r64_f05
40,5,3.3681488261371717,0.6213998263231346,0.2208306058896958,M0,early8__coverage_then_margin_B40,64,w85__r64_f05
40,5,3.3681488261371717,0.6213998263231345,0.22083060588969594,M1,early8__coverage_then_margin_B40,64,w85__r64_f05
40,5,3.3681488261371717,0.6213998263231345,0.22083060588969594,M2,early8__coverage_then_margin_B40,64,w85__r64_f05
16,1,4.144408393583269,0.8836397212873347,0.07772288424529078,M0,early8__coverage_then_margin_B40,65,w85__r65_f01
16,1,4.14440839358327,0.8836397212873349,0.077722884245291,M1,early8__coverage_then_margin_B40,65,w85__r65_f01
16,1,4.14440839358327,0.8836397212873349,0.077722884245291,M2,early8__coverage_then_margin_B40,65,w85__r65_f01
28,1,3.597007034019666,0.6972438085100581,0.012438968985222077,M0,early8__coverage_then_margin_B40,65,w85__r65_f01
28,1,3.5970070340196654,0.6972438085100578,0.01243896898522253,M1,early8__coverage_then_margin_B40,65,w85__r65_f01
28,1,3.5970070340196654,0.6972438085100578,0.01243896898522253,M2,early8__coverage_then_margin_B40,65,w85__r65_f01
40,1,3.202981079016187,0.6446128296425475,0.014455892734380258,M0,early8__coverage_then_margin_B40,65,w85__r65_f01
40,1,3.202981079016187,0.6446128296425477,0.014455892734379942,M1,early8__coverage_then_margin_B40,65,w85__r65_f01
40,1,3.202981079016187,0.6446128296425477,0.014455892734379942,M2,early8__coverage_then_margin_B40,65,w85__r65_f01
16,2,0.010899960525591298,0.0023953743539905626,0.00010285164811006054,M0,early8__coverage_then_margin_B40,65,w85__r65_f02
16,2,0.010899960525591298,0.0023953743539905626,0.00010285164811006194,M1,early8__coverage_then_margin_B40,65,w85__r65_f02
16,2,0.010907999136860842,0.002405170242185866,9.292597727969594e-05,M2,early8__coverage_then_margin_B40,65,w85__r65_f02
28,2,6.266961729312851,0.9600045556299112,0.004314436337528892,M0,early8__coverage_then_margin_B40,65,w85__r65_f02
28,2,6.266961729312851,0.9600045556299109,0.004314436337529262,M1,early8__coverage_then_margin_B40,65,w85__r65_f02
28,2,6.266961729312851,0.9600045556299109,0.004314436337529262,M2,early8__coverage_then_margin_B40,65,w85__r65_f02
40,2,6.123588431719017,0.9538727379058818,0.004355383690820713,M0,early8__coverage_then_margin_B40,65,w85__r65_f02
40,2,6.123588431719017,0.953872737905882,0.004355383690820182,M1,early8__coverage_then_margin_B40,65,w85__r65_f02
40,2,6.123588431719017,0.953872737905882,0.004355383690820182,M2,early8__coverage_then_margin_B40,65,w85__r65_f02
16,3,4.854093304471436,0.860956613525619,0.011822181272415008,M0,early8__coverage_then_margin_B40,65,w85__r65_f03
16,3,3.709323861697306,0.7928768550685376,0.0011756387793886345,M1,early8__coverage_then_margin_B40,65,w85__r65_f03
16,3,3.8767071251494314,0.7504969328955965,0.00037171798855581894,M2,early8__coverage_then_margin_B40,65,w85__r65_f03
28,3,5.546440028045656,0.876190593219817,0.0054347962294299555,M0,early8__coverage_then_margin_B40,65,w85__r65_f03
28,3,5.546440028045656,0.8761905932198171,0.005434796229430116,M1,early8__coverage_then_margin_B40,65,w85__r65_f03
28,3,5.546440028045656,0.8761905932198171,0.005434796229430116,M2,early8__coverage_then_margin_B40,65,w85__r65_f03
40,3,3.532482779242791,0.6308328235800057,0.0006591383141518715,M0,early8__coverage_then_margin_B40,65,w85__r65_f03
40,3,3.532482779242791,0.6308328235800057,0.0006591383141513528,M1,early8__coverage_then_margin_B40,65,w85__r65_f03
40,3,3.532482779242791,0.6308328235800057,0.0006591383141513528,M2,early8__coverage_then_margin_B40,65,w85__r65_f03
16,4,0.010717473681241318,0.0019391277273690841,0.0003273814902649789,M0,early8__coverage_then_margin_B40,65,w85__r65_f04
16,4,0.010717473681241317,0.0019391277273690837,0.0003273814902649785,M1,early8__coverage_then_margin_B40,65,w85__r65_f04
16,4,0.010717473681241317,0.0019391277273690837,0.0003273814902649785,M2,early8__coverage_then_margin_B40,65,w85__r65_f04
28,4,3.8302307490645595,0.6010296356045821,0.3806410306513009,M0,early8__coverage_then_margin_B40,65,w85__r65_f04
28,4,3.8302307490645595,0.6010296356045819,0.3806410306513011,M1,early8__coverage_then_margin_B40,65,w85__r65_f04
28,4,3.8302307490645595,0.6010296356045819,0.3806410306513011,M2,early8__coverage_then_margin_B40,65,w85__r65_f04
40,4,4.2672596116839925,0.9105502648984996,0.06382838476202886,M0,early8__coverage_then_margin_B40,65,w85__r65_f04
40,4,4.2672596116839925,0.9105502648984996,0.06382838476202893,M1,early8__coverage_then_margin_B40,65,w85__r65_f04
40,4,4.2672596116839925,0.9105502648984996,0.06382838476202893,M2,early8__coverage_then_margin_B40,65,w85__r65_f04
16,5,2.098063890658415,0.3355182331374943,0.1252870760203829,M0,early8__coverage_then_margin_B40,65,w85__r65_f05
16,5,2.098063890658415,0.3355182331374943,0.12528707602038283,M1,early8__coverage_then_margin_B40,65,w85__r65_f05
16,5,2.098063890658415,0.3355182331374943,0.12528707602038283,M2,early8__coverage_then_margin_B40,65,w85__r65_f05
28,5,0.01802167021273207,0.0024060967968372975,1.4499271932022228e-05,M0,early8__coverage_then_margin_B40,65,w85__r65_f05
28,5,0.018021670212732068,0.002406096796837298,1.449927193202214e-05,M1,early8__coverage_then_margin_B40,65,w85__r65_f05
28,5,0.018021670212732068,0.002406096796837298,1.449927193202214e-05,M2,early8__coverage_then_margin_B40,65,w85__r65_f05
40,5,0.015784159098869665,0.002474655044182605,7.765234181239568e-06,M0,early8__coverage_then_margin_B40,65,w85__r65_f05
40,5,0.015784159098869665,0.002474655044182605,7.765234181238611e-06,M1,early8__coverage_then_margin_B40,65,w85__r65_f05
40,5,0.015784159098869665,0.002474655044182605,7.765234181238611e-06,M2,early8__coverage_then_margin_B40,65,w85__r65_f05
16,1,3.686659878720808,0.9969799664124707,0.002920428096531306,M0,early8__coverage_then_margin_B40,66,w85__r66_f01
16,1,5.010453225464323,0.8712710779515537,0.052829498583294915,M1,early8__coverage_then_margin_B40,66,w85__r66_f01
16,1,3.686659878720808,0.9969799664124708,0.002920428096531309,M2,early8__coverage_then_margin_B40,66,w85__r66_f01
28,1,4.33479523755511,0.9784495233206723,0.0005746746079447628,M0,early8__coverage_then_margin_B40,66,w85__r66_f01
28,1,4.33479523755511,0.9784495233206723,0.0005746746079446098,M1,early8__coverage_then_margin_B40,66,w85__r66_f01
28,1,4.33479523755511,0.9784495233206723,0.0005746746079446098,M2,early8__coverage_then_margin_B40,66,w85__r66_f01
40,1,4.187477578468829,0.8344331688672086,0.000513430215715723,M0,early8__coverage_then_margin_B40,66,w85__r66_f01
