run_id,repeat,fold,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,true_negative,true_positive,row_count,fit_status,kernel,residual_sd,length_scale,residual_sd_lower_bound_hit,residual_sd_upper_bound_hit,length_scale_lower_bound_hit,length_scale_upper_bound_hit,convergence_warning,warning_text
w85__r02_f03,2,3,physics_ridge_residual_gp,B1_q30,0.9870129870129871,0.9860139860139859,0.92,0.9090909090909092,0.8181818181818182,1.0,2,0,14,9,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.226, physics_prior_sd=5)",1.0,1.2258569819705858,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f03,2,3,physics_ridge_residual_gp,B1_q20,0.9714285714285714,0.9833333333333333,0.8823529411764706,0.9,0.8,1.0,2,0,7,8,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.226, physics_prior_sd=5)",1.0,1.2258569819705858,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f04,2,4,physics_ridge_residual_gp,full81,0.9838383838383838,0.9174355274355274,0.9506172839506173,0.9181818181818182,0.8666666666666667,0.9696969696969697,2,2,64,13,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=0.9202, physics_prior_sd=5)",1.0,0.9201694675938202,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f04,2,4,physics_ridge_residual_gp,B1_q30,0.9044117647058822,0.7250381562881563,0.84,0.8161764705882353,0.75,0.8823529411764706,2,2,15,6,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=0.9202, physics_prior_sd=5)",1.0,0.9201694675938202,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f04,2,4,physics_ridge_residual_gp,B1_q20,0.8500000000000001,0.6277777777777778,0.7647058823529411,0.7166666666666667,0.6,0.8333333333333334,2,2,10,3,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=0.9202, physics_prior_sd=5)",1.0,0.9201694675938202,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f05,2,5,physics_ridge_residual_gp,full81,0.9840085287846482,0.9479368670545141,0.9506172839506173,0.8571428571428572,0.7142857142857143,1.0,4,0,67,10,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.105, physics_prior_sd=5)",1.0,1.1048988805803805,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f05,2,5,physics_ridge_residual_gp,B1_q30,0.9191176470588235,0.8863095238095238,0.84,0.75,0.5,1.0,4,0,17,4,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.105, physics_prior_sd=5)",1.0,1.1048988805803805,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f05,2,5,physics_ridge_residual_gp,B1_q20,0.8666666666666667,0.8242424242424242,0.8235294117647058,0.7,0.4,1.0,3,0,12,2,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.105, physics_prior_sd=5)",1.0,1.1048988805803805,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r03_f01,3,1,physics_ridge_residual_gp,full81,0.9878787878787879,0.961244019138756,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.094, physics_prior_sd=5)",1.0,1.094177970597694,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r03_f01,3,1,physics_ridge_residual_gp,B1_q30,0.9035087719298246,0.8333333333333333,0.92,0.8333333333333333,0.6666666666666666,1.0,2,0,19,4,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.094, physics_prior_sd=5)",1.0,1.094177970597694,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
