experiment_name,population_row_index,has_keyhole,transition_count,max_positive_delta_W,diagnostic_argmax_delta_W_fraction,diagnostic_first_W_um,min_delta_W,median_positive_delta_W,fraction_positive_delta_W,total_positive_delta_W,max_positive_width_rate,median_positive_width_rate,fraction_positive_width_rate,resolution_points
P-121p661876009_VX-0p281641526906_LS-7p16631028882e-05_ST-330p429005364_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p71285841829e-05_H-25d163a2a5,348,0,50,47.130159520879126,0.0,0.0,-2.2664754666668614,2.756131244444461,0.72,213.79750808491258,1561.055358647339,91.28917644272656,0.72,51
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,10,0,50,51.71864428571426,0.0,4.0,-2.9666599450549285,0.46540532222213926,0.58,122.47337578709669,2492.467187231723,22.42919377378378,0.58,51
P-122p399838052_VX-0p958262341264_LS-8p77032416896e-05_ST-376p830559352_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03423790676e-06_H-79d0c72bd8,181,0,50,69.74440843076925,0.0,4.0,-102.66109004444468,2.1163109230611497,0.54,256.2432587591785,3658.614818203916,111.0163047798165,0.54,51
P-123p578555013_VX-0p413960648538_LS-5p40122226787e-05_ST-380p745973079_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16535729182e-05_H-f404b6f8f4,182,0,50,54.2827060263736,0.0,4.0,-1.9969496522221846,0.9905468238888488,0.68,172.8136200409279,1608.6593129107084,29.35469673064429,0.68,51
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,11,0,50,53.82760041978011,0.0,4.0,-1.3819844977778075,0.40864397790053886,0.58,145.64049872385925,1574.308492109655,11.951706552794484,0.58,51
P-124p939831153_VX-0p895565001264_LS-4p79284796095e-05_ST-395p904294171_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p38667834965e-06_H-cf6d926251,183,0,50,54.921431967032994,0.0,4.0,-2.218603547568435,0.3737268362272772,0.6,122.2106600853288,2687.410795507316,18.287169476040823,0.6,51
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,12,0,50,26.53101938121522,0.0,0.0,-1.2494319666666343,2.820924622222236,0.82,178.8676331412282,1045.2142954141643,111.13296097171872,0.82,51
P-126p429096271_VX-0p381791494837_LS-8p54596605095e-05_ST-336p470624887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p26354847299e-05_H-bf3689621a,185,0,50,61.58083181648347,0.0,4.0,-2.3740186611111085,2.3031087411571605,0.68,209.14495162257347,1850.1101673892495,69.19368857043209,0.68,51
P-126p512169142_VX-0p57236868357_LS-7p44940442576e-05_ST-386p738254947_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p42834477408e-06_H-d7a336064e,349,0,50,71.49837884065931,0.0,4.0,-3.5296433526314672,1.1063602055555748,0.58,173.45548909906444,2220.9369472780886,34.36660099654221,0.58,51
P-128p682231034_VX-0p601925389683_LS-8p082715257e-05_ST-394p322355105_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p01448266795e-06_H-b41981edcb,350,0,50,73.9297278043956,0.0,0.0,-2.521631846315728,0.5338655649834578,0.6,177.0019471884054,2414.9210923961946,17.438765861463203,0.6,51
P-129p569646497_VX-0p287154347682_LS-6p5197985882e-05_ST-393p701994752_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p67997477383e-05_H-b41981edcb,351,0,50,46.071272938461455,0.0,4.0,-2.4248261758243146,2.480241837362712,0.7,210.03663260652596,1513.7447623631435,81.49228035693004,0.7,51
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,13,0,50,63.04312331868137,0.0,4.0,-3.2475141555555638,0.873718211111111,0.52,152.57118762416738,1967.7559740996144,27.271241320051242,0.52,51
P-129p840936159_VX-0p750604494449_LS-8p84568803437e-05_ST-319p185657099_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p42698070514e-06_H-f575443233,186,0,50,71.46127085714288,0.0,4.0,-3.4270515155556325,0.6571078679532576,0.64,165.25662017356808,2920.5477542810595,26.855314564832845,0.64,51
P-131p049819122_VX-0p780196421599_LS-5p30845028915e-05_ST-389p742843455_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p18321293134e-06_H-b41981edcb,352,0,50,61.5073431307692,0.0,4.0,-3.5198815244444006,0.4455123453524621,0.52,137.5527919584589,2614.356943305542,18.936410420528905,0.52,51
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,14,0,50,60.84951792307692,0.0,4.0,-1.8327427892660353,0.6193596497078744,0.64,179.73219344213436,1776.4338642030332,18.081514750090253,0.64,51
P-132p12166853_VX-0p788188085218_LS-6p42596953306e-05_ST-382p443068729_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p1205195733e-06_H-b41981edcb,353,0,50,63.99550111538461,0.0,4.0,-2.3427253868131857,0.6037110421052319,0.46,143.77129626445094,2743.8307751765933,25.884334176172956,0.46,51
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,15,0,50,59.659806907692285,0.0,4.0,-1.3954793131867973,0.9305304527777594,0.64,198.84966470571942,1730.636516818252,26.993214779931854,0.64,51
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,16,0,50,55.43777789613259,0.0,4.0,-4.490554118596535,0.6404655252747204,0.5,131.21667951369466,2412.4961996932643,27.87125863260117,0.5,51
P-133p058435031_VX-0p81650327798_LS-4p78587303962e-05_ST-362p382821566_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p90826850683e-06_H-dd169576f0,188,0,50,53.44008870329663,0.0,4.0,-4.151376246153859,0.5241738428070022,0.54,127.23357549543921,2380.6801313549054,23.35120100333215,0.54,51
P-133p757797566_VX-0p645163458122_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p89815386795e-06_H-306f9d252b,189,0,50,82.15852300312432,0.0,4.0,-1.9283093766592856,0.5104439614444658,0.6,132.94929641686917,3290.105759192286,20.44114908479426,0.6,51
P-134p442185153_VX-0p806363522352_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p3187841709e-06_H-b0e5aed98c,190,0,50,81.90829760844885,0.0,4.0,-1.1974390658021576,0.3690720466373847,0.58,119.04550218796717,3280.0852770557385,14.779794253998057,0.58,51
P-134p93654729_VX-0p343298656719_LS-5p9412954069e-05_ST-389p435734624_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p40522559835e-05_H-b41981edcb,354,0,50,54.34309576923071,0.0,4.0,-1.9642944444444481,1.3548635555555677,0.74,192.9958061572521,1685.4021526647534,42.01987245624116,0.74,51
P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,192,1,50,87.51542684506052,0.0,4.0,-1.6049585133846165,0.7610132640879215,0.7,170.49043116244763,3504.5763535176716,30.474959514938988,0.7,51
P-136p115095044_VX-0p8200930762_LS-6p39666133344e-05_ST-362p502989524_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p88240620853e-06_H-f575443233,193,0,50,60.574672989011006,0.0,4.0,-2.3489218615384857,0.5064918860664136,0.52,143.5052537869494,2701.214618424163,22.586061455156653,0.52,51
P-136p984349172_VX-0p357723834949_LS-5p17808569448e-05_ST-373p061688931_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p34856001521e-05_H-270d04032e,194,0,50,40.31149560439557,0.02040816326530612,4.0,-1.3299853233333465,1.2603853233333098,0.7,178.64285343578712,1238.985337375256,38.738303097905025,0.7,51
P-137p056736091_VX-0p84145784316_LS-6p02926393206e-05_ST-342p992007776_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p73305085006e-06_H-ddeae69a6e,355,0,50,60.301465556043965,0.0,4.0,-1.91670851648351,0.27325806593407265,0.54,136.7934913134266,2759.9657770750623,12.50687530283706,0.54,51
P-137p340072051_VX-0p708357837186_LS-8p48461574474e-05_ST-331p337392673_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p81028761138e-06_H-701e6757d1,195,0,50,69.05099711823203,0.0,4.0,-3.5231582158459673,1.2239768622223721,0.58,176.882623633673,2654.4011572265417,47.0511033162726,0.58,51
P-137p601432421_VX-0p461948695475_LS-6p48780591522e-05_ST-397p490087405_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p04429791669e-05_H-ef2aaf59fd,196,0,50,57.92006483076924,0.0,4.0,-1.7745636901098578,0.9041299983378082,0.64,180.37927132455945,1666.591513720022,26.015429833031092,0.64,51
P-139p185905374_VX-0p93275027917_LS-8p26285474625e-05_ST-371p150203889_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p17193155633e-06_H-b789300819,356,0,50,71.27777723093922,0.0,4.0,-114.35501836609794,2.5649545654970183,0.56,263.4407622124466,3616.4664980826865,130.1397520459965,0.56,51
P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,199,1,50,88.3265251630583,0.0,4.0,-2.6649674959230936,1.2160963039121384,0.74,185.43414964439157,3536.902470249548,48.69674215562963,0.74,51
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,17,0,50,68.65504359230769,0.0,4.0,-2.1203815399999826,0.3563652966666382,0.62,179.75220477996712,2044.0021412157828,10.609729326910198,0.62,51
P-140p314676599_VX-0p596196399995_LS-8p19973378232e-05_ST-342p525649343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p09149569346e-06_H-95fb07b078,357,0,50,66.13191676923077,0.0,4.0,-3.307137297431865,0.8769904000000395,0.58,184.18679531430496,2133.8217814921013,28.29709630539901,0.58,51
P-140p320645521_VX-0p612281673664_LS-8p56006119926e-05_ST-348p910931315_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p87892372174e-06_H-dd169576f0,200,0,50,75.99287959120879,0.0,4.0,-3.5179710852042945,0.8063541244444536,0.62,184.111044714801,2519.2047554580718,26.731072119007866,0.62,51
P-140p974625597_VX-0p98622838083_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-1p89589248085e-06_H-b0e5aed98c,203,0,50,81.8652441364486,0.0,4.0,-3.7532663369230335,0.547068359999983,0.54,115.92928667922138,3705.3775591249055,24.76136052404052,0.54,51
P-141p451666054_VX-0p378275685755_LS-6p85388508408e-05_ST-315p145948826_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p27529227616e-05_H-8bf1b39107,358,0,50,50.63106554395599,0.0,4.0,-1.0565198619882779,1.231061021977979,0.66,193.70077420364035,1521.4223826167852,36.99238349187727,0.66,51
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,18,0,50,69.7197950087912,0.0,4.0,-4.803078446153819,1.1126574590401077,0.48,162.02213845039907,3612.1592210888957,57.646410177744855,0.48,51
