model,feature,is_width_feature,median_ard_length_scale,fraction_at_upper_bound,fraction_at_lower_bound,folds
gpc_4d_plus_max_delta_W_res51,LS,False,6.511891824744369,0.0,0.0,100
gpc_4d_plus_max_delta_W_res51,P,False,5.690038996407349,0.0,0.0,100
gpc_4d_plus_max_delta_W_res51,ST,False,100.00000000000004,0.99,0.0,100
gpc_4d_plus_max_delta_W_res51,VX,False,5.994538602248908,0.0,0.0,100
gpc_4d_plus_max_delta_W_res51,max_positive_delta_W_res51,True,33.06013724093256,0.07,0.0,100
gpc_4d_plus_max_width_rate,LS,False,5.877132206165638,0.0,0.0,100
gpc_4d_plus_max_width_rate,P,False,4.462373199740584,0.0,0.0,100
gpc_4d_plus_max_width_rate,ST,False,100.00000000000004,0.96,0.0,100
gpc_4d_plus_max_width_rate,VX,False,5.755911476257065,0.03,0.0,100
gpc_4d_plus_max_width_rate,max_positive_width_rate,True,14.636571143815466,0.11,0.0,100
gpc_4d_plus_old_full8,LS,False,6.618769802860105,0.0,0.0,100
gpc_4d_plus_old_full8,P,False,4.261692139182709,0.0,0.0,100
gpc_4d_plus_old_full8,ST,False,100.00000000000004,1.0,0.0,100
gpc_4d_plus_old_full8,VX,False,6.781655648088586,0.0,0.0,100
gpc_4d_plus_old_full8,robust_early_dWdt_20_um_per_ms,True,100.00000000000004,0.65,0.0,100
gpc_4d_plus_old_full8,robust_early_dWdt_40_um_per_ms,True,100.00000000000004,0.67,0.0,100
gpc_4d_plus_old_full8,robust_max_positive_dWdt_um_per_ms,True,100.00000000000004,0.79,0.0,100
gpc_4d_plus_old_full8,robust_median_positive_dWdt_um_per_ms,True,100.00000000000004,1.0,0.0,100
gpc_4d_plus_old_full8,robust_time_of_max_dWdt_tau,True,100.00000000000004,0.83,0.0,100
gpc_4d_plus_old_full8,time_to_50pct_max_width_tau,True,13.305724688473202,0.27,0.0,100
gpc_4d_plus_old_full8,width_gain_20_um,True,100.00000000000004,1.0,0.0,100
gpc_4d_plus_old_full8,width_gain_40_um,True,100.00000000000004,1.0,0.0,100
gpc_4d_plus_old_shape3,LS,False,7.5156221649421,0.0,0.0,100
gpc_4d_plus_old_shape3,P,False,4.98050083680239,0.0,0.0,100
gpc_4d_plus_old_shape3,ST,False,100.00000000000004,1.0,0.0,100
gpc_4d_plus_old_shape3,VX,False,7.7009079334159685,0.0,0.0,100
gpc_4d_plus_old_shape3,time_to_50pct_max_width_tau,True,12.630219898172669,0.04,0.0,100
gpc_4d_plus_old_shape3,width_gain_20_um,True,100.00000000000004,0.99,0.0,100
gpc_4d_plus_old_shape3,width_gain_40_um,True,100.00000000000004,0.99,0.0,100
gpc_4d_plus_simple_delta_block,LS,False,6.020900760598954,0.0,0.0,100
gpc_4d_plus_simple_delta_block,P,False,4.610814191791325,0.0,0.0,100
gpc_4d_plus_simple_delta_block,ST,False,100.00000000000004,0.99,0.0,100
gpc_4d_plus_simple_delta_block,VX,False,4.966864558252176,0.0,0.0,100
gpc_4d_plus_simple_delta_block,fraction_positive_delta_W,True,100.00000000000004,0.96,0.0,100
gpc_4d_plus_simple_delta_block,max_positive_delta_W,True,22.443109052903175,0.13,0.0,100
gpc_4d_plus_simple_delta_block,median_positive_delta_W,True,100.00000000000004,0.97,0.0,100
gpc_4d_plus_simple_rate_block,LS,False,6.370443940520761,0.0,0.0,100
gpc_4d_plus_simple_rate_block,P,False,4.471904137636537,0.0,0.0,100
gpc_4d_plus_simple_rate_block,ST,False,100.00000000000004,0.98,0.0,100
gpc_4d_plus_simple_rate_block,VX,False,6.320020316731407,0.03,0.0,100
gpc_4d_plus_simple_rate_block,fraction_positive_width_rate,True,100.00000000000004,0.96,0.0,100
gpc_4d_plus_simple_rate_block,max_positive_width_rate,True,12.857715008702275,0.16,0.0,100
gpc_4d_plus_simple_rate_block,median_positive_width_rate,True,100.00000000000004,0.61,0.0,100
m3,LS,False,96.3913183663602,0.47,0.0,100
m3,P,False,5.442790147239083,0.27,0.0,100
m3,ST,False,100.00000000000004,0.65,0.0,100
m3,VX,False,0.5911222079543634,0.0,0.0,100
m3_plus_max_delta_W,LS,False,100.00000000000004,0.54,0.0,100
m3_plus_max_delta_W,P,False,2.0523797883672916,0.07,0.01,100
m3_plus_max_delta_W,ST,False,100.00000000000004,0.79,0.0,100
m3_plus_max_delta_W,VX,False,0.5792756597550808,0.0,0.01,100
m3_plus_max_delta_W,max_positive_delta_W,True,2.098131226231262,0.0,0.01,100
