experiment_name,has_keyhole,transition_count,max_positive_delta_W,diagnostic_argmax_delta_W_fraction,diagnostic_first_W_um,min_delta_W,median_positive_delta_W,fraction_positive_delta_W,total_positive_delta_W,max_positive_width_rate,median_positive_width_rate,fraction_positive_width_rate,population_row_index,P,VX,LS,ST,log_h,width_gain_20_um,width_gain_40_um,time_to_50pct_max_width_tau,robust_max_positive_dWdt_um_per_ms,robust_median_positive_dWdt_um_per_ms,robust_early_dWdt_20_um_per_ms,robust_early_dWdt_40_um_per_ms,robust_time_of_max_dWdt_tau,max_positive_delta_W_res51,max_positive_delta_W_res101
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,0,200,31.37067608241759,0.0,4.0,-5.680874247252717,0.38883422790053856,0.56,155.88326755781526,6047.365073589121,74.95606798667556,0.56,10,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,19.728199158127982,115.12147010989013,107.37638010989014,0.025,3582.9958003719616,23.66978986206458,297.1826115569303,11.581793024641366,0.0,51.71864428571426,37.17354559890111
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,0,200,29.820678372527347,0.0,4.0,-1.5891681239011817,0.28884904395599165,0.575,167.91569017301057,3488.689582015167,33.79214375460572,0.575,11,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,19.881064272586734,139.2736037912088,139.19099160000002,0.035,1991.8645834424951,10.695107094988742,254.4173796613644,8.602979250274892,0.005,53.82760041978011,33.83130226263738
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,0,200,20.722318401022967,0.05025125628140704,0.0,-12.843568246270793,0.7796315423245517,0.65,268.0458198956911,3265.5003738316345,122.85725195623115,0.65,12,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,20.62458540354386,114.11695233333334,152.49436605555556,0.13,1257.5035895436797,95.2987233186273,381.5898865078005,228.60072102447143,0.02,26.53101938121522,21.786801172302773
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,0,200,28.893886846153947,0.0,4.0,-8.938439362637311,0.5230535208622342,0.5,185.60480316063746,3607.4429986009086,65.30397837351532,0.5,13,129.716882801,0.574107735504,5.55330779174e-05,369.509713723,19.84062092917375,139.06172725274723,138.732600989011,0.04,2353.3332538947643,13.168521126574651,227.3491340634295,10.405757151100731,0.0,63.04312331868137,37.6981395274704
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,0,200,28.99002329558006,0.0,4.0,-10.023384506763293,0.4600853901022788,0.58,222.92293551630013,3385.32569289411,53.726720953546504,0.58,14,131.192514944,0.432823544687,6.72236683266e-05,324.578264519,19.706606147998375,162.77073193370163,170.4563904888889,0.05,1979.3510601150292,22.75852307550856,322.37638471966926,76.29431111056587,0.005,60.84951792307692,31.763970743956037
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,0,200,28.549166440384525,0.0,4.0,-12.8576421629121,0.6187780357894326,0.585,255.59455679537606,3312.664423664539,71.79908350686594,0.585,15,132.334528879,0.441351904611,8.05471929698e-05,380.80221881,19.43429034824653,175.47235096132596,180.86577703333336,0.05,2747.4218497755764,24.95783732599444,371.5615014429261,93.72450981605016,0.0,59.659806907692285,47.355598780769206
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,0,200,31.338812866483515,0.0,4.0,-4.225390800069761,0.5287270014683116,0.47,163.39374300586618,5455.108037334529,92.03484916782709,0.47,16,132.644034819,0.797235702485,4.6520297442e-05,303.62522115,19.96440431836706,115.37051909890111,106.99287914285712,0.025,3309.2447696952427,28.521264559538555,191.15237434919985,13.648707742317391,0.0,55.43777789613259,38.02227265054947
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,0,200,25.830702759065893,0.0,4.0,-8.11605628602993,0.4119016001957476,0.55,212.53688621497932,3076.1330259823626,49.052638158379736,0.55,17,140.236446589,0.550532928497,7.91865165046e-05,370.758962256,19.407320936404485,170.62068076923077,170.81837474033154,0.035,2846.9566551424277,18.244308802262225,276.79839300577424,34.00285397541121,0.0,68.65504359230769,47.81255589780216
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,0,200,26.465326222099407,0.0,4.0,-5.561517005219798,0.7175811565539618,0.515,230.65563029673538,5484.638739412701,148.71055723552814,0.515,18,143.707582907,0.952433280409,8.80948922839e-05,329.530804101,18.997792175902806,142.3544824640884,139.09827548066298,0.025,4804.369476155283,43.35699667393423,437.4841722583645,31.40695423877815,0.0,69.7197950087912,46.365571742857085
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,0,200,21.183839188241855,0.005025125628140704,4.0,-17.837775506593374,0.5455177675230232,0.58,213.16401198058605,2504.260986575888,64.48872891039278,0.58,19,144.087720513,0.415546267467,5.02923295381e-05,327.07537462,20.255989923062774,148.315155,155.1225712444444,0.055,2037.0174431637208,18.12814387839776,333.3788144992717,56.4248616175379,0.0,49.2006752087912,34.46274183956043
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,0,200,27.60187451208791,0.0,4.0,-3.482971605494484,0.6358086388889319,0.5,190.1089408940312,4038.2676704037485,93.02141671081623,0.5,20,148.299467422,0.674162518859,5.7557139752e-05,331.520012414,19.8404742466899,143.98647030769231,139.31997251648352,0.03,3495.209695413204,24.147984635912277,266.06610733823464,13.182864431349104,0.0,59.39097021978024,47.78006178901099
P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,0,200,28.990713335164862,0.0,4.0,-9.4389900925824,0.8578035444443515,0.55,293.73144821679523,3375.2972549245337,99.87135933338936,0.55,21,150.071418192,0.423845414489,8.67749479825e-05,322.128190627,19.468593434919327,185.34942094505493,196.59493777777777,0.045,2703.856996415844,32.266964900811,365.888537466912,134.81667950155796,0.0,71.49222556703296,46.44731243626378
P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,0,200,30.634420000000063,0.0,4.0,-6.986566813186812,0.29704091542708966,0.515,196.5688809243811,6090.4388141362215,59.05479916720115,0.515,22,155.252053768,0.916931554055,7.35634948929e-05,366.816583574,19.364453647708604,147.40011857142855,139.17870005494507,0.025,4685.984468937878,18.880276859365416,425.3342980221911,15.298861502976106,0.0,66.78446771428571,47.14025400000004
P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,0,200,29.978895027472454,0.0,4.0,-6.8987408653846245,0.3909550274725433,0.505,159.433817515439,5639.198393102629,73.54083466646125,0.505,23,155.610380822,0.863747905944,4.82199969556e-05,303.817651114,20.030197610973932,118.6799321978022,114.88469736263735,0.02,3756.377149736651,14.972761189480268,253.78721761903927,1.8807641504051336,0.0,62.62813175824169,39.93902267857375
P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,0,200,31.368295807142893,0.0,4.0,-6.0848195796702385,0.4315869002778072,0.535,203.28127237363086,4844.892211840156,66.65940747128664,0.535,24,157.183722649,0.714259673467,7.38607203139e-05,347.368293375,19.49566377060797,160.02525240883975,154.98685182417583,0.03,3146.37421469951,20.28472226668784,404.0039193963479,25.48808534570346,0.0,71.34678649340661,40.742453194505615
P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,0,200,28.4463375824175,0.0,4.0,-2.784069230769248,0.4234294444443947,0.575,183.5937164929237,3615.3551742987593,53.81528741572723,0.575,25,160.605564338,0.585171267024,4.89218084001e-05,323.833105745,20.234807725350827,139.25769879120875,138.6637230769231,0.025,3026.6495073645974,20.885234679947374,221.96815792412067,11.530717550917492,0.0,61.7874892307692,47.628567307692265
P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,0,200,29.817672111813202,0.0,4.0,-3.8040485630472034,0.39849822219051134,0.525,187.76069269533343,5990.99895888988,80.06669418425187,0.525,26,162.142815649,0.926926325143,6.49234891537e-05,377.454931887,19.589869728553882,143.16897263736263,134.945263010989,0.025,4452.121100684946,21.710679438867025,410.38221425625215,0.9276858152482744,0.0,69.40495057692308,44.31711241923077
P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,0,200,28.351239806593433,0.0,4.0,-6.090110231868152,0.5644682666665801,0.555,191.47857292233869,4493.411030801015,89.46303418402411,0.555,27,163.562272254,0.729793018519,5.10150522361e-05,318.261957537,20.07977568889144,133.61863717127073,128.66732509890113,0.025,3670.153928750197,24.46444730089339,310.72257058635944,5.740227510501314,0.0,60.696764,46.313775191208734
P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,0,200,28.63452709230772,0.0,4.0,-13.518649167032905,0.6784070088888399,0.58,234.49459894217657,3220.704890188033,76.3046920252118,0.58,28,164.187091551,0.507792014735,6.92164167976e-05,301.020288893,19.807256977046084,176.58075039779007,173.4479893263158,0.035,2554.678080397949,23.29601770505826,287.18718565136976,46.51795989105635,0.0,66.07645904175823,45.426079817582405
P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,0,200,28.346147002197718,0.0,4.0,-4.828157846153843,0.3272174266666923,0.545,165.6444548548696,5339.170427296743,61.633406741999345,0.545,29,164.607131174,0.867199563125,5.32762751968e-05,314.058214573,19.934833853824976,130.99254769230768,123.13584543646404,0.025,4288.560850160229,23.099642772519847,304.0764119781115,3.4062828956108624,0.0,55.605083854944944,45.53672820219776
P-166p111836501_VX-0p454755470987_LS-7p13150844087e-05_ST-303p391516497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06081639712e-05_H-0e4c2fc094,0,200,25.743328168956083,0.005025125628140704,4.0,-11.153765189560417,0.6604045594443448,0.57,247.81403843719463,2952.5685050363613,75.7434971111914,0.57,30,166.111836501,0.454755470987,7.13150844087e-05,303.391516497,19.82926302640283,180.09693975824177,183.2006564555556,0.045,2743.10005617787,25.909782014088822,318.57958310015084,71.6541254820502,0.0,71.06553179120876,47.83396207472528
P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,0,200,39.00705475631872,0.0,4.0,-4.601234315933979,0.4627364616666796,0.565,231.62539284373335,4373.409607833705,51.8812840392727,0.565,31,167.350234557,0.509305540745,7.79284260895e-05,367.465417979,19.647022062424472,186.9801006077348,186.51957192222224,0.04,3003.702665392155,20.87946455341076,409.1991734542146,49.97017939190772,0.0,78.84860682857142,53.58089218571424
P-168p279672268_VX-0p662944494492_LS-8p51138696034e-05_ST-361p222757169_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p27680920966e-06_H-1d842653b1,0,200,38.37028978571421,0.0,4.0,-9.201405204395797,0.6971372886263509,0.51,241.01502224883194,5479.104561675547,99.54806491059875,0.51,32,168.279672268,0.662944494492,8.51138696034e-05,361.222757169,19.388440150090464,178.56204681767954,178.9599454945055,0.03,3812.5456328506575,28.659561068090028,400.32132229341255,23.824485241504185,0.0,79.87762245714283,53.398681885714176
P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,0,200,23.65812460000027,0.04522613065326633,4.0,-15.403026552747512,1.0033885423948732,0.57,269.25680633428624,3047.5454912170685,129.25252022361738,0.57,33,172.471893954,0.300060565388,5.45268436948e-05,394.546009672,20.47734590867905,158.41653345856355,184.3125103,0.09,1705.7584932283455,77.32162175277863,362.00576562522855,221.244153682684,0.0,43.76935616243088,26.48363877527467
P-173p043282634_VX-0p866796851528_LS-6p96390683614e-05_ST-349p021338305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56545699781e-06_H-27614c4053,0,200,26.53483545439563,0.0,4.0,-3.376044247252821,0.5894252538461302,0.5,205.0900909047396,4972.552027420628,110.4566013255585,0.5,34,173.043282634,0.866796851528,6.96390683614e-05,349.021338305,19.58329430426774,154.53107630769233,146.89111710497238,0.03,4412.471152193817,31.972769308978776,508.9011136663771,3.9065187422930014,0.0,67.49071187182317,47.09219544615387
P-173p906668607_VX-0p677544388934_LS-8p62016404031e-05_ST-334p396108383_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p12000672104e-06_H-89021150a8,0,200,39.963182910714266,0.0,4.0,-2.419521998626351,0.5171732725636673,0.52,224.52040443364803,5827.590540939795,75.41626696633426,0.52,35,173.906668607,0.677544388934,8.62016404031e-05,334.396108383,19.391390898233666,183.9457369230769,178.61837546961323,0.03,3827.528924497674,30.6896371711924,469.8097496777637,49.1079927702953,0.0,78.97524767582416,52.49519074175815
P-177p821134596_VX-0p63969291749_LS-8p76195222961e-05_ST-320p228793407_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5413068851e-06_H-0e4c2fc094,0,200,43.29864829340663,0.0,0.0,-5.514222322214806,0.4286010554945108,0.54,230.45753292483838,5953.093697113997,58.92798834621621,0.54,36,177.821134596,0.63969291749,8.76195222961e-05,320.228793407,19.417921791743517,190.83764472527477,190.6372765934066,0.03,3845.9348190119176,18.565748328006947,441.0817425455339,15.926344967289522,0.0,81.12400159560441,55.94529082197804
P-185p872045369_VX-0p416268682161_LS-7p15564692144e-05_ST-371p982346013_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p15889587897e-05_H-bc28d74e69,0,200,28.344944505494528,0.0,0.0,-12.844626428571459,0.5335287499999453,0.61,254.67857630800484,3298.8198366582906,62.09273839242013,0.61,37,185.872045369,0.416268682161,7.15564692144e-05,371.982346013,19.98080614830166,192.62041868131865,202.6286578947368,0.05,2654.802615815487,26.99486551143729,410.8737852468131,157.8140699712518,0.0,67.01482999999999,45.622517472527576
P-187p255870651_VX-0p828194463092_LS-4p64611349328e-05_ST-375p783913497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p82486459159e-06_H-bc28d74e69,0,200,29.048842048342543,0.0,4.0,-5.126405202575739,0.6602670220994327,0.475,185.61944500999908,5228.248615082982,118.83572288807763,0.475,38,187.255870651,0.828194463092,4.64611349328e-05,375.783913497,20.292071224654542,128.5571045054945,122.4968256043956,0.025,4251.914107154037,29.311733946163205,189.97670473240183,-9.967632438295132,0.0,62.82586669060774,47.24839631593407
P-198p376734591_VX-0p636800402216_LS-8p40585875992e-05_ST-361p411435367_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5755614887e-06_H-1605f46060,0,200,35.81674231381219,0.0,4.0,-13.312110364513458,0.49800490288005506,0.54,254.8616829849587,4886.874637032602,67.94832170048886,0.54,39,198.376734591,0.636800402216,8.40585875992e-05,361.411435367,19.59181222545722,193.42275865934064,190.4237175690608,0.035,3510.9913383213134,23.58034486161519,436.5096852209658,22.97470525073534,0.0,79.14236205494505,51.465315307142845
P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,0,200,28.135619480769265,0.0,4.0,-10.208214920329667,0.4120427387061767,0.57,220.70214023057653,3236.1283002326277,47.392706904634494,0.57,40,199.601335125,0.449852506485,5.7030843283e-05,364.706449651,20.353617298886796,173.4652972928177,178.0682285,0.045,2713.4662901802835,20.11662861359895,404.3423629399976,54.87842687415896,0.0,56.8496957857143,47.18295934615389
P-203p030488295_VX-0p654564663741_LS-6p39602473907e-05_ST-333p568221635_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p36996796534e-06_H-0e4c2fc094,0,200,28.448411309890147,0.0,4.0,-1.9202341111111139,0.49983520777783497,0.56,207.26239083362128,4008.107863133739,70.42197909550461,0.56,41,203.030488295,0.654564663741,6.39602473907e-05,333.568221635,20.01112180948569,169.67164217582416,163.12716822099446,0.035,2740.6324361678744,29.965049549140865,402.7876559817825,3.716129670130773,0.005,68.30592551381227,38.25584397142863
P-203p317554156_VX-0p724937635215_LS-5p40301996917e-05_ST-325p306920736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p65453187788e-06_H-dfd65b549a,0,200,25.311111513259675,0.0,4.0,-2.9696787096153514,0.3449097274209407,0.585,181.08081471672395,3966.3571022386955,54.048797749185375,0.585,42,203.317554156,0.724937635215,5.40301996917e-05,325.306920736,20.214555008347787,147.0522468131868,141.84026080662983,0.035,3123.270500660833,15.167985185996562,260.72742478765326,4.2858122595437855,0.0,58.889718145055056,39.861992196154645
P-204p071587815_VX-0p957219619336_LS-8p8582220221e-05_ST-334p090301355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03972182096e-06_H-676863bc48,0,200,37.46731070989018,0.0,4.0,-4.047162440659349,0.8430875043956121,0.535,257.2549698126022,7706.440411773986,173.4099269852552,0.535,43,204.071587815,0.957219619336,8.8582220221e-05,334.090301355,19.337701159028157,174.48368907692307,170.73631626373626,0.035,5473.772868819537,179.2765348992671,529.9716075547798,16.886919699270297,0.0,79.46952171428572,53.224974923076935
P-207p432942583_VX-0p674802143379_LS-5p74396795379e-05_ST-382p34582068_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p14894084192e-06_H-676863bc48,0,200,31.842669986263722,0.0,4.0,-2.0781918288461867,0.7322804799450182,0.495,214.04845387409108,4634.353732690757,106.57544662786565,0.495,44,207.432942583,0.674802143379,5.74396795379e-05,382.34582068,20.17863881363804,161.20097013259667,154.58802259340663,0.035,3247.462955381497,37.723988450343846,329.7620107588858,2.253699351913141,0.0,70.52798167802192,44.626671654945056
P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,1,200,19.15002659670315,0.03015075376884422,4.0,-7.178053304395341,0.6209591770718248,0.655,231.9894206395661,2635.1899190713166,85.44872537441844,0.655,45,208.096600196,0.256636148953,4.52492384214e-05,395.602757306,21.02303745357591,143.3459132154696,171.70399323157895,0.095,1059.2320420133103,76.54397436661455,406.2248983307544,263.4898106716128,0.025,22.837842064173408,16.119789178021826
P-209p47686991_VX-0p866693950214_LS-6p90699464413e-05_ST-369p570871734_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56611777644e-06_H-b021dd2b47,0,200,28.65188668296705,0.005025125628140704,4.0,-5.19969422105207,0.5164698700548342,0.535,211.32935928045507,5343.887612102028,96.32723216969647,0.535,46,209.47686991,0.866693950214,6.90699464413e-05,369.570871734,19.786734284104593,163.34053345054943,154.51146030769232,0.03,5202.979242469129,24.152636833028453,604.3244806213011,6.46327164492941,0.0,66.70112588571429,55.79277952307694
