run_id,repeat,fold,feature,subset,learned_threshold,learned_direction,direction_is_below,train_n,test_n,balanced_accuracy,accuracy,keyhole_recall,conduction_recall,true_negative,false_positive,false_negative,true_positive,feature_roc_auc,feature_pr_auc
w85__r12_f03,12,3,max_positive_delta_W,q20,32.77712869230773,below,1,280,17,0.625,0.6470588235294118,1.0,0.25,2,6,0,9,0.4722222222222222,0.5972829639496307
w85__r12_f03,12,3,max_positive_width_rate,full,4802.826721473959,below,1,280,70,0.5515151515151515,0.4857142857142857,0.6666666666666666,0.43636363636363634,24,31,5,10,0.6533333333333332,0.48303718394385203
w85__r12_f03,12,3,max_positive_width_rate,q30,4802.826721473959,below,1,280,25,0.37987012987012986,0.36,0.5454545454545454,0.21428571428571427,3,11,5,6,0.512987012987013,0.599542135972342
w85__r12_f03,12,3,max_positive_width_rate,q20,4802.826721473959,below,1,280,17,0.4097222222222222,0.4117647058823529,0.4444444444444444,0.375,3,5,5,4,0.4722222222222222,0.6902402608284961
w85__r12_f04,12,4,max_positive_delta_W,full,32.40799515411522,below,1,286,64,0.6380090497737557,0.46875,0.9230769230769231,0.35294117647058826,18,33,1,12,0.669683257918552,0.39896594413679765
w85__r12_f04,12,4,max_positive_delta_W,q30,32.40799515411522,below,1,286,19,0.4714285714285714,0.3157894736842105,0.8,0.14285714285714285,2,12,1,4,0.2571428571428572,0.21072681704260648
w85__r12_f04,12,4,max_positive_delta_W,q20,32.40799515411522,below,1,286,13,0.525,0.46153846153846156,0.8,0.25,2,6,1,4,0.4,0.37414529914529915
w85__r12_f04,12,4,max_positive_width_rate,full,3854.5216075147328,below,1,286,64,0.6312217194570136,0.640625,0.6153846153846154,0.6470588235294118,33,18,5,8,0.6757164404223228,0.4027970658364629
w85__r12_f04,12,4,max_positive_width_rate,q30,3854.5216075147328,below,1,286,19,0.2785714285714286,0.3157894736842105,0.2,0.35714285714285715,5,9,4,1,0.14285714285714285,0.18795963324601095
w85__r12_f04,12,4,max_positive_width_rate,q20,3854.5216075147328,below,1,286,13,0.35,0.38461538461538464,0.2,0.5,4,4,4,1,0.2,0.29965034965034965
w85__r12_f05,12,5,max_positive_delta_W,full,32.40799515411522,below,1,279,71,0.6293103448275862,0.39436619718309857,1.0,0.25862068965517243,15,43,0,13,0.5610079575596817,0.21203280424799212
w85__r12_f05,12,5,max_positive_delta_W,q30,32.40799515411522,below,1,279,21,0.6333333333333333,0.47619047619047616,1.0,0.26666666666666666,4,11,0,6,0.41111111111111115,0.26664400414400413
w85__r12_f05,12,5,max_positive_delta_W,q20,32.40799515411522,below,1,279,15,0.55,0.4,1.0,0.1,1,9,0,5,0.28,0.2790947940947941
w85__r12_f05,12,5,max_positive_width_rate,full,3249.151745805506,below,1,279,71,0.47745358090185674,0.6338028169014085,0.23076923076923078,0.7241379310344828,42,16,10,3,0.6538461538461539,0.3404252162657373
w85__r12_f05,12,5,max_positive_width_rate,q30,3249.151745805506,below,1,279,21,0.26666666666666666,0.38095238095238093,0.0,0.5333333333333333,8,7,6,0,0.4111111111111111,0.2666005291005291
w85__r12_f05,12,5,max_positive_width_rate,q20,3249.151745805506,below,1,279,15,0.2,0.26666666666666666,0.0,0.4,4,6,5,0,0.27999999999999997,0.27670662670662666
w85__r13_f01,13,1,max_positive_delta_W,full,31.91303131656092,below,1,282,68,0.4643356643356643,0.3235294117647059,0.6923076923076923,0.23636363636363636,13,42,4,9,0.42237762237762233,0.2030073330391653
w85__r13_f01,13,1,max_positive_delta_W,q30,31.91303131656092,below,1,282,23,0.44047619047619047,0.391304347826087,0.6666666666666666,0.21428571428571427,3,11,3,6,0.35714285714285715,0.33637792560875523
w85__r13_f01,13,1,max_positive_delta_W,q20,31.91303131656092,below,1,282,15,0.5277777777777778,0.4666666666666667,0.8333333333333334,0.2222222222222222,2,7,1,5,0.35185185185185186,0.36060606060606065
w85__r13_f01,13,1,max_positive_width_rate,full,3846.0258180027904,below,1,282,68,0.4762237762237762,0.4852941176470588,0.46153846153846156,0.4909090909090909,27,28,7,6,0.48671328671328673,0.29918650533120483
w85__r13_f01,13,1,max_positive_width_rate,q30,3846.0258180027904,below,1,282,23,0.34523809523809523,0.34782608695652173,0.3333333333333333,0.35714285714285715,5,9,6,3,0.3412698412698413,0.37033789361155095
w85__r13_f01,13,1,max_positive_width_rate,q20,3846.0258180027904,below,1,282,15,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,6,4,2,0.38888888888888895,0.4358197358197358
w85__r13_f02,13,2,max_positive_delta_W,full,32.40799515411522,below,1,276,74,0.6833333333333333,0.4864864864864865,1.0,0.36666666666666664,22,38,0,14,0.694047619047619,0.35150798732852984
w85__r13_f02,13,2,max_positive_delta_W,q30,32.40799515411522,below,1,276,23,0.7894736842105263,0.6521739130434783,1.0,0.5789473684210527,11,8,0,4,0.6578947368421052,0.2641233766233766
w85__r13_f02,13,2,max_positive_delta_W,q20,32.40799515411522,below,1,276,15,0.8181818181818181,0.7333333333333333,1.0,0.6363636363636364,7,4,0,4,0.7727272727272727,0.47619047619047616
w85__r13_f02,13,2,max_positive_width_rate,full,3556.366947521182,below,1,276,74,0.6797619047619048,0.7027027027027027,0.6428571428571429,0.7166666666666667,43,17,5,9,0.736904761904762,0.4265146042125856
w85__r13_f02,13,2,max_positive_width_rate,q30,3556.366947521182,below,1,276,23,0.5921052631578947,0.6521739130434783,0.5,0.6842105263157895,13,6,2,2,0.5131578947368421,0.21781135531135531
w85__r13_f02,13,2,max_positive_width_rate,q20,3556.366947521182,below,1,276,15,0.6590909090909092,0.7333333333333333,0.5,0.8181818181818182,9,2,2,2,0.5909090909090908,0.4151785714285714
w85__r13_f03,13,3,max_positive_delta_W,full,32.77712869230773,below,1,281,69,0.6551948051948052,0.4927536231884058,0.9285714285714286,0.38181818181818183,21,34,1,13,0.6246753246753247,0.2973113818932634
w85__r13_f03,13,3,max_positive_delta_W,q30,32.77712869230773,below,1,281,21,0.46428571428571425,0.3333333333333333,0.8571428571428571,0.07142857142857142,1,13,1,6,0.44897959183673464,0.35332524618238903
w85__r13_f03,13,3,max_positive_delta_W,q20,32.77712869230773,below,1,281,15,0.42857142857142855,0.4,0.8571428571428571,0.0,0,8,1,6,0.2857142857142857,0.4107392607392608
w85__r13_f03,13,3,max_positive_width_rate,full,3845.533084897931,below,1,281,69,0.6402597402597403,0.6811594202898551,0.5714285714285714,0.7090909090909091,39,16,6,8,0.6844155844155844,0.3204078458397056
w85__r13_f03,13,3,max_positive_width_rate,q30,3845.533084897931,below,1,281,21,0.4642857142857143,0.47619047619047616,0.42857142857142855,0.5,7,7,4,3,0.4591836734693877,0.37750420006059104
