feature,subset,repeat,balanced_accuracy,keyhole_recall,learned_threshold
max_positive_delta_W,q30,3,0.5798907138613021,0.8822222222222222,32.31534378021526
max_positive_delta_W,q30,4,0.5722566975508152,0.8977777777777778,32.38729167922738
max_positive_delta_W,q30,5,0.5944331322272498,0.9155555555555555,32.38729167922738
max_positive_delta_W,q30,6,0.5779380341880341,0.8972222222222221,32.38729167922738
max_positive_delta_W,q30,7,0.5839514652014651,0.8797619047619047,32.38647523109551
max_positive_delta_W,q30,8,0.567020202020202,0.8969696969696971,32.38729167922738
max_positive_delta_W,q30,9,0.5461782661782661,0.8555555555555555,32.38647523109551
max_positive_delta_W,q30,10,0.5749481074481075,0.886984126984127,32.52527315076584
max_positive_delta_W,q30,11,0.5836115355233003,0.875,32.38729167922738
max_positive_delta_W,q30,12,0.5569642857142857,0.8766666666666666,32.389170487853754
max_positive_delta_W,q30,13,0.5545614035087719,0.8647619047619047,32.382829094242865
max_positive_delta_W,q30,14,0.5320634920634921,0.788888888888889,32.153436947249354
max_positive_delta_W,q30,15,0.555956200662083,0.8466666666666667,32.38647523109551
max_positive_delta_W,q30,16,0.565380575307046,0.8797619047619047,32.38729167922738
max_positive_delta_W,q30,17,0.6138543401043401,0.9236363636363636,32.52339434213947
max_positive_delta_W,q30,18,0.5934218559218559,0.9027777777777779,32.52339434213947
max_positive_delta_W,q30,19,0.5866246498599439,0.8916666666666666,32.313464971588886
max_positive_delta_W,q30,20,0.5521031746031746,0.8597619047619048,32.38729167922738
max_positive_width_rate,full,1,0.539888069902452,0.3851282051282051,3616.5809081709144
max_positive_width_rate,full,2,0.6020705905642385,0.5144322344322344,3734.4295743503417
max_positive_width_rate,full,3,0.5943159806295399,0.6,4139.580880502894
max_positive_width_rate,full,4,0.5922439189609163,0.5400732600732601,3873.765680081988
max_positive_width_rate,full,5,0.5880636713482653,0.5197069597069597,3819.93238666585
max_positive_width_rate,full,6,0.5793546365914788,0.5685714285714286,4226.205452878545
max_positive_width_rate,full,7,0.5747349308283972,0.5420512820512821,4079.042054463004
max_positive_width_rate,full,8,0.5762083013702942,0.567106227106227,4238.629193541198
max_positive_width_rate,full,9,0.5804081722874826,0.5245421245421246,3966.8213358573257
max_positive_width_rate,full,10,0.5744275004755949,0.4940659340659341,3818.653755271384
max_positive_width_rate,full,11,0.5641230030748318,0.5687179487179488,4246.397303984135
max_positive_width_rate,full,12,0.5626949048247223,0.4673260073260074,3861.7785680636343
max_positive_width_rate,full,13,0.6026689976689977,0.5456410256410257,3875.888318239094
max_positive_width_rate,full,14,0.5633871674997355,0.512087912087912,4043.346226939843
max_positive_width_rate,full,15,0.5754949527181832,0.44454212454212455,3671.180709832861
max_positive_width_rate,full,16,0.5736937507231278,0.5966666666666667,4258.667989403017
max_positive_width_rate,full,17,0.5966381860397044,0.5264468864468864,3818.653755271384
max_positive_width_rate,full,18,0.607210899365815,0.5342857142857143,3676.49780025402
max_positive_width_rate,full,19,0.5918378200632592,0.580952380952381,4136.973828559325
max_positive_width_rate,full,20,0.5908565557249768,0.4734065934065934,3613.5239234170886
max_positive_width_rate,q20,1,0.3901298701298701,0.2,3616.5809081709144
max_positive_width_rate,q20,2,0.46684704184704184,0.3268253968253968,3734.4295743503417
max_positive_width_rate,q20,3,0.42728715728715727,0.4428571428571429,4139.580880502894
max_positive_width_rate,q20,4,0.4952200577200577,0.3940476190476191,3873.765680081988
max_positive_width_rate,q20,5,0.47016594516594523,0.41500000000000004,3819.93238666585
max_positive_width_rate,q20,6,0.36642857142857144,0.3585714285714286,4226.205452878545
max_positive_width_rate,q20,7,0.4393073593073593,0.42714285714285716,4079.042054463004
max_positive_width_rate,q20,8,0.39549783549783546,0.37333333333333335,4238.629193541198
max_positive_width_rate,q20,9,0.45166666666666666,0.37,3966.8213358573257
max_positive_width_rate,q20,10,0.49870851370851366,0.37317460317460316,3818.653755271384
max_positive_width_rate,q20,11,0.401547619047619,0.3857142857142857,4246.397303984135
max_positive_width_rate,q20,12,0.36962121212121213,0.2822222222222222,3861.7785680636343
max_positive_width_rate,q20,13,0.4566197691197691,0.39682539682539686,3875.888318239094
max_positive_width_rate,q20,14,0.45065656565656564,0.42039682539682544,4043.346226939843
max_positive_width_rate,q20,15,0.4494444444444444,0.31333333333333335,3671.180709832861
max_positive_width_rate,q20,16,0.36595959595959593,0.37333333333333335,4258.667989403017
max_positive_width_rate,q20,17,0.4080100455100455,0.27380952380952384,3818.653755271384
max_positive_width_rate,q20,18,0.49104978354978357,0.4321428571428571,3676.49780025402
max_positive_width_rate,q20,19,0.4377777777777778,0.4083333333333333,4136.973828559325
max_positive_width_rate,q20,20,0.4368939393939394,0.31999999999999995,3613.5239234170886
max_positive_width_rate,q30,1,0.38930503320209203,0.18246753246753247,3616.5809081709144
max_positive_width_rate,q30,2,0.4729166666666666,0.3464285714285714,3734.4295743503417
max_positive_width_rate,q30,3,0.43491395042865627,0.43555555555555553,4139.580880502894
max_positive_width_rate,q30,4,0.4551571141277024,0.3524603174603175,3873.765680081988
max_positive_width_rate,q30,5,0.4704676614235438,0.39841269841269844,3819.93238666585
max_positive_width_rate,q30,6,0.4027014652014652,0.38452380952380955,4226.205452878545
max_positive_width_rate,q30,7,0.45741910866910873,0.4218253968253968,4079.042054463004
max_positive_width_rate,q30,8,0.4268416305916306,0.4329004329004329,4238.629193541198
max_positive_width_rate,q30,9,0.43385836385836385,0.3190476190476191,3966.8213358573257
max_positive_width_rate,q30,10,0.4845070207570208,0.3892063492063492,3818.653755271384
max_positive_width_rate,q30,11,0.42220524573465745,0.4133333333333333,4246.397303984135
max_positive_width_rate,q30,12,0.3516883116883117,0.25742424242424244,3861.7785680636343
max_positive_width_rate,q30,13,0.47711152882205515,0.4173809523809524,3875.888318239094
max_positive_width_rate,q30,14,0.4432936507936508,0.4094444444444444,4043.346226939843
max_positive_width_rate,q30,15,0.4343086325439267,0.2733333333333333,3671.180709832861
max_positive_width_rate,q30,16,0.4057876355670473,0.40793650793650793,4258.667989403017
max_positive_width_rate,q30,17,0.4743050005550005,0.3827272727272727,3818.653755271384
max_positive_width_rate,q30,18,0.5135225885225886,0.43611111111111106,3676.49780025402
max_positive_width_rate,q30,19,0.4561134453781513,0.41785714285714287,4136.973828559325
max_positive_width_rate,q30,20,0.47152319902319906,0.3559523809523809,3613.5239234170886
