model,subset,role,feature_count,features,metric,mean,sd_across_repeats,repeat_blocks
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,keyhole_recall,0.9207142857142857,0.02473272813563335,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,conduction_recall,0.9850000000000001,0.003590176356785998,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,false_negative,5.55,1.7312909694943341,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,false_positive,4.2,1.0052493799000692,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,brier_score,0.026162401219584526,0.0021453493386510403,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,roc_auc,0.9319037046697357,0.01147707162174787,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,pr_auc,0.8976951575332588,0.016584639060521662,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,accuracy,0.8817043435464488,0.02484690267356945,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,balanced_accuracy,0.8740693135214264,0.027133435166581846,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,keyhole_recall,0.8377255647809736,0.04419325581721635,20
