idx,n,err,pmean,q20frac,y,D,logh,B1,kh_frames,partition,cfg,TE
105,20,0.1,0.3838430246350402,1.0,0,94.14768,20.706808861943262,0.7769609261255269,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
106,20,0.0,0.6691934698871975,1.0,1,311.9999,20.788362968602943,0.5058587285887961,39,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
107,20,0.0,0.9355357572759715,0.0,1,302.6767,21.019845598660854,1.2830683315230307,100,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
108,20,1.0,0.36118090566660327,1.0,1,168.0292,20.672882232479186,0.7914133471407223,19,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
109,20,0.0,0.8484813474092988,0.7,1,259.0791,20.834559404764153,0.894381054943073,127,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
110,20,0.1,0.3635076703613433,0.55,0,95.41898,20.69026214269118,0.9175515242899004,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
111,20,0.0,0.005691715023630195,0.0,0,75.02064,20.16387740213794,1.7921722490204637,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
112,20,0.0,0.0061122371309124904,0.0,0,78.63307999999999,20.181396850654306,1.779214189479006,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
113,20,0.0,0.9258842096169758,1.0,1,234.85760000000002,21.119613479665734,0.5484813206049891,44,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
114,20,0.0,0.9766187563174696,0.0,1,302.4097,21.14388311870201,1.2948800828716605,97,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
115,20,0.0,0.8871992601766465,0.4,1,119.8932,21.07326289656434,0.9583468597801755,8,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
116,20,0.0,0.9971529149068601,0.0,1,302.3899,21.39140827331414,1.7372637615055193,120,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
117,20,0.0,0.9999398807596208,0.0,1,305.7462,21.84309044942947,1.7450951765361256,31,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
118,20,0.0,0.9992034636538392,0.0,1,302.7273,21.470183085589326,1.9184169661737758,144,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
119,20,1.0,0.8859094581794011,1.0,0,111.5838,21.018663328636627,0.39583640882565674,0,new-data,0.0002|0.0014|0.0012|0.0021,0.0021
