run_id,repeat,fold,arm,subset,region,accuracy_AULC,balanced_accuracy_AULC,keyhole_recall_AULC,roc_auc_AULC,pr_auc_AULC,brier_score_AULC,conduction_recall_AULC
w85__r15_f03,15,3,A4_model_on_A0_path,B1_q30,FULL_B16_80,0.9521875,0.9456676136363638,0.8913352272727273,0.9966010551948052,0.9961405521561771,0.058642266267828175,1.0
w85__r15_f03,15,3,A4_model_on_A0_path,full81,FULL_B16_80,0.9851466049382716,0.9598958333333334,0.9197916666666668,0.9990609217171718,0.9974566114061365,0.02018534126972589,1.0
w85__r15_f03,15,3,A4_oracle_width_margin,B1_q20,FULL_B16_80,0.9365808823529411,0.9229910714285716,0.8459821428571428,0.9956473214285715,0.9946412158613445,0.07842892900734524,1.0
w85__r15_f03,15,3,A4_oracle_width_margin,B1_q30,FULL_B16_80,0.9565625,0.9506392045454547,0.9012784090909092,0.9978185876623376,0.9974881628787878,0.0572817866192253,1.0
w85__r15_f03,15,3,A4_oracle_width_margin,full81,FULL_B16_80,0.9864969135802468,0.9635416666666667,0.9270833333333334,0.9992503156565656,0.9982072241512346,0.01968303692796479,1.0
w85__r15_f04,15,4,A0_m3_margin,B1_q20,FULL_B16_80,0.700827205882353,0.6616629464285715,0.4397321428571428,0.7959821428571427,0.7774170119315208,0.191195298097934,0.8835937500000002
w85__r15_f04,15,4,A0_m3_margin,B1_q30,FULL_B16_80,0.766875,0.6669146825396826,0.4397321428571428,0.8439360119047619,0.7309822477577861,0.1475650966564822,0.8940972222222223
w85__r15_f04,15,4,A0_m3_margin,full81,FULL_B16_80,0.9259259259259258,0.8444246401918978,0.7198660714285714,0.9748550772921108,0.9109333368862976,0.050309330066106814,0.9689832089552239
w85__r15_f04,15,4,A0_model_on_A1_path,B1_q20,FULL_B16_80,0.7035845588235294,0.6633370535714286,0.4352678571428571,0.7904017857142855,0.7771052762961245,0.19043625726570057,0.8914062500000002
w85__r15_f04,15,4,A0_model_on_A1_path,B1_q30,FULL_B16_80,0.7687499999999999,0.6668526785714286,0.4352678571428571,0.8399677579365079,0.7309249632253835,0.14581214935094747,0.8984375
w85__r15_f04,15,4,A0_model_on_A1_path,full81,FULL_B16_80,0.9268904320987653,0.84412480010661,0.7176339285714286,0.9738056369936035,0.9089484716847062,0.04907202830261072,0.9706156716417912
w85__r15_f04,15,4,A1_model_on_A0_path,B1_q20,FULL_B16_80,0.7017463235294119,0.6627790178571429,0.4419642857142856,0.7933035714285713,0.7768623861257791,0.1920715355300382,0.8835937500000002
w85__r15_f04,15,4,A1_model_on_A0_path,B1_q30,FULL_B16_80,0.7690625,0.6691158234126984,0.4419642857142856,0.8426339285714284,0.7312317264022987,0.14788761678690227,0.8962673611111112
w85__r15_f04,15,4,A1_model_on_A0_path,full81,FULL_B16_80,0.9271797839506171,0.8456240005330491,0.7209821428571429,0.974580223880597,0.9105936260621834,0.050379488268461475,0.9702658582089554
w85__r15_f04,15,4,A1_predicted_width_margin,B1_q20,FULL_B16_80,0.7045036764705883,0.6641183035714285,0.4352678571428571,0.7848214285714286,0.7735247391497391,0.19297077640345783,0.8929687500000001
w85__r15_f04,15,4,A1_predicted_width_margin,B1_q30,FULL_B16_80,0.7709375,0.6683717757936509,0.4352678571428571,0.8370535714285714,0.7284901520704437,0.14713045606807792,0.9014756944444444
w85__r15_f04,15,4,A1_predicted_width_margin,full81,FULL_B16_80,0.9279513888888888,0.8447661247334756,0.7176339285714286,0.972914445628998,0.9070862297991912,0.049415872682075514,0.9718983208955225
w85__r15_f04,15,4,A4_model_on_A0_path,B1_q20,FULL_B16_80,0.7045036764705883,0.6657924107142856,0.44642857142857134,0.794642857142857,0.779221274756989,0.1907186896837727,0.8851562500000001
w85__r15_f04,15,4,A4_model_on_A0_path,B1_q30,FULL_B16_80,0.7721874999999999,0.6726500496031746,0.44642857142857134,0.843501984126984,0.7329750985475776,0.14709332733953234,0.8988715277777778
w85__r15_f04,15,4,A4_model_on_A0_path,full81,FULL_B16_80,0.9271797839506173,0.8465068630063968,0.7232142857142858,0.974863406183369,0.911403099033264,0.050154368146945544,0.9697994402985075
w85__r15_f04,15,4,A4_oracle_width_margin,B1_q20,FULL_B16_80,0.7045036764705883,0.666796875,0.4531249999999999,0.7973214285714285,0.7810140937931116,0.18895322207095708,0.8804687500000001
w85__r15_f04,15,4,A4_oracle_width_margin,B1_q30,FULL_B16_80,0.7753125000000001,0.6768663194444444,0.4531249999999999,0.84734623015873,0.7378783486369489,0.14548217284248946,0.900607638888889
w85__r15_f04,15,4,A4_oracle_width_margin,full81,FULL_B16_80,0.9289158950617283,0.8488805970149254,0.7265625000000001,0.9753631396588486,0.913074278417464,0.04938292500947106,0.9711986940298508
w85__r15_f05,15,5,A0_m3_margin,B1_q20,FULL_B16_80,0.8841911764705884,0.8404447115384616,0.7578125,0.912109375,0.7064825148809524,0.10720404473754819,0.9230769230769232
w85__r15_f05,15,5,A0_m3_margin,B1_q30,FULL_B16_80,0.9193749999999999,0.8917214912280703,0.8385416666666665,0.9466831140350879,0.8198277417027418,0.08054561687477702,0.9449013157894738
w85__r15_f05,15,5,A0_m3_margin,full81,FULL_B16_80,0.9751157407407407,0.9597774621212121,0.9354166666666668,0.9938604797979798,0.9733571331234234,0.025216074414653736,0.9841382575757575
w85__r15_f05,15,5,A0_model_on_A1_path,B1_q20,FULL_B16_80,0.8795955882352944,0.834735576923077,0.75,0.907001201923077,0.7044921874999999,0.11055041006220678,0.919471153846154
w85__r15_f05,15,5,A0_model_on_A1_path,B1_q30,FULL_B16_80,0.9099999999999999,0.8837719298245614,0.8333333333333333,0.9424342105263159,0.8160708648989898,0.08387653765347347,0.9342105263157896
w85__r15_f05,15,5,A0_model_on_A1_path,full81,FULL_B16_80,0.9722222222222222,0.9571969696969697,0.9333333333333335,0.9933712121212122,0.9718945034892332,0.02631760113626487,0.981060606060606
w85__r15_f05,15,5,A1_model_on_A0_path,B1_q20,FULL_B16_80,0.8832720588235297,0.8384915865384616,0.75390625,0.9133112980769231,0.6915705605158731,0.10329295033015101,0.9230769230769232
w85__r15_f05,15,5,A1_model_on_A0_path,B1_q30,FULL_B16_80,0.9181250000000001,0.8900082236842106,0.8359374999999999,0.9473684210526317,0.8135901424963925,0.07766505534951607,0.9440789473684212
w85__r15_f05,15,5,A1_model_on_A0_path,full81,FULL_B16_80,0.9747299382716048,0.9591382575757577,0.9343750000000002,0.9939393939393939,0.9731977176576757,0.024361038100269843,0.9839015151515151
w85__r15_f05,15,5,A1_predicted_width_margin,B1_q20,FULL_B16_80,0.8823529411764708,0.8365384615384616,0.75,0.9127103365384617,0.6787667410714286,0.10469834193711341,0.9230769230769232
w85__r15_f05,15,5,A1_predicted_width_margin,B1_q30,FULL_B16_80,0.91625,0.8878837719298247,0.8333333333333333,0.9480537280701757,0.8105773133116884,0.07929510848512691,0.9424342105263159
w85__r15_f05,15,5,A1_predicted_width_margin,full81,FULL_B16_80,0.9741512345679012,0.9583806818181818,0.9333333333333335,0.994018308080808,0.9732096210932923,0.024970907967548396,0.9834280303030303
w85__r15_f05,15,5,A4_model_on_A0_path,B1_q20,FULL_B16_80,0.8823529411764708,0.837890625,0.75390625,0.9139122596153848,0.6946893601190477,0.10381338246009134,0.9218750000000002
w85__r15_f05,15,5,A4_model_on_A0_path,B1_q30,FULL_B16_80,0.9181250000000001,0.8900082236842106,0.8359374999999999,0.947916666666667,0.8156229187479188,0.07760522901459668,0.9440789473684212
w85__r15_f05,15,5,A4_model_on_A0_path,full81,FULL_B16_80,0.9747299382716048,0.9591382575757577,0.9343750000000002,0.9940025252525253,0.9734976149541142,0.02431996331144786,0.9839015151515151
w85__r15_f05,15,5,A4_oracle_width_margin,B1_q20,FULL_B16_80,0.8667279411764706,0.827674278846154,0.75390625,0.9094050480769231,0.6866536458333334,0.11039254678854067,0.9014423076923078
