arm,budget,runs,mae_mean,mae_q1,mae_q3,rmse_mean,rmse_q1,rmse_q3,r2_mean,r2_q1,r2_q3,relative_rmse_mean,relative_rmse_q1,relative_rmse_q3,spearman_true_vs_predicted_mean,spearman_true_vs_predicted_q1,spearman_true_vs_predicted_q3,mean_predicted_sd_mean,mean_predicted_sd_q1,mean_predicted_sd_q3,n_width_observations_mean,n_width_observations_q1,n_width_observations_q3,chosen_ridge_linear_fraction,chosen_ridge_quadratic_fraction,chosen_gp_matern_fraction
A1_predicted_width_margin,37,100,5.639623634740203,5.250154679986969,5.880946996133707,7.348252332773452,6.7823491124570765,7.726344181894112,0.1606404773336734,0.07732758237149848,0.2909868799426514,0.9104107440923407,0.8420281778224401,0.9605580961574006,0.38766864745878044,0.3171049254139803,0.4639125441821256,8.153495190431546,7.176953793325709,9.293097652177195,32.88,32.0,34.0,0.19,0.58,0.23
A1_predicted_width_margin,38,100,5.646975775329779,5.259553251335438,5.878077036329179,7.35963485591748,6.805210587966713,7.777358538403999,0.15509765395277156,0.07181625331167626,0.2918315361533076,0.9133598778467232,0.8415257854174016,0.9634229295541532,0.3881685906014777,0.3230803134205755,0.46755450706161245,8.129986065520512,7.000954949413795,9.218713587490868,33.72,33.0,35.0,0.19,0.58,0.23
A1_predicted_width_margin,39,100,5.628690102341798,5.214873134295416,5.891664365847312,7.336520242602058,6.785136959519402,7.7587288075594865,0.15715648947803604,0.0838119932662244,0.2955798219025463,0.9119493359492823,0.8392949359355171,0.9571771000764323,0.3881295574027616,0.3176343796851985,0.4667110826096389,8.13783016864536,7.121844364843125,9.330432453017929,34.63,34.0,36.0,0.19,0.58,0.23
A1_predicted_width_margin,40,100,5.599287292125146,5.126972121285851,5.920385950712147,7.339135600436972,6.726045895070522,7.858699583476694,0.15304981731213144,0.064686535166281,0.29610833160336997,0.9133565023385559,0.8389824205387025,0.9671160538867642,0.38437867459261904,0.3150608964962592,0.4516975361974253,7.675992083269575,6.749353547981608,8.55986512786248,35.51,35.0,36.25,0.21,0.39,0.4
A1_predicted_width_margin,41,100,5.618861321458772,5.140370372239676,5.91046706986059,7.351515870416952,6.7101880505078135,7.813621893391658,0.14640600891748576,0.05938371875770351,0.29958688689534635,0.9168968196165064,0.8369056025125474,0.9698536086850553,0.378436779397237,0.3096788785942506,0.44360060964276415,7.733501256971305,6.860862714686864,8.936873997275397,36.42,36.0,37.0,0.21,0.39,0.4
A1_predicted_width_margin,42,100,5.56695460399691,5.0908614330077295,5.90340094307345,7.256926379331805,6.6697212965030905,7.785012308724109,0.1678775502094345,0.06547503119529485,0.3025985699965904,0.9058439463536899,0.8351039791728019,0.9667082627215506,0.37806542005753657,0.30445193872789866,0.4480364865596762,7.7240962486599445,7.00939041706696,8.752714457489034,37.4,37.0,38.0,0.21,0.39,0.4
A1_predicted_width_margin,43,100,5.524417141307034,5.044213144730559,5.886366109006107,7.186323333218501,6.582926216171109,7.707670915699518,0.18308031667666985,0.08896168443103541,0.3313775238091302,0.8973622942879491,0.8176918843698191,0.9544816768815566,0.3825473312996433,0.306367036969312,0.45564109150144905,7.766421498713828,7.004272829731219,8.599197271424941,38.35,37.0,39.0,0.21,0.39,0.4
A1_predicted_width_margin,44,100,5.496920750255822,5.012332328000195,5.828418739112837,7.143779671304932,6.50586809430526,7.684867650418671,0.19227241170952364,0.10301675610277833,0.3381764360590147,0.8921450293368909,0.8135234245757185,0.9470919909627118,0.38520471503961834,0.3191166343599987,0.4657904297862172,7.792011791029748,7.121544018840879,8.57835482497226,39.32,38.0,40.0,0.21,0.39,0.4
A1_predicted_width_margin,45,100,5.488447163421367,4.999440458644747,5.823119621979029,7.124474260001222,6.504737864633091,7.707698940102279,0.19283759374738985,0.10087322560865483,0.3525187496626083,0.8914687477858078,0.8046618534944494,0.9482222077255478,0.3887762885955347,0.32020405226781307,0.4619194065529395,7.771347386666329,7.145305979310195,8.530539002122167,40.28,39.0,41.0,0.21,0.39,0.4
A1_predicted_width_margin,46,100,5.483768673649671,4.98907386510489,5.843492919419566,7.106280333610041,6.481624015846754,7.713890835374668,0.19636480430044156,0.09852718285689305,0.3498759498674447,0.889691187666163,0.8063013511373163,0.9494592085244096,0.39082473815846264,0.3195437957417048,0.4670529333711547,7.757435436239042,6.989585352778013,8.310787716524942,41.23,40.0,42.0,0.21,0.39,0.4
A1_predicted_width_margin,47,100,5.464292868923605,5.001501741260525,5.841164516753475,7.0826931690415655,6.522756079275871,7.69774999223316,0.20207504019361686,0.09608910931763764,0.34254074991484074,0.8871329340679407,0.8108354146605885,0.9507404272514514,0.3917222704602024,0.31542389441878005,0.4710117044969886,7.673421313314265,7.016901681704524,8.36898627078828,42.21,41.0,43.0,0.21,0.39,0.4
A1_predicted_width_margin,48,100,5.371835293521606,4.981834970490495,5.690993364366513,7.02890535012298,6.498870998876933,7.559351292744834,0.21379907298413545,0.11431009169183481,0.3325192813794967,0.8814917280131408,0.816994212221427,0.941110994983911,0.3998478259562752,0.33399839739932036,0.4734229181497421,7.428106587805773,6.7686455116628625,8.179206471345628,43.21,42.0,44.0,0.14,0.35,0.51
A1_predicted_width_margin,49,100,5.346549098266297,4.970230961729313,5.666825822519892,6.962209856244524,6.33320265496283,7.555304820295012,0.22677819836023644,0.11557219486615322,0.3594231548665445,0.8738716879086452,0.800360443359394,0.9404402167788992,0.40114517732373806,0.3376135317969947,0.47360175629308265,7.420750046967617,6.804665276439362,8.157216905344342,44.2,43.0,45.0,0.14,0.35,0.51
A1_predicted_width_margin,50,100,5.319137188796038,4.898116321732511,5.639765578054239,6.931876313955517,6.351758430248515,7.5241453947011925,0.23296092871620086,0.1290123976575145,0.34624661197898093,0.8705491235595718,0.8085492682076618,0.9332671555769809,0.4040238717582252,0.33700982522845774,0.48085161988790953,7.358798919029664,6.748079525709429,7.788911326353818,45.18,44.0,46.0,0.14,0.35,0.51
A1_predicted_width_margin,51,100,5.328830926180821,4.955195073113468,5.671989996959575,6.94651604704352,6.351002900383209,7.527685864325694,0.22837054729987397,0.1261018912660661,0.35250551969059285,0.8729665099152838,0.8046704111941243,0.9348247614255681,0.4069397397729215,0.336483248296478,0.49444745164435144,7.332923278698872,6.8372119610560915,7.791151872119471,46.16,45.0,47.0,0.14,0.35,0.51
