contrast,role,subset,region,metric,mean_difference,ci_lower,ci_upper,positive_repeat_blocks,negative_repeat_blocks,bootstrap_draws
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,full81,FULL_B16_80,conduction_recall,-0.000641536635006773,-0.0010868615021483678,-0.00023898131854927805,6,14,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,EARLY_B16_40,accuracy,0.0026225490196078614,-0.0012380514705882513,0.006740502450980424,11,9,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,EARLY_B16_40,balanced_accuracy,0.0049031795750545835,0.0007421249034530538,0.009225902923754482,13,7,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,EARLY_B16_40,keyhole_recall,0.012931630291005313,0.0037417328042328303,0.022528536292989454,12,8,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,EARLY_B16_40,roc_auc,0.001642618666056167,-0.0013754365498506128,0.004591438429914992,14,6,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,EARLY_B16_40,pr_auc,0.0011127326210258414,-0.002476057704000781,0.004847914513585126,10,10,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,EARLY_B16_40,brier_score,0.0004396792696744284,-0.0021679924343368847,0.003625511673258868,9,11,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,EARLY_B16_40,conduction_recall,-0.0031252711408961075,-0.00872097446824005,0.00301377982549858,6,14,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,FULL_B16_80,accuracy,0.0073391544117646975,0.0040576746323529,0.010726102941176435,16,3,10000
A4_oracle_width_margin - A0_m3_margin,ORACLE headroom - NOT DEPLOYABLE,B1_q20,FULL_B16_80,balanced_accuracy,0.012071985848353072,0.008026428202331558,0.015984551662530194,17,3,10000
