arm,model,path,budget,accuracy
Y11,M1,A1,56,0.8358823529411764
Y11,M1,A1,57,0.8376470588235294
Y11,M1,A1,58,0.8364705882352941
Y11,M1,A1,59,0.8358823529411764
Y11,M1,A1,60,0.84
Y11,M1,A1,61,0.8394117647058823
Y11,M1,A1,62,0.8394117647058823
Y11,M1,A1,63,0.84
Y11,M1,A1,64,0.8411764705882352
Y11,M1,A1,65,0.8417647058823529
Y11,M1,A1,66,0.8417647058823529
Y11,M1,A1,67,0.8435294117647057
Y11,M1,A1,68,0.8441176470588235
Y11,M1,A1,69,0.8441176470588235
Y11,M1,A1,70,0.8447058823529412
Y11,M1,A1,71,0.8441176470588235
Y11,M1,A1,72,0.8447058823529412
Y11,M1,A1,73,0.8452941176470589
Y11,M1,A1,74,0.8458823529411764
Y11,M1,A1,75,0.8452941176470589
Y11,M1,A1,76,0.8458823529411764
Y11,M1,A1,77,0.8464705882352941
Y11,M1,A1,78,0.8464705882352941
Y11,M1,A1,79,0.8464705882352941
Y11,M1,A1,80,0.8458823529411764
