dataset,name,observed_target,isotropic_predicted_mean,isotropic_predicted_std,isotropic_absolute_error,isotropic_squared_error,ard_observed_target_check,ard_predicted_mean,ard_predicted_std,ard_absolute_error,ard_squared_error,paired_absolute_error_improvement_isotropic_minus_ard,paired_squared_error_improvement_isotropic_minus_ard,paired_outcome
clean,P-149p254341218_VX-0p887957223036_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p10571289147e-06_H-306f9d252b,8108.0,9942.546245739157,1710.4569679088283,1834.546245739155,3365559.927755628,8108.0,8648.32972874751,1151.9516347503982,540.3297287475107,291956.21576835844,1294.2165169916443,3073603.711987269,ARD_improved
clean,P-243p936893462_VX-0p545516283598_LS-5p6904291389e-05_ST-360p082453969_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p84322017154e-06_H-e0ed0fec98,16538.0,17500.872537678588,4456.118116766524,962.8725376785878,927123.5238156036,16538.0,16409.681652136944,2556.7248478128668,128.31834786305626,16465.598398304315,834.5541898155316,910657.9254172993,ARD_improved
clean,P-52p5445860993_VX-0p633129978235_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p95323714861e-06_H-306f9d252b,13322.0,10244.696303307332,2165.080798112742,3077.3036966926666,9469798.04167835,13322.0,8827.105220442361,1249.4807312392716,4494.894779557639,20204079.079294514,-1417.5910828649721,-10734281.037616163,ARD_worsened
clean,P-53p4525830151_VX-0p394191978834_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-4p7433308439e-06_H-306f9d252b,9915.0,14527.778485865305,2827.953579583492,4612.778485865303,21277725.3596618,9915.0,21052.239311028083,3551.62983573624,11137.239311028083,124038099.47110929,-6524.46082516278,-102760374.11144748,ARD_worsened
clean,P-55p2363598851_VX-0p252312006514_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p41059847866e-06_H-fb250c7cf9,14268.0,12867.912009726544,977.88881539182,1400.087990273456,1960246.3805079649,14268.0,12747.812467277505,1335.6268358122434,1520.1875327224952,2310970.1346449074,-120.09954244903929,-350723.75413694256,ARD_worsened
clean,P-59p3859586774_VX-0p222677981218_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p39680224058e-06_H-306f9d252b,15242.0,16634.975120020175,829.8590876823041,1392.9751200201754,1940379.684995222,15242.0,16551.592008476684,936.8638509904619,1309.592008476684,1715031.2286659952,83.3831115434914,225348.45632922673,ARD_improved
clean,P-63p4364244112_VX-0p87794698955_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p12972194663e-06_H-306f9d252b,5389.0,7788.600593964067,2209.6402340019968,2399.6005939640672,5758083.010552704,5389.0,8654.408997512479,2488.0187142467157,3265.408997512479,10662895.921035452,-865.8084035484117,-4904812.9104827475,ARD_worsened
clean,P-67p3007401579_VX-0p639039009111_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p92592931724e-06_H-306f9d252b,8852.0,9053.79984467618,1305.7493606451412,201.79984467617945,40723.17731133014,8852.0,11057.673621581587,1030.7579385920271,2205.673621581587,4864996.124940835,-2003.8737769054078,-4824272.947629505,ARD_worsened
clean,P-71p6599397131_VX-0p537693260466_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p47741567376e-06_H-306f9d252b,10329.0,8986.213212446786,791.9784973822152,1342.7867875532138,1803076.35682748,10329.0,9090.817221520445,1134.915582292596,1238.182778479555,1533096.5929233509,104.60400907365874,269979.76390412915,ARD_improved
clean,P-71p8781037338_VX-0p56768277259_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p29371096306e-06_H-306f9d252b,8696.0,9599.36398456302,661.2659143473209,903.3639845630204,816066.4886055771,8696.0,10388.910855868584,971.6168242699061,1692.910855868584,2865947.165917701,-789.5468713055635,-2049880.677312124,ARD_worsened
clean,P-72p876222127_VX-0p956216556443_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-1p95539698515e-06_H-306f9d252b,4840.0,5094.926866335723,3005.461785670171,254.9268663357234,64987.70717975178,4840.0,8706.777930524355,2997.7382076686886,3866.777930524355,14951971.563990213,-3611.8510641886314,-14886983.856810462,ARD_worsened
