name,observed_target,clean_trained_prediction,clean_trained_std,clean_trained_absolute_error,broad_observed_target_check,broad_trained_prediction,broad_trained_std,broad_trained_absolute_error,paired_improvement_clean_minus_broad,paired_outcome
P-93p7887593651_VX-0p596649793105_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p13380310062e-06_H-306f9d252b,9653.0,12090.097169545614,878.1854295343487,2437.0971695456137,9653.0,12015.308670644969,2714.816549411446,2362.3086706449685,74.78849890064521,improved_by_broad_training
P-97p6596954152_VX-0p666705631564_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p80451054123e-06_H-b0e5aed98c,9719.0,7864.4260137910605,1828.966728991337,1854.5739862089395,9719.0,8015.399837976642,5391.0188811892085,1703.6001620233583,150.97382418558118,improved_by_broad_training
P-99p5435087092_VX-0p559592851831_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p34132747676e-06_H-306f9d252b,13785.0,10852.550971488803,623.1259472852944,2932.449028511197,13785.0,10937.698957441316,2123.4678876805806,2847.3010425586835,85.14798595251341,improved_by_broad_training
P-100p408926704_VX-0p564694322144_LS-6p38706769001e-05_ST-381p633419878_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p54288845105e-06_H-790e4fd6dd,17386.0,17978.095471051136,2172.8079333397427,592.095471051136,17386.0,33650.03242412683,15182.192054981775,16264.032424126832,-15671.936953075696,worsened_by_broad_training
P-102p025474754_VX-0p424029390103_LS-7p94734719352e-05_ST-354p238131711_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13768543304e-05_H-6f31342894,23150.0,22927.245809104545,717.4651326739377,222.7541908954554,23150.0,30788.477789363347,12158.988219623636,7638.477789363347,-7415.723598467892,worsened_by_broad_training
P-102p449509144_VX-0p918837420936_LS-5p51471704636e-05_ST-339p471112188_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25024394207e-06_H-b41981edcb,10686.0,12279.842921463034,1966.8830631184164,1593.8429214630341,10686.0,20646.466710656903,18060.26403237503,9960.466710656903,-8366.623789193869,worsened_by_broad_training
P-110p110895975_VX-0p451651242475_LS-8p6859144947e-05_ST-349p969995372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06810745755e-05_H-6f31342894,21148.0,21786.165164928112,1143.8842509543447,638.1651649281121,21148.0,33525.350262471606,15465.071436068842,12377.350262471606,-11739.185097543494,worsened_by_broad_training
P-110p131967455_VX-0p225166085115_LS-5p63312318207e-05_ST-326p092691949_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p14247212255e-05_H-b41981edcb,42436.0,33129.38038835357,1150.8308025846234,9306.619611646427,42436.0,31472.581846008867,20256.88250338101,10963.418153991133,-1656.7985423447062,worsened_by_broad_training
P-118p139890353_VX-0p847347819728_LS-5p08934239386e-05_ST-372p913421628_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69319999497e-06_H-d7a336064e,11588.0,11998.860006453124,1767.8373179572675,410.8600064531238,11588.0,21660.815524725233,12244.401623883758,10072.815524725233,-9661.955518272109,worsened_by_broad_training
P-121p661876009_VX-0p281641526906_LS-7p16631028882e-05_ST-330p429005364_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p71285841829e-05_H-25d163a2a5,32976.0,35377.15588100244,1884.7553347904663,2401.1558810024435,32976.0,51615.108674343246,18784.58341446791,18639.108674343246,-16237.952793340803,worsened_by_broad_training
P-126p512169142_VX-0p57236868357_LS-7p44940442576e-05_ST-386p738254947_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p42834477408e-06_H-d7a336064e,16689.0,16731.608071721705,1167.9785815036828,42.60807172170462,16689.0,31330.281080408742,12734.713368859697,14641.281080408742,-14598.673008687038,worsened_by_broad_training
P-128p682231034_VX-0p601925389683_LS-8p082715257e-05_ST-394p322355105_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p01448266795e-06_H-b41981edcb,15870.0,15760.006828577243,1524.9518915832016,109.99317142275686,15870.0,25395.95691668338,17203.280377842286,9525.956916683379,-9415.963745260622,worsened_by_broad_training
P-129p569646497_VX-0p287154347682_LS-6p5197985882e-05_ST-393p701994752_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p67997477383e-05_H-b41981edcb,32343.0,32997.464231863545,1626.073764559586,654.4642318635451,32343.0,72009.61622867658,12720.434378336859,39666.616228676576,-39012.15199681303,worsened_by_broad_training
P-131p049819122_VX-0p780196421599_LS-5p30845028915e-05_ST-389p742843455_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p18321293134e-06_H-b41981edcb,12245.0,12145.456004537627,772.1400132973733,99.54399546237255,12245.0,23962.731645412583,13316.96892409391,11717.731645412583,-11618.18764995021,worsened_by_broad_training
P-132p12166853_VX-0p788188085218_LS-6p42596953306e-05_ST-382p443068729_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p1205195733e-06_H-b41981edcb,12121.0,12262.343479140363,692.6902998139269,141.34347914036334,12121.0,18286.455950083313,16067.91146040258,6165.455950083313,-6024.11247094295,worsened_by_broad_training
P-134p93654729_VX-0p343298656719_LS-5p9412954069e-05_ST-389p435734624_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p40522559835e-05_H-b41981edcb,27047.0,26818.54118958886,2015.0592630319343,228.45881041113898,27047.0,60182.6492310569,13501.398525728551,33135.6492310569,-32907.19042064576,worsened_by_broad_training
P-137p056736091_VX-0p84145784316_LS-6p02926393206e-05_ST-342p992007776_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p73305085006e-06_H-ddeae69a6e,11669.0,11071.700739697257,1868.875056567434,597.2992603027433,11669.0,21086.010809209205,15086.434791115807,9417.010809209205,-8819.711548906462,worsened_by_broad_training
P-139p185905374_VX-0p93275027917_LS-8p26285474625e-05_ST-371p150203889_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p17193155633e-06_H-b789300819,10242.0,10224.161072844927,2007.0317434972878,17.83892715507318,10242.0,41329.18545377868,15223.617941177707,31087.18545377868,-31069.346526623605,worsened_by_broad_training
P-140p314676599_VX-0p596196399995_LS-8p19973378232e-05_ST-342p525649343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p09149569346e-06_H-95fb07b078,15578.0,15318.062135685454,2058.972130242631,259.93786431454646,15578.0,52294.27633830583,14671.413773116039,36716.27633830583,-36456.33847399129,worsened_by_broad_training
