benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,acquisition_time_seconds,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_score,acquisition_selected_p_plus,acquisition_selected_membership_uncertainty,acquisition_selected_straddle_score,acquisition_weighted_variance_reduction,acquisition_reference_set_size,acquisition_candidate_gate_size,acquisition_candidate_gate_fraction,acquisition_posterior_covariance_used,acquisition_p_star,acquisition_U_current,acquisition_U_plus,acquisition_U_minus,acquisition_expected_future_uncertainty,acquisition_expected_uncertainty_reduction,acquisition_shortlist_size,acquisition_fantasy_refit_time_seconds,acquisition_fantasy_refit_mode,acquisition_shortlist_source,acquisition_selected_uncertainty_score,acquisition_selected_repulsion
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,40,51,52,826,0.446315554633967,0.2951408999997511,False,False,False,813,0.014269892247327158,0.44998180529619036,0.24749818019857178,1.7323763261447116,0.014269892247327158,1500,1185,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,41,52,53,74,0.46058345110848586,0.29935219999970286,False,False,False,72,0.012829603628963817,0.3375673041870842,0.22361561933094878,0.9746146336819763,0.012829603628963817,1500,1185,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,42,53,54,3833,0.09591344547906755,0.2965812000002188,True,True,True,3781,0.012925528142722761,0.6674667569975515,0.22195488530072302,1.0794946096648863,0.012925528142722761,1500,1185,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,43,54,55,666,1.466726944218413,0.2924723999985872,False,False,False,654,0.013305419797107467,0.38798127689929846,0.23745180567488833,1.289029317455568,0.013305419797107467,1500,1184,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,44,55,56,3568,0.17361639154262964,0.3004049000010127,False,True,True,3516,0.01320942225652655,0.6965304930248549,0.21137576531140745,1.1490220022108228,0.01320942225652655,1500,1184,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,45,56,57,1487,0.6441893316696773,0.2900851000013063,False,False,False,1461,0.012645556405314187,0.48486360187947414,0.24977088945193696,1.6422451529516715,0.012645556405314187,1500,1184,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,46,57,58,1860,0.14690747565579965,0.30033759999969334,False,True,True,1825,0.011882605488916741,0.5609094947749466,0.24629003344626077,1.1630274137480103,0.011882605488916741,1500,1183,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,47,58,59,3018,0.3984002392711481,0.30309069999930216,False,False,False,2966,0.011205292402056068,0.6559684637562659,0.22567383831351034,1.0523088135768521,0.011205292402056068,1500,1183,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,48,59,60,2484,0.7257288440237304,0.29938860000038403,False,False,False,2440,0.012124704499115601,0.6163601508909019,0.23646031528464653,1.3217241419089918,0.012124704499115601,1500,1183,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,49,60,61,3846,0.0726834481407782,0.299004700000296,True,True,True,3787,0.011363783449126212,0.6079851463711679,0.23833920816319745,1.134199881495032,0.011363783449126212,1500,1182,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
