experiment_name,week6_simulation_id,week6_original_hash,week6_metadata_path,week6_metadata_sha256,week6_dataset_revision
P-134p442185153_VX-0p806363522352_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p3187841709e-06_H-b0e5aed98c,sim_00027,b0e5aed98c,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00027\metadata.json,7a8f6dc25accda8022b6b0fc15ba971feff37bc3a4f647738664744c48f7a90b,0e859b748fdbc8454f66e58e101e333ac0479d42
P-135p171981101_VX-0p652238458987_LS-5p89001447273e-05_ST-362p997098414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p39625291417e-06_H-01d46950f6,sim_00028,01d46950f6,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00028\metadata.json,5c7a19f32e739012d5dcdf9e37288f0a63aab131b5ea15fe47b973f84981be1d,0e859b748fdbc8454f66e58e101e333ac0479d42
P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,sim_00029,fb250c7cf9,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00029\metadata.json,646d99b7430a8382742d26ec13dc7f20850468183af6e974cc0e4da91e43e1f0,0e859b748fdbc8454f66e58e101e333ac0479d42
P-136p115095044_VX-0p8200930762_LS-6p39666133344e-05_ST-362p502989524_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p88240620853e-06_H-f575443233,sim_00030,f575443233,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00030\metadata.json,fedfb7deae7551d24bf898fdfe1104b7ee9efc3597fd0adb0098a4598956b1b9,0e859b748fdbc8454f66e58e101e333ac0479d42
P-136p984349172_VX-0p357723834949_LS-5p17808569448e-05_ST-373p061688931_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p34856001521e-05_H-270d04032e,sim_00031,270d04032e,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00031\metadata.json,df8a98cf89a1b41d428698be31e07bba66020c7685146d5b37256e4391fe3935,0e859b748fdbc8454f66e58e101e333ac0479d42
P-137p340072051_VX-0p708357837186_LS-8p48461574474e-05_ST-331p337392673_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p81028761138e-06_H-701e6757d1,sim_00032,701e6757d1,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00032\metadata.json,f6e72cc53074ea7f05fc1cbed6ca15a4af703235cda83b1200837fcf4567b4fd,0e859b748fdbc8454f66e58e101e333ac0479d42
P-137p601432421_VX-0p461948695475_LS-6p48780591522e-05_ST-397p490087405_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p04429791669e-05_H-ef2aaf59fd,sim_00033,ef2aaf59fd,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00033\metadata.json,343c174b86998b695ede968a711e11932a6235d07de6d3081cfc02234b1ccc93,0e859b748fdbc8454f66e58e101e333ac0479d42
P-138p247900083_VX-0p876957934743_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p13212389961e-06_H-306f9d252b,sim_00034,306f9d252b,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00034\metadata.json,453b3468cf004294c722a1ccbf56fa1cd350ddb8842b528d93b0cb09e1522119,0e859b748fdbc8454f66e58e101e333ac0479d42
P-139p278080234_VX-0p813607985113_LS-8p25985701782e-05_ST-356p830860854_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p9292935803e-06_H-6014a1f9c3,sim_00035,6014a1f9c3,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00035\metadata.json,6b03052cd6a8cc992358806ee32bb0f36179568a343b8dce660720f454018366,0e859b748fdbc8454f66e58e101e333ac0479d42
P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,sim_00036,fb250c7cf9,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00036\metadata.json,ce96051ce7f2fe80c7e5e35f1ab3aa0001f8bb67c2e2a1ec3a03e1c4306482bf,0e859b748fdbc8454f66e58e101e333ac0479d42
P-140p320645521_VX-0p612281673664_LS-8p56006119926e-05_ST-348p910931315_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p87892372174e-06_H-dd169576f0,sim_00037,dd169576f0,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00037\metadata.json,db2467ff914df9dfe539a45e8d0ca4a1d42e687f1c11ddcb5f74b2ffaed927eb,0e859b748fdbc8454f66e58e101e333ac0479d42
P-140p539865228_VX-0p255658736827_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p31358918074e-06_H-fb250c7cf9,sim_00038,fb250c7cf9,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00038\metadata.json,53fa9807c6254e4c12edddac8ef5dae36bf94b8507e276d7b4d3fc462880a2a2,0e859b748fdbc8454f66e58e101e333ac0479d42
P-140p573028588_VX-0p551169304036_LS-6p78791919712e-05_ST-377p8442615_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p16896078445e-05_H-bf889bf790,sim_00039,bf889bf790,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00039\metadata.json,8f528371f03d4a3ea9c872e96c6396a64590ef286a4391037014067ac3a4c92a,0e859b748fdbc8454f66e58e101e333ac0479d42
P-140p974625597_VX-0p98622838083_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-1p89589248085e-06_H-b0e5aed98c,sim_00040,b0e5aed98c,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00040\metadata.json,b8d8140035aa3158c767d5880e7a400b384f485ff07605781c4b2b8543363a3e,0e859b748fdbc8454f66e58e101e333ac0479d42
P-143p879945116_VX-0p336279357485_LS-6p76007351295e-05_ST-398p207663754_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p91595257833e-05_H-bf889bf790,sim_00041,bf889bf790,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00041\metadata.json,2ebb547116828a7dc03ca0ba70f93c367ecba14f4d06338d3570448a02e90df6,0e859b748fdbc8454f66e58e101e333ac0479d42
P-143p909481867_VX-0p917293492006_LS-5p50242100517e-05_ST-352p206869428_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25908081225e-06_H-cf6d926251,sim_00042,cf6d926251,C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit\data\raw\huggingface\sph_dataset\final_data_processed\sim_00042\metadata.json,a7306680b9f0d34b65d841803992a524dd2b7b326cc62ecf653de00ba6bf7964,0e859b748fdbc8454f66e58e101e333ac0479d42
