experiment_name,partition,week6_simulation_id,XF,sph_v2_folder_domain_max_m,week6_domain_max_reconstructed_m,absolute_error_m,mapping_matches_week6,compatibility_rule
P-136p115095044_VX-0p8200930762_LS-6p39666133344e-05_ST-362p502989524_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p88240620853e-06_H-f575443233,old-data-local,sim_00030,0.0014,0.001212,0.0012119999999999195,8.044780119842443e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-136p984349172_VX-0p357723834949_LS-5p17808569448e-05_ST-373p061688931_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p34856001521e-05_H-270d04032e,old-data-local,sim_00031,0.0014,0.001212,0.001211999999999966,3.404394821604484e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-137p340072051_VX-0p708357837186_LS-8p48461574474e-05_ST-331p337392673_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p81028761138e-06_H-701e6757d1,old-data-local,sim_00032,0.0014,0.001212,0.001211999999999955,4.4885969940899884e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-137p601432421_VX-0p461948695475_LS-6p48780591522e-05_ST-397p490087405_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p04429791669e-05_H-ef2aaf59fd,old-data-local,sim_00033,0.0014,0.001212,0.0012119999999999809,1.9081958235744878e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-138p247900083_VX-0p876957934743_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p13212389961e-06_H-306f9d252b,old-data-local,sim_00034,0.0012,0.001212,0.0012119999999999182,8.174884380540703e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-139p278080234_VX-0p813607985113_LS-8p25985701782e-05_ST-356p830860854_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p9292935803e-06_H-6014a1f9c3,old-data-local,sim_00035,0.0014,0.001212,0.0012119999999999364,6.353424730765056e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,old-data-local,sim_00036,0.0012,0.001212,0.0012119999999999822,1.7780915628762273e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-140p320645521_VX-0p612281673664_LS-8p56006119926e-05_ST-348p910931315_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p87892372174e-06_H-dd169576f0,old-data-local,sim_00037,0.0014,0.001212,0.0012119999999999573,4.2717565595928875e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-140p539865228_VX-0p255658736827_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p31358918074e-06_H-fb250c7cf9,old-data-local,sim_00038,0.0012,0.001212,0.001211999999999993,6.938893903907228e-18,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-140p573028588_VX-0p551169304036_LS-6p78791919712e-05_ST-377p8442615_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p16896078445e-05_H-bf889bf790,old-data-local,sim_00039,0.0014,0.001212,0.0012119999999999685,3.144186300207963e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-140p974625597_VX-0p98622838083_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-1p89589248085e-06_H-b0e5aed98c,old-data-local,sim_00040,0.0012,0.001212,0.0012119999999999512,4.87890977618477e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-143p879945116_VX-0p336279357485_LS-6p76007351295e-05_ST-398p207663754_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p91595257833e-05_H-bf889bf790,old-data-local,sim_00041,0.0014,0.001212,0.0012119999999999828,1.713039432527097e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-143p909481867_VX-0p917293492006_LS-5p50242100517e-05_ST-352p206869428_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25908081225e-06_H-cf6d926251,old-data-local,sim_00042,0.0014,0.001212,0.0012119999999999102,8.977193988179977e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-144p684844876_VX-0p221020126644_LS-8p32765690701e-05_ST-337p418493583_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p18266122469e-05_H-73ae961aa0,old-data-local,sim_00043,0.0014,0.001212,0.0012119999999999967,3.2526065174565133e-18,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-144p999955433_VX-0p569412101686_LS-7p52189895652e-05_ST-349p795043891_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p47210761544e-06_H-24e0a43587,old-data-local,sim_00044,0.0014,0.001212,0.001211999999999961,3.903127820947816e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-145p249113956_VX-0p501139719932_LS-7p51242767898e-05_ST-325p186450026_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p62629863717e-06_H-30d8d23b36,old-data-local,sim_00045,0.0014,0.001212,0.0012119999999999726,2.7321894746634712e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-145p536707456_VX-0p311971481812_LS-7p55813970315e-05_ST-356p422554756_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p54633384276e-05_H-f404b6f8f4,old-data-local,sim_00046,0.0014,0.001212,0.0012119999999999863,1.3660947373317356e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-146p427721311_VX-0p978546391515_LS-4p61745657385e-05_ST-377p807319924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p92988441309e-06_H-c321cc4e90,old-data-local,sim_00047,0.0014,0.001212,0.0012119999999999505,4.9439619065339e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-149p217972816_VX-0p206404715799_LS-4p87379527164e-05_ST-365p118947745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p33721433367e-05_H-b40dbd8ddd,old-data-local,sim_00048,0.0014,0.001212,0.001211999999999996,3.903127820947816e-18,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-149p254341218_VX-0p887957223036_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p10571289147e-06_H-306f9d252b,old-data-local,sim_00049,0.0012,0.001212,0.0012119999999999243,7.567731163948821e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-149p73987868_VX-0p504680707931_LS-6p9723584777e-05_ST-320p536129041_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p55875770008e-06_H-95ed9fb76f,old-data-local,sim_00050,0.0014,0.001212,0.0012119999999999718,2.8189256484623115e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-149p779509657_VX-0p251536582152_LS-4p84927831067e-05_ST-381p35096431_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p91786044071e-05_H-6af407d4ba,old-data-local,sim_00051,0.0014,0.001212,0.0012119999999999915,8.456776945386935e-18,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-150p924001842_VX-0p859014749555_LS-8p54585725094e-05_ST-302p841995718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p6158763345e-06_H-9bd689b964,old-data-local,sim_00052,0.0014,0.001212,0.0012119999999999696,3.0357660829594124e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-151p505871803_VX-0p995509859725_LS-6p72580848008e-05_ST-301p996554082_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p84587928074e-06_H-73846c96ef,old-data-local,sim_00053,0.0014,0.001212,0.0012119999999999527,4.7271214720367993e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-151p630328889_VX-0p596649793105_LS-5p54888002616e-05_ST-323p086654154_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p0798550665e-05_H-bf889bf790,old-data-local,sim_00054,0.0014,0.001212,0.0012119999999999538,4.618701254788249e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-153p721476211_VX-0p579411174254_LS-7p49286492013e-05_ST-383p484527945_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p32590191107e-06_H-8daf8adcd4,old-data-local,sim_00055,0.0014,0.001212,0.001211999999999972,2.7972416050126014e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-155p56408626_VX-0p882684317254_LS-6p13538276829e-05_ST-315p150952839_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46528414374e-06_H-cda596b3bb,old-data-local,sim_00056,0.0014,0.001212,0.0012119999999999622,3.7730235602495554e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-158p404299584_VX-0p530960738208_LS-8p44011119013e-05_ST-377p174397227_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p08564467365e-06_H-fa25be35ef,old-data-local,sim_00057,0.0014,0.001212,0.0012119999999999833,1.6696713456276768e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-158p77294915_VX-0p755822601012_LS-5p98686493415e-05_ST-315p3922311_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p38260961839e-06_H-0d7d85a8f4,old-data-local,sim_00058,0.0014,0.001212,0.001211999999999972,2.7972416050126014e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-159p365045029_VX-0p465685970522_LS-5p71815338387e-05_ST-335p270795676_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p03591710045e-05_H-312d3c9a86,old-data-local,sim_00059,0.0014,0.001212,0.0012119999999999586,4.141652298894627e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-160p556282667_VX-0p957190479289_LS-5p53708249108e-05_ST-363p791890923_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03987524677e-06_H-0590129dfb,old-data-local,sim_00060,0.0014,0.001212,0.0012119999999999594,4.0549161250957866e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-161p701140241_VX-0p559592851831_LS-7p43216837725e-05_ST-378p872335114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p15136442488e-05_H-bf889bf790,old-data-local,sim_00061,0.0014,0.001212,0.0012119999999999536,4.640385298237959e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-163p117472792_VX-0p458171151631_LS-7p76324682791e-05_ST-309p146066051_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p05290797682e-05_H-45d75eceb5,old-data-local,sim_00062,0.0014,0.001212,0.001211999999999972,2.7972416050126014e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
