severity,reason,partition,experiment_name,week6_simulation_id,detail,source_data_removed
WARNING,recording_ends_before_90pct_domain,new-data,P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,,T0 ends at recording end under the exact Week 6 min rule,False
FAIL,extraction_failed,new-data,P-204p165012598_VX-0p624752635414_LS-8p54709329997e-05_ST-334p626206985_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p72164906486e-06_H-4ecd858c02,,missing kinetic-energy_melt.dat; missing position-bounds_melt.dat,False
WARNING,recording_ends_before_90pct_domain,new-data,P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-211p964201781_VX-0p31026524833_LS-8p22948660567e-05_ST-308p041416816_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p5548375556e-05_H-22f5435fc5,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-212p474685749_VX-0p445530901525_LS-8p01654967217e-05_ST-390p176194232_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p08278024858e-05_H-4e23685f04,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-213p315910834_VX-0p426447159191_LS-8p60684535809e-05_ST-346p722503996_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13123525366e-05_H-6aeda8a35c,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-227p095146149_VX-0p485569900572_LS-4p61845747353e-05_ST-309p475761642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p93496630935e-06_H-c5f6eebf67,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,week6_window_instability,new-data,P-227p095146149_VX-0p485569900572_LS-4p61845747353e-05_ST-309p475761642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p93496630935e-06_H-c5f6eebf67,,"CV width=0.00184, length=0.00953, depth=0.165",False
WARNING,recording_ends_before_90pct_domain,new-data,P-230p324353521_VX-0p227660683076_LS-8p68191306555e-05_ST-386p564919231_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p11899592755e-05_H-0602c4a780,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-233p106311211_VX-0p310101846937_LS-6p6327379673e-05_ST-336p786172861_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p55565684328e-05_H-add9572a86,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-241p526098173_VX-0p390351171714_LS-7p60309896784e-05_ST-322p459160533_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p23584119956e-05_H-0e4c2fc094,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-260p125654688_VX-0p378472963537_LS-6p21275317791e-05_ST-359p026868384_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p27462753427e-05_H-0602c4a780,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-261p886347681_VX-0p412060740992_LS-8p23359668267e-05_ST-378p690023731_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p17073045867e-05_H-0e4c2fc094,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-263p723264659_VX-0p501861307944_LS-7p03164616445e-05_ST-399p080626763_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p61245771821e-06_H-1d842653b1,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-264p370573209_VX-0p395776293281_LS-4p78236029631e-05_ST-378p311267492_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p21890085003e-05_H-985b11a49e,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-265p432977562_VX-0p293015283246_LS-7p41925746724e-05_ST-326p902943993_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p64637166689e-05_H-1d842653b1,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-267p46239641_VX-0p483361678819_LS-7p67845272617e-05_ST-366p829607628_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p98035387249e-06_H-1d842653b1,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-270p660461155_VX-0p506275452772_LS-4p55363433165e-05_ST-392p157982605_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p52864804446e-06_H-b5aba20bdc,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-277p972333632_VX-0p331196372511_LS-4p5620211888e-05_ST-324p411035281_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p4565741063e-05_H-0e4c2fc094,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,week6_window_instability,new-data,P-277p972333632_VX-0p331196372511_LS-4p5620211888e-05_ST-324p411035281_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p4565741063e-05_H-0e4c2fc094,,"CV width=0.00464, length=0.0372, depth=0.226",False
WARNING,recording_ends_before_90pct_domain,new-data,P-287p102038097_VX-0p362628106341_LS-6p67475186474e-05_ST-334p763632341_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p33032175903e-05_H-c5f6eebf67,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-293p648784497_VX-0p426690912013_LS-5p33940457289e-05_ST-351p677261216_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13058902058e-05_H-5799d46da7,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-308p624203673_VX-0p258745269308_LS-8p46230110859e-05_ST-352p536460601_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p86442852305e-05_H-19ea1511f8,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-326p931045044_VX-0p255856443683_LS-6p48737236991e-05_ST-399p817710522_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p88547942494e-05_H-9cf0389d20,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,depth_bounding_box_ambiguity_candidate,new-data,P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1,,max-G3=161.567 µm; max/G3=2.074,False
WARNING,recording_ends_before_90pct_domain,new-data,P-340p203296502_VX-0p374609743194_LS-5p54750053524e-05_ST-307p813155606_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p28777232591e-05_H-22f5435fc5,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-341p923576441_VX-0p300981342968_LS-7p54559898543e-05_ST-360p882535069_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60279722173e-05_H-1d842653b1,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-342p674555398_VX-0p462731136977_LS-5p8783513777e-05_ST-328p309527448_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p04253209208e-05_H-add9572a86,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-354p619445985_VX-0p364015239092_LS-5p30095356481e-05_ST-318p142674345_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p32525237544e-05_H-1553ff852f,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-358p08766286_VX-0p398145183006_LS-4p39068251559e-05_ST-301p093308231_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p21164861687e-05_H-3d091b92d3,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-360p567405001_VX-0p20359066256_LS-4p0817768449e-05_ST-337p353350673_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p36951957538e-05_H-a3855470b8,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,week6_window_instability,new-data,P-360p567405001_VX-0p20359066256_LS-4p0817768449e-05_ST-337p353350673_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p36951957538e-05_H-a3855470b8,,"CV width=0.00635, length=0.0386, depth=0.201",False
WARNING,recording_ends_before_90pct_domain,new-data,P-363p673556898_VX-0p448546579177_LS-4p04529881073e-05_ST-391p93586396_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07550047798e-05_H-f55fc58583,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-369p066732517_VX-0p471239257303_LS-5p48020687799e-05_ST-388p757421411_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p02370940626e-05_H-1553ff852f,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-373p935133861_VX-0p314504521571_LS-4p29297292387e-05_ST-349p298273812_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p53387956997e-05_H-c87ffcf9e3,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-375p190327887_VX-0p471971299611_LS-7p58652830639e-05_ST-330p289975384_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p02212160082e-05_H-1553ff852f,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,depth_bounding_box_ambiguity_candidate,new-data,P-377p008330657_VX-0p791215989527_LS-4p31405408456e-05_ST-371p11107289_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p09709695819e-06_H-3d091b92d3,,max-G3=117.590 µm; max/G3=1.605,False
WARNING,recording_ends_before_90pct_domain,new-data,P-378p699667122_VX-0p273966982762_LS-4p19552514454e-05_ST-349p537322979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p76084014007e-05_H-c87ffcf9e3,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-379p421209359_VX-0p229921993373_LS-5p57538994548e-05_ST-334p989783011_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p09815534923e-05_H-1553ff852f,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-385p792960663_VX-0p466570238049_LS-4p25767555058e-05_ST-363p826454642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p03395377793e-05_H-3d091b92d3,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-387p363679816_VX-0p298546823055_LS-4p09005526538e-05_ST-395p436254411_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61586733821e-05_H-c87ffcf9e3,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,depth_bounding_box_ambiguity_candidate,new-data,P-391p91054261_VX-0p798138981731_LS-4p10405950637e-05_ST-398p591592241_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p04421123819e-06_H-eac21b41c2,,max-G3=115.542 µm; max/G3=1.588,False
WARNING,depth_bounding_box_ambiguity_candidate,new-data,P-400p342090514_VX-0p84724542505_LS-4p08786684736e-05_ST-395p5494372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69388805225e-06_H-39de960155,,max-G3=160.802 µm; max/G3=2.064,False
WARNING,week6_window_instability,new-data,P-404p674556304_VX-0p544519129004_LS-4p43635630435e-05_ST-368p185027338_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p85941438245e-06_H-4d45e0bf17,,"CV width=0.00153, length=0.0302, depth=0.152",False
WARNING,recording_ends_before_90pct_domain,new-data,P-406p350963493_VX-0p484226878203_LS-4p36170368492e-05_ST-370p554621114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p96252133074e-06_H-778de5c076,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-408p574656479_VX-0p243547442248_LS-8p65536608509e-05_ST-318p028622224_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p98077243534e-05_H-1553ff852f,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,week6_window_instability,new-data,P-409p380479822_VX-0p571506017722_LS-4p19025576691e-05_ST-383p379922389_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p44106702891e-06_H-86665dad6a,,"CV width=0.00223, length=0.0277, depth=0.19",False
WARNING,recording_ends_before_90pct_domain,new-data,P-413p007329362_VX-0p214914258115_LS-4p25156575745e-05_ST-342p625619244_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p24467219873e-05_H-c87ffcf9e3,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,week6_window_instability,new-data,P-413p007329362_VX-0p214914258115_LS-4p25156575745e-05_ST-342p625619244_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p24467219873e-05_H-c87ffcf9e3,,"CV width=0.00319, length=0.0386, depth=0.237",False
WARNING,recording_ends_before_90pct_domain,new-data,P-413p458184039_VX-0p35207482727_LS-4p49853708666e-05_ST-303p358380963_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37019753455e-05_H-ff013f97fe,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,depth_bounding_box_ambiguity_candidate,new-data,P-420p548248194_VX-0p890019823061_LS-4p2728397196e-05_ST-342p58191385_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p42023950256e-06_H-39de960155,,max-G3=180.287 µm; max/G3=2.369,False
WARNING,recording_ends_before_90pct_domain,new-data,P-433p517899565_VX-0p4209966739_LS-4p21798941345e-05_ST-396p810205947_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1458809302e-05_H-204261a8b1,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-438p134561959_VX-0p25154969533_LS-4p05773405909e-05_ST-340p985774893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p91776046347e-05_H-dfeedce527,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-440p884222701_VX-0p405879510898_LS-4p4918885946e-05_ST-386p365641032_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p18855977537e-05_H-410a3c6302,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,week6_window_instability,new-data,P-445p244311553_VX-0p680564934933_LS-4p06442633709e-05_ST-341p721757622_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p0884060512e-06_H-c87ffcf9e3,,"CV width=0.00147, length=0.0353, depth=0.157",False
WARNING,recording_ends_before_90pct_domain,new-data,P-446p862811862_VX-0p39827443832_LS-4p33402817419e-05_ST-361p067570798_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p21125539047e-05_H-4b0ba6b8ba,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,depth_bounding_box_ambiguity_candidate,new-data,P-449p762375807_VX-0p721910835583_LS-4p02949716673e-05_ST-312p266645761_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p68243273994e-06_H-c87ffcf9e3,,max-G3=78.853 µm; max/G3=1.338,False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,sim_00001,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,week6_window_instability,old-data-local,P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,sim_00002,"CV width=0.154, length=0.0306, depth=0.0084",False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,sim_00003,T0 ends at recording end under the exact Week 6 min rule,False
FAIL,extraction_failed,old-data-local,P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4,sim_00004,missing kinetic-energy_melt.dat; missing time.dat,False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,sim_00005,T0 ends at recording end under the exact Week 6 min rule,False
FAIL,extraction_failed,old-data-local,P-110p234671953_VX-0p866589137882_LS-8p08580037422e-05_ST-348p980680204_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56679098795e-06_H-6705b84f8a,sim_00006,missing kinetic-energy_melt.dat; missing time.dat,False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-110p642328299_VX-0p274154737479_LS-7p4676600105e-05_ST-358p612942181_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p7596342297e-05_H-b40dbd8ddd,sim_00007,T0 ends at recording end under the exact Week 6 min rule,False
FAIL,extraction_failed,old-data-local,P-112p428225508_VX-0p704865651228_LS-6p30987392704e-05_ST-309p241492678_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p84402849623e-06_H-30d8d23b36,sim_00008,missing kinetic-energy_melt.dat; missing time.dat,False
FAIL,extraction_failed,old-data-local,P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,sim_00009,missing kinetic-energy_melt.dat; missing time.dat,False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-113p286681534_VX-0p56768277259_LS-5p80401726566e-05_ST-302p148970527_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p13495658689e-05_H-bf889bf790,sim_00010,T0 ends at recording end under the exact Week 6 min rule,False
FAIL,extraction_failed,old-data-local,P-114p820217584_VX-0p948189613582_LS-6p03705790634e-05_ST-353p560035146_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p08771719698e-06_H-d4c4d1b9c0,sim_00011,missing kinetic-energy_melt.dat; missing time.dat,False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-115p281467344_VX-0p424433079834_LS-5p4086019252e-05_ST-352p652659088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13660334979e-05_H-d616b14147,sim_00012,T0 ends at recording end under the exact Week 6 min rule,False
FAIL,extraction_failed,old-data-local,P-116p693370328_VX-0p231004403842_LS-8p2871053211e-05_ST-317p198938228_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p08832408507e-05_H-d147d48e9f,sim_00014,missing kinetic-energy_melt.dat; missing time.dat,False
FAIL,extraction_failed,old-data-local,P-119p65849417_VX-0p305673131798_LS-5p10692886867e-05_ST-393p327897391_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p57819582462e-05_H-cb2618ba4f,sim_00016,missing kinetic-energy_melt.dat; missing time.dat,False
FAIL,extraction_failed,old-data-local,P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,sim_00017,missing kinetic-energy_melt.dat; missing time.dat,False
WARNING,week6_window_instability,old-data-local,P-122p399838052_VX-0p958262341264_LS-8p77032416896e-05_ST-376p830559352_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03423790676e-06_H-79d0c72bd8,sim_00018,"CV width=0.245, length=0.0213, depth=0.00377",False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-123p578555013_VX-0p413960648538_LS-5p40122226787e-05_ST-380p745973079_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16535729182e-05_H-f404b6f8f4,sim_00019,T0 ends at recording end under the exact Week 6 min rule,False
FAIL,extraction_failed,old-data-local,P-126p228008246_VX-0p201684842681_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p27081552964e-06_H-306f9d252b,sim_00021,missing kinetic-energy_melt.dat; missing time.dat,False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-126p429096271_VX-0p381791494837_LS-8p54596605095e-05_ST-336p470624887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p26354847299e-05_H-bf3689621a,sim_00022,T0 ends at recording end under the exact Week 6 min rule,False
FAIL,extraction_failed,old-data-local,P-133p003569327_VX-0p736244453131_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p53962249042e-06_H-306f9d252b,sim_00024,missing kinetic-energy_melt.dat; missing time.dat,False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-133p757797566_VX-0p645163458122_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p89815386795e-06_H-306f9d252b,sim_00026,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-134p442185153_VX-0p806363522352_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p3187841709e-06_H-b0e5aed98c,sim_00027,T0 ends at recording end under the exact Week 6 min rule,False
