experiment_name,partition_before,target_extraction_valid_before,extraction_status_before,extraction_failure_reasons_before,T0_width_um_before,T0_depth_um_before,T0_total_height_um_before,T0_kinetic_energy_nJ_before,max_depth_um_before,max_total_height_um_before,max_kinetic_energy_nJ_before,G3_persistent_depth_um_before,R3_persistent_depth_width_ratio_before,T0_start_row_index_before,T0_end_row_index_before,T0_start_time_s_before,T0_end_time_s_before,active_region_start_row_index_before,active_region_end_row_index_before,has_conduction_before,has_keyhole_before,first_keyhole_label_frame_index_before,first_keyhole_timestep_before,keyhole_frame_count_before,keyhole_fraction_relevant_frames_before,partition_after,target_extraction_valid_after,extraction_status_after,extraction_failure_reasons_after,T0_width_um_after,T0_depth_um_after,T0_total_height_um_after,T0_kinetic_energy_nJ_after,max_depth_um_after,max_total_height_um_after,max_kinetic_energy_nJ_after,G3_persistent_depth_um_after,R3_persistent_depth_width_ratio_after,T0_start_row_index_after,T0_end_row_index_after,T0_start_time_s_after,T0_end_time_s_after,active_region_start_row_index_after,active_region_end_row_index_after,has_conduction_after,has_keyhole_after,first_keyhole_label_frame_index_after,first_keyhole_timestep_after,keyhole_frame_count_after,keyhole_fraction_relevant_frames_after,_merge,status_changed,changed_due_to_confirmed_sentinel_rule,difference_T0_width_um,difference_T0_depth_um,difference_T0_total_height_um,difference_T0_kinetic_energy_nJ,difference_max_depth_um,difference_max_total_height_um,difference_max_kinetic_energy_nJ,difference_G3_persistent_depth_um,difference_R3_persistent_depth_width_ratio,difference_T0_start_row_index,difference_T0_end_row_index,difference_T0_start_time_s,difference_T0_end_time_s,difference_active_region_start_row_index,difference_active_region_end_row_index,label_context_changed,previous_valid_target_changed_unexpectedly
P-114p820217584_VX-0p948189613582_LS-6p03705790634e-05_ST-353p560035146_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p08771719698e-06_H-d4c4d1b9c0,old-data-local,False,FAIL,missing kinetic-energy_melt.dat; missing time.dat,,,,,,,,,,,,,,,,True,False,,,0,0.0,old-data-local,False,FAIL,missing kinetic-energy_melt.dat; missing time.dat,,,,,,,,,,,,,,,,True,False,,,0,0.0,both,False,False,,,,,,,,,,,,,,,,False,False
P-115p281467344_VX-0p424433079834_LS-5p4086019252e-05_ST-352p652659088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13660334979e-05_H-d616b14147,old-data-local,True,PASS,,157.77781,54.700129999999994,80.9538,1.104152,54.97528,82.79026,1.1586109999999998,54.81933,0.3538372893285913,96939.0,115599.0,0.001761123,0.002100003,22303.0,115599.0,True,False,,,0,0.0,old-data-local,True,PASS,,157.77781,54.700129999999994,80.9538,1.104152,54.97528,82.79026,1.1586109999999998,54.81933,0.3538372893285913,96939.0,115599.0,0.001761123,0.002100003,22303.0,115599.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,new-data,True,PASS,,135.67203,42.71745,67.86899000000001,0.9256426999999999,47.09942,73.31245,1.10497,46.86994,0.3474605610893356,79392.0,95452.0,0.001442456,0.001734118,15167.0,95452.0,True,False,,,0,0.0,new-data,True,PASS,,135.67203,42.71745,67.86899000000001,0.9256426999999999,47.09942,73.31245,1.10497,46.86994,0.3474605610893356,79392.0,95452.0,0.001442456,0.001734118,15167.0,95452.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-116p440418649_VX-0p621036488786_LS-7p33150072515e-05_ST-327p034160515_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p76785372538e-06_H-3f4a2df486,old-data-local,True,PASS,,151.41887000000003,38.69279,67.60227,0.9441440999999999,42.834480000000006,69.55814,1.112079,42.669115,0.2830831836636566,80398.0,96679.0,0.001460725,0.001756401,15284.0,96679.0,True,False,,,0,0.0,old-data-local,True,PASS,,151.41887000000003,38.69279,67.60227,0.9441440999999999,42.834480000000006,69.55814,1.112079,42.669115,0.2830831836636566,80398.0,96679.0,0.001460725,0.001756401,15284.0,96679.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-116p693370328_VX-0p231004403842_LS-8p2871053211e-05_ST-317p198938228_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p08832408507e-05_H-d147d48e9f,old-data-local,False,FAIL,missing kinetic-energy_melt.dat; missing time.dat,,,,,,,,,,,,,,,,True,False,,,0,0.0,old-data-local,False,FAIL,missing kinetic-energy_melt.dat; missing time.dat,,,,,,,,,,,,,,,,True,False,,,0,0.0,both,False,False,,,,,,,,,,,,,,,,False,False
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,new-data,True,PASS,,194.97409499999998,54.719100000000005,75.53502,1.295771,54.9824,79.45821,1.370362,54.809000000000005,0.2942614195170074,98660.0,115599.0,0.001792378,0.002100003,30904.0,115599.0,True,False,,,0,0.0,new-data,True,PASS,,194.97409499999998,54.719100000000005,75.53502,1.295771,54.9824,79.45821,1.370362,54.809000000000005,0.2942614195170074,98660.0,115599.0,0.001792378,0.002100003,30904.0,115599.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-118p139890353_VX-0p847347819728_LS-5p08934239386e-05_ST-372p913421628_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69319999497e-06_H-d7a336064e,old-data-remote-clean,True,PASS,,113.871955,42.57925,63.212845,0.9333608499999999,43.08986,65.36037999999999,1.104898,42.933704999999996,0.3869304213432583,58956.0,70849.0,0.001071322,0.001287308,11402.0,70849.0,True,False,,,0,0.0,old-data-remote-clean,True,PASS,,113.871955,42.57925,63.212845,0.9333608499999999,43.08986,65.36037999999999,1.104898,42.933704999999996,0.3869304213432583,58956.0,70849.0,0.001071322,0.001287308,11402.0,70849.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,new-data,True,PASS,,127.48467000000001,42.71263,66.76444000000001,0.9721797,46.944770000000005,72.32554999999999,1.2111750000000001,46.76281,0.3674138030538265,68512.0,82362.0,0.001244866,0.001496393,13130.0,82362.0,True,False,,,0,0.0,new-data,True,PASS,,127.48467000000001,42.71263,66.76444000000001,0.9721797,46.944770000000005,72.32554999999999,1.2111750000000001,46.76281,0.3674138030538265,68512.0,82362.0,0.001244866,0.001496393,13130.0,82362.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-118p4900546_VX-0p535113778256_LS-4p79907961621e-05_ST-385p412174328_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p01513061154e-06_H-dd169576f0,old-data-local,True,PASS,,135.91084,46.77987,71.31503000000001,0.9997944000000001,55.19167,79.64477,1.22778,54.9103,0.4072140073026328,93343.0,112209.0,0.001695817,0.002038438,17887.0,112209.0,True,False,,,0,0.0,old-data-local,True,PASS,,135.91084,46.77987,71.31503000000001,0.9997944000000001,55.19167,79.64477,1.22778,54.9103,0.4072140073026328,93343.0,112209.0,0.001695817,0.002038438,17887.0,112209.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,new-data,True,PASS,,127.62046000000001,38.07826,62.805029999999995,1.009012,38.905030000000004,64.33786,1.163798,38.774269999999994,0.30444545265434786,58088.0,69824.0,0.001055558,0.001268693,11166.0,69824.0,True,False,,,0,0.0,new-data,True,PASS,,127.62046000000001,38.07826,62.805029999999995,1.009012,38.905030000000004,64.33786,1.163798,38.774269999999994,0.30444545265434786,58088.0,69824.0,0.001055558,0.001268693,11166.0,69824.0,True,False,,,0,0.0,both,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
