benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_shortlist_size,acquisition_requested_shortlist_size,acquisition_finite_difference_h,acquisition_curvature_clip,acquisition_repulsion_bandwidth,acquisition_boundary_weight_power,acquisition_selected_position,acquisition_selected_shortlist_position,acquisition_selected_raw_straddle,acquisition_selected_normalized_uncertainty,acquisition_selected_boundary_weight,acquisition_selected_raw_curvature,acquisition_selected_normalized_curvature,acquisition_selected_repulsion,acquisition_selected_gbc_score,acquisition_fallback_used
branin,gated_geometric_boundary_contraction,2,1,6,7,525,182.3733042400059,False,False,False,200,200,0.001,10.0,0.15,1.0,522,57,1.7746971529132343,0.990243375664565,0.961602625667989,10.0,0.9999999999998997,0.9974135182647934,0.9497577288216703,False
branin,gated_geometric_boundary_contraction,2,2,7,8,1082,52.45397532264482,False,False,False,200,200,0.001,10.0,0.15,1.0,1077,0,1.8840291622951622,0.9430619821007886,0.9963085275484191,4.992398270311615,0.6541926554303013,0.9928674862712668,0.6102826703889062,False
branin,gated_geometric_boundary_contraction,2,3,8,9,1476,14.817226257049956,False,False,False,200,200,0.001,10.0,0.15,1.0,1469,61,1.6428533503588372,0.6230493446408021,0.9719866617192837,6.260382115907507,0.9999999999998402,0.9210419611403646,0.5577790075137736,False
branin,gated_geometric_boundary_contraction,2,4,9,10,276,7.6659009427228,False,True,True,200,200,0.001,10.0,0.15,1.0,276,42,1.4702477856758494,0.8174147022116538,0.8281867879580207,4.698816300448759,0.999999999999787,0.8698201935230749,0.5888439653286592,False
branin,gated_geometric_boundary_contraction,2,5,10,11,1387,65.4912274672579,False,False,False,200,200,0.001,10.0,0.15,1.0,1380,130,1.2671633812056933,0.6709571867774214,0.7487310702302137,2.8124030698401725,0.9653641519630948,0.8652574629450451,0.4196209725596867,False
branin,gated_geometric_boundary_contraction,2,6,11,12,1183,116.68350791372171,False,False,False,200,200,0.001,10.0,0.15,1.0,1176,113,0.9041125923985067,0.6376438758129029,0.6328476779906218,10.0,0.9999999999998999,0.6772706701813613,0.2733000130024518,False
branin,gated_geometric_boundary_contraction,2,7,12,13,414,244.4638281273451,False,False,False,200,200,0.001,10.0,0.15,1.0,412,0,1.6161827817180907,0.9999999999986016,0.8071551822240668,0.6290119733844298,0.3629593221611312,0.9904039432089448,0.29015319385965277,False
branin,gated_geometric_boundary_contraction,2,8,13,14,603,141.03815850656406,False,False,False,200,200,0.001,10.0,0.15,1.0,597,0,1.3684570774785592,0.9807332474582438,0.9635586694695151,2.279756884920173,0.7996145645889842,0.7367565196830571,0.5567160541285472,False
branin,gated_geometric_boundary_contraction,2,9,14,15,911,16.00753325385098,False,False,False,200,200,0.001,10.0,0.15,1.0,904,3,1.3128725870738138,0.9630549984033782,0.9277723746006041,3.2736491841452855,0.7890240786625689,0.796722523053964,0.56168118711182,False
branin,gated_geometric_boundary_contraction,2,10,15,16,467,21.225148315445246,False,False,False,200,200,0.001,10.0,0.15,1.0,463,180,0.6023862201721727,0.6293466519395797,0.6293071817415294,5.999595832200554,0.9973948164033986,0.6488463729027145,0.25630766973633723,False
