population,subgroup_type,subgroup,candidate_id,n,keyhole_positive_n,mean,median,q25,q75,minimum,maximum
all-old,T0_timing,spans_multiple_T0_regions,G3,7,7,158.0803642857143,149.85005,131.96705,167.5346,123.1746,234.53459999999998
all-old,T0_timing,inside_T0,R3,3,3,0.45009341435872435,0.4486459973582811,0.44046192410536367,0.4590011961118635,0.4322778508524462,0.4693563948654459
all-old,T0_timing,no_Keyhole,R3,230,0,0.3489719089685299,0.34264631706123017,0.3014664151528671,0.4011052757097826,0.19342570466233827,0.5341994037398861
all-old,T0_timing,spans_multiple_T0_regions,R3,7,7,0.9322459665503414,0.9907914966340123,0.737851347604787,1.1281566273965737,0.5576352130471504,1.2452791061685071
all-old,T0_timing,inside_T0,max_depth,3,3,160.77796666666666,160.271,149.80325,171.49919999999997,139.3355,182.7274
all-old,T0_timing,no_Keyhole,max_depth,231,0,54.84275874458874,55.071600000000004,43.12314,66.96038999999999,19.03058,90.58417
all-old,T0_timing,spans_multiple_T0_regions,max_depth,7,7,163.26761428571427,155.835,137.7668,174.25565,123.75569999999999,239.2377
all-old,T0_timing,inside_T0,T0_depth,3,3,109.15583333333332,119.1028,102.6335,120.65164999999999,86.1642,122.20049999999999
all-old,T0_timing,no_Keyhole,T0_depth,231,0,52.834471558441564,54.55737,42.747945,62.73057,15.102659999999998,86.77511
all-old,T0_timing,spans_multiple_T0_regions,T0_depth,7,7,81.51957142857142,79.28099,78.62537,84.59355,70.55308500000001,94.365085
all-combined,T0_timing,before_T0,G3,22,22,149.70687500000003,142.280025,111.5585,163.4708375,103.3518,283.35630000000003
all-combined,T0_timing,inside_T0,G3,3,3,78.28525166666667,78.404255,78.2069475,78.4230575,78.00963999999999,78.44185999999999
all-combined,T0_timing,no_Keyhole,G3,331,0,58.106659078549846,58.7476,46.84301000000001,70.700375,18.56064,98.565725
all-combined,T0_timing,spans_multiple_T0_regions,G3,48,48,264.6277416666667,298.51959999999997,242.36096249999997,300.8049,123.1746,301.24170000000004
all-combined,T0_timing,before_T0,R3,22,22,0.9308624575471334,0.9055932585860169,0.7160073912101219,1.070069560195821,0.6101000122399665,1.457664692709826
all-combined,T0_timing,inside_T0,R3,3,3,0.45009341435872435,0.4486459973582811,0.44046192410536367,0.4590011961118635,0.4322778508524462,0.4693563948654459
all-combined,T0_timing,no_Keyhole,R3,331,0,0.3624480793422292,0.35706071977577525,0.30990945680946186,0.41319000355176133,0.19342570466233827,0.6922254374489708
all-combined,T0_timing,spans_multiple_T0_regions,R3,48,48,1.5244646487980351,1.6592479661841861,1.3319597010013704,1.80350225652611,0.5576352130471504,1.9527174981261233
all-combined,T0_timing,before_T0,max_depth,22,22,189.4981318181818,156.6111,119.33430000000001,274.453175,111.1982,311.9999
all-combined,T0_timing,inside_T0,max_depth,3,3,160.77796666666666,160.271,149.80325,171.49919999999997,139.3355,182.7274
all-combined,T0_timing,no_Keyhole,max_depth,332,0,59.235848825301204,58.954765,47.066787500000004,71.106255,19.03058,111.5838
all-combined,T0_timing,spans_multiple_T0_regions,max_depth,48,48,272.8272979166667,302.62829999999997,267.73732499999994,302.85615,123.75569999999999,311.9952
all-combined,T0_timing,before_T0,T0_depth,22,22,85.20811295454544,82.55745999999999,78.01649749999999,93.40568999999999,74.3066,111.34100000000001
all-combined,T0_timing,inside_T0,T0_depth,3,3,109.15583333333332,119.1028,102.6335,120.65164999999999,86.1642,122.20049999999999
all-combined,T0_timing,no_Keyhole,T0_depth,332,0,56.1933214307229,56.886422499999995,46.47689,68.57487375,15.102659999999998,94.62022
all-combined,T0_timing,spans_multiple_T0_regions,T0_depth,48,48,195.6074660416667,201.10952500000002,142.3086125,258.511875,70.55308500000001,300.5299
