analysis_type,population_or_route,train_population,test_population,candidate_id,metric,estimate,ci_low,ci_high,bootstrap_resamples,bootstrap_unit,bootstrap_scheme
within_population,all-old,all-old,all-old,G3,average_precision,0.7962552453931764,0.5789057402846196,0.9526315789473684,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,G3,loo_balanced_accuracy,0.9586956521739131,0.941304347826087,0.9760869565217392,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,G3,loo_sensitivity,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,G3,loo_specificity,0.9173913043478261,0.8826086956521739,0.9521739130434783,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,R3,roc_auc,0.9734782608695652,0.9382608695652175,1.0,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,R3,average_precision,0.8061751152073733,0.592164317389927,0.9999999999999999,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,R3,loo_balanced_accuracy,0.8804347826086957,0.7739130434782608,0.9478260869565218,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,R3,loo_sensitivity,0.9,0.7,1.0,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,R3,loo_specificity,0.8608695652173913,0.8173913043478261,0.9043478260869565,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,max_depth,roc_auc,1.0,0.9999999999999999,1.0,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,max_depth,average_precision,0.9999999999999999,0.9999999999999999,1.0,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,max_depth,loo_balanced_accuracy,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,max_depth,loo_sensitivity,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,max_depth,loo_specificity,1.0,1.0,1.0,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,T0_depth,roc_auc,0.9658008658008659,0.9285714285714286,0.9922077922077922,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,T0_depth,average_precision,0.6546938775510204,0.4182466163529324,0.8868951978254302,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,T0_depth,loo_balanced_accuracy,0.9218614718614719,0.8175324675324676,0.9826839826839826,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,T0_depth,loo_sensitivity,0.9,0.7,1.0,5000,simulation,stratified by Keyhole label
within_population,all-old,all-old,all-old,T0_depth,loo_specificity,0.9437229437229437,0.9134199134199135,0.9696969696969697,5000,simulation,stratified by Keyhole label
