population,subgroup_type,subgroup,candidate_id,n,keyhole_positive_n,mean,median,q25,q75,minimum,maximum
old-data-local,transient_persistent,Keyhole-negative,R3,169,0,0.3551322826403933,0.3473612762362017,0.3093490230433603,0.4109031680493353,0.19342570466233827,0.5209045739596359
old-data-local,transient_persistent,persistent Keyhole,R3,8,8,0.7049914257657557,0.6115950753978887,0.4641787954886547,0.87474062301058,0.4322778508524462,1.1877940351336687
old-data-local,transient_persistent,Keyhole-negative,max_depth,170,0,54.39461411764706,55.01787,43.160775,63.3329275,19.03058,90.40686
old-data-local,transient_persistent,persistent Keyhole,max_depth,8,8,153.76681250000001,155.87545,135.51505,168.758725,123.75569999999999,184.4088
old-data-local,transient_persistent,Keyhole-negative,T0_depth,170,0,52.455154794117654,52.79124,42.784705,62.6563275,15.102659999999998,86.262795
old-data-local,transient_persistent,persistent Keyhole,T0_depth,8,8,90.136540625,82.722595,78.626845,94.6807075,70.55308500000001,122.20049999999999
old-data-remote-clean,transient_persistent,Keyhole-negative,G3,61,0,55.533993114754104,54.951370000000004,42.87202,70.79170500000001,22.962300000000003,86.80308
old-data-remote-clean,transient_persistent,persistent Keyhole,G3,2,2,192.19232499999998,192.19232499999998,171.0211875,213.3634625,149.85005,234.53459999999998
old-data-remote-clean,transient_persistent,Keyhole-negative,R3,61,0,0.33190464420549837,0.32922930366212577,0.2825526324250962,0.3690426486934224,0.20764574637967115,0.5341994037398861
old-data-remote-clean,transient_persistent,persistent Keyhole,R3,2,2,1.1180353014012598,1.1180353014012598,1.054413399017636,1.1816572037848834,0.9907914966340123,1.2452791061685071
old-data-remote-clean,transient_persistent,Keyhole-negative,max_depth,61,0,56.09168639344262,55.39758,43.11125,71.03442,23.14528,90.58417
old-data-remote-clean,transient_persistent,persistent Keyhole,max_depth,2,2,197.53635,197.53635,176.685675,218.387025,155.835,239.2377
old-data-remote-clean,transient_persistent,Keyhole-negative,T0_depth,61,0,53.891583852459014,54.80547,42.57925,70.58472499999999,22.797204999999998,86.77511
old-data-remote-clean,transient_persistent,persistent Keyhole,T0_depth,2,2,88.5060875,88.5060875,85.57658875,91.43558625,82.64709,94.365085
all-old,transient_persistent,Keyhole-negative,G3,230,0,54.23416569565218,54.8548475,42.895195,62.949217499999996,18.56064,90.208
all-old,transient_persistent,persistent Keyhole,G3,10,10,134.14183050000003,131.96705,89.625045,154.3135625,78.00963999999999,234.53459999999998
all-old,transient_persistent,Keyhole-negative,R3,230,0,0.3489719089685299,0.34264631706123017,0.3014664151528671,0.4011052757097826,0.19342570466233827,0.5341994037398861
all-old,transient_persistent,persistent Keyhole,R3,10,10,0.7876002008928564,0.737851347604787,0.491426099410872,1.0490872889031122,0.4322778508524462,1.2452791061685071
all-old,transient_persistent,Keyhole-negative,max_depth,231,0,54.84275874458874,55.071600000000004,43.12314,66.96038999999999,19.03058,90.58417
all-old,transient_persistent,persistent Keyhole,max_depth,10,10,162.52072,158.053,142.3716,178.07117499999998,123.75569999999999,239.2377
all-old,transient_persistent,Keyhole-negative,T0_depth,231,0,52.834471558441564,54.55737,42.747945,62.73057,15.102659999999998,86.77511
all-old,transient_persistent,persistent Keyhole,T0_depth,10,10,89.81045,84.40564499999999,78.7914875,92.40881625,70.55308500000001,122.20049999999999
all-combined,transient_persistent,Keyhole-negative,G3,331,0,58.106659078549846,58.7476,46.84301000000001,70.700375,18.56064,98.565725
all-combined,transient_persistent,persistent Keyhole,G3,43,43,249.70938848837213,298.0861,201.07855,300.75417500000003,78.00963999999999,301.24170000000004
all-combined,transient_persistent,transient Keyhole,G3,30,30,183.10116333333332,151.76780000000002,131.45908749999998,242.8133375,103.3518,301.2056
all-combined,transient_persistent,Keyhole-negative,R3,331,0,0.3624480793422292,0.35706071977577525,0.30990945680946186,0.41319000355176133,0.19342570466233827,0.6922254374489708
all-combined,transient_persistent,persistent Keyhole,R3,43,43,1.4305098051307459,1.6128766110865482,1.1658903624824188,1.8042465985031717,0.4322778508524462,1.9527174981261233
all-combined,transient_persistent,transient Keyhole,R3,30,30,1.1163878610265574,1.0179266110214602,0.7779581742688673,1.3721848202967144,0.6101000122399665,1.839695147903356
all-combined,transient_persistent,Keyhole-negative,max_depth,332,0,59.235848825301204,58.954765,47.066787500000004,71.106255,19.03058,111.5838
all-combined,transient_persistent,persistent Keyhole,max_depth,43,43,262.3470953488371,302.4097,211.46474999999998,302.8281,123.75569999999999,311.9952
all-combined,transient_persistent,transient Keyhole,max_depth,30,30,215.53593333333336,205.709,138.52067499999998,302.77605,111.1982,311.9999
all-combined,transient_persistent,Keyhole-negative,T0_depth,332,0,56.1933214307229,56.886422499999995,46.47689,68.57487375,15.102659999999998,94.62022
all-combined,transient_persistent,persistent Keyhole,T0_depth,43,43,199.29373837209297,212.18495000000001,130.38819999999998,281.7042,70.55308500000001,300.5299
all-combined,transient_persistent,transient Keyhole,T0_depth,30,30,100.71912016666667,88.45677,78.629895,101.746,74.3066,198.87655
new-data,repeated_episode,Keyhole-negative,G3,101,0,66.92520836633663,66.52321,54.82536,78.72644,27.061709999999998,98.565725
new-data,repeated_episode,repeated Keyhole episodes,G3,16,16,191.73959687500002,173.159625,126.11703749999998,274.03085,103.3518,301.13219999999995
new-data,repeated_episode,single Keyhole episode,G3,47,47,251.51673936170207,298.0861,195.428075,300.77395,106.6781,301.24170000000004
new-data,repeated_episode,Keyhole-negative,R3,101,0,0.39313638811401974,0.39288799047309486,0.34122770043903616,0.43763063096933924,0.22807661440110197,0.6922254374489708
new-data,repeated_episode,repeated Keyhole episodes,R3,16,16,1.2510766520596777,1.1760530561634543,0.872624046373216,1.7057319940496423,0.6704335279037741,1.839695147903356
new-data,repeated_episode,single Keyhole episode,R3,47,47,1.4278793406284123,1.5942627038911477,1.1451614588149182,1.7556564892086455,0.6101000122399665,1.9527174981261233
new-data,repeated_episode,Keyhole-negative,max_depth,101,0,69.28341128712871,66.837,55.06646,82.93315,27.37239,111.5838
new-data,repeated_episode,repeated Keyhole episodes,max_depth,16,16,225.13729375,255.28610000000003,133.584675,302.96022500000004,111.1982,311.9998
new-data,repeated_episode,single Keyhole episode,max_depth,47,47,266.3744510638297,302.6094,237.314,302.92355,119.0752,311.9999
new-data,repeated_episode,Keyhole-negative,T0_depth,101,0,63.87544341584159,62.753339999999994,50.87139500000001,74.64661000000001,26.90932,94.62022
new-data,repeated_episode,repeated Keyhole episodes,T0_depth,16,16,113.67787249999999,88.45677,78.2608525,150.671925,74.52087,198.87655
new-data,repeated_episode,single Keyhole episode,T0_depth,47,47,188.81391265957447,203.3425,99.28972999999999,261.35204999999996,74.3066,300.5299
old-data-local,repeated_episode,Keyhole-negative,G3,169,0,53.764997218934916,54.81933,42.95511,62.88712,18.56064,90.208
old-data-local,repeated_episode,single Keyhole episode,G3,8,8,119.62920687500001,123.28864999999999,78.43245875,144.3489,78.00963999999999,179.2678
old-data-local,repeated_episode,Keyhole-negative,R3,169,0,0.3551322826403933,0.3473612762362017,0.3093490230433603,0.4109031680493353,0.19342570466233827,0.5209045739596359
old-data-local,repeated_episode,single Keyhole episode,R3,8,8,0.7049914257657557,0.6115950753978887,0.4641787954886547,0.87474062301058,0.4322778508524462,1.1877940351336687
old-data-local,repeated_episode,Keyhole-negative,max_depth,170,0,54.39461411764706,55.01787,43.160775,63.3329275,19.03058,90.40686
old-data-local,repeated_episode,single Keyhole episode,max_depth,8,8,153.76681250000001,155.87545,135.51505,168.758725,123.75569999999999,184.4088
old-data-local,repeated_episode,Keyhole-negative,T0_depth,170,0,52.455154794117654,52.79124,42.784705,62.6563275,15.102659999999998,86.262795
old-data-local,repeated_episode,single Keyhole episode,T0_depth,8,8,90.136540625,82.722595,78.626845,94.6807075,70.55308500000001,122.20049999999999
old-data-remote-clean,repeated_episode,Keyhole-negative,G3,61,0,55.533993114754104,54.951370000000004,42.87202,70.79170500000001,22.962300000000003,86.80308
old-data-remote-clean,repeated_episode,single Keyhole episode,G3,2,2,192.19232499999998,192.19232499999998,171.0211875,213.3634625,149.85005,234.53459999999998
old-data-remote-clean,repeated_episode,Keyhole-negative,R3,61,0,0.33190464420549837,0.32922930366212577,0.2825526324250962,0.3690426486934224,0.20764574637967115,0.5341994037398861
old-data-remote-clean,repeated_episode,single Keyhole episode,R3,2,2,1.1180353014012598,1.1180353014012598,1.054413399017636,1.1816572037848834,0.9907914966340123,1.2452791061685071
old-data-remote-clean,repeated_episode,Keyhole-negative,max_depth,61,0,56.09168639344262,55.39758,43.11125,71.03442,23.14528,90.58417
old-data-remote-clean,repeated_episode,single Keyhole episode,max_depth,2,2,197.53635,197.53635,176.685675,218.387025,155.835,239.2377
old-data-remote-clean,repeated_episode,Keyhole-negative,T0_depth,61,0,53.891583852459014,54.80547,42.57925,70.58472499999999,22.797204999999998,86.77511
old-data-remote-clean,repeated_episode,single Keyhole episode,T0_depth,2,2,88.5060875,88.5060875,85.57658875,91.43558625,82.64709,94.365085
all-old,repeated_episode,Keyhole-negative,G3,230,0,54.23416569565218,54.8548475,42.895195,62.949217499999996,18.56064,90.208
all-old,repeated_episode,single Keyhole episode,G3,10,10,134.14183050000003,131.96705,89.625045,154.3135625,78.00963999999999,234.53459999999998
all-old,repeated_episode,Keyhole-negative,R3,230,0,0.3489719089685299,0.34264631706123017,0.3014664151528671,0.4011052757097826,0.19342570466233827,0.5341994037398861
all-old,repeated_episode,single Keyhole episode,R3,10,10,0.7876002008928564,0.737851347604787,0.491426099410872,1.0490872889031122,0.4322778508524462,1.2452791061685071
all-old,repeated_episode,Keyhole-negative,max_depth,231,0,54.84275874458874,55.071600000000004,43.12314,66.96038999999999,19.03058,90.58417
all-old,repeated_episode,single Keyhole episode,max_depth,10,10,162.52072,158.053,142.3716,178.07117499999998,123.75569999999999,239.2377
all-old,repeated_episode,Keyhole-negative,T0_depth,231,0,52.834471558441564,54.55737,42.747945,62.73057,15.102659999999998,86.77511
all-old,repeated_episode,single Keyhole episode,T0_depth,10,10,89.81045,84.40564499999999,78.7914875,92.40881625,70.55308500000001,122.20049999999999
all-combined,repeated_episode,Keyhole-negative,G3,331,0,58.106659078549846,58.7476,46.84301000000001,70.700375,18.56064,98.565725
all-combined,repeated_episode,repeated Keyhole episodes,G3,16,16,191.73959687500002,173.159625,126.11703749999998,274.03085,103.3518,301.13219999999995
all-combined,repeated_episode,single Keyhole episode,G3,57,57,230.9246500877193,282.3002,152.34725,300.6846,78.00963999999999,301.24170000000004
all-combined,repeated_episode,Keyhole-negative,R3,331,0,0.3624480793422292,0.35706071977577525,0.30990945680946186,0.41319000355176133,0.19342570466233827,0.6922254374489708
all-combined,repeated_episode,repeated Keyhole episodes,R3,16,16,1.2510766520596777,1.1760530561634543,0.872624046373216,1.7057319940496423,0.6704335279037741,1.839695147903356
all-combined,repeated_episode,single Keyhole episode,R3,57,57,1.3155496669905955,1.368158650112668,0.9156286549218593,1.696733121341617,0.4322778508524462,1.9527174981261233
all-combined,repeated_episode,Keyhole-negative,max_depth,332,0,59.235848825301204,58.954765,47.066787500000004,71.106255,19.03058,111.5838
all-combined,repeated_episode,repeated Keyhole episodes,max_depth,16,16,225.13729375,255.28610000000003,133.584675,302.96022500000004,111.1982,311.9998
all-combined,repeated_episode,single Keyhole episode,max_depth,57,57,248.15449824561404,301.9033,168.0292,302.8148,119.0752,311.9999
all-combined,repeated_episode,Keyhole-negative,T0_depth,332,0,56.1933214307229,56.886422499999995,46.47689,68.57487375,15.102659999999998,94.62022
all-combined,repeated_episode,repeated Keyhole episodes,T0_depth,16,16,113.67787249999999,88.45677,78.2608525,150.671925,74.52087,198.87655
all-combined,repeated_episode,single Keyhole episode,T0_depth,57,57,171.444884122807,167.5395,94.365085,236.99555,70.55308500000001,300.5299
