route_id,train_population,test_population,candidate_id,unit,evaluation_type,train_n,test_n,train_test_overlap_n,training_selected_direction,training_selected_threshold,training_descriptive_balanced_accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,true_negative,false_positive,false_negative,true_positive,threshold_fitted_without_test_population
old_local_to_new,old-data-local,new-data,T0_width,um,cross_population_transfer,178,164,0,higher,145.19675999999998,0.7323529411764707,0.45607417884645607,0.6349206349206349,0.27722772277227725,0.35398230088495575,0.45454545454545453,28,73,23,40,True
old_local_to_new,old-data-local,new-data,T0_total_height,um,cross_population_transfer,178,164,0,higher,92.59128,0.9088235294117647,0.7405311959767406,0.9365079365079365,0.5445544554455446,0.5619047619047619,0.7023809523809523,55,46,4,59,True
old_local_to_new,old-data-local,new-data,T0_kinetic_energy,nJ,cross_population_transfer,178,164,0,higher,1.4730165,0.75,0.6089108910891089,1.0,0.21782178217821782,0.44366197183098594,0.6146341463414634,22,79,0,63,True
old_local_to_new,old-data-local,new-data,R0,dimensionless,cross_population_transfer,178,164,0,higher,0.4559295168357515,0.9110294117647059,0.9028760018859029,0.9047619047619048,0.900990099009901,0.8507462686567164,0.8769230769230769,91,10,6,57,True
old_remote_to_new,old-data-remote-clean,new-data,T0_depth,um,cross_population_transfer,63,164,0,higher,80.68371,0.9836065573770492,0.8592644978783592,0.8571428571428571,0.8613861386138614,0.7941176470588235,0.8244274809160306,87,14,9,54,True
old_remote_to_new,old-data-remote-clean,new-data,max_depth,um,cross_population_transfer,63,164,0,higher,123.209585,1.0,0.9444444444444444,0.8888888888888888,1.0,1.0,0.9411764705882353,101,0,7,56,True
old_remote_to_new,old-data-remote-clean,new-data,G3,um,cross_population_transfer,63,164,0,higher,118.326565,1.0,0.9444444444444444,0.8888888888888888,1.0,1.0,0.9411764705882353,101,0,7,56,True
old_remote_to_new,old-data-remote-clean,new-data,R3,dimensionless,cross_population_transfer,63,164,0,higher,0.7624954501869492,1.0,0.9285714285714286,0.8571428571428571,1.0,1.0,0.9230769230769231,101,0,9,54,True
old_remote_to_new,old-data-remote-clean,new-data,T0_width,um,cross_population_transfer,63,164,0,higher,151.60846750000002,0.6721311475409836,0.45206663523495205,0.5873015873015873,0.31683168316831684,0.3490566037735849,0.4378698224852071,32,69,26,37,True
old_remote_to_new,old-data-remote-clean,new-data,T0_total_height,um,cross_population_transfer,63,164,0,higher,106.7644,0.9754098360655737,0.8116454502593116,0.7619047619047619,0.8613861386138614,0.7741935483870968,0.768,87,14,15,48,True
