benchmark,surrogate_variant,acquisition_rule,method,seed,budget,global_error,classifier_uncertainty_region_fraction_eps005,classifier_uncertainty_region_fraction_eps010,near_boundary_error_q10,near_boundary_test_size_q10,classifier_uncertainty_region_fraction_q10_eps005,classifier_uncertainty_region_fraction_q10_eps010,near_boundary_error_q20,near_boundary_test_size_q20,classifier_uncertainty_region_fraction_q20_eps005,classifier_uncertainty_region_fraction_q20_eps010,near_boundary_error_q30,near_boundary_test_size_q30,classifier_uncertainty_region_fraction_q30_eps005,classifier_uncertainty_region_fraction_q30_eps010
branin,fixed_iso_gpc,random,random,0,20,0.1015,0.354,0.63625,0.4,400,0.6675,0.9225,0.30375,800,0.5825,0.8825,0.23666666666666666,1200,0.5591666666666667,0.8433333333333334
branin,fixed_iso_gpc,random,random,0,21,0.121,0.27375,0.602,0.43,400,0.4725,0.8775,0.3475,800,0.41,0.84125,0.2833333333333333,1200,0.38083333333333336,0.8016666666666666
branin,fixed_iso_gpc,random,random,0,22,0.1225,0.28725,0.57825,0.4275,400,0.5225,0.83,0.3375,800,0.42875,0.79875,0.26666666666666666,1200,0.4,0.7625
branin,fixed_iso_gpc,random,random,0,23,0.136,0.27075,0.538,0.4275,400,0.4825,0.7275,0.3325,800,0.39125,0.69875,0.2658333333333333,1200,0.36083333333333334,0.6825
branin,fixed_iso_gpc,random,random,0,24,0.147,0.21525,0.45825,0.42,400,0.325,0.7325,0.34375,800,0.2675,0.665,0.2791666666666667,1200,0.24333333333333335,0.6266666666666667
branin,fixed_iso_gpc,random,random,0,25,0.133,0.20875,0.44825,0.4025,400,0.3775,0.78,0.32125,800,0.3075,0.69625,0.25916666666666666,1200,0.2683333333333333,0.65
branin,fixed_iso_gpc,random,random,0,26,0.12025,0.20225,0.435,0.3925,400,0.4125,0.78,0.31,800,0.33625,0.70625,0.2475,1200,0.2925,0.6558333333333334
branin,fixed_iso_gpc,random,random,0,27,0.10675,0.19775,0.43625,0.365,400,0.5175,0.7775,0.2875,800,0.41,0.7275,0.22666666666666666,1200,0.33166666666666667,0.6866666666666666
branin,fixed_iso_gpc,random,random,0,28,0.11675,0.17475,0.394,0.4,400,0.3675,0.7,0.31375,800,0.315,0.64125,0.25666666666666665,1200,0.27166666666666667,0.5625
branin,fixed_iso_gpc,random,random,0,29,0.1155,0.16875,0.3965,0.395,400,0.3575,0.68,0.30625,800,0.31125,0.63125,0.25583333333333336,1200,0.26666666666666666,0.555
branin,fixed_iso_gpc,random,random,0,30,0.122,0.15875,0.36025,0.3975,400,0.295,0.6275,0.31,800,0.2725,0.5625,0.26166666666666666,1200,0.2375,0.49583333333333335
branin,fixed_iso_gpc,random,random,0,31,0.1335,0.146,0.33425,0.4,400,0.2625,0.5825,0.31125,800,0.2425,0.525,0.2625,1200,0.205,0.46
branin,fixed_iso_gpc,random,random,0,32,0.12575,0.1445,0.32675,0.4,400,0.27,0.6225,0.3075,800,0.2425,0.55375,0.255,1200,0.2075,0.48083333333333333
branin,fixed_iso_gpc,random,random,0,33,0.129,0.141,0.29925,0.3875,400,0.265,0.5825,0.30625,800,0.24375,0.5175,0.25666666666666665,1200,0.205,0.44916666666666666
branin,fixed_iso_gpc,random,random,0,34,0.13125,0.137,0.2845,0.3825,400,0.245,0.565,0.305,800,0.2275,0.49375,0.2575,1200,0.19083333333333333,0.42583333333333334
branin,fixed_iso_gpc,random,random,0,35,0.12075,0.136,0.2855,0.3625,400,0.285,0.6175,0.2825,800,0.25,0.53375,0.24,1200,0.20916666666666667,0.4583333333333333
branin,fixed_iso_gpc,random,random,0,36,0.11325,0.13775,0.2785,0.3525,400,0.375,0.6125,0.26875,800,0.3025,0.5525,0.225,1200,0.23666666666666666,0.4766666666666667
branin,fixed_iso_gpc,random,random,0,37,0.1245,0.128,0.2615,0.37,400,0.34,0.515,0.28625,800,0.26625,0.4825,0.2375,1200,0.21,0.4225
branin,fixed_iso_gpc,random,random,0,38,0.124,0.1265,0.2575,0.3675,400,0.3375,0.515,0.285,800,0.26375,0.48,0.23583333333333334,1200,0.20833333333333334,0.42083333333333334
branin,fixed_iso_gpc,random,random,0,39,0.12925,0.12,0.248,0.3625,400,0.3325,0.4725,0.2825,800,0.26,0.44125,0.23583333333333334,1200,0.205,0.385
branin,fixed_iso_gpc,random,random,0,40,0.132,0.11725,0.2425,0.375,400,0.28,0.4675,0.2925,800,0.23375,0.4275,0.24583333333333332,1200,0.19083333333333333,0.36666666666666664
branin,fixed_iso_gpc,random,random,0,41,0.13525,0.11375,0.23475,0.3825,400,0.2525,0.4475,0.29875,800,0.215,0.395,0.25166666666666665,1200,0.1775,0.3433333333333333
branin,fixed_iso_gpc,random,random,0,42,0.123,0.111,0.24025,0.365,400,0.2825,0.495,0.27875,800,0.2275,0.44125,0.2325,1200,0.18416666666666667,0.38083333333333336
branin,fixed_iso_gpc,random,random,0,43,0.131,0.1085,0.2375,0.3925,400,0.225,0.465,0.3,800,0.18625,0.3975,0.24916666666666668,1200,0.1625,0.34833333333333333
branin,fixed_iso_gpc,random,random,0,44,0.12325,0.11125,0.2345,0.3925,400,0.225,0.495,0.29875,800,0.18375,0.425,0.24833333333333332,1200,0.16083333333333333,0.3725
branin,fixed_iso_gpc,random,random,0,45,0.12325,0.1105,0.23,0.3825,400,0.2225,0.4875,0.295,800,0.185,0.4175,0.24583333333333332,1200,0.1575,0.365
branin,fixed_iso_gpc,random,random,0,46,0.12425,0.10875,0.228,0.3825,400,0.22,0.475,0.29375,800,0.18,0.4075,0.24583333333333332,1200,0.15416666666666667,0.35833333333333334
branin,fixed_iso_gpc,random,random,0,47,0.1315,0.10575,0.221,0.4025,400,0.17,0.43,0.31,800,0.155,0.36125,0.25833333333333336,1200,0.14083333333333334,0.32666666666666666
branin,fixed_iso_gpc,random,random,0,48,0.13725,0.104,0.21625,0.4175,400,0.1425,0.41,0.32125,800,0.1425,0.3375,0.26916666666666667,1200,0.13333333333333333,0.30666666666666664
branin,fixed_iso_gpc,random,random,0,49,0.13575,0.10225,0.21375,0.425,400,0.115,0.42,0.3275,800,0.125,0.34,0.2708333333333333,1200,0.12583333333333332,0.30333333333333334
branin,fixed_iso_gpc,random,random,0,50,0.1335,0.09975,0.2115,0.4225,400,0.1125,0.42,0.325,800,0.12375,0.3375,0.26916666666666667,1200,0.125,0.30083333333333334
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,6,0.276,0.85225,1.0,0.485,400,0.975,1.0,0.495,800,0.9675,1.0,0.4791666666666667,1200,0.9641666666666666,1.0
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,7,0.23025,0.67875,0.993,0.4725,400,0.96,1.0,0.46125,800,0.9475,1.0,0.44333333333333336,1200,0.9458333333333333,1.0
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,8,0.18125,0.65975,1.0,0.4575,400,0.81,1.0,0.34875,800,0.81375,1.0,0.2941666666666667,1200,0.8258333333333333,1.0
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,9,0.33225,0.55375,0.95475,0.515,400,0.5225,1.0,0.4925,800,0.57875,1.0,0.49,1200,0.6141666666666666,1.0
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,10,0.2365,0.54025,0.9555,0.485,400,0.7175,1.0,0.40625,800,0.71125,1.0,0.3575,1200,0.6925,1.0
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,11,0.17475,0.5035,0.955,0.4125,400,0.675,0.9975,0.3325,800,0.6175,0.9775,0.2833333333333333,1200,0.5475,0.9741666666666666
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,12,0.143,0.4955,0.93375,0.41,400,0.7375,1.0,0.3325,800,0.6725,1.0,0.2775,1200,0.6108333333333333,1.0
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,13,0.17875,0.39825,0.94675,0.4275,400,0.5775,0.935,0.35875,800,0.47125,0.9,0.31333333333333335,1200,0.41833333333333333,0.8733333333333333
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,14,0.193,0.3715,0.8835,0.43,400,0.5325,0.86,0.355,800,0.4325,0.8325,0.3125,1200,0.37416666666666665,0.8125
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,15,0.156,0.35325,0.803,0.4,400,0.635,0.9675,0.31375,800,0.51875,0.95,0.2633333333333333,1200,0.4708333333333333,0.9416666666666667
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,16,0.14125,0.36325,0.785,0.405,400,0.8275,0.975,0.3175,800,0.655,0.97,0.25833333333333336,1200,0.565,0.9741666666666666
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,17,0.12725,0.42675,0.77575,0.385,400,0.8025,0.9825,0.3075,800,0.7575,0.98125,0.25416666666666665,1200,0.7075,0.9808333333333333
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,18,0.1265,0.39775,0.73575,0.4125,400,0.7025,0.9825,0.31625,800,0.7025,0.95875,0.25583333333333336,1200,0.6725,0.9325
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,19,0.131,0.3375,0.6975,0.3325,400,0.62,0.8975,0.2625,800,0.57875,0.8675,0.2225,1200,0.515,0.8341666666666666
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,20,0.156,0.288,0.66425,0.3875,400,0.475,0.885,0.30875,800,0.41,0.85,0.26166666666666666,1200,0.37,0.7933333333333333
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,21,0.15725,0.29875,0.65,0.3775,400,0.475,0.8975,0.2975,800,0.4175,0.8725,0.25583333333333336,1200,0.3725,0.805
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,22,0.0925,0.3045,0.69825,0.35,400,0.695,0.9025,0.26625,800,0.62625,0.8775,0.21166666666666667,1200,0.5425,0.8441666666666666
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,23,0.12125,0.34275,0.67325,0.3575,400,0.6675,0.885,0.3175,800,0.65625,0.86625,0.2625,1200,0.5825,0.8341666666666666
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,24,0.0865,0.30825,0.682,0.32,400,0.7,0.8725,0.26125,800,0.68,0.8425,0.19833333333333333,1200,0.6108333333333333,0.8166666666666667
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,25,0.0885,0.298,0.65975,0.3,400,0.6975,0.8625,0.2525,800,0.6775,0.835,0.19666666666666666,1200,0.6033333333333334,0.8066666666666666
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,26,0.11225,0.25475,0.62425,0.3625,400,0.6275,0.8425,0.28125,800,0.51,0.81625,0.22916666666666666,1200,0.4275,0.7875
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,27,0.10125,0.27375,0.632,0.3525,400,0.635,0.8575,0.26375,800,0.59875,0.83125,0.20916666666666667,1200,0.5183333333333333,0.7975
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,28,0.0975,0.26925,0.631,0.38,400,0.6675,0.9425,0.29,800,0.62,0.89375,0.22083333333333333,1200,0.5275,0.8541666666666666
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,29,0.1075,0.298,0.63625,0.44,400,0.6375,0.955,0.33875,800,0.61125,0.9,0.25833333333333336,1200,0.5366666666666666,0.8566666666666667
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,30,0.10975,0.271,0.5875,0.37,400,0.6375,0.9075,0.29625,800,0.54375,0.86375,0.2375,1200,0.4633333333333333,0.8241666666666667
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,31,0.1035,0.24575,0.5735,0.325,400,0.645,0.8925,0.26375,800,0.5325,0.85125,0.21416666666666667,1200,0.44666666666666666,0.8116666666666666
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,32,0.10475,0.245,0.5735,0.3475,400,0.6325,0.8975,0.275,800,0.53,0.85625,0.22083333333333333,1200,0.44166666666666665,0.8133333333333334
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,33,0.10275,0.24125,0.619,0.3925,400,0.6625,0.95,0.29,800,0.5425,0.92,0.225,1200,0.455,0.8858333333333334
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,34,0.1035,0.2595,0.654,0.385,400,0.735,0.945,0.29875,800,0.59875,0.92875,0.22666666666666666,1200,0.5083333333333333,0.9241666666666667
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,35,0.11,0.2355,0.639,0.3875,400,0.665,0.945,0.28375,800,0.51625,0.92875,0.2225,1200,0.44166666666666665,0.8958333333333334
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,36,0.11225,0.23275,0.62875,0.3925,400,0.6625,0.9425,0.29125,800,0.5075,0.92875,0.23,1200,0.43166666666666664,0.8991666666666667
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,37,0.09275,0.247,0.6265,0.355,400,0.755,0.9425,0.255,800,0.60625,0.9325,0.19333333333333333,1200,0.5041666666666667,0.9316666666666666
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,38,0.1085,0.304,0.61525,0.3575,400,0.7375,0.9225,0.2775,800,0.62875,0.9075,0.2125,1200,0.5441666666666667,0.9108333333333334
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,39,0.092,0.24525,0.6195,0.335,400,0.775,0.9225,0.24,800,0.6125,0.91,0.18333333333333332,1200,0.5075,0.9
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,40,0.101,0.26425,0.603,0.3875,400,0.7375,0.935,0.29375,800,0.62875,0.92375,0.21833333333333332,1200,0.53,0.9258333333333333
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,41,0.074,0.21875,0.59,0.3075,400,0.78,0.925,0.215,800,0.6375,0.9175,0.1575,1200,0.5158333333333334,0.9208333333333333
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,42,0.09175,0.202,0.5505,0.3675,400,0.7025,0.9,0.255,800,0.52375,0.8675,0.1875,1200,0.42833333333333334,0.8283333333333334
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,43,0.09525,0.2155,0.573,0.345,400,0.72,0.9025,0.25,800,0.56875,0.88625,0.19166666666666668,1200,0.45,0.8733333333333333
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,44,0.10575,0.2545,0.555,0.35,400,0.695,0.865,0.26,800,0.5825,0.8525,0.20583333333333334,1200,0.49,0.8366666666666667
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,45,0.1195,0.2385,0.52925,0.3825,400,0.62,0.8475,0.28375,800,0.50875,0.80125,0.22166666666666668,1200,0.4475,0.76
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,46,0.1035,0.24325,0.5385,0.3425,400,0.6925,0.865,0.25625,800,0.5675,0.84125,0.20166666666666666,1200,0.47833333333333333,0.8091666666666667
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,47,0.09725,0.2485,0.5735,0.315,400,0.7275,0.88,0.2375,800,0.61,0.87875,0.18583333333333332,1200,0.505,0.8658333333333333
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,48,0.0905,0.2555,0.584,0.34,400,0.7725,0.9,0.25375,800,0.65375,0.9,0.19416666666666665,1200,0.5366666666666666,0.9083333333333333
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,49,0.0785,0.21525,0.53475,0.3075,400,0.775,0.9,0.22375,800,0.6275,0.89375,0.16666666666666666,1200,0.49916666666666665,0.88
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,50,0.0845,0.199,0.525,0.3225,400,0.75,0.89,0.23125,800,0.59375,0.88375,0.175,1200,0.4683333333333333,0.8666666666666667
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,6,0.276,0.85225,1.0,0.485,400,0.975,1.0,0.495,800,0.9675,1.0,0.4791666666666667,1200,0.9641666666666666,1.0
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,7,0.23025,0.67875,0.993,0.4725,400,0.96,1.0,0.46125,800,0.9475,1.0,0.44333333333333336,1200,0.9458333333333333,1.0
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,8,0.18125,0.65975,1.0,0.4575,400,0.81,1.0,0.34875,800,0.81375,1.0,0.2941666666666667,1200,0.8258333333333333,1.0
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,9,0.33225,0.55375,0.95475,0.515,400,0.5225,1.0,0.4925,800,0.57875,1.0,0.49,1200,0.6141666666666666,1.0
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,10,0.2365,0.54025,0.9555,0.485,400,0.7175,1.0,0.40625,800,0.71125,1.0,0.3575,1200,0.6925,1.0
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,11,0.17475,0.5035,0.955,0.4125,400,0.675,0.9975,0.3325,800,0.6175,0.9775,0.2833333333333333,1200,0.5475,0.9741666666666666
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,12,0.143,0.4955,0.93375,0.41,400,0.7375,1.0,0.3325,800,0.6725,1.0,0.2775,1200,0.6108333333333333,1.0
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,13,0.17875,0.39825,0.94675,0.4275,400,0.5775,0.935,0.35875,800,0.47125,0.9,0.31333333333333335,1200,0.41833333333333333,0.8733333333333333
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,14,0.193,0.3715,0.8835,0.43,400,0.5325,0.86,0.355,800,0.4325,0.8325,0.3125,1200,0.37416666666666665,0.8125
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,15,0.156,0.35325,0.803,0.4,400,0.635,0.9675,0.31375,800,0.51875,0.95,0.2633333333333333,1200,0.4708333333333333,0.9416666666666667
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,16,0.14125,0.36325,0.785,0.405,400,0.8275,0.975,0.3175,800,0.655,0.97,0.25833333333333336,1200,0.565,0.9741666666666666
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,17,0.12725,0.42675,0.77575,0.385,400,0.8025,0.9825,0.3075,800,0.7575,0.98125,0.25416666666666665,1200,0.7075,0.9808333333333333
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,18,0.1265,0.39775,0.73575,0.4125,400,0.7025,0.9825,0.31625,800,0.7025,0.95875,0.25583333333333336,1200,0.6725,0.9325
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,19,0.131,0.3375,0.6975,0.3325,400,0.62,0.8975,0.2625,800,0.57875,0.8675,0.2225,1200,0.515,0.8341666666666666
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,20,0.156,0.288,0.66425,0.3875,400,0.475,0.885,0.30875,800,0.41,0.85,0.26166666666666666,1200,0.37,0.7933333333333333
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,21,0.15725,0.29875,0.65,0.3775,400,0.475,0.8975,0.2975,800,0.4175,0.8725,0.25583333333333336,1200,0.3725,0.805
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,22,0.0925,0.3045,0.69825,0.35,400,0.695,0.9025,0.26625,800,0.62625,0.8775,0.21166666666666667,1200,0.5425,0.8441666666666666
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,23,0.12125,0.34275,0.67325,0.3575,400,0.6675,0.885,0.3175,800,0.65625,0.86625,0.2625,1200,0.5825,0.8341666666666666
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,24,0.0865,0.30825,0.682,0.32,400,0.7,0.8725,0.26125,800,0.68,0.8425,0.19833333333333333,1200,0.6108333333333333,0.8166666666666667
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,25,0.0885,0.298,0.65975,0.3,400,0.6975,0.8625,0.2525,800,0.6775,0.835,0.19666666666666666,1200,0.6033333333333334,0.8066666666666666
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,26,0.11225,0.25475,0.62425,0.3625,400,0.6275,0.8425,0.28125,800,0.51,0.81625,0.22916666666666666,1200,0.4275,0.7875
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,27,0.10125,0.27375,0.632,0.3525,400,0.635,0.8575,0.26375,800,0.59875,0.83125,0.20916666666666667,1200,0.5183333333333333,0.7975
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,28,0.0975,0.26925,0.631,0.38,400,0.6675,0.9425,0.29,800,0.62,0.89375,0.22083333333333333,1200,0.5275,0.8541666666666666
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,29,0.1075,0.298,0.63625,0.44,400,0.6375,0.955,0.33875,800,0.61125,0.9,0.25833333333333336,1200,0.5366666666666666,0.8566666666666667
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,30,0.10975,0.271,0.5875,0.37,400,0.6375,0.9075,0.29625,800,0.54375,0.86375,0.2375,1200,0.4633333333333333,0.8241666666666667
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,31,0.1035,0.24575,0.5735,0.325,400,0.645,0.8925,0.26375,800,0.5325,0.85125,0.21416666666666667,1200,0.44666666666666666,0.8116666666666666
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,32,0.10475,0.245,0.5735,0.3475,400,0.6325,0.8975,0.275,800,0.53,0.85625,0.22083333333333333,1200,0.44166666666666665,0.8133333333333334
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,33,0.10275,0.24125,0.619,0.3925,400,0.6625,0.95,0.29,800,0.5425,0.92,0.225,1200,0.455,0.8858333333333334
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,34,0.1035,0.2595,0.654,0.385,400,0.735,0.945,0.29875,800,0.59875,0.92875,0.22666666666666666,1200,0.5083333333333333,0.9241666666666667
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,35,0.11,0.2355,0.639,0.3875,400,0.665,0.945,0.28375,800,0.51625,0.92875,0.2225,1200,0.44166666666666665,0.8958333333333334
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,36,0.11225,0.23275,0.62875,0.3925,400,0.6625,0.9425,0.29125,800,0.5075,0.92875,0.23,1200,0.43166666666666664,0.8991666666666667
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,37,0.09275,0.247,0.6265,0.355,400,0.755,0.9425,0.255,800,0.60625,0.9325,0.19333333333333333,1200,0.5041666666666667,0.9316666666666666
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,38,0.1085,0.304,0.61525,0.3575,400,0.7375,0.9225,0.2775,800,0.62875,0.9075,0.2125,1200,0.5441666666666667,0.9108333333333334
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,39,0.092,0.24525,0.6195,0.335,400,0.775,0.9225,0.24,800,0.6125,0.91,0.18333333333333332,1200,0.5075,0.9
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,40,0.101,0.26425,0.603,0.3875,400,0.7375,0.935,0.29375,800,0.62875,0.92375,0.21833333333333332,1200,0.53,0.9258333333333333
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,41,0.074,0.21875,0.59,0.3075,400,0.78,0.925,0.215,800,0.6375,0.9175,0.1575,1200,0.5158333333333334,0.9208333333333333
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,42,0.09175,0.202,0.5505,0.3675,400,0.7025,0.9,0.255,800,0.52375,0.8675,0.1875,1200,0.42833333333333334,0.8283333333333334
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,43,0.09525,0.2155,0.573,0.345,400,0.72,0.9025,0.25,800,0.56875,0.88625,0.19166666666666668,1200,0.45,0.8733333333333333
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,44,0.10575,0.2545,0.555,0.35,400,0.695,0.865,0.26,800,0.5825,0.8525,0.20583333333333334,1200,0.49,0.8366666666666667
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,45,0.1195,0.2385,0.52925,0.3825,400,0.62,0.8475,0.28375,800,0.50875,0.80125,0.22166666666666668,1200,0.4475,0.76
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,46,0.1035,0.24325,0.5385,0.3425,400,0.6925,0.865,0.25625,800,0.5675,0.84125,0.20166666666666666,1200,0.47833333333333333,0.8091666666666667
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,47,0.09725,0.2485,0.5735,0.315,400,0.7275,0.88,0.2375,800,0.61,0.87875,0.18583333333333332,1200,0.505,0.8658333333333333
branin,fixed_iso_gpc,classifier_entropy,classifier_entropy,0,48,0.0905,0.2555,0.584,0.34,400,0.7725,0.9,0.25375,800,0.65375,0.9,0.19416666666666665,1200,0.5366666666666666,0.9083333333333333
