benchmark_population,run_id,method,formulation,available_start_budget,common_start_budget,final_budget,common_normalized_aulc__q20_error,warm_relative_normalized_aulc__q20_error,common_normalized_aulc__q30_error,warm_relative_normalized_aulc__q30_error,common_normalized_aulc__balanced_accuracy,warm_relative_normalized_aulc__balanced_accuracy
primary_common,primary_common__r03_f05,binary_margin,binary,12,16,80,0.13832720588235295,0.1440311418685121,0.0940625,0.09794117647058824,0.9503551136363637,0.9462901069518718
primary_common,primary_common__r03_f05,binary_random,binary,12,16,80,0.2913602941176471,0.29152249134948094,0.198125,0.198235294117647,0.8784446022727272,0.8754679144385027
primary_common,primary_common__r03_f05,binary_uncertainty_repulsion,binary,12,16,80,0.13465073529411764,0.14057093425605535,0.09156249999999999,0.09558823529411764,0.9513494318181819,0.9472259358288772
primary_common,primary_common__r03_f05,max_depth_boundary_proximity,max_depth,12,16,80,0.16636029411764708,0.1682525951557093,0.114375,0.11558823529411766,0.9534682765151514,0.9509358288770055
primary_common,primary_common__r03_f05,max_depth_expected_feasibility,max_depth,12,16,80,0.08869485294117649,0.09602076124567473,0.0603125,0.06529411764705882,0.9738754734848484,0.9691510695187164
primary_common,primary_common__r03_f05,max_depth_random,max_depth,12,16,80,0.23575367647058826,0.235726643598616,0.1615625,0.16147058823529406,0.8981178977272728,0.8962789661319072
primary_common,primary_common__r03_f05,max_depth_randomized_straddle,max_depth,12,16,80,0.10340073529411767,0.10856401384083048,0.0703125,0.07382352941176472,0.973248106060606,0.9696078431372548
primary_common,primary_common__r03_f05,max_depth_straddle,max_depth,12,16,80,0.10110294117647059,0.10769896193771629,0.06875,0.07323529411764707,0.9711884469696969,0.9666889483065954
primary_common,primary_common__r04_f01,binary_margin,binary,12,16,80,0.1934742647058824,0.19074394463667818,0.1315625,0.12970588235294112,0.9129379734848485,0.9096145276292333
primary_common,primary_common__r04_f01,binary_random,binary,12,16,80,0.1511948529411765,0.1557093425605536,0.1028125,0.10588235294117646,0.9027817234848485,0.8955102495543672
primary_common,primary_common__r04_f01,binary_uncertainty_repulsion,binary,12,16,80,0.19163602941176475,0.1890138408304498,0.1303125,0.12852941176470584,0.9136955492424242,0.9103275401069517
primary_common,primary_common__r04_f01,max_depth_boundary_proximity,max_depth,12,16,80,0.1939338235294118,0.1963667820069204,0.13187500000000002,0.1335294117647059,0.9118844696969697,0.9089906417112301
primary_common,primary_common__r04_f01,max_depth_expected_feasibility,max_depth,12,16,80,0.1599264705882353,0.16089965397923872,0.10875000000000001,0.10941176470588238,0.9467329545454544,0.9459001782531193
primary_common,primary_common__r04_f01,max_depth_random,max_depth,12,16,80,0.14062500000000003,0.1427335640138408,0.095625,0.09705882352941177,0.9792732007575758,0.9765262923351161
primary_common,primary_common__r04_f01,max_depth_randomized_straddle,max_depth,12,16,80,0.21553308823529413,0.21410034602076122,0.14718749999999997,0.1461764705882353,0.9711174242424243,0.9687388591800357
primary_common,primary_common__r04_f01,max_depth_straddle,max_depth,12,16,80,0.16452205882352944,0.16608996539792387,0.111875,0.11294117647058824,0.9768821022727274,0.9741644385026741
primary_common,primary_common__r04_f02,binary_margin,binary,12,16,80,0.22150735294117646,0.22577854671280273,0.15531250000000002,0.1602941176470588,0.8939157196969697,0.8902852049910872
primary_common,primary_common__r04_f02,binary_random,binary,12,16,80,0.2564338235294118,0.25865051903114183,0.17968749999999997,0.18264705882352933,0.8771543560606061,0.874621212121212
primary_common,primary_common__r04_f02,binary_uncertainty_repulsion,binary,12,16,80,0.2215073529411765,0.22577854671280276,0.15531250000000002,0.1602941176470588,0.8943181818181818,0.890663992869875
primary_common,primary_common__r04_f02,max_depth_boundary_proximity,max_depth,12,16,80,0.20128676470588236,0.20761245674740483,0.13718750000000002,0.14352941176470585,0.9221827651515152,0.915886809269162
primary_common,primary_common__r04_f02,max_depth_expected_feasibility,max_depth,12,16,80,0.22334558823529416,0.22750865051903113,0.19999999999999996,0.20117647058823526,0.905078125,0.901916221033868
primary_common,primary_common__r04_f02,max_depth_random,max_depth,12,16,80,0.21323529411764705,0.21799307958477504,0.1721875,0.175,0.9099550189393939,0.9059826203208556
primary_common,primary_common__r04_f02,max_depth_randomized_straddle,max_depth,12,16,80,0.13005514705882354,0.13970588235294118,0.09218749999999999,0.09911764705882352,0.945419034090909,0.940051247771836
primary_common,primary_common__r04_f02,max_depth_straddle,max_depth,12,16,80,0.19623161764705885,0.2019896193771626,0.1359375,0.14029411764705882,0.9093158143939393,0.9060717468805704
