repeat,prediction_model,B1_q20_AULC_16_80,B1_q30_AULC_16_80
12,frozen_4d_margin,0.8011029411764706,0.8554375000000001
12,gpc4_assisted_product,0.7886948529411765,0.8458749999999998
12,gpc4_h_acquisition,0.7930147058823529,0.8481875000000001
12,gpc5_margin,0.8028492647058825,0.856625
12,h_model_h_acquisition,0.8264705882352942,0.871875
12,matched_random_mean_of_30_paths,0.7783609068627451,0.8369500000000001
13,frozen_4d_margin,0.8262867647058822,0.8775000000000001
13,gpc4_assisted_product,0.8041360294117647,0.8595625
13,gpc4_h_acquisition,0.8066176470588236,0.8590625
13,gpc5_margin,0.79375,0.8568749999999999
13,h_model_h_acquisition,0.836672794117647,0.8807499999999999
13,matched_random_mean_of_30_paths,0.7871047794117647,0.84260625
14,frozen_4d_margin,0.8132352941176471,0.8686874999999998
14,gpc4_assisted_product,0.8369485294117647,0.8744999999999999
14,gpc4_h_acquisition,0.8404411764705882,0.872875
14,gpc5_margin,0.8112132352941176,0.8685625
14,h_model_h_acquisition,0.8183823529411764,0.8663124999999999
14,matched_random_mean_of_30_paths,0.8044209558823529,0.8586979166666666
15,frozen_4d_margin,0.8151654411764706,0.8679375
15,gpc4_assisted_product,0.8050551470588235,0.8558125000000001
15,gpc4_h_acquisition,0.7818014705882353,0.8338749999999999
15,gpc5_margin,0.8128676470588235,0.8618124999999999
15,h_model_h_acquisition,0.8331801470588236,0.8796875
15,matched_random_mean_of_30_paths,0.7476501225490196,0.8105479166666665
16,frozen_4d_margin,0.823529411764706,0.8779375
16,gpc4_assisted_product,0.8107536764705883,0.86975
16,gpc4_h_acquisition,0.8070772058823529,0.865875
16,gpc5_margin,0.8454963235294117,0.891625
16,h_model_h_acquisition,0.8420955882352942,0.8789374999999999
16,matched_random_mean_of_30_paths,0.7731587009803922,0.8401958333333333
17,frozen_4d_margin,0.8521139705882353,0.8873125
17,gpc4_assisted_product,0.8317095588235295,0.8720000000000001
17,gpc4_h_acquisition,0.8374080882352942,0.8688750000000001
17,gpc5_margin,0.8409926470588236,0.8784374999999999
17,h_model_h_acquisition,0.8340992647058822,0.872625
17,matched_random_mean_of_30_paths,0.8069975490196079,0.8510520833333333
18,frozen_4d_margin,0.7946691176470587,0.8536875
18,gpc4_assisted_product,0.7704963235294117,0.8274374999999999
18,gpc4_h_acquisition,0.7672794117647059,0.820125
18,gpc5_margin,0.7898897058823529,0.8465
18,h_model_h_acquisition,0.8340073529411764,0.8633749999999999
18,matched_random_mean_of_30_paths,0.7786764705882352,0.8241708333333333
19,frozen_4d_margin,0.8023897058823529,0.85125
19,gpc4_assisted_product,0.7865808823529412,0.8385
19,gpc4_h_acquisition,0.7762867647058824,0.8291875
19,gpc5_margin,0.8137867647058824,0.8613125
19,h_model_h_acquisition,0.8285845588235295,0.867625
19,matched_random_mean_of_30_paths,0.7624724264705882,0.8226770833333333
20,frozen_4d_margin,0.8120404411764707,0.86675
20,gpc4_assisted_product,0.7874080882352942,0.8441875
20,gpc4_h_acquisition,0.7635110294117646,0.8284374999999999
20,gpc5_margin,0.8145220588235293,0.8681249999999998
20,h_model_h_acquisition,0.8296875,0.882625
20,matched_random_mean_of_30_paths,0.7705392156862745,0.8303625
