repeat,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,brier_score,log_loss,false_negative,false_positive,true_negative,true_positive,row_count
1,log_areal_energy,B1_q20,0.7665094339622642,0.6163929492142988,0.6588235294117647,0.6211674528301887,0.46875,0.7735849056603774,0.2029022025818373,0.5683491876904808,17,12,41,15,85
1,log_h_logistic,full81,0.9900148539362932,0.9520306891216312,0.9604938271604938,0.9224707047367553,0.863013698630137,0.9819277108433735,0.02940197800438823,0.10356271254880967,10,6,326,63,405
1,log_h_logistic,B1_q30,0.9405882352941176,0.8343538963298263,0.872,0.8397058823529412,0.75,0.9294117647058824,0.09144975742401205,0.31139191043216385,10,6,79,30,125
1,log_h_logistic,B1_q20,0.90625,0.8018126098481253,0.8352941176470589,0.8122051886792453,0.71875,0.9056603773584906,0.12212439139363494,0.41787372344883505,9,5,48,23,85
1,log_h_st_logistic,full81,0.9898085492655554,0.9520300650161977,0.9604938271604938,0.9171274137646477,0.8493150684931506,0.9849397590361446,0.030107673819476523,0.10509909398618394,11,5,327,62,405
1,log_h_st_logistic,B1_q30,0.9394117647058823,0.8308975293520765,0.872,0.8330882352941176,0.725,0.9411764705882353,0.09343039926450805,0.3148189629275677,11,5,80,29,125
1,log_h_st_logistic,B1_q20,0.9033018867924528,0.7962974965623663,0.8352941176470589,0.8060141509433962,0.6875,0.9245283018867925,0.1258918081001609,0.42421932519555605,10,4,49,22,85
1,log_irradiance,full81,0.974294438026077,0.880276245700826,0.9333333333333333,0.8631581118996534,0.7534246575342466,0.9728915662650602,0.04543754654803142,0.15696693009836554,18,9,323,55,405
1,log_irradiance,B1_q30,0.9176470588235294,0.7982505271113424,0.824,0.7647058823529411,0.6,0.9294117647058824,0.11583973304362945,0.3780536740410233,16,6,79,24,125
1,log_irradiance,B1_q20,0.8808962264150944,0.7652994884751853,0.7647058823529411,0.7184551886792453,0.53125,0.9056603773584906,0.15673324644946648,0.5033788837190759,15,5,48,17,85
1,log_king_style,full81,0.9877455025581778,0.9501604616286191,0.9629629629629629,0.9239767288331409,0.863013698630137,0.9849397590361446,0.03200467224163885,0.1079673838187746,10,5,327,63,405
1,log_king_style,B1_q30,0.9273529411764707,0.8241135150336634,0.888,0.8514705882352941,0.75,0.9529411764705882,0.09884885770984037,0.3204429030884997,10,4,81,30,125
1,log_king_style,B1_q20,0.8844339622641508,0.7893743345651478,0.8470588235294118,0.8216391509433962,0.71875,0.9245283018867925,0.13310689969325856,0.42715640752750683,9,4,49,23,85
1,log_linear_energy,full81,0.8999009737580459,0.6440015897184465,0.854320987654321,0.6974129394289487,0.4520547945205479,0.9427710843373494,0.09913910801080972,0.2976825517431357,40,19,313,33,405
1,log_linear_energy,B1_q30,0.7220588235294118,0.46316230526135715,0.664,0.5345588235294118,0.175,0.8941176470588236,0.22332337247832956,0.623777632594424,33,9,76,7,125
1,log_linear_energy,B1_q20,0.6639150943396227,0.48279167211342533,0.611764705882353,0.5339033018867925,0.21875,0.8490566037735849,0.256215379998674,0.7105866788851927,25,8,45,7,85
1,log_volumetric_energy,full81,0.9791632282554877,0.9041413499838691,0.9432098765432099,0.9065852450899488,0.8493150684931506,0.963855421686747,0.04462557898324932,0.14300950658860173,11,12,320,62,405
1,log_volumetric_energy,B1_q30,0.8811764705882352,0.6925930654359885,0.832,0.8036764705882353,0.725,0.8823529411764706,0.1339752042666089,0.41607576014907877,11,10,75,29,125
1,log_volumetric_energy,B1_q20,0.8461084905660378,0.7181076748390953,0.8,0.7839033018867925,0.71875,0.8490566037735849,0.15979472850700538,0.4930697709178773,9,8,45,23,85
1,logistic_M1,full81,0.9898498101997029,0.9548697856388226,0.9629629629629629,0.9239767288331409,0.863013698630137,0.9849397590361446,0.028992678214875733,0.10245520629387954,10,5,327,63,405
1,logistic_M1,B1_q30,0.9361764705882353,0.8325668903705411,0.88,0.8455882352941176,0.75,0.9411764705882353,0.09170419051657354,0.31755793892043266,10,5,80,30,125
1,logistic_M1,B1_q20,0.9033018867924527,0.8048448405397248,0.8470588235294118,0.8216391509433962,0.71875,0.9245283018867925,0.11799198023403117,0.4119286892534147,9,4,49,23,85
1,logistic_M3,full81,0.9935632942729823,0.970888186683986,0.9604938271604938,0.9224707047367553,0.863013698630137,0.9819277108433735,0.025047124770480378,0.0856147794275701,10,6,326,63,405
1,logistic_M3,B1_q30,0.9558823529411764,0.8988054154266986,0.872,0.8397058823529412,0.75,0.9294117647058824,0.08083217512836441,0.2720194135357621,10,6,79,30,125
1,logistic_M3,B1_q20,0.9327830188679246,0.8800671546654463,0.8352941176470589,0.8183962264150944,0.75,0.8867924528301887,0.10293940302851898,0.35243759962833515,8,6,47,24,85
2,gpc_1d_h,full81,0.9880755900313583,0.9138047420258563,0.9580246913580247,0.9209646806403697,0.863013698630137,0.9789156626506024,0.029702872078155286,0.10832810244522936,10,7,325,63,405
2,gpc_1d_h,B1_q30,0.9364937388193202,0.806751166129261,0.864,0.8310971973762671,0.7435897435897436,0.9186046511627907,0.0918131792825818,0.3003056794977108,10,7,79,29,125
2,gpc_1d_h,B1_q20,0.897995283018868,0.7729077701186541,0.8235294117647058,0.8027712264150944,0.71875,0.8867924528301887,0.12393743723305364,0.40230904387433686,9,6,47,23,85
2,gpc_4d,full81,0.99360455520713,0.9709071773204001,0.9679012345679012,0.9323320679980194,0.8767123287671232,0.9879518072289156,0.025493027643481516,0.09106165154478367,9,4,328,64,405
2,gpc_4d,B1_q30,0.9570661896243292,0.8940975960864314,0.896,0.8613595706618963,0.7692307692307693,0.9534883720930233,0.07926671683953089,0.2597661560537114,9,4,82,30,125
2,gpc_4d,B1_q20,0.9280660377358491,0.8683151553334141,0.8588235294117647,0.8372641509433962,0.75,0.9245283018867925,0.10614313788266153,0.3410854301089776,8,4,49,24,85
2,gpc_5d_h_augmented,full81,0.9933982505363921,0.9694666604370796,0.9654320987654321,0.9308260439016339,0.8767123287671232,0.9849397590361446,0.025901386425857594,0.09513888372076151,9,5,327,64,405
2,gpc_5d_h_augmented,B1_q30,0.9561717352415027,0.8880525644313124,0.888,0.8555456171735242,0.7692307692307693,0.9418604651162791,0.08026275824105242,0.26328051482803805,9,5,81,30,125
2,gpc_5d_h_augmented,B1_q20,0.9257075471698113,0.8589978692798156,0.8470588235294118,0.8278301886792453,0.75,0.9056603773584906,0.10881090312032476,0.3481429907357592,8,5,48,24,85
2,log_areal_energy,full81,0.9633602904769764,0.848052298240969,0.8938271604938272,0.8123452714969467,0.684931506849315,0.9397590361445783,0.06268481935602511,0.18515192209950435,23,20,312,50,405
2,log_areal_energy,B1_q30,0.8231961836612999,0.5987106339587724,0.704,0.6237328562909958,0.41025641025641024,0.8372093023255814,0.17212701323935795,0.48322988539814293,23,14,72,16,125
2,log_areal_energy,B1_q20,0.7535377358490566,0.5965264163920705,0.6352941176470588,0.5899174528301887,0.40625,0.7735849056603774,0.21229755640199582,0.590158966997644,19,12,41,13,85
2,log_h_logistic,full81,0.9894372008582274,0.9433250313247646,0.9604938271604938,0.9171274137646477,0.8493150684931506,0.9849397590361446,0.029536257447006557,0.10606703867530279,11,5,327,62,405
2,log_h_logistic,B1_q30,0.9376863446630888,0.8149173294079947,0.872,0.8299045915324985,0.717948717948718,0.9418604651162791,0.09258919133980369,0.3226257045373084,11,5,81,28,125
2,log_h_logistic,B1_q20,0.9003537735849056,0.7850588367900748,0.8235294117647058,0.7965801886792453,0.6875,0.9056603773584906,0.12491461494699457,0.43648514434387414,10,5,48,22,85
2,log_h_st_logistic,full81,0.9890245915167519,0.9416016600620346,0.9580246913580247,0.9102780986961545,0.8356164383561644,0.9849397590361446,0.0303561935187085,0.10869121541535312,12,5,327,61,405
2,log_h_st_logistic,B1_q30,0.9358974358974359,0.8098283978143432,0.864,0.8170840787119857,0.6923076923076923,0.9418604651162791,0.09498865408410034,0.32977870966720696,12,5,81,27,125
2,log_h_st_logistic,B1_q20,0.8968160377358491,0.7777451123697132,0.8117647058823529,0.7809551886792453,0.65625,0.9056603773584906,0.12917045817531203,0.44811813141459883,11,5,48,21,85
2,log_irradiance,full81,0.9712823898333058,0.8572455616537814,0.9358024691358025,0.864664135996039,0.7534246575342466,0.9759036144578314,0.0457745338066826,0.16354608921438124,18,8,324,55,405
2,log_irradiance,B1_q30,0.90608228980322,0.7575711897366134,0.824,0.7599880739415623,0.5897435897435898,0.9302325581395349,0.11908082850405362,0.40385222194952597,16,6,80,23,125
2,log_irradiance,B1_q20,0.8667452830188679,0.7329235240313965,0.7764705882352941,0.7340801886792453,0.5625,0.9056603773584906,0.1567661197819314,0.5313688338554589,14,5,48,18,85
2,log_king_style,full81,0.9877867634923254,0.9481978705763412,0.9629629629629629,0.9239767288331409,0.863013698630137,0.9849397590361446,0.03224007529242866,0.10953298015569504,10,5,327,63,405
2,log_king_style,B1_q30,0.9263565891472868,0.8144015901982902,0.88,0.8427251043530113,0.7435897435897436,0.9418604651162791,0.10144341865697085,0.3313556789969969,10,5,81,29,125
2,log_king_style,B1_q20,0.8850235849056605,0.7878330542147123,0.8470588235294118,0.8216391509433962,0.71875,0.9245283018867925,0.13362841024077315,0.4369114280428189,9,4,49,23,85
2,log_linear_energy,full81,0.9018402376629807,0.6495107090888611,0.8518518518518519,0.6798770424162404,0.410958904109589,0.9487951807228916,0.09845872077024242,0.2959385928358768,43,17,315,30,405
2,log_linear_energy,B1_q30,0.7036374478234944,0.4457236335294038,0.656,0.5187835420393561,0.15384615384615385,0.8837209302325582,0.22161631209234725,0.622642717582185,33,10,76,6,125
2,log_linear_energy,B1_q20,0.6580188679245282,0.4793613527742897,0.5882352941176471,0.5026533018867925,0.15625,0.8490566037735849,0.26053589559165696,0.7197491682768051,27,8,45,5,85
2,log_volumetric_energy,full81,0.9797821422677009,0.9089438722212447,0.9407407407407408,0.9050792209935632,0.8493150684931506,0.9608433734939759,0.04389010166184142,0.13865726981430296,11,13,319,62,405
2,log_volumetric_energy,B1_q30,0.8864042933810375,0.7128711009839838,0.824,0.7950208706022659,0.717948717948718,0.872093023255814,0.12922133224138657,0.3926248815050007,11,11,75,28,125
2,log_volumetric_energy,B1_q20,0.8284198113207547,0.6895277896157295,0.7647058823529411,0.7494103773584906,0.6875,0.8113207547169812,0.17032339459289741,0.5120440295435076,10,10,43,22,85
2,logistic_M1,full81,0.9898085492655554,0.9498345969644728,0.9604938271604938,0.9171274137646477,0.8493150684931506,0.9849397590361446,0.02990724537616036,0.10828306525028081,11,5,327,62,405
2,logistic_M1,B1_q30,0.9379844961240311,0.8202362935016635,0.872,0.8299045915324985,0.717948717948718,0.9418604651162791,0.09398489376147218,0.3352334539257494,11,5,81,28,125
2,logistic_M1,B1_q20,0.9003537735849056,0.7878815261092276,0.8235294117647058,0.7965801886792453,0.6875,0.9056603773584906,0.12725096950227507,0.455448328918796,10,5,48,22,85
2,logistic_M3,full81,0.9934395114705397,0.9703447670275811,0.9604938271604938,0.9224707047367553,0.863013698630137,0.9819277108433735,0.02584822044888597,0.08934128053401633,10,6,326,63,405
2,logistic_M3,B1_q30,0.9555754323196184,0.89288626400756,0.872,0.8369111508646392,0.7435897435897436,0.9302325581395349,0.0834632332849686,0.2838421506606606,10,6,80,29,125
2,logistic_M3,B1_q20,0.9233490566037736,0.8663457727947763,0.8235294117647058,0.8027712264150944,0.71875,0.8867924528301887,0.1178880165045645,0.3983592455075324,9,6,47,23,85
3,gpc_1d_h,full81,0.9874979369532927,0.9038114666086563,0.9604938271604938,0.9224707047367553,0.863013698630137,0.9819277108433735,0.03010027626935782,0.10946253454794364,10,6,326,63,405
3,gpc_1d_h,B1_q30,0.932636469221835,0.8134506054278327,0.872,0.8423344947735192,0.7560975609756098,0.9285714285714286,0.09410403708078148,0.30796383112006,10,6,78,31,125
3,gpc_1d_h,B1_q20,0.9050179211469535,0.7798070718156119,0.8470588235294118,0.8178016726403823,0.7096774193548387,0.9259259259259259,0.11574651238393188,0.38058372733405027,9,4,50,22,85
3,gpc_4d,full81,0.9939346426803103,0.9721864435416967,0.9679012345679012,0.9269887770259119,0.863013698630137,0.9909638554216867,0.024944206439475338,0.08983782163558532,10,3,329,63,405
3,gpc_4d,B1_q30,0.9599303135888502,0.9051620473551029,0.896,0.860191637630662,0.7560975609756098,0.9642857142857143,0.07772175194756054,0.26024577318510406,10,3,81,31,125
3,gpc_4d,B1_q20,0.9372759856630823,0.8732290905178073,0.8588235294117647,0.8270609318996416,0.7096774193548387,0.9444444444444444,0.10081944055901232,0.3259926344298793,9,3,51,22,85
3,gpc_5d_h_augmented,full81,0.9934807724046872,0.9702676163868962,0.9728395061728395,0.9406874071628981,0.8904109589041096,0.9909638554216867,0.025575226414595153,0.09436264962037451,8,3,329,65,405
3,gpc_5d_h_augmented,B1_q30,0.957026713124274,0.8991643019725399,0.912,0.884581881533101,0.8048780487804879,0.9642857142857143,0.07947040343081276,0.2665996983844899,8,3,81,33,125
3,gpc_5d_h_augmented,B1_q20,0.9348864994026285,0.8686733134966103,0.8823529411764706,0.8593189964157706,0.7741935483870968,0.9444444444444444,0.10193230854538862,0.3315624546501726,7,3,51,24,85
3,log_areal_energy,full81,0.963484073279419,0.8490860646385507,0.8938271604938272,0.8123452714969467,0.684931506849315,0.9397590361445783,0.063052629840498,0.18690024564050958,23,20,312,50,405
3,log_areal_energy,B1_q30,0.8103948896631824,0.5937521834947994,0.696,0.6302264808362369,0.43902439024390244,0.8214285714285714,0.18094330020429783,0.5084366709447736,23,15,69,18,125
3,log_areal_energy,B1_q20,0.7813620071684588,0.6272523395705535,0.6705882352941176,0.6239545997610514,0.45161290322580644,0.7962962962962963,0.19362023106015508,0.5457062493780096,17,11,43,14,85
3,log_h_logistic,full81,0.9887357649777191,0.9393594347948233,0.9604938271604938,0.9224707047367553,0.863013698630137,0.9819277108433735,0.02990191730715517,0.10889255705880627,10,6,326,63,405
3,log_h_logistic,B1_q30,0.932636469221835,0.8124129225385439,0.872,0.8423344947735192,0.7560975609756098,0.9285714285714286,0.09424728885929262,0.33353116499705865,10,6,78,31,125
3,log_h_logistic,B1_q20,0.9074074074074074,0.7817820339656224,0.8470588235294118,0.8178016726403823,0.7096774193548387,0.9259259259259259,0.1159755988336275,0.4207262381990324,9,4,50,22,85
3,log_h_st_logistic,full81,0.9885294603069813,0.9392382581868359,0.9604938271604938,0.9224707047367553,0.863013698630137,0.9819277108433735,0.0304814961306522,0.11087098101575095,10,6,326,63,405
3,log_h_st_logistic,B1_q30,0.9317653890824622,0.8223906892085148,0.872,0.8423344947735192,0.7560975609756098,0.9285714285714286,0.09595257819800175,0.3387250575191584,10,6,78,31,125
3,log_h_st_logistic,B1_q20,0.9038231780167263,0.7936742280019191,0.8470588235294118,0.8178016726403823,0.7096774193548387,0.9259259259259259,0.11885284189932778,0.428559079948203,9,4,50,22,85
3,log_irradiance,full81,0.9722726522528469,0.8535346555119581,0.9333333333333333,0.8631581118996534,0.7534246575342466,0.9728915662650602,0.0469453290415216,0.16911504125323526,18,9,323,55,405
3,log_irradiance,B1_q30,0.917828106852497,0.7762365478807479,0.824,0.769163763066202,0.6097560975609756,0.9285714285714286,0.12059623881552048,0.4162815924782014,16,6,78,25,125
3,log_irradiance,B1_q20,0.8900836320191159,0.7450821728438479,0.7764705882352941,0.7210274790919953,0.5161290322580645,0.9259259259259259,0.1506553980089269,0.5231761517690293,15,4,50,16,85
3,log_king_style,full81,0.9874566760191451,0.9464857305361609,0.9580246913580247,0.9209646806403697,0.863013698630137,0.9789156626506024,0.03219758795760328,0.10930817554939283,10,7,325,63,405
3,log_king_style,B1_q30,0.9224738675958188,0.818226789929531,0.864,0.8363821138211383,0.7560975609756098,0.9166666666666666,0.10143963826417948,0.3320689653655315,10,7,77,31,125
3,log_king_style,B1_q20,0.8876941457586619,0.7795872370761442,0.8352941176470589,0.8085424133811231,0.7096774193548387,0.9074074074074074,0.12802885220177032,0.4178350719313966,9,5,49,22,85
3,log_linear_energy,full81,0.9001485393629312,0.6463962976447517,0.8469135802469135,0.6768649942234692,0.410958904109589,0.9427710843373494,0.09903403624872803,0.296975031715494,43,19,313,30,405
3,log_linear_energy,B1_q30,0.6904761904761905,0.44906964210550826,0.632,0.5076945412311266,0.14634146341463414,0.8690476190476191,0.23169014168320548,0.6476072154986532,35,11,73,6,125
3,log_linear_energy,B1_q20,0.6738351254480287,0.4888388393843596,0.611764705882353,0.522700119474313,0.1935483870967742,0.8518518518518519,0.24726632498332568,0.6881950366074708,25,8,46,6,85
3,log_volumetric_energy,full81,0.979410793860373,0.9074688073030325,0.9407407407407408,0.9050792209935632,0.8493150684931506,0.9608433734939759,0.0448499361317139,0.14210288842049437,11,13,319,62,405
3,log_volumetric_energy,B1_q30,0.8734030197444832,0.7024181796536666,0.816,0.7944250871080138,0.7317073170731707,0.8571428571428571,0.1389059898914039,0.42429569513761717,11,12,72,30,125
3,log_volumetric_energy,B1_q20,0.8542413381123058,0.7394910770033598,0.8,0.7876344086021505,0.7419354838709677,0.8333333333333334,0.15439732963240696,0.4667975887798693,8,9,45,23,85
3,logistic_M1,full81,0.9887770259118667,0.9402632831285647,0.9654320987654321,0.9308260439016339,0.8767123287671232,0.9849397590361446,0.029151843652013978,0.11247086352879458,9,5,327,64,405
3,logistic_M1,B1_q30,0.9308943089430894,0.8107127213442287,0.888,0.8604819976771196,0.7804878048780488,0.9404761904761905,0.09293581226483143,0.353487243061869,9,5,79,32,125
3,logistic_M1,B1_q20,0.9080047789725209,0.7862504244126167,0.8588235294117647,0.8339307048984468,0.7419354838709677,0.9259259259259259,0.11192340741467798,0.4388534868371906,8,4,50,23,85
3,logistic_M3,full81,0.9936458161412773,0.9714597242635972,0.9604938271604938,0.9224707047367553,0.863013698630137,0.9819277108433735,0.024804351141969085,0.08561991471430504,10,6,326,63,405
3,logistic_M3,B1_q30,0.9567363530778166,0.9031820778271274,0.872,0.8423344947735192,0.7560975609756098,0.9285714285714286,0.08023551100119238,0.27287862940672647,10,6,78,31,125
3,logistic_M3,B1_q20,0.9336917562724014,0.8724901613685938,0.8352941176470589,0.8154121863799283,0.7419354838709677,0.8888888888888888,0.10337889864725515,0.35412673237633935,8,6,48,23,85
4,gpc_1d_h,full81,0.9885294603069813,0.9213763434942966,0.9629629629629629,0.9293200198052484,0.8767123287671232,0.9819277108433735,0.030174688778942967,0.10921668780791527,9,6,326,64,405
4,gpc_1d_h,B1_q30,0.9368904188181296,0.8394902612299981,0.88,0.8567125645438898,0.7857142857142857,0.927710843373494,0.09376423751873887,0.30444685682464806,9,6,77,33,125
4,gpc_1d_h,B1_q20,0.8985005767012687,0.8053550421239773,0.8352941176470589,0.8186274509803921,0.7352941176470589,0.9019607843137255,0.1284660237579682,0.40898561343049866,9,5,46,25,85
4,gpc_4d,full81,0.9923254662485558,0.9666645916266877,0.9530864197530864,0.9019227595312758,0.821917808219178,0.9819277108433735,0.02701309571976424,0.09621150740319274,13,6,326,60,405
4,gpc_4d,B1_q30,0.9500860585197934,0.8946911488904742,0.848,0.8090935169248422,0.6904761904761905,0.927710843373494,0.08549469043099206,0.281524786939213,13,6,77,29,125
4,gpc_4d,B1_q20,0.9094579008073818,0.8366901915181234,0.7764705882352941,0.75,0.6176470588235294,0.8823529411764706,0.12115533655556239,0.3818419047628007,13,6,45,21,85
4,gpc_5d_h_augmented,full81,0.9925730318534411,0.9668756419604382,0.9555555555555556,0.9087720745997689,0.8356164383561644,0.9819277108433735,0.027254070810937392,0.1002123317808603,12,6,326,61,405
4,gpc_5d_h_augmented,B1_q30,0.9523809523809523,0.8961626492361296,0.856,0.8209982788296042,0.7142857142857143,0.927710843373494,0.08600248480380977,0.2842313973211591,12,6,77,30,125
4,gpc_5d_h_augmented,B1_q20,0.9129181084198386,0.837910332536723,0.788235294117647,0.7647058823529411,0.6470588235294118,0.8823529411764706,0.12171965169035413,0.3847146558238041,12,6,45,22,85
4,log_areal_energy,full81,0.9637728998184518,0.8505093171083515,0.9012345679012346,0.8222066347582109,0.6986301369863014,0.9457831325301205,0.06186356966844796,0.1834756918754433,22,18,314,51,405
4,log_areal_energy,B1_q30,0.8078026391279403,0.6051926402512615,0.712,0.6537578886976477,0.47619047619047616,0.8313253012048193,0.17910402992737698,0.5024778420779015,22,14,69,20,125
4,log_areal_energy,B1_q20,0.745674740484429,0.590817445275236,0.6470588235294118,0.607843137254902,0.4117647058823529,0.803921568627451,0.21805187948154417,0.6046500677904931,20,10,41,14,85
4,log_h_logistic,full81,0.98956098366067,0.9475621358664732,0.9604938271604938,0.9224707047367553,0.863013698630137,0.9819277108433735,0.029546197410392876,0.1044541613466232,10,6,326,63,405
4,log_h_logistic,B1_q30,0.9380378657487091,0.8411125309818419,0.872,0.8448078026391279,0.7619047619047619,0.927710843373494,0.09298744883620418,0.3184288954956814,10,6,77,32,125
4,log_h_logistic,B1_q20,0.9013840830449826,0.808909743154662,0.8235294117647058,0.803921568627451,0.7058823529411765,0.9019607843137255,0.12864068692977512,0.43530488358830755,10,5,46,24,85
4,log_h_st_logistic,full81,0.989107113385047,0.9457210960895176,0.9604938271604938,0.9224707047367553,0.863013698630137,0.9819277108433735,0.030302290883525238,0.10652204413180288,10,6,326,63,405
4,log_h_st_logistic,B1_q30,0.9357429718875502,0.8368263854228184,0.872,0.8448078026391279,0.7619047619047619,0.927710843373494,0.09517961503979235,0.3237187696284737,10,6,77,32,125
4,log_h_st_logistic,B1_q20,0.8961937716262975,0.8016048958207306,0.8235294117647058,0.803921568627451,0.7058823529411765,0.9019607843137255,0.1315700037379783,0.4423052744916004,10,5,46,24,85
4,log_irradiance,full81,0.9730978709357979,0.8695664146857652,0.945679012345679,0.8920613962700116,0.8082191780821918,0.9759036144578314,0.04490130245383534,0.15857878348751678,14,8,324,59,405
4,log_irradiance,B1_q30,0.9148020654044751,0.8033533829858372,0.856,0.8209982788296042,0.7142857142857143,0.927710843373494,0.11605963101276565,0.38856867802625783,12,6,77,30,125
4,log_irradiance,B1_q20,0.8765859284890427,0.7732361042686285,0.8,0.7745098039215687,0.6470588235294118,0.9019607843137255,0.1595496834547833,0.522015502787873,12,5,46,22,85
4,log_king_style,full81,0.9879105462947682,0.9499675695415368,0.9604938271604938,0.9224707047367553,0.863013698630137,0.9819277108433735,0.03153656775404414,0.1071259438776172,10,6,326,63,405
4,log_king_style,B1_q30,0.9262765347102696,0.8429994041814032,0.872,0.8448078026391279,0.7619047619047619,0.927710843373494,0.09962683807993504,0.326082453158435,10,6,77,32,125
4,log_king_style,B1_q20,0.878316032295271,0.7935752263387517,0.8235294117647058,0.803921568627451,0.7058823529411765,0.9019607843137255,0.1400715633064923,0.4481466373582789,10,5,46,24,85
4,log_linear_energy,full81,0.9013038455190625,0.6500204229703852,0.8567901234567902,0.6935756725532266,0.4383561643835616,0.9487951807228916,0.09832965551098115,0.29531116445112704,41,17,315,32,405
4,log_linear_energy,B1_q30,0.6855995410212278,0.44881545862803884,0.632,0.5170682730923695,0.16666666666666666,0.8674698795180723,0.2363154058604982,0.6546424272378507,35,11,72,7,125
4,log_linear_energy,B1_q20,0.6476355247981546,0.4895309569551282,0.5882352941176471,0.5196078431372549,0.17647058823529413,0.8627450980392157,0.27643456285488893,0.7610315135596134,28,7,44,6,85
4,log_volumetric_energy,full81,0.9799884469384387,0.9086677622727755,0.9407407407407408,0.9050792209935632,0.8493150684931506,0.9608433734939759,0.043612434642290476,0.13975034679483037,11,13,319,62,405
4,log_volumetric_energy,B1_q30,0.8789443488238669,0.7154688845115198,0.816,0.796758462421113,0.7380952380952381,0.8554216867469879,0.13539570709026244,0.4168088115614878,11,12,71,31,125
4,log_volumetric_energy,B1_q20,0.8339100346020761,0.6992845548151375,0.7647058823529411,0.75,0.6764705882352942,0.8235294117647058,0.1694075869741535,0.5121988590454889,11,9,42,23,85
4,logistic_M1,full81,0.9907162898168014,0.9572607032314104,0.9679012345679012,0.9323320679980194,0.8767123287671232,0.9879518072289156,0.027779699588615044,0.09811447960135133,9,4,328,64,405
4,logistic_M1,B1_q30,0.9409064830751579,0.8608941150315154,0.896,0.8687607573149742,0.7857142857142857,0.9518072289156626,0.08907372095624157,0.30830691285200196,9,4,79,33,125
4,logistic_M1,B1_q20,0.9002306805074971,0.813979005813088,0.8470588235294118,0.8284313725490196,0.7352941176470589,0.9215686274509803,0.12471910373115822,0.4256459205701629,9,4,47,25,85
4,logistic_M3,full81,0.9939346426803103,0.9733935122078119,0.9629629629629629,0.9293200198052484,0.8767123287671232,0.9819277108433735,0.024369682874270722,0.0832357464812777,9,6,326,64,405
4,logistic_M3,B1_q30,0.959265633964429,0.91827472363949,0.88,0.8567125645438898,0.7857142857142857,0.927710843373494,0.0788367662526284,0.26543596128446617,9,6,77,33,125
4,logistic_M3,B1_q20,0.9244521337946944,0.8758628738230473,0.8235294117647058,0.8088235294117647,0.7352941176470589,0.8823529411764706,0.11385606404343843,0.3757019372003898,9,6,45,25,85
5,gpc_1d_h,full81,0.9882818947020962,0.9253297897142976,0.9604938271604938,0.9278139957088628,0.8767123287671232,0.9789156626506024,0.030219748778822605,0.10953295623493088,9,7,325,64,405
5,gpc_1d_h,B1_q30,0.9352941176470588,0.8279164152386791,0.872,0.8463235294117647,0.775,0.9176470588235294,0.09443620764922366,0.30588657352836224,9,7,78,31,125
5,gpc_1d_h,B1_q20,0.8904267589388697,0.7976461515412132,0.8117647058823529,0.7990196078431373,0.7352941176470589,0.8627450980392157,0.1337267554383905,0.4235665714252853,9,7,44,25,85
