model,subset,repeat_blocks,mean_roc_auc,ci_lower_roc_auc,ci_upper_roc_auc,mean_pr_auc,ci_lower_pr_auc,ci_upper_pr_auc,mean_accuracy,ci_lower_accuracy,ci_upper_accuracy,mean_balanced_accuracy,ci_lower_balanced_accuracy,ci_upper_balanced_accuracy,mean_keyhole_recall,ci_lower_keyhole_recall,ci_upper_keyhole_recall,mean_conduction_recall,ci_lower_conduction_recall,ci_upper_conduction_recall,mean_brier_score,ci_lower_brier_score,ci_upper_brier_score,mean_log_loss,ci_lower_log_loss,ci_upper_log_loss
log_areal_energy,B1_q30,20,0.8148667998480589,0.8113526392468731,0.818468668195863,0.600346603410739,0.5931270649468771,0.607722877060748,0.7072,0.704,0.7104000000000001,0.6402960076154216,0.6354040732347869,0.6453306225918897,0.45092367997855803,0.4409089777092826,0.4610487637362637,0.8296683352522851,0.8264958579677318,0.832621621673326,0.17609296579048062,0.1748520491771506,0.1773567744056798,0.4956684636298666,0.4920991200101173,0.49918062803121355
log_areal_energy,full81,20,0.963368542663806,0.9631643010397755,0.9635687097705894,0.8486256997028473,0.8474371617440154,0.8496804525932836,0.8972839506172837,0.8962962962962966,0.8982716049382715,0.817659679815151,0.8155627733536884,0.8198310364746657,0.6931506849315069,0.6883561643835616,0.6972602739726026,0.942168674698795,0.9412650602409638,0.943222891566265,0.06250437503834314,0.06227685609011929,0.06273564863805645,0.18537458620709843,0.18474885136244742,0.186001857098032
log_h_logistic,B1_q20,20,0.9038989842546787,0.9019161638202207,0.9058166469544974,0.8044134945004118,0.7993758963091494,0.8090176077261041,0.8329411764705883,0.8282352941176472,0.8376470588235294,0.8104312396235205,0.80560925234815,0.8154437876756394,0.7095494462447736,0.701607892488007,0.7174730308087313,0.9113130330022671,0.9063800861103996,0.9162580639665963,0.12443124183333772,0.12252164501881092,0.12634505032911214,0.42339942867508107,0.4156144514545908,0.43171660289026276
log_h_logistic,B1_q30,20,0.9379293592578243,0.9368098634762104,0.9389807054267967,0.8343467564918615,0.8276737929221246,0.8406032152628172,0.8756,0.8732,0.8784000000000001,0.8428755558424177,0.8398273497389355,0.8458460422584839,0.7501973331546503,0.7448390846957921,0.7552008230590547,0.9355537785301848,0.9322462461238349,0.9390530151679611,0.09259158147210651,0.09162461380768748,0.09368640791047818,0.3161386169390249,0.3110385862728726,0.3216480464993034
log_h_logistic,full81,20,0.989697144743357,0.9893773725037134,0.9899797821422677,0.9500547851409002,0.9470652672932742,0.9526497523243219,0.9613580246913578,0.9604938271604938,0.9622222222222222,0.9221963195246741,0.9209770589206139,0.923223716784948,0.8609589041095891,0.8589041095890412,0.863013698630137,0.9834337349397592,0.9825301204819276,0.9844879518072288,0.02958713501784598,0.02923160228894289,0.0300151036797313,0.10414785245594468,0.10245466115958268,0.10611332834537035
log_h_st_logistic,B1_q20,20,0.8995301918312668,0.8973505373760706,0.9016578357963836,0.8049458784999667,0.7989034044393,0.8109497093628882,0.8270588235294118,0.8217647058823531,0.8329411764705883,0.8029201446276304,0.7962120619252129,0.8098896907028764,0.6945097859525041,0.6824687224688261,0.7070933447334212,0.9113305033027563,0.9062918835829767,0.9160922723564511,0.12779877965711725,0.12583043200121857,0.12964625855986744,0.4308289112790125,0.4226856324712749,0.4399499084260058
log_h_st_logistic,B1_q30,20,0.9355857518896243,0.9343989405091474,0.9366931585712033,0.8346785953578593,0.8276092997078226,0.8414339182175944,0.8695999999999999,0.8668000000000001,0.8724000000000001,0.8338524936122585,0.8294224485787685,0.8381851442117849,0.7327536183328865,0.7233628439649782,0.7416768683552218,0.9349513688916307,0.9320522022622442,0.9379974785304989,0.09483145992982278,0.09387690887008966,0.0959286620915523,0.3213045820660985,0.31607834237557847,0.3274490991076737
log_h_st_logistic,full81,20,0.989276283215052,0.98892551369863,0.9895630467073773,0.9488985048169145,0.9457796473665275,0.951553977064384,0.9595061728395062,0.9585185185185185,0.9603703703703703,0.9173264977719097,0.9153882653903282,0.9192306898828191,0.8513698630136985,0.8472602739726028,0.8554794520547946,0.9832831325301206,0.9823795180722892,0.9841867469879517,0.03035984952034464,0.03000110673890992,0.03079627179930875,0.10618641388519182,0.10443107010603526,0.10817510979654749
log_irradiance,B1_q20,20,0.882332749433066,0.8787039616193152,0.885965693640533,0.7674632216365576,0.7600781847838366,0.7747259581119086,0.7776470588235295,0.7705882352941178,0.7847058823529414,0.7403146849525056,0.7332748445956844,0.7479004255570416,0.5733534150463704,0.5596968817769042,0.587571031198403,0.9072759548586407,0.8982804018011011,0.916456643061998,0.15568265083828717,0.15306391090519997,0.158229474991455,0.5112586864473692,0.503255830772535,0.5201444356409023
log_irradiance,B1_q30,20,0.9159522319274522,0.9138043470128794,0.9179905229541206,0.7879879064319797,0.7819252697142873,0.7935912752399742,0.8308000000000002,0.8263999999999999,0.8356,0.7775634175656914,0.7700246040302016,0.7857604176700896,0.6273114893236844,0.6119565967569016,0.6441886614401858,0.9278153458076982,0.9239797034532501,0.9315332382883106,0.11752267342773375,0.11660472197929572,0.11846488901654864,0.3898608267015858,0.384705777536476,0.39560346720436745
log_irradiance,full81,20,0.9734733454365406,0.9730173605380426,0.9739045737745504,0.8723351373201382,0.8682194558065686,0.876149011284941,0.937283950617284,0.9358024691358023,0.9390123456790122,0.8703767123287672,0.8664509149612146,0.8745203416405349,0.7657534246575342,0.7582191780821917,0.7739726027397259,0.975,0.97394578313253,0.9760542168674698,0.04544190522813741,0.04514214313549602,0.04577311647928813,0.1594064660263752,0.1576917198525317,0.1613296801991079
log_king_style,B1_q20,20,0.882708987098882,0.8800691261519278,0.8850288577172174,0.7930054682933011,0.7887006795209413,0.7973910251331329,0.8282352941176472,0.8223529411764707,0.8341176470588236,0.8071848048231391,0.8023010128927454,0.8121853667480885,0.7129061265268571,0.7031077215893689,0.7229278581208877,0.9014634831194209,0.890988523435499,0.9106368360495303,0.13551813830042736,0.13355900534652285,0.13746852102394647,0.43466218282814995,0.4287962737669748,0.4403493250598584
log_king_style,B1_q30,20,0.9250621153215957,0.9239360438484293,0.9260114481685514,0.8270505144333633,0.8215061017651147,0.8324248713779545,0.8695999999999999,0.8652,0.874,0.8384595743320886,0.8341399432530502,0.8428047037863318,0.7502323997141069,0.7428323226570178,0.7582294933217191,0.9266867489500703,0.920078465268147,0.9331935050638356,0.10118971677072094,0.10018366730966193,0.10241620568388361,0.32796336633402706,0.32497148963920697,0.3312220687539343
log_king_style,full81,20,0.9876609176431754,0.9874710657699289,0.9878197722396435,0.9488712848516213,0.947892821132074,0.9496459170340404,0.9593827160493825,0.9579012345679014,0.9607407407407406,0.9209915002475656,0.9192038702756232,0.9227378692853607,0.8609589041095891,0.8575342465753426,0.8643835616438358,0.9810240963855421,0.9792168674698797,0.9826807228915662,0.03223254350676112,0.03196355614768236,0.032625227351960134,0.10851128918564143,0.10763555705094474,0.10963565880735844
log_linear_energy,B1_q20,20,0.6511269111238371,0.64325454786609,0.658713833636846,0.48925576474078697,0.48121720579174465,0.49627355163574427,0.5994117647058823,0.5935294117647057,0.6052941176470588,0.5260756804364477,0.5195340383911242,0.5318031646431179,0.19350079217904168,0.18350907604610758,0.20303657076833664,0.8586505686938539,0.8516120573531786,0.8657252681019191,0.26583939915110844,0.26152664648947155,0.2702046158151832,0.7352099651869008,0.7232639320470936,0.746746913033034
log_linear_energy,B1_q30,20,0.6967819439600564,0.6910928198956532,0.702552246602295,0.4445726532896924,0.4370997235153833,0.4519322365486007,0.6464000000000001,0.6404000000000001,0.6519999999999999,0.5220035222468735,0.5169987536027267,0.5268400112470798,0.169369918699187,0.1635019738899312,0.17543163696060035,0.8746371257945599,0.8683455221118987,0.8804672715191428,0.2295771049663627,0.2276149626253908,0.2315612727677575,0.6398843813913965,0.6351467303616289,0.644428293694049
log_linear_energy,full81,20,0.9009448753919788,0.9006271661990427,0.9012584584915002,0.6476760132515933,0.6460747310068885,0.6492642393537447,0.8535802469135803,0.8518518518518519,0.8551851851851853,0.6894805248390823,0.6864055537217363,0.6924121142102657,0.4328767123287672,0.4273972602739726,0.4383561643835616,0.9460843373493978,0.9447289156626505,0.9474397590361446,0.09863018795289392,0.09844336784077017,0.09881116317901202,0.2961688787930803,0.29566082459712334,0.29666889960326664
log_volumetric_energy,B1_q20,20,0.8378753031360375,0.8337332454350105,0.8419652796712254,0.7225784960624526,0.7128200718889688,0.7316118624380354,0.7776470588235295,0.7711764705882354,0.7841176470588237,0.7642568836093896,0.7568758509462229,0.7709716970170396,0.7038934419075547,0.6917115479989651,0.7160167324719475,0.8246203253112243,0.817217521130368,0.831983720249106,0.16528466594307606,0.1625584032589269,0.16786227440342047,0.5000696782936268,0.49308464229969834,0.5066567974990261
log_volumetric_energy,B1_q30,20,0.8810496361868492,0.8791245739258456,0.8831477800376334,0.7141978523014967,0.7066097175468462,0.7217221343550294,0.8215999999999999,0.8187999999999999,0.8248000000000001,0.797171983088367,0.7945450997010619,0.7999000043391532,0.7280266684534976,0.723437142633789,0.732084355177343,0.8663172977232362,0.8617896604494978,0.8707021093951731,0.13330393331175328,0.1320337789751548,0.13453303939482542,0.40804174451279557,0.40405497286835146,0.4119066399668662
log_volumetric_energy,full81,20,0.979619161577818,0.9793633437861032,0.9798605380425812,0.9084388828242626,0.9070998114781941,0.9096630221047326,0.9413580246913579,0.9404907407407406,0.9422222222222223,0.9051885624690543,0.903894000660175,0.9064831242779336,0.8486301369863014,0.8465753424657534,0.8506849315068494,0.9617469879518075,0.9606927710843374,0.9626506024096386,0.044104751159327014,0.043801623037382505,0.044423996313370365,0.1402151764736897,0.1391030203543914,0.14140419612918861
logistic_M1,B1_q20,20,0.8979664925686924,0.8932796361618521,0.9020332940988467,0.8048054662268476,0.7978161878577226,0.8117618987069086,0.8429411764705883,0.8364705882352942,0.8494117647058823,0.823711003524845,0.8155312151660599,0.8315666043665879,0.7379804337424118,0.72218020603586,0.7536150502723084,0.9094415733072779,0.9027311591900105,0.9158796169023973,0.12441023328746137,0.12129790066960103,0.12755070643068472,0.44115683501550534,0.4253794056959922,0.4608805180833204
logistic_M1,B1_q30,20,0.9351495322834318,0.9329677132520067,0.9371984349463585,0.8367144302632165,0.8281834738524236,0.8447615131927314,0.8848,0.8800000000000001,0.8896000000000001,0.8557727305693575,0.849293611253572,0.8619277425259283,0.7735965558831414,0.7617238675958188,0.7849031090860361,0.9379489052555737,0.9328300392796512,0.9427046671638675,0.09333624884989256,0.09158536347498457,0.09523578077891662,0.3304042194739431,0.3194888125259219,0.34395651986048076
logistic_M1,full81,20,0.9896496946690874,0.9892143918138308,0.990045799636904,0.9522042747420979,0.9482240083325622,0.9553783236308362,0.9639506172839505,0.962222222222222,0.9655555555555555,0.9285866067007756,0.925361033173791,0.9317781399570885,0.8732876712328768,0.8671232876712327,0.8794520547945206,0.9838855421686749,0.9822289156626507,0.9853915662650603,0.029562755161835756,0.028992265351609623,0.030164587639374137,0.10627099799736472,0.10293588580669795,0.11058232437858499
logistic_M3,B1_q20,20,0.9257853488295991,0.9221823125458724,0.9288912381331502,0.8751155466980698,0.868894036690295,0.8812400334911795,0.8429411764705883,0.8358823529411765,0.8505882352941179,0.8285967933936265,0.8200029259452709,0.8381868322170625,0.7651995567288499,0.7483476701439373,0.7820365262949022,0.8919940300584029,0.8855368089349915,0.8985452334933329,0.10989429883749509,0.10688482613088988,0.11325993978814872,0.3763102624538723,0.3640169351423083,0.38855100510270474
logistic_M3,B1_q30,20,0.9558404803969196,0.9536845609642541,0.9577373236688508,0.9020664644384798,0.8957504710046972,0.9079555414144658,0.8872,0.8816,0.8928,0.8630824131610245,0.855492757846714,0.8710306578397988,0.7947291834182079,0.7803174389127134,0.809099412020906,0.9314356429038412,0.9276135577584913,0.935047834978766,0.07939087591177832,0.07745951007047279,0.08167323733422635,0.273376538573572,0.2656657363016699,0.2818310793622795
logistic_M3,full81,20,0.9934106288166363,0.9930722891566266,0.9937221488694504,0.9709594789753021,0.9694684849318865,0.9723013591758025,0.9650617283950617,0.9634567901234566,0.9667901234567899,0.934073279419046,0.9301555537217363,0.9380663063211753,0.8856164383561642,0.8780821917808218,0.8931506849315068,0.9825301204819278,0.9814759036144579,0.9834337349397592,0.024630745274407048,0.024058450627337285,0.025321966920064238,0.08607361511210393,0.08363795582377276,0.08867601064559522
