run_id,repeat,fold,beta_logP,beta_logVX,beta_logLS,VX_over_P,LS_over_P
w85__r14_f05,14,5,8.314405863042266,-4.07741128936887,-11.625976858220062,-0.4904032057772235,-1.3982931612585583
w85__r15_f01,15,1,9.13659700156619,-4.144829300763152,-12.391187138781545,-0.45365132117052415,-1.3562146975134675
w85__r15_f02,15,2,7.85737124006343,-4.133341697802618,-11.914967036835415,-0.52604638008287,-1.5164062728871686
w85__r15_f03,15,3,7.989049137755997,-4.100993531727675,-10.549849648787047,-0.5133268629362294,-1.3205388359584354
w85__r15_f04,15,4,9.996435589958377,-6.0968903091786775,-15.0318275514809,-0.6099064265770019,-1.5037187421665255
w85__r15_f05,15,5,9.664600275237689,-4.775198061734635,-14.713249567816373,-0.49409162570018395,-1.5223857323426155
w85__r16_f01,16,1,9.255949791936423,-4.412868122319093,-14.401939098818774,-0.4767601620055767,-1.5559655597273683
w85__r16_f02,16,2,8.629754468531601,-4.5581073454088985,-12.003539876843233,-0.5281850557892506,-1.3909480183490897
w85__r16_f03,16,3,8.682058994613795,-4.433142622572523,-11.236215254502444,-0.5106095944893683,-1.29418784892768
w85__r16_f04,16,4,8.511825797271074,-4.669664799170718,-12.103529776483153,-0.5486090658326009,-1.4219663400963392
w85__r16_f05,16,5,8.948912040909391,-4.619742819488575,-14.20500398407465,-0.5162351354410134,-1.5873442401866689
w85__r17_f01,17,1,8.580532738841752,-4.401681897818963,-12.557937978710449,-0.512984686591048,-1.4635382628241784
w85__r17_f02,17,2,8.37788986241039,-4.705731296108811,-12.290620414636859,-0.5616845498557238,-1.4670305550066927
w85__r17_f03,17,3,9.27728751258829,-4.451098080867662,-13.588082038818898,-0.47978442781125374,-1.4646610898262364
w85__r17_f04,17,4,8.620874454835139,-4.246829087653176,-12.74429530361463,-0.49262161395602766,-1.478306565114959
w85__r17_f05,17,5,8.99759125280732,-4.969381878151767,-12.077286017571408,-0.5523013591666859,-1.3422799145052515
w85__r18_f01,18,1,11.166939675190221,-5.125340452068519,-16.340531883724612,-0.45897449087645514,-1.4632954380535115
w85__r18_f02,18,2,9.047867913112986,-4.203815687497903,-11.871734018565078,-0.4646194802872126,-1.3121029321570323
w85__r18_f03,18,3,8.154276438530138,-4.374792419177182,-12.279091145678535,-0.5365028340841689,-1.5058468078980067
w85__r18_f04,18,4,8.432213635813593,-4.3607893690333475,-11.435900661845476,-0.5171583118473244,-1.3562157169826106
w85__r18_f05,18,5,8.57721533720402,-4.983065144746398,-13.901602736631133,-0.5809653773214892,-1.6207594411594597
w85__r19_f01,19,1,8.282485672822329,-4.3526534552806995,-12.482220938291725,-0.5255250207752542,-1.5070621829446884
w85__r19_f02,19,2,8.559819518863081,-4.779317057574567,-11.479047375393405,-0.5583432042045389,-1.3410384821896404
w85__r19_f03,19,3,8.04113317882311,-4.151246007309917,-11.22307773531076,-0.516251368431817,-1.395708476122187
w85__r19_f04,19,4,8.426086932974693,-4.601400276673065,-11.927585887205895,-0.5460898176431008,-1.4155545726128718
w85__r19_f05,19,5,14.442335756087772,-6.070952325077563,-22.29952038435195,-0.4203580658702329,-1.5440383578502666
w85__r20_f01,20,1,8.58947693095054,-4.244657343328355,-11.251756937882769,-0.494169479404915,-1.309946697375624
w85__r20_f02,20,2,7.984830871209454,-4.285936654930942,-12.505696426878885,-0.5367598542862757,-1.5661817549536476
w85__r20_f03,20,3,8.588063613304461,-5.044260541781002,-11.656590840838359,-0.5873571469552847,-1.3573014087576383
w85__r20_f04,20,4,9.939305373431022,-4.8413407214926245,-13.948929860264403,-0.48709044944268637,-1.4034109362965743
w85__r20_f05,20,5,9.262918531641379,-4.546757893294888,-14.217223490629022,-0.4908558655421109,-1.5348535606854512
