name,hash,P,VX,LS,ST,LS_micrometres,observed_conduction,first_observed_conduction_timestep,initial_emptiness_frame_count,screenshot_bug_frame_count,preconduction_screenshot_bug_frame_count,screenshot_bug_any,screenshot_bug_before_first_observed_conduction,first_label,first_non_initial_emptiness_label,first_non_empty_like_label,initial_empty_like_block_stored_frames,initial_empty_like_block_timestep_width,begins_initial_emptiness_then_bug,all_preconduction_bug_in_initial_empty_like_block,all_bug_frames_in_initial_empty_like_block,initial_empty_like_block_contains_bug,screenshot_bug_after_physical_regime,screenshot_bug_block_count,screenshot_bug_block_structure,stored_frame_count,label_sequence_rle,sequence_pattern_category
P-119p65849417_VX-0p305673131798_LS-5p10692886867e-05_ST-393p327897391_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p57819582462e-05_H-cb2618ba4f,cb2618ba4f,119.65849417,0.305673131798,5.10692886867e-05,393.327897391,51.0692886867,True,72094.0,0,36,36,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,36,30381.0,False,True,True,True,False,1,one_contiguous_block,135,Screenshot Bug × 36 → Forming Phase × 47 → Conduction × 52,initial_empty_like_block_bug_only
P-121p661876009_VX-0p281641526906_LS-7p16631028882e-05_ST-330p429005364_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p71285841829e-05_H-25d163a2a5,25d163a2a5,121.661876009,0.281641526906,7.16631028882e-05,330.429005364,71.6631028882,True,32976.0,35,0,0,False,False,Initial Emptiness,Conduction,Conduction,35,32033.0,False,,False,False,False,0,none,124,Initial Emptiness × 35 → Conduction × 89,no_bug
P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,306f9d252b,122.148440758,0.768953415756,4.5e-05,300.0,45.0,True,9630.0,1,0,0,False,False,Initial Emptiness,Forming Phase,Forming Phase,1,0.0,False,,False,False,False,0,none,516,Initial Emptiness × 1 → Forming Phase × 71 → Conduction × 444,no_bug
P-122p399838052_VX-0p958262341264_LS-8p77032416896e-05_ST-376p830559352_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03423790676e-06_H-79d0c72bd8,79d0c72bd8,122.399838052,0.958262341264,8.77032416896e-05,376.830559352,87.70324168959999,True,60951.0,0,125,36,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,36,9969.0,False,True,False,True,True,2,multiple_separated_blocks,413,Screenshot Bug × 36 → Forming Phase × 183 → Conduction × 105 → Screenshot Bug × 89,multiple_separated_bug_blocks
P-123p578555013_VX-0p413960648538_LS-5p40122226787e-05_ST-380p745973079_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16535729182e-05_H-f404b6f8f4,f404b6f8f4,123.578555013,0.413960648538,5.40122226787e-05,380.745973079,54.0122226787,True,53226.0,0,33,33,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,33,22432.0,False,True,True,True,False,1,one_contiguous_block,179,Screenshot Bug × 33 → Forming Phase × 47 → Conduction × 99,initial_empty_like_block_bug_only
P-124p939831153_VX-0p895565001264_LS-4p79284796095e-05_ST-395p904294171_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p38667834965e-06_H-cf6d926251,cf6d926251,124.939831153,0.895565001264,4.79284796095e-05,395.904294171,47.9284796095,True,24588.0,0,109,35,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,35,10667.0,False,True,False,True,True,2,multiple_separated_blocks,383,Screenshot Bug × 35 → Forming Phase × 46 → Conduction × 228 → Screenshot Bug × 74,multiple_separated_bug_blocks
P-126p228008246_VX-0p201684842681_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p27081552964e-06_H-306f9d252b,306f9d252b,126.228008246,0.201684842681,4.5e-05,300.0,45.0,True,33658.0,1,0,0,False,False,Initial Emptiness,Forming Phase,Forming Phase,1,0.0,False,,False,False,False,0,none,136,Initial Emptiness × 1 → Forming Phase × 65 → Conduction × 70,no_bug
P-126p429096271_VX-0p381791494837_LS-8p54596605095e-05_ST-336p470624887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p26354847299e-05_H-bf3689621a,bf3689621a,126.429096271,0.381791494837,8.54596605095e-05,336.470624887,85.4596605095,True,57713.0,0,35,35,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,35,23626.0,False,True,True,True,False,1,one_contiguous_block,168,Screenshot Bug × 35 → Forming Phase × 48 → Conduction × 85,initial_empty_like_block_bug_only
P-126p512169142_VX-0p57236868357_LS-7p44940442576e-05_ST-386p738254947_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p42834477408e-06_H-d7a336064e,d7a336064e,126.512169142,0.57236868357,7.44940442576e-05,386.738254947,74.4940442576,True,16689.0,36,0,0,False,False,Initial Emptiness,Conduction,Conduction,36,16226.0,False,,False,False,False,0,none,251,Initial Emptiness × 36 → Conduction × 215,no_bug
P-128p682231034_VX-0p601925389683_LS-8p082715257e-05_ST-394p322355105_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p01448266795e-06_H-b41981edcb,b41981edcb,128.682231034,0.601925389683,8.082715257e-05,394.322355105,80.82715257,True,15870.0,36,0,0,False,False,Initial Emptiness,Conduction,Conduction,36,15430.0,False,,False,False,False,0,none,263,Initial Emptiness × 36 → Conduction × 227,no_bug
