family,model,repeat,fold,roc_auc,pr_auc,balanced_accuracy,brier_score,log_loss
physical_score,irradiance_P_over_LS2__raw,2,5,0.9659090909090909,0.8854548229548229,0.75,0.06817642118598952,0.21685653937884833
physical_score,irradiance_P_over_LS2__raw,2,6,1.0,1.0,0.8571428571428572,0.030948263480156925,0.11551993756123609
physical_score,irradiance_P_over_LS2__raw,2,7,0.9783549783549784,0.9087301587301587,0.8419913419913421,0.04545133301998797,0.1467100307941057
physical_score,irradiance_P_over_LS2__raw,2,8,0.9826839826839827,0.948051948051948,0.9285714285714286,0.02425365672897342,0.0973952647269695
physical_score,irradiance_P_over_LS2__raw,2,9,0.9696969696969696,0.8690476190476191,0.7142857142857143,0.08284201392239651,0.2592922077939665
physical_score,irradiance_P_over_LS2__raw,2,10,0.9826839826839827,0.948051948051948,0.8982683982683983,0.044037675717130895,0.144122266866263
physical_score,irradiance_P_over_LS2__raw,3,1,1.0,1.0,0.8571428571428572,0.02323451303115457,0.08849227128053298
physical_score,irradiance_P_over_LS2__raw,3,2,0.9621848739495797,0.8864468864468864,0.7857142857142857,0.05398676375698582,0.1836696887657699
physical_score,irradiance_P_over_LS2__raw,3,3,0.9848484848484849,0.9415178571428571,0.7973484848484849,0.04830300926753365,0.15253860794443244
physical_score,irradiance_P_over_LS2__raw,3,4,0.9848484848484849,0.9317956349206349,0.7973484848484849,0.06845706302078022,0.21099758791544465
physical_score,irradiance_P_over_LS2__raw,3,5,0.9659090909090909,0.9338235294117647,0.9375,0.03582977688820363,0.13863549696882838
physical_score,irradiance_P_over_LS2__raw,3,6,0.961038961038961,0.9196428571428571,0.8571428571428572,0.041405354495007166,0.1551704425511514
physical_score,irradiance_P_over_LS2__raw,3,7,0.974025974025974,0.9340659340659341,0.9134199134199135,0.037512253759897494,0.13097623486558696
physical_score,irradiance_P_over_LS2__raw,3,8,0.974025974025974,0.9038342609771182,0.8419913419913421,0.059881432423073866,0.25675939204897386
physical_score,irradiance_P_over_LS2__raw,3,9,0.9783549783549783,0.9214285714285715,0.8419913419913421,0.046694444985640085,0.14775664884023929
physical_score,irradiance_P_over_LS2__raw,3,10,0.9696969696969697,0.754591836734694,0.8419913419913421,0.05182079365324479,0.3331985831707817
physical_score,irradiance_P_over_LS2__raw,4,1,0.9747899159663865,0.9095238095238096,0.8277310924369747,0.06468780586776539,0.2662869132794073
physical_score,irradiance_P_over_LS2__raw,4,2,1.0,1.0,1.0,0.0049326306570127865,0.0465883006370862
