population_row_index,experiment_name,manual_has_keyhole,PLS1,PLS2
12,P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,0,0.3242158684313937,0.06626262483048917
13,P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,0,-0.2940967565743032,-0.5134549513263591
14,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,0,-0.6972381916663483,0.39987645911673186
15,P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,0,-1.153250613374617,0.966170507003028
16,P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,0,-0.1607176934932077,-1.5225939914488849
17,P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,0,-1.127630426062837,0.635162013002861
18,P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,0,-1.8046526788779327,-0.08706087411871344
19,P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,0,0.0988891874091144,-0.23621837638030985
20,P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,0,-0.34243941782350285,-0.6242201105261832
21,P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,0,-1.3138028599439624,1.364742657795858
22,P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,0,-1.057954081999303,-0.5719397882179942
23,P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,0,-0.0868692812015796,-1.5330890117495408
24,P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,0,-0.9267073791711253,0.017181535540476828
25,P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,0,0.15986918723736737,-0.6988215657530235
26,P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,0,-0.6514351992679901,-0.947631040785492
27,P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,0,-0.01374840987300413,-0.9996232501399973
28,P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,0,-0.5877696685416177,0.42215951251632816
