run_id,repeat,fold,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,true_negative,true_positive,row_count,fit_status,kernel,residual_sd,length_scale,residual_sd_lower_bound_hit,residual_sd_upper_bound_hit,length_scale_lower_bound_hit,length_scale_upper_bound_hit,convergence_warning,warning_text,residual_rms_full81,residual_rms_B1_q20
w85__r02_f03,2,3,generic_trend_residual_gp,B1_q20,0.9714285714285714,0.9833333333333333,0.8823529411764706,0.9,0.8,1.0,2,0,7,8,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.341, trend_prior_sd=5)",1.0,1.3411530894638748,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.21815384927983764,0.33782365903389006
w85__r02_f04,2,4,generic_trend_residual_gp,full81,0.9838383838383838,0.9156715019872914,0.9629629629629629,0.9515151515151515,0.9333333333333333,0.9696969696969697,1,2,64,14,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.045, trend_prior_sd=5)",1.0,1.04510756516771,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.19522999894141874,0.28897001067120476
w85__r02_f04,2,4,generic_trend_residual_gp,B1_q30,0.9044117647058822,0.7180555555555556,0.88,0.8786764705882353,0.875,0.8823529411764706,1,2,15,7,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.045, trend_prior_sd=5)",1.0,1.04510756516771,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.19522999894141874,0.28897001067120476
w85__r02_f04,2,4,generic_trend_residual_gp,B1_q20,0.85,0.6116666666666666,0.8235294117647058,0.8166666666666667,0.8,0.8333333333333334,1,2,10,4,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.045, trend_prior_sd=5)",1.0,1.04510756516771,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.19522999894141874,0.28897001067120476
w85__r02_f05,2,5,generic_trend_residual_gp,full81,0.9829424307036247,0.940688775510204,0.9382716049382716,0.8214285714285714,0.6428571428571429,1.0,5,0,67,9,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.268, trend_prior_sd=5)",1.0,1.2684355432138021,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.2200379312350231,0.28838480511007136
w85__r02_f05,2,5,generic_trend_residual_gp,B1_q30,0.9191176470588236,0.8751984126984127,0.8,0.6875,0.375,1.0,5,0,17,3,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.268, trend_prior_sd=5)",1.0,1.2684355432138021,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.2200379312350231,0.28838480511007136
w85__r02_f05,2,5,generic_trend_residual_gp,B1_q20,0.8833333333333333,0.8509090909090908,0.7647058823529411,0.6,0.2,1.0,4,0,12,1,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.268, trend_prior_sd=5)",1.0,1.2684355432138021,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.2200379312350231,0.28838480511007136
w85__r03_f01,3,1,generic_trend_residual_gp,full81,0.9878787878787879,0.961244019138756,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.322, trend_prior_sd=5)",1.0,1.3216581086205612,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.1992747756595504,0.29251541808555087
w85__r03_f01,3,1,generic_trend_residual_gp,B1_q30,0.9035087719298246,0.8333333333333333,0.92,0.8333333333333333,0.6666666666666666,1.0,2,0,19,4,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.322, trend_prior_sd=5)",1.0,1.3216581086205612,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.1992747756595504,0.29251541808555087
w85__r03_f01,3,1,generic_trend_residual_gp,B1_q20,0.8499999999999999,0.8,0.8823529411764706,0.8,0.6,1.0,2,0,12,3,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.322, trend_prior_sd=5)",1.0,1.3216581086205612,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.1992747756595504,0.29251541808555087
w85__r03_f02,3,2,generic_trend_residual_gp,full81,0.996969696969697,0.9877124183006536,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.328, trend_prior_sd=5)",1.0,1.3275709628012657,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.27654428621221905,0.4186160073572918
w85__r03_f02,3,2,generic_trend_residual_gp,B1_q30,0.9761904761904762,0.947845804988662,0.92,0.8571428571428572,0.7142857142857143,1.0,2,0,18,5,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.328, trend_prior_sd=5)",1.0,1.3275709628012657,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.27654428621221905,0.4186160073572918
w85__r03_f02,3,2,generic_trend_residual_gp,B1_q20,0.9545454545454545,0.9305555555555556,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0,2,0,11,4,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.328, trend_prior_sd=5)",1.0,1.3275709628012657,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.27654428621221905,0.4186160073572918
w85__r03_f03,3,3,generic_trend_residual_gp,full81,0.9925373134328359,0.9675780568637711,0.9629629629629629,0.9211087420042643,0.8571428571428571,0.9850746268656716,2,1,66,12,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.482, trend_prior_sd=5)",1.0,1.4820517597602965,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.27100247318446485,0.45092740630973055
w85__r03_f03,3,3,generic_trend_residual_gp,B1_q30,0.9583333333333333,0.9301146384479719,0.88,0.8576388888888888,0.7777777777777778,0.9375,2,1,15,7,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.482, trend_prior_sd=5)",1.0,1.4820517597602965,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.27100247318446485,0.45092740630973055
w85__r03_f03,3,3,generic_trend_residual_gp,B1_q20,0.9666666666666667,0.9266666666666667,0.8823529411764706,0.8583333333333334,0.8,0.9166666666666666,1,1,11,4,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.482, trend_prior_sd=5)",1.0,1.4820517597602965,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.27100247318446485,0.45092740630973055
w85__r03_f04,3,4,generic_trend_residual_gp,full81,0.9808102345415778,0.895244239887097,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,1,3,64,13,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=0.9982, trend_prior_sd=5)",1.0,0.998182414819493,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.16820332092091023,0.1986290624495905
w85__r03_f04,3,4,generic_trend_residual_gp,B1_q30,0.8819444444444444,0.7197530864197531,0.84,0.8506944444444444,0.8888888888888888,0.8125,1,3,13,8,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=0.9982, trend_prior_sd=5)",1.0,0.998182414819493,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.16820332092091023,0.1986290624495905
w85__r03_f04,3,4,generic_trend_residual_gp,B1_q20,0.8428571428571427,0.6972789115646258,0.8235294117647058,0.8285714285714285,0.8571428571428571,0.8,1,2,8,6,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=0.9982, trend_prior_sd=5)",1.0,0.998182414819493,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.16820332092091023,0.1986290624495905
w85__r03_f05,3,5,generic_trend_residual_gp,full81,0.997979797979798,0.992156862745098,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.391, trend_prior_sd=5)",1.0,1.3912666239799767,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.20757695935531084,0.2985950551644039
w85__r03_f05,3,5,generic_trend_residual_gp,B1_q30,0.9866666666666667,0.9833333333333333,0.92,0.9,0.8,1.0,2,0,15,8,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.391, trend_prior_sd=5)",1.0,1.3912666239799767,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.20757695935531084,0.2985950551644039
w85__r03_f05,3,5,generic_trend_residual_gp,B1_q20,0.9722222222222222,0.975,0.8823529411764706,0.875,0.75,1.0,2,0,9,6,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.391, trend_prior_sd=5)",1.0,1.3912666239799767,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.20757695935531084,0.2985950551644039
w85__r04_f01,4,1,generic_trend_residual_gp,full81,0.9701492537313432,0.8524908448227776,0.9135802469135802,0.8065031982942431,0.6428571428571429,0.9701492537313433,5,2,65,9,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.41, trend_prior_sd=5)",1.0,1.4097401775684493,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.20439187948655294,0.32919923963582587
w85__r04_f01,4,1,generic_trend_residual_gp,B1_q30,0.8181818181818181,0.7415165939230111,0.72,0.7012987012987013,0.5454545454545454,0.8571428571428571,5,2,12,6,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.41, trend_prior_sd=5)",1.0,1.4097401775684493,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.20439187948655294,0.32919923963582587
w85__r04_f01,4,1,generic_trend_residual_gp,B1_q20,0.7222222222222222,0.6245535714285714,0.5882352941176471,0.5763888888888888,0.375,0.7777777777777778,5,2,7,3,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.41, trend_prior_sd=5)",1.0,1.4097401775684493,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.20439187948655294,0.32919923963582587
w85__r04_f02,4,2,generic_trend_residual_gp,full81,0.993939393939394,0.9745543345543346,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2,1,65,13,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.284, trend_prior_sd=5)",1.0,1.2838076573623867,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.2461019212483822,0.4082763674493618
w85__r04_f02,4,2,generic_trend_residual_gp,B1_q30,0.9583333333333333,0.9301146384479719,0.88,0.8576388888888888,0.7777777777777778,0.9375,2,1,15,7,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.284, trend_prior_sd=5)",1.0,1.2838076573623867,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.2461019212483822,0.4082763674493618
w85__r04_f02,4,2,generic_trend_residual_gp,B1_q20,0.9305555555555556,0.9376903960237295,0.8235294117647058,0.8263888888888888,0.7777777777777778,0.875,2,1,7,7,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.284, trend_prior_sd=5)",1.0,1.2838076573623867,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.2461019212483822,0.4082763674493618
w85__r04_f03,4,3,generic_trend_residual_gp,full81,1.0,1.0,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,66,14,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.349, trend_prior_sd=5)",1.0,1.348890156378593,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.21642343413058515,0.28520656761248986
w85__r04_f03,4,3,generic_trend_residual_gp,B1_q30,1.0,1.0,0.96,0.9,0.8,1.0,1,0,20,4,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.349, trend_prior_sd=5)",1.0,1.348890156378593,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.21642343413058515,0.28520656761248986
w85__r04_f03,4,3,generic_trend_residual_gp,B1_q20,1.0,1.0,0.9411764705882353,0.875,0.75,1.0,1,0,13,3,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.349, trend_prior_sd=5)",1.0,1.348890156378593,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.21642343413058515,0.28520656761248986
w85__r04_f04,4,4,generic_trend_residual_gp,full81,0.994949494949495,0.9815204678362573,0.9753086419753086,0.9590909090909091,0.9333333333333333,0.9848484848484849,1,1,65,14,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.243, trend_prior_sd=5)",1.0,1.2426106675014656,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.2256962038377736,0.33300120578886727
