arm,label,budget,subset,metric,mean,ci_low,ci_high
Y00,canonical 4D GPC,16,B1_q20,balanced_accuracy,0.6861943473193473,0.6604187989094239,0.7136926399988901
Y00,canonical 4D GPC,16,B1_q20,conduction_recall,0.8748966311466312,0.8507020722333222,0.9000428946053947
Y00,canonical 4D GPC,16,B1_q20,false_negative,3.28,2.87,3.7
Y00,canonical 4D GPC,16,B1_q20,false_positive,1.2800000000000002,1.04,1.53
Y00,canonical 4D GPC,16,B1_q20,keyhole_recall,0.4974920634920636,0.4308248015873016,0.5651999999999999
Y00,canonical 4D GPC,16,B1_q30,balanced_accuracy,0.7196344944400286,0.6909774563902514,0.7480388064190067
Y00,canonical 4D GPC,16,full81,balanced_accuracy,0.8461251534535117,0.8272725172837113,0.864813511985527
Y00,canonical 4D GPC,20,B1_q20,accuracy,0.7635294117647058,0.7517647058823529,0.776470588235294
Y00,canonical 4D GPC,20,B1_q20,balanced_accuracy,0.7295702630702631,0.7110060477716728,0.7471924086330338
Y00,canonical 4D GPC,20,B1_q20,conduction_recall,0.8686167166167167,0.8473458347208348,0.889302645965146
Y00,canonical 4D GPC,20,B1_q20,false_negative,2.65,2.37,2.95
Y00,canonical 4D GPC,20,B1_q20,false_positive,1.3699999999999999,1.1600000000000001,1.5699999999999998
Y00,canonical 4D GPC,20,B1_q20,keyhole_recall,0.5905238095238095,0.5411426587301588,0.6368657738095238
Y00,canonical 4D GPC,20,B1_q30,balanced_accuracy,0.7744659291731661,0.7543886784407973,0.7929588289242363
Y00,canonical 4D GPC,20,full81,balanced_accuracy,0.8812109905020353,0.8687512712411967,0.8926290325967565
Y00,canonical 4D GPC,30,B1_q20,accuracy,0.7970588235294119,0.78,0.8141176470588236
Y00,canonical 4D GPC,30,B1_q20,balanced_accuracy,0.7695389749139748,0.7494346701909202,0.7887714469558219
Y00,canonical 4D GPC,30,B1_q20,conduction_recall,0.8852882672882674,0.8624082702020202,0.9055348339160839
Y00,canonical 4D GPC,30,B1_q20,false_negative,2.27,2.04,2.52
Y00,canonical 4D GPC,30,B1_q20,false_positive,1.1800000000000002,0.9800000000000001,1.3900000000000001
Y00,canonical 4D GPC,30,B1_q20,keyhole_recall,0.6537896825396824,0.6122568452380951,0.6927032738095237
Y00,canonical 4D GPC,30,B1_q30,balanced_accuracy,0.8099003053619926,0.7941398862731052,0.8251270807570052
Y00,canonical 4D GPC,30,full81,balanced_accuracy,0.8973781094527362,0.8824972798345934,0.9098899633326872
Y00,canonical 4D GPC,40,B1_q20,accuracy,0.8170588235294118,0.8058823529411766,0.8276470588235295
Y00,canonical 4D GPC,40,B1_q20,balanced_accuracy,0.7971125124875125,0.7840444465256963,0.808932253163503
Y00,canonical 4D GPC,40,B1_q20,conduction_recall,0.8831813741813743,0.86720202991453,0.8979241376678879
Y00,canonical 4D GPC,40,B1_q20,false_negative,1.9100000000000001,1.7500000000000004,2.07
Y00,canonical 4D GPC,40,B1_q20,false_positive,1.2000000000000002,1.0500000000000003,1.3599999999999999
Y00,canonical 4D GPC,40,B1_q20,keyhole_recall,0.7110436507936508,0.6833887896825397,0.7373731150793652
Y00,canonical 4D GPC,40,B1_q30,balanced_accuracy,0.8396896302227184,0.8285700220010254,0.8497220731001881
Y00,canonical 4D GPC,40,full81,balanced_accuracy,0.9159923434774182,0.9042431987788331,0.924570316437294
Y00,canonical 4D GPC,60,B1_q20,accuracy,0.8329411764705883,0.8247058823529413,0.8423529411764706
Y00,canonical 4D GPC,60,B1_q20,balanced_accuracy,0.8129494533244535,0.8032987873237873,0.823263825757576
Y00,canonical 4D GPC,60,B1_q20,conduction_recall,0.8945695415695415,0.882585975135975,0.9062338286713287
Y00,canonical 4D GPC,60,B1_q20,false_negative,1.75,1.6300000000000001,1.8599999999999999
Y00,canonical 4D GPC,60,B1_q20,false_positive,1.09,0.9799999999999999,1.2000000000000002
Y00,canonical 4D GPC,60,B1_q20,keyhole_recall,0.7313293650793652,0.7085751984126986,0.7538017857142857
Y00,canonical 4D GPC,60,B1_q30,balanced_accuracy,0.8554406178831486,0.8476250058635896,0.8640835360948605
Y00,canonical 4D GPC,60,full81,balanced_accuracy,0.9285225495897137,0.9249197728888028,0.9324415519803579
Y00,canonical 4D GPC,80,B1_q20,accuracy,0.8329411764705883,0.8217647058823531,0.8441176470588235
Y00,canonical 4D GPC,80,B1_q20,balanced_accuracy,0.8130964590964591,0.8011386894355644,0.8246011741730491
Y00,canonical 4D GPC,80,B1_q20,conduction_recall,0.8938119658119659,0.8813043657731159,0.9063887480574983
Y00,canonical 4D GPC,80,B1_q20,false_negative,1.7400000000000002,1.6000000000000003,1.89
Y00,canonical 4D GPC,80,B1_q20,false_positive,1.1,0.9700000000000001,1.23
Y00,canonical 4D GPC,80,B1_q20,keyhole_recall,0.7323809523809524,0.7097496031746032,0.7544804563492062
Y00,canonical 4D GPC,80,B1_q30,balanced_accuracy,0.8493149153692885,0.8401583479015607,0.8586725068431096
Y00,canonical 4D GPC,80,full81,balanced_accuracy,0.9260290430962073,0.921281130871616,0.9306456346514181
Y10,physics trend + residual GP,16,B1_q20,accuracy,0.7847058823529413,0.7670588235294116,0.8029411764705884
Y10,physics trend + residual GP,16,B1_q20,balanced_accuracy,0.7706618104118104,0.7508657127594627,0.7895157394688643
Y10,physics trend + residual GP,16,B1_q20,conduction_recall,0.8192204462204463,0.7844922681485181,0.8524901008713507
Y10,physics trend + residual GP,16,B1_q20,false_negative,1.7899999999999998,1.46,2.12
Y10,physics trend + residual GP,16,B1_q20,false_positive,1.8700000000000003,1.5099999999999998,2.2499999999999996
Y10,physics trend + residual GP,16,B1_q20,keyhole_recall,0.7221031746031746,0.6708030753968254,0.7729148809523809
Y10,physics trend + residual GP,16,B1_q30,balanced_accuracy,0.8108440150750521,0.7901903149884817,0.8295846148046998
Y10,physics trend + residual GP,16,full81,balanced_accuracy,0.9090506881178524,0.8933743869936036,0.923217147218453
Y10,physics trend + residual GP,20,B1_q20,accuracy,0.8105882352941178,0.8000000000000002,0.8205882352941177
Y10,physics trend + residual GP,20,B1_q20,balanced_accuracy,0.7934875679875679,0.781093080183705,0.8057637657481409
Y10,physics trend + residual GP,20,B1_q20,conduction_recall,0.8567052947052947,0.8345781718281717,0.879275024975025
Y10,physics trend + residual GP,20,B1_q20,false_negative,1.73,1.53,1.9200000000000004
Y10,physics trend + residual GP,20,B1_q20,false_positive,1.4899999999999998,1.26,1.7200000000000002
Y10,physics trend + residual GP,20,B1_q20,keyhole_recall,0.7302698412698412,0.6976941468253968,0.7625563492063492
Y10,physics trend + residual GP,20,B1_q30,balanced_accuracy,0.8313358392983007,0.8199069235170146,0.8423485086926747
Y10,physics trend + residual GP,20,full81,balanced_accuracy,0.920085094010467,0.9127066146540026,0.9272935638366607
Y10,physics trend + residual GP,30,B1_q20,accuracy,0.8247058823529413,0.8164705882352943,0.8323529411764706
Y10,physics trend + residual GP,30,B1_q20,balanced_accuracy,0.8102186840936841,0.8003732687451437,0.8202372748778998
Y10,physics trend + residual GP,30,B1_q20,conduction_recall,0.866088161838162,0.8532616765179264,0.8781656385281386
Y10,physics trend + residual GP,30,B1_q20,false_negative,1.6,1.4899999999999998,1.72
Y10,physics trend + residual GP,30,B1_q20,false_positive,1.3800000000000003,1.26,1.4900000000000002
Y10,physics trend + residual GP,30,B1_q20,keyhole_recall,0.7543492063492063,0.7344398809523809,0.7737395833333333
Y10,physics trend + residual GP,30,B1_q30,balanced_accuracy,0.8440497585489846,0.8368107408324176,0.8515409576260728
Y10,physics trend + residual GP,30,full81,balanced_accuracy,0.9275703947793499,0.9231772064999677,0.9316034833947148
Y10,physics trend + residual GP,40,B1_q20,accuracy,0.8352941176470589,0.8276470588235295,0.8429411764705883
Y10,physics trend + residual GP,40,B1_q20,balanced_accuracy,0.8191056582306583,0.8123832233738484,0.825708697205572
Y10,physics trend + residual GP,40,B1_q20,conduction_recall,0.8901557609057609,0.8786330704018203,0.9015560064935064
Y10,physics trend + residual GP,40,B1_q20,false_negative,1.6600000000000001,1.56,1.7600000000000002
Y10,physics trend + residual GP,40,B1_q20,false_positive,1.1400000000000001,1.03,1.2499999999999998
Y10,physics trend + residual GP,40,B1_q20,keyhole_recall,0.7480555555555555,0.735753869047619,0.7608930555555555
Y10,physics trend + residual GP,40,B1_q30,balanced_accuracy,0.8513736053678003,0.8465739633538975,0.8562292487391994
Y10,physics trend + residual GP,40,full81,balanced_accuracy,0.928785326613685,0.9261263358532014,0.9312772089229179
Y10,physics trend + residual GP,60,B1_q20,accuracy,0.8329411764705883,0.8276470588235295,0.8382352941176471
Y10,physics trend + residual GP,60,B1_q20,balanced_accuracy,0.8123144633144633,0.8048749569874568,0.8195749413780664
Y10,physics trend + residual GP,60,B1_q20,conduction_recall,0.8975654345654345,0.8904145146520147,0.9049149413086914
Y10,physics trend + residual GP,60,B1_q20,false_negative,1.78,1.7099999999999997,1.85
Y10,physics trend + residual GP,60,B1_q20,false_positive,1.0599999999999998,0.9999999999999998,1.1199999999999999
Y10,physics trend + residual GP,60,B1_q20,keyhole_recall,0.7270634920634921,0.7123764880952381,0.7417625000000001
Y10,physics trend + residual GP,60,B1_q30,balanced_accuracy,0.846963946592623,0.8422553269904758,0.8526705921754973
Y10,physics trend + residual GP,60,full81,balanced_accuracy,0.925567551851134,0.9236657055630937,0.9277147468824708
Y10,physics trend + residual GP,80,B1_q20,accuracy,0.8364705882352942,0.831764705882353,0.841764705882353
Y10,physics trend + residual GP,80,B1_q20,balanced_accuracy,0.8138184315684317,0.8056538856976359,0.821756515012765
Y10,physics trend + residual GP,80,B1_q20,conduction_recall,0.9065019425019422,0.8988648212898214,0.9143813131313131
Y10,physics trend + residual GP,80,B1_q20,false_negative,1.8199999999999998,1.7399999999999998,1.8999999999999997
Y10,physics trend + residual GP,80,B1_q20,false_positive,0.96,0.8900000000000002,1.02
Y10,physics trend + residual GP,80,B1_q20,keyhole_recall,0.7211349206349207,0.7041779761904762,0.7372740079365079
Y10,physics trend + residual GP,80,B1_q30,balanced_accuracy,0.8498749082659687,0.845215346374257,0.8553257929420082
Y10,physics trend + residual GP,80,full81,balanced_accuracy,0.9256711572010079,0.9238916133617627,0.9277874313497448
