effect,budget,subset,metric,mean,ci_low,ci_high
generic_minus_4D,30,full81,balanced_accuracy,0.010584544808425396,-0.0004763164696000779,0.02433871793629255
generic_minus_4D,40,B1_q20,accuracy,-0.0035294117647058747,-0.016470588235294105,0.008235294117647065
generic_minus_4D,40,B1_q20,balanced_accuracy,-0.0008108280608280598,-0.014340205280830283,0.011807417235542229
generic_minus_4D,40,B1_q20,conduction_recall,-0.01152641802641804,-0.03136385489510491,0.0066935460372960255
generic_minus_4D,40,B1_q20,false_negative,-0.06999999999999999,-0.16000000000000003,0.020000000000000004
generic_minus_4D,40,B1_q20,false_positive,0.13000000000000003,-0.06,0.32999999999999996
generic_minus_4D,40,B1_q20,keyhole_recall,0.0099047619047619,-0.008298313492063501,0.028663194444444432
generic_minus_4D,40,B1_q30,balanced_accuracy,-0.006405567450265594,-0.016455493959944424,0.004101329820205599
generic_minus_4D,40,full81,balanced_accuracy,0.002549525101763914,-0.004741516443755238,0.013139888221231502
generic_minus_4D,60,B1_q20,accuracy,-0.0005882352941176305,-0.00999999999999998,0.008235294117647066
generic_minus_4D,60,B1_q20,balanced_accuracy,-0.0009445693195693237,-0.012196382090132105,0.00888530531968031
generic_minus_4D,60,B1_q20,conduction_recall,0.0036227661227661136,-0.004569177350427365,0.012123232323232303
generic_minus_4D,60,B1_q20,false_negative,0.05000000000000001,-0.08,0.19
generic_minus_4D,60,B1_q20,false_positive,-0.04,-0.13,0.04
generic_minus_4D,60,B1_q20,keyhole_recall,-0.005511904761904761,-0.027227083333333336,0.014873015873015876
generic_minus_4D,60,B1_q30,balanced_accuracy,-0.006614004867681345,-0.016298825633108728,0.002751821175040975
generic_minus_4D,60,full81,balanced_accuracy,-0.0031545196097435,-0.00836656732570913,0.002008889804225608
generic_minus_4D,80,B1_q20,accuracy,-0.0017647058823529217,-0.012352941176470561,0.009411764705882373
generic_minus_4D,80,B1_q20,balanced_accuracy,-0.006676837051837065,-0.019533835608835624,0.007005400502275484
generic_minus_4D,80,B1_q20,conduction_recall,0.014606643356643348,0.006371202408702396,0.023044269619269614
generic_minus_4D,80,B1_q20,false_negative,0.19000000000000003,0.019999999999999993,0.35
generic_minus_4D,80,B1_q20,false_positive,-0.16,-0.25000000000000006,-0.07
generic_minus_4D,80,B1_q20,keyhole_recall,-0.027960317460317456,-0.0519843253968254,-0.0015463293650793799
generic_minus_4D,80,B1_q30,balanced_accuracy,-0.00444031256840855,-0.014393721505747433,0.006730220388594017
generic_minus_4D,80,full81,balanced_accuracy,-0.004268398268398291,-0.009731076759061869,0.001935278962331173
