comparison_type,target,target_definition,reference_model,candidate_model,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,reference_predicted_mean_um,candidate_predicted_mean_um,reference_residual_um,candidate_residual_um,reference_absolute_error_um,candidate_absolute_error_um,candidate_minus_reference_absolute_error_um
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,rbf_learned_nugget,sim_00233,233,524.9916999999999,533.2698879369046,523.3398557083024,-8.278187936904715,1.6518442916975573,8.278187936904715,1.6518442916975573,-6.626343645207157
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,rbf_learned_nugget,sim_00234,234,219.7644999999,222.2624141568823,218.43744736744588,-2.4979141569823184,1.327052632454098,2.4979141569823184,1.327052632454098,-1.1708615245282203
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,rbf_learned_nugget,sim_00235,235,222.5017999999,229.6428101406553,220.43878631179916,-7.141010140755356,2.0630136881008525,7.141010140755356,2.0630136881008525,-5.077996452654504
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,rbf_learned_nugget,sim_00236,236,251.34715000000003,260.4149797033659,256.7300957015624,-9.067829703365843,-5.382945701562363,9.067829703365843,5.382945701562363,-3.6848840018034803
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,rbf_learned_nugget,sim_00237,237,259.0113,262.933213099753,263.54684841133405,-3.921913099752999,-4.535548411334048,3.921913099752999,4.535548411334048,0.6136353115810489
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,rbf_learned_nugget,sim_00238,238,243.2096499999,239.24486447397172,245.59719785288,3.9647855259282494,-2.387547852979964,3.9647855259282494,2.387547852979964,-1.5772376729482853
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,rbf_learned_nugget,sim_00239,239,248.2754,251.29027113214744,249.01198473796077,-3.014871132147448,-0.7365847379607544,3.014871132147448,0.7365847379607544,-2.2782863941866935
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,rbf_learned_nugget,sim_00240,240,255.3211,249.3533694605729,246.77218761935887,5.967730539427066,8.548912380641127,5.967730539427066,8.548912380641127,2.581181841214061
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,rbf_learned_nugget,sim_00241,241,264.7064,269.3907495604434,264.0644329394472,-4.684349560443422,0.6419670605527585,4.684349560443422,0.6419670605527585,-4.042382499890664
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,rbf_learned_nugget,sim_00242,242,280.1191999999,277.0767814780145,282.2936746983596,3.0424185218855087,-2.174474698459619,3.0424185218855087,2.174474698459619,-0.8679438234258896
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,matern32_no_nugget,sim_00001,1,262.5708499999,259.9457569704069,261.5492414693381,2.625093029493144,1.0216085305619345,2.625093029493144,1.0216085305619345,-1.6034844989312096
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,matern32_no_nugget,sim_00002,2,297.7007,307.60921890840865,310.62611800162,-9.908518908408666,-12.925418001620017,9.908518908408666,12.925418001620017,3.01689909321135
