comparison_type,target,target_definition,reference_model,candidate_model,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,reference_predicted_mean_um,candidate_predicted_mean_um,reference_residual_um,candidate_residual_um,reference_absolute_error_um,candidate_absolute_error_um,candidate_minus_reference_absolute_error_um,kernel_family_comparison
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00077,77,148.44292,149.58473700566051,149.70705642297068,-1.1418170056605277,-1.2641364229706935,1.1418170056605277,1.2641364229706935,0.12231941731016582,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00078,78,218.8874,224.5361096024866,210.33339465915083,-5.648709602486605,8.55400534084913,5.648709602486605,8.55400534084913,2.9052957383625255,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00079,79,131.92373999999998,133.50130917148806,133.68788376980953,-1.5775691714880793,-1.76414376980955,1.5775691714880793,1.76414376980955,0.1865745983214706,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00080,80,119.1025,126.56977040152856,122.47535021090748,-7.467270401528566,-3.3728502109074867,7.467270401528566,3.3728502109074867,-4.094420190621079,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00081,81,139.88122,139.54839224122904,138.41840899055242,0.3328277587709749,1.4628110094475917,0.3328277587709749,1.4628110094475917,1.1299832506766168,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00082,82,183.60647,192.62703023999836,185.75905469479025,-9.020560239998332,-2.1525846947902494,9.020560239998332,2.1525846947902494,-6.867975545208083,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00083,83,167.11939999999998,165.26561962803592,163.31886569561894,1.8537803719640635,3.8005343043810456,1.8537803719640635,3.8005343043810456,1.946753932416982,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00084,84,155.04631,143.67574710948892,149.75100580517542,11.37056289051108,5.295304194824581,11.37056289051108,5.295304194824581,-6.0752586956864985,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00085,85,169.61128,178.85251310977245,169.96435335384027,-9.241233109772452,-0.3530733538402728,9.241233109772452,0.3530733538402728,-8.888159755932179,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00086,86,161.4233999999,163.5807523511481,159.8652785497558,-2.1573523512481074,1.5581214501441991,2.1573523512481074,1.5581214501441991,-0.5992309011039083,RBF
