benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,budget,global_error,uncertainty_region_fraction,integrated_bernoulli_uncertainty,fit_time_seconds,near_boundary_error_q10,near_boundary_test_size_q10,uncertainty_region_fraction_q10,integrated_bernoulli_uncertainty_q10,near_boundary_error_q20,near_boundary_test_size_q20,uncertainty_region_fraction_q20,integrated_bernoulli_uncertainty_q20,near_boundary_error_q30,near_boundary_test_size_q30,uncertainty_region_fraction_q30,integrated_bernoulli_uncertainty_q30
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,53,0.3179,0.7988,0.14101499626649677,0.05316130000028352,0.471,1000,0.895,0.15431493649675793,0.462,2000,0.891,0.15408708479384103,0.438,3000,0.8843333333333333,0.15359277350632958
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,54,0.3213,0.7812,0.13573577574104273,0.05610799999885785,0.471,1000,0.888,0.14820630866832807,0.4665,2000,0.8825,0.14773907236811096,0.44166666666666665,3000,0.8746666666666667,0.14747663780844028
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,55,0.3224,0.7772,0.13380077971976256,0.05582860000140499,0.473,1000,0.876,0.14493953367214035,0.468,2000,0.871,0.14481526776670858,0.44233333333333336,3000,0.8653333333333333,0.14448163798453525
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,56,0.3237,0.7658,0.12946164585664247,0.058134599999903,0.478,1000,0.869,0.1406576564285847,0.473,2000,0.8635,0.14035705319969985,0.44733333333333336,3000,0.8583333333333333,0.14037445614701102
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,57,0.3226,0.764,0.12967107801448274,0.052658799999335315,0.482,1000,0.863,0.1409292075499746,0.475,2000,0.858,0.14076300734921066,0.44733333333333336,3000,0.8543333333333333,0.14070458023382512
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,58,0.3228,0.761,0.12919081227822127,0.053275899999789544,0.483,1000,0.861,0.1397943664508363,0.477,2000,0.854,0.13968086497435797,0.44966666666666666,3000,0.8493333333333334,0.13962850974086782
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,59,0.3229,0.7541,0.1276904276400145,0.054190699998798664,0.479,1000,0.859,0.13861014491698678,0.4775,2000,0.8535,0.13900855098227402,0.451,3000,0.849,0.13883583719784406
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,60,0.323,0.7452,0.12507449754098665,0.055407500000001164,0.479,1000,0.851,0.1362105934849534,0.4765,2000,0.8455,0.13658629095396915,0.451,3000,0.8416666666666667,0.1362969484315128
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,61,0.3156,0.7479,0.1271106477291329,0.050444800001059775,0.478,1000,0.857,0.13867515804539693,0.477,2000,0.851,0.13932985173646922,0.453,3000,0.847,0.139011247646289
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,62,0.3133,0.7446,0.12468056322821312,0.05082270000093558,0.476,1000,0.854,0.1352501985392583,0.471,2000,0.849,0.1365925508714509,0.4493333333333333,3000,0.8443333333333334,0.13609539087605022
