arm,c,subset,budget,metric,delta_vs_M3_MARGIN,ci_lower,ci_upper
REP_C100,1.0,B1_q20,40,conduction_recall,0.013776806526806528,0.0031782828282827945,0.025543575174825202
REP_C200,2.0,B1_q20,40,conduction_recall,0.01642832167832168,0.006616744366744348,0.02682735042735044
REP_C400,4.0,B1_q20,40,conduction_recall,0.013435897435897442,0.003348484848484856,0.024808979215229232
REP_C025,0.25,B1_q20,40,false_negative,0.10000000000000002,3.3306690738754695e-17,0.2
REP_C050,0.5,B1_q20,40,false_negative,0.10000000000000002,-0.02999999999999998,0.22999999999999998
REP_C100,1.0,B1_q20,40,false_negative,0.09000000000000002,-0.009999999999999976,0.19000000000000003
REP_C200,2.0,B1_q20,40,false_negative,0.07000000000000003,-0.06999999999999998,0.2000000000000001
REP_C400,4.0,B1_q20,40,false_negative,0.04000000000000002,-0.08999999999999997,0.18000000000000002
REP_C025,0.25,B1_q20,40,false_positive,-0.17,-0.26,-0.09999999999999999
REP_C050,0.5,B1_q20,40,false_positive,-0.14999999999999997,-0.26000000000000006,-0.040000000000000015
REP_C100,1.0,B1_q20,40,false_positive,-0.16,-0.27999999999999997,-0.05
REP_C200,2.0,B1_q20,40,false_positive,-0.19,-0.3,-0.09
REP_C400,4.0,B1_q20,40,false_positive,-0.15999999999999998,-0.2700000000000001,-0.06
REP_C025,0.25,B1_q20,60,accuracy,-0.000588235294117645,-0.0041176470588235314,0.00352941176470587
REP_C050,0.5,B1_q20,60,accuracy,0.0017647058823529404,-0.002941176470588225,0.006470588235294112
REP_C100,1.0,B1_q20,60,accuracy,0.000588235294117645,-0.0064705882352941,0.007647058823529384
REP_C200,2.0,B1_q20,60,accuracy,0.0011764705882352955,-0.005294117647058799,0.007647058823529396
REP_C400,4.0,B1_q20,60,accuracy,0.0,-0.00705882352941174,0.006470588235294106
REP_C025,0.25,B1_q20,60,balanced_accuracy,-0.0031545815295815184,-0.007759839466089439,0.0014610434704184533
REP_C050,0.5,B1_q20,60,balanced_accuracy,-0.001547258297258275,-0.007581033549783541,0.004050198412698416
REP_C100,1.0,B1_q20,60,balanced_accuracy,-0.0038944805194805034,-0.011872984307359275,0.003918109668109678
REP_C200,2.0,B1_q20,60,balanced_accuracy,-0.002971861471861459,-0.010162391774891769,0.00412325937950939
REP_C400,4.0,B1_q20,60,balanced_accuracy,-0.004259740259740246,-0.012028021284271261,0.0033696924603174175
REP_C025,0.25,B1_q20,60,keyhole_recall,-0.012273809523809525,-0.022548214285714286,-0.0025348214285714527
REP_C050,0.5,B1_q20,60,keyhole_recall,-0.012468253968253984,-0.02532142857142856,-0.0007378968253968559
REP_C100,1.0,B1_q20,60,keyhole_recall,-0.016329365079365082,-0.030484523809523805,-0.0029522817460317626
REP_C200,2.0,B1_q20,60,keyhole_recall,-0.014484126984126983,-0.027000198412698403,-0.00263492063492064
REP_C400,4.0,B1_q20,60,keyhole_recall,-0.016150793650793655,-0.03030565476190477,-0.0031705357142857186
REP_C025,0.25,B1_q20,60,conduction_recall,0.0059646464646464555,0.0018333333333333257,0.010631818181818145
REP_C050,0.5,B1_q20,60,conduction_recall,0.009373737373737362,0.003984848484848485,0.015722348484848474
REP_C100,1.0,B1_q20,60,conduction_recall,0.008540404040404032,0.003429292929292921,0.014631313131313101
REP_C200,2.0,B1_q20,60,conduction_recall,0.008540404040404032,0.0034444444444444383,0.014616540404040382
REP_C400,4.0,B1_q20,60,conduction_recall,0.0076313131313131225,0.0025555555555555553,0.013555681818181804
REP_C025,0.25,B1_q20,60,false_negative,0.08000000000000004,0.010000000000000054,0.14000000000000012
REP_C050,0.5,B1_q20,60,false_negative,0.08000000000000003,2.2204460492503132e-17,0.16000000000000006
REP_C100,1.0,B1_q20,60,false_negative,0.09000000000000004,2.2204460492503132e-17,0.18000000000000008
REP_C200,2.0,B1_q20,60,false_negative,0.08000000000000004,3.3306690738754695e-17,0.16000000000000006
REP_C400,4.0,B1_q20,60,false_negative,0.09000000000000004,3.3306690738754695e-17,0.18000000000000008
REP_C025,0.25,B1_q20,60,false_positive,-0.07000000000000002,-0.12000000000000004,-0.020000000000000007
REP_C050,0.5,B1_q20,60,false_positive,-0.11000000000000001,-0.18000000000000005,-0.05000000000000001
REP_C100,1.0,B1_q20,60,false_positive,-0.10000000000000002,-0.17000000000000004,-0.040000000000000015
REP_C200,2.0,B1_q20,60,false_positive,-0.10000000000000002,-0.17000000000000004,-0.040000000000000015
REP_C400,4.0,B1_q20,60,false_positive,-0.09000000000000001,-0.16000000000000003,-0.03000000000000001
REP_C025,0.25,B1_q20,80,accuracy,-0.0017647058823529516,-0.004705882352941199,0.0011764705882352955
REP_C050,0.5,B1_q20,80,accuracy,-0.0035294117647058977,-0.007647058823529446,1.1102230246251566e-17
REP_C100,1.0,B1_q20,80,accuracy,-0.002352941176470602,-0.00647058823529415,0.001764705882352935
REP_C200,2.0,B1_q20,80,accuracy,-0.001764705882352957,-0.006470588235294122,0.002352941176470602
REP_C400,4.0,B1_q20,80,accuracy,-0.001764705882352957,-0.006470588235294122,0.0023529411764705967
REP_C025,0.25,B1_q20,80,balanced_accuracy,-0.003557359307359298,-0.007440476190476159,6.601731601729721e-05
REP_C050,0.5,B1_q20,80,balanced_accuracy,-0.0057875180375180305,-0.011273755411255389,-0.0006543605699855791
REP_C100,1.0,B1_q20,80,balanced_accuracy,-0.004194083694083678,-0.009241711760461709,0.0005604978354977939
REP_C200,2.0,B1_q20,80,balanced_accuracy,-0.0037774170274170126,-0.008893001443001428,0.0011061056998556927
REP_C400,4.0,B1_q20,80,balanced_accuracy,-0.0037774170274170126,-0.008781746031745996,0.0010321067821067733
REP_C025,0.25,B1_q20,80,keyhole_recall,-0.008857142857142859,-0.015714285714285726,-0.002857142857142847
REP_C050,0.5,B1_q20,80,keyhole_recall,-0.01095634920634921,-0.0213015873015873,-0.0010039682539682738
REP_C100,1.0,B1_q20,80,keyhole_recall,-0.0090952380952381,-0.018714285714285704,-0.0005714285714285783
REP_C200,2.0,B1_q20,80,keyhole_recall,-0.0090952380952381,-0.018523809523809533,-0.0005714285714285783
REP_C400,4.0,B1_q20,80,keyhole_recall,-0.0090952380952381,-0.018572619047619074,-0.0005714285714285783
REP_C025,0.25,B1_q20,80,conduction_recall,0.0017424242424242398,0.0,0.004393939393939389
REP_C050,0.5,B1_q20,80,conduction_recall,-0.0006186868686868796,-0.004924242424242447,0.0034090909090909007
REP_C100,1.0,B1_q20,80,conduction_recall,0.0007070707070706949,-0.004237373737373778,0.005525378787878804
REP_C200,2.0,B1_q20,80,conduction_recall,0.0015404040404040254,-0.0036061868686869027,0.0063939393939394015
REP_C400,4.0,B1_q20,80,conduction_recall,0.0015404040404040254,-0.003611111111111132,0.006469696969696981
REP_C025,0.25,B1_q20,80,false_negative,0.05000000000000001,0.019999999999999997,0.09000000000000002
REP_C050,0.5,B1_q20,80,false_negative,0.06000000000000001,-1.1102230246251566e-17,0.12000000000000006
REP_C100,1.0,B1_q20,80,false_negative,0.05000000000000001,0.0,0.11000000000000001
REP_C200,2.0,B1_q20,80,false_negative,0.05000000000000001,0.0,0.11000000000000001
REP_C400,4.0,B1_q20,80,false_negative,0.05000000000000001,0.0,0.11000000000000001
REP_C025,0.25,B1_q20,80,false_positive,-0.020000000000000007,-0.050000000000000024,0.0
REP_C050,0.5,B1_q20,80,false_positive,0.0,-0.040000000000000015,0.040000000000000015
REP_C100,1.0,B1_q20,80,false_positive,-0.009999999999999998,-0.06000000000000001,0.04000000000000002
REP_C200,2.0,B1_q20,80,false_positive,-0.02,-0.07000000000000003,0.03000000000000002
REP_C400,4.0,B1_q20,80,false_positive,-0.02,-0.07000000000000003,0.03000000000000002
REP_C025,0.25,full81,16,accuracy,0.0,0.0,0.0
REP_C050,0.5,full81,16,accuracy,0.0,0.0,0.0
REP_C100,1.0,full81,16,accuracy,0.0,0.0,0.0
REP_C200,2.0,full81,16,accuracy,0.0,0.0,0.0
REP_C400,4.0,full81,16,accuracy,0.0,0.0,0.0
REP_C025,0.25,full81,16,balanced_accuracy,0.0,0.0,0.0
REP_C050,0.5,full81,16,balanced_accuracy,0.0,0.0,0.0
REP_C100,1.0,full81,16,balanced_accuracy,0.0,0.0,0.0
REP_C200,2.0,full81,16,balanced_accuracy,0.0,0.0,0.0
REP_C400,4.0,full81,16,balanced_accuracy,0.0,0.0,0.0
REP_C025,0.25,full81,16,keyhole_recall,0.0,0.0,0.0
REP_C050,0.5,full81,16,keyhole_recall,0.0,0.0,0.0
REP_C100,1.0,full81,16,keyhole_recall,0.0,0.0,0.0
REP_C200,2.0,full81,16,keyhole_recall,0.0,0.0,0.0
REP_C400,4.0,full81,16,keyhole_recall,0.0,0.0,0.0
REP_C025,0.25,full81,16,conduction_recall,0.0,0.0,0.0
REP_C050,0.5,full81,16,conduction_recall,0.0,0.0,0.0
REP_C100,1.0,full81,16,conduction_recall,0.0,0.0,0.0
REP_C200,2.0,full81,16,conduction_recall,0.0,0.0,0.0
REP_C400,4.0,full81,16,conduction_recall,0.0,0.0,0.0
REP_C025,0.25,full81,16,roc_auc,0.0,0.0,0.0
REP_C050,0.5,full81,16,roc_auc,0.0,0.0,0.0
REP_C100,1.0,full81,16,roc_auc,0.0,0.0,0.0
REP_C200,2.0,full81,16,roc_auc,0.0,0.0,0.0
REP_C400,4.0,full81,16,roc_auc,0.0,0.0,0.0
REP_C025,0.25,full81,16,pr_auc,0.0,0.0,0.0
REP_C050,0.5,full81,16,pr_auc,0.0,0.0,0.0
REP_C100,1.0,full81,16,pr_auc,0.0,0.0,0.0
REP_C200,2.0,full81,16,pr_auc,0.0,0.0,0.0
REP_C400,4.0,full81,16,pr_auc,0.0,0.0,0.0
REP_C025,0.25,full81,16,brier_score,3.4694469519536144e-19,0.0,1.0408340855860842e-18
