benchmark,method,seed,budget,global_error,classifier_uncertainty_region_fraction_eps05,classifier_uncertainty_region_fraction_eps10,near_boundary_error_q10,near_boundary_test_size_q10,classifier_uncertainty_region_fraction_q10_eps05,classifier_uncertainty_region_fraction_q10_eps10,near_boundary_error_q20,near_boundary_test_size_q20,classifier_uncertainty_region_fraction_q20_eps05,classifier_uncertainty_region_fraction_q20_eps10,near_boundary_error_q30,near_boundary_test_size_q30,classifier_uncertainty_region_fraction_q30_eps05,classifier_uncertainty_region_fraction_q30_eps10
ackley,random,0,37,0.3336,0.5004,0.7744,0.462,1000,0.577,0.882,0.473,2000,0.5725,0.8715,0.45466666666666666,3000,0.57,0.8693333333333333
ackley,random,0,38,0.337,0.4891,0.7568,0.465,1000,0.551,0.863,0.475,2000,0.5485,0.8545,0.458,3000,0.551,0.8513333333333334
ackley,random,0,39,0.3411,0.4723,0.7388,0.464,1000,0.519,0.842,0.476,2000,0.52,0.833,0.45966666666666667,3000,0.52,0.8296666666666667
ackley,random,0,40,0.3262,0.4845,0.7466,0.463,1000,0.548,0.852,0.4695,2000,0.5415,0.8445,0.45166666666666666,3000,0.545,0.8396666666666667
ackley,random,0,41,0.3282,0.4541,0.7221,0.465,1000,0.504,0.842,0.472,2000,0.4995,0.832,0.4543333333333333,3000,0.504,0.8263333333333334
ackley,random,0,42,0.3225,0.4695,0.7365,0.464,1000,0.526,0.871,0.4725,2000,0.518,0.861,0.4543333333333333,3000,0.5223333333333333,0.8553333333333333
ackley,random,0,43,0.3133,0.4794,0.7466,0.464,1000,0.549,0.885,0.467,2000,0.5415,0.8725,0.4513333333333333,3000,0.5436666666666666,0.8666666666666667
ackley,random,0,44,0.3036,0.4776,0.7532,0.471,1000,0.564,0.891,0.467,2000,0.5555,0.879,0.44866666666666666,3000,0.557,0.8733333333333333
ackley,random,0,45,0.3092,0.459,0.7392,0.477,1000,0.534,0.88,0.474,2000,0.527,0.862,0.45466666666666666,3000,0.53,0.857
ackley,random,0,46,0.3117,0.4391,0.7178,0.479,1000,0.517,0.854,0.474,2000,0.5135,0.8385,0.456,3000,0.511,0.836
ackley,random,0,47,0.3181,0.4295,0.7031,0.48,1000,0.491,0.843,0.4755,2000,0.481,0.8285,0.459,3000,0.4816666666666667,0.8233333333333334
ackley,random,0,48,0.3214,0.4232,0.6932,0.478,1000,0.466,0.825,0.4755,2000,0.462,0.812,0.4593333333333333,3000,0.4646666666666667,0.8086666666666666
ackley,random,0,49,0.319,0.4314,0.7063,0.476,1000,0.474,0.832,0.4715,2000,0.474,0.82,0.458,3000,0.47933333333333333,0.819
ackley,random,0,50,0.3177,0.4291,0.7034,0.477,1000,0.48,0.832,0.474,2000,0.477,0.821,0.45866666666666667,3000,0.47933333333333333,0.8196666666666667
ackley,random,0,51,0.3113,0.4262,0.7119,0.479,1000,0.489,0.843,0.4765,2000,0.4815,0.8375,0.458,3000,0.48033333333333333,0.835
ackley,random,0,52,0.308,0.4258,0.7189,0.482,1000,0.493,0.848,0.477,2000,0.4815,0.8405,0.45766666666666667,3000,0.481,0.8373333333333334
ackley,random,0,53,0.3048,0.4225,0.714,0.481,1000,0.489,0.842,0.4745,2000,0.478,0.835,0.4553333333333333,3000,0.477,0.8316666666666667
ackley,random,0,54,0.3105,0.4197,0.7057,0.477,1000,0.471,0.829,0.476,2000,0.4625,0.8225,0.459,3000,0.4673333333333333,0.819
ackley,random,0,55,0.3114,0.4034,0.6855,0.482,1000,0.459,0.812,0.479,2000,0.4495,0.804,0.461,3000,0.4483333333333333,0.7996666666666666
ackley,random,0,56,0.3058,0.4025,0.6884,0.479,1000,0.467,0.816,0.476,2000,0.461,0.8075,0.457,3000,0.4563333333333333,0.8036666666666666
ackley,random,0,57,0.2962,0.4182,0.7037,0.482,1000,0.484,0.847,0.4775,2000,0.482,0.8415,0.4573333333333333,3000,0.476,0.836
ackley,random,0,58,0.2811,0.431,0.7179,0.479,1000,0.523,0.871,0.4705,2000,0.5205,0.8635,0.446,3000,0.5113333333333333,0.8556666666666667
ackley,random,0,59,0.2814,0.4268,0.7098,0.47,1000,0.519,0.864,0.4635,2000,0.516,0.8535,0.44166666666666665,3000,0.507,0.8476666666666667
ackley,random,0,60,0.2907,0.4121,0.6992,0.472,1000,0.48,0.84,0.467,2000,0.483,0.8285,0.44566666666666666,3000,0.479,0.8263333333333334
ackley,random,0,61,0.2992,0.3974,0.6885,0.483,1000,0.454,0.828,0.474,2000,0.456,0.8175,0.45166666666666666,3000,0.45366666666666666,0.8143333333333334
ackley,random,0,62,0.293,0.4018,0.696,0.487,1000,0.468,0.846,0.473,2000,0.473,0.8335,0.4493333333333333,3000,0.4676666666666667,0.8303333333333334
ackley,random,0,63,0.2929,0.3922,0.6828,0.474,1000,0.456,0.827,0.468,2000,0.465,0.8195,0.44633333333333336,3000,0.459,0.8146666666666667
ackley,random,0,64,0.2888,0.4071,0.6982,0.479,1000,0.47,0.848,0.4685,2000,0.484,0.845,0.44433333333333336,3000,0.4766666666666667,0.84
ackley,random,0,65,0.2922,0.398,0.687,0.479,1000,0.462,0.822,0.469,2000,0.473,0.823,0.44533333333333336,3000,0.4666666666666667,0.8183333333333334
ackley,random,0,66,0.2951,0.3869,0.6736,0.483,1000,0.448,0.812,0.4715,2000,0.4595,0.8125,0.445,3000,0.45166666666666666,0.8046666666666666
ackley,random,0,67,0.2836,0.4057,0.6871,0.476,1000,0.468,0.828,0.4665,2000,0.4795,0.8275,0.43833333333333335,3000,0.47933333333333333,0.8213333333333334
ackley,random,0,68,0.2827,0.4034,0.6892,0.471,1000,0.456,0.825,0.4655,2000,0.4685,0.8215,0.439,3000,0.47333333333333333,0.8183333333333334
ackley,random,0,69,0.2751,0.4194,0.7013,0.468,1000,0.47,0.833,0.4605,2000,0.4885,0.8335,0.43266666666666664,3000,0.48966666666666664,0.8303333333333334
ackley,random,0,70,0.2751,0.4139,0.6893,0.47,1000,0.47,0.82,0.463,2000,0.485,0.819,0.433,3000,0.48433333333333334,0.817
ackley,random,0,71,0.2782,0.4024,0.684,0.471,1000,0.452,0.819,0.4625,2000,0.469,0.815,0.43466666666666665,3000,0.4693333333333333,0.8126666666666666
ackley,random,0,72,0.2894,0.3894,0.6711,0.475,1000,0.411,0.794,0.464,2000,0.4245,0.795,0.439,3000,0.431,0.7916666666666666
ackley,random,0,73,0.2948,0.3783,0.6552,0.476,1000,0.398,0.765,0.4645,2000,0.411,0.7635,0.441,3000,0.41433333333333333,0.763
ackley,random,0,74,0.2925,0.3724,0.6484,0.479,1000,0.391,0.757,0.4675,2000,0.405,0.755,0.442,3000,0.4056666666666667,0.7546666666666667
ackley,random,0,75,0.2855,0.3798,0.6573,0.478,1000,0.411,0.783,0.4665,2000,0.423,0.7805,0.44033333333333335,3000,0.4246666666666667,0.7773333333333333
ackley,random,0,76,0.2763,0.385,0.6626,0.473,1000,0.425,0.796,0.463,2000,0.4375,0.7935,0.43533333333333335,3000,0.43366666666666664,0.7876666666666666
ackley,random,0,77,0.2754,0.3868,0.6633,0.474,1000,0.425,0.797,0.4625,2000,0.4425,0.793,0.43466666666666665,3000,0.44133333333333336,0.7886666666666666
ackley,random,0,78,0.2759,0.3907,0.6564,0.47,1000,0.429,0.793,0.4595,2000,0.444,0.786,0.43533333333333335,3000,0.44666666666666666,0.7823333333333333
ackley,random,0,79,0.264,0.4056,0.6658,0.465,1000,0.452,0.809,0.4525,2000,0.4645,0.8005,0.42733333333333334,3000,0.4693333333333333,0.7973333333333333
ackley,random,0,80,0.2682,0.3982,0.6577,0.467,1000,0.444,0.801,0.4565,2000,0.4565,0.793,0.43066666666666664,3000,0.461,0.788
ackley,random,1,12,0.4898,0.7204,0.9362,0.486,1000,0.662,0.896,0.493,2000,0.689,0.9115,0.49,3000,0.696,0.911
ackley,random,1,13,0.4733,0.7499,0.9546,0.495,1000,0.694,0.918,0.4895,2000,0.719,0.9335,0.49033333333333334,3000,0.7223333333333334,0.9336666666666666
ackley,random,1,14,0.4423,0.7496,0.9635,0.48,1000,0.704,0.935,0.479,2000,0.72,0.947,0.481,3000,0.7296666666666667,0.9476666666666667
ackley,random,1,15,0.4111,0.7854,0.9694,0.482,1000,0.77,0.944,0.483,2000,0.7805,0.9555,0.4766666666666667,3000,0.787,0.957
ackley,random,1,16,0.4085,0.7575,0.9703,0.491,1000,0.769,0.947,0.489,2000,0.7815,0.9575,0.4786666666666667,3000,0.7883333333333333,0.9603333333333334
ackley,random,1,17,0.4059,0.6931,0.9561,0.495,1000,0.714,0.944,0.488,2000,0.7175,0.9565,0.481,3000,0.7286666666666667,0.9593333333333334
ackley,random,1,18,0.404,0.6792,0.9421,0.493,1000,0.702,0.933,0.4875,2000,0.7035,0.942,0.481,3000,0.715,0.9443333333333334
ackley,random,1,19,0.408,0.6358,0.9186,0.488,1000,0.634,0.931,0.4855,2000,0.635,0.94,0.48233333333333334,3000,0.6483333333333333,0.9403333333333334
ackley,random,1,20,0.4141,0.6121,0.906,0.492,1000,0.606,0.915,0.4855,2000,0.6035,0.922,0.4836666666666667,3000,0.6176666666666667,0.9233333333333333
ackley,random,1,21,0.4134,0.595,0.9003,0.488,1000,0.584,0.901,0.4865,2000,0.5805,0.9105,0.48233333333333334,3000,0.5946666666666667,0.9136666666666666
ackley,random,1,22,0.4143,0.5787,0.8851,0.487,1000,0.564,0.876,0.487,2000,0.563,0.885,0.481,3000,0.579,0.8943333333333333
ackley,random,1,23,0.4146,0.58,0.8899,0.491,1000,0.566,0.876,0.4845,2000,0.5665,0.885,0.48233333333333334,3000,0.5796666666666667,0.895
ackley,random,1,24,0.4159,0.5648,0.8802,0.494,1000,0.559,0.866,0.489,2000,0.554,0.8755,0.483,3000,0.5646666666666667,0.886
ackley,random,1,25,0.4049,0.5762,0.8934,0.483,1000,0.572,0.885,0.4885,2000,0.569,0.894,0.4796666666666667,3000,0.5806666666666667,0.9036666666666666
ackley,random,1,26,0.4007,0.5665,0.8856,0.49,1000,0.566,0.89,0.489,2000,0.562,0.898,0.48133333333333334,3000,0.5773333333333334,0.9036666666666666
ackley,random,1,27,0.4043,0.5615,0.88,0.49,1000,0.562,0.883,0.49,2000,0.5535,0.89,0.48233333333333334,3000,0.569,0.8946666666666667
ackley,random,1,28,0.3998,0.555,0.8801,0.494,1000,0.557,0.901,0.4925,2000,0.552,0.9045,0.48433333333333334,3000,0.569,0.9083333333333333
ackley,random,1,29,0.3948,0.5465,0.8671,0.489,1000,0.549,0.896,0.489,2000,0.5485,0.897,0.48033333333333333,3000,0.566,0.9013333333333333
ackley,random,1,30,0.3904,0.5417,0.8689,0.488,1000,0.549,0.899,0.483,2000,0.545,0.899,0.476,3000,0.5643333333333334,0.9036666666666666
ackley,random,1,31,0.3779,0.5143,0.8366,0.488,1000,0.536,0.904,0.4855,2000,0.536,0.902,0.4766666666666667,3000,0.5536666666666666,0.9043333333333333
ackley,random,1,32,0.3678,0.5018,0.8293,0.483,1000,0.532,0.921,0.4775,2000,0.5285,0.92,0.4723333333333333,3000,0.5463333333333333,0.9193333333333333
ackley,random,1,33,0.3616,0.5022,0.8336,0.481,1000,0.542,0.931,0.476,2000,0.5375,0.93,0.4716666666666667,3000,0.5526666666666666,0.9276666666666666
ackley,random,1,34,0.3433,0.5375,0.8504,0.485,1000,0.602,0.943,0.473,2000,0.5995,0.939,0.4633333333333333,3000,0.616,0.9376666666666666
ackley,random,1,35,0.3304,0.5525,0.8579,0.491,1000,0.65,0.964,0.4705,2000,0.644,0.96,0.46,3000,0.6566666666666666,0.9563333333333334
ackley,random,1,36,0.331,0.5459,0.8612,0.483,1000,0.638,0.966,0.4695,2000,0.635,0.963,0.45966666666666667,3000,0.647,0.9596666666666667
ackley,random,1,37,0.3422,0.5216,0.8508,0.481,1000,0.597,0.966,0.4715,2000,0.5915,0.962,0.468,3000,0.6023333333333334,0.959
ackley,random,1,38,0.3405,0.5168,0.8475,0.488,1000,0.592,0.967,0.4745,2000,0.5845,0.963,0.4696666666666667,3000,0.5973333333333334,0.959
ackley,random,1,39,0.3416,0.5044,0.8319,0.482,1000,0.577,0.965,0.475,2000,0.568,0.96,0.4706666666666667,3000,0.5773333333333334,0.9556666666666667
ackley,random,1,40,0.3468,0.4767,0.8064,0.479,1000,0.513,0.952,0.4745,2000,0.51,0.9465,0.474,3000,0.52,0.9436666666666667
ackley,random,1,41,0.3473,0.475,0.8047,0.476,1000,0.497,0.938,0.4715,2000,0.4995,0.936,0.469,3000,0.5123333333333333,0.9336666666666666
ackley,random,1,42,0.3475,0.4467,0.777,0.476,1000,0.451,0.907,0.471,2000,0.4575,0.9045,0.468,3000,0.472,0.9013333333333333
ackley,random,1,43,0.349,0.431,0.7604,0.477,1000,0.434,0.879,0.4715,2000,0.443,0.8765,0.469,3000,0.4553333333333333,0.8756666666666667
ackley,random,1,44,0.3489,0.4223,0.7478,0.475,1000,0.424,0.864,0.4695,2000,0.434,0.8565,0.468,3000,0.44566666666666666,0.8556666666666667
ackley,random,1,45,0.3401,0.4417,0.7541,0.475,1000,0.454,0.875,0.4675,2000,0.4715,0.8685,0.465,3000,0.4826666666666667,0.867
ackley,random,1,46,0.3283,0.4628,0.7649,0.476,1000,0.494,0.895,0.467,2000,0.5025,0.886,0.46366666666666667,3000,0.5133333333333333,0.8846666666666667
ackley,random,1,47,0.3278,0.4492,0.7519,0.475,1000,0.483,0.895,0.4635,2000,0.4955,0.887,0.459,3000,0.505,0.8846666666666667
ackley,random,1,48,0.3157,0.4636,0.7608,0.477,1000,0.51,0.901,0.464,2000,0.525,0.897,0.458,3000,0.5316666666666666,0.895
ackley,random,1,49,0.3096,0.4626,0.7626,0.473,1000,0.53,0.906,0.4595,2000,0.538,0.9025,0.45366666666666666,3000,0.542,0.9003333333333333
ackley,random,1,50,0.3149,0.4446,0.7426,0.478,1000,0.489,0.899,0.462,2000,0.4995,0.8915,0.4593333333333333,3000,0.5063333333333333,0.885
ackley,random,1,51,0.3024,0.4596,0.7515,0.486,1000,0.513,0.901,0.459,2000,0.522,0.8945,0.455,3000,0.528,0.888
ackley,random,1,52,0.2971,0.4532,0.7467,0.482,1000,0.51,0.898,0.46,2000,0.5155,0.8895,0.45366666666666666,3000,0.5206666666666667,0.8823333333333333
ackley,random,1,53,0.3021,0.4472,0.7346,0.49,1000,0.492,0.885,0.4645,2000,0.5015,0.876,0.45866666666666667,3000,0.5063333333333333,0.8683333333333333
ackley,random,1,54,0.3043,0.4386,0.7233,0.484,1000,0.474,0.872,0.4615,2000,0.487,0.8635,0.4573333333333333,3000,0.49433333333333335,0.8563333333333333
ackley,random,1,55,0.3063,0.4234,0.7088,0.485,1000,0.468,0.844,0.4615,2000,0.478,0.835,0.4583333333333333,3000,0.48133333333333334,0.828
ackley,random,1,56,0.3068,0.415,0.7031,0.488,1000,0.458,0.838,0.465,2000,0.4665,0.831,0.46266666666666667,3000,0.4713333333333333,0.8243333333333334
ackley,random,1,57,0.3062,0.4041,0.6897,0.482,1000,0.451,0.842,0.464,2000,0.4535,0.827,0.4613333333333333,3000,0.46,0.821
ackley,random,1,58,0.2885,0.4191,0.7022,0.487,1000,0.495,0.859,0.4625,2000,0.4975,0.843,0.456,3000,0.499,0.8373333333333334
ackley,random,1,59,0.294,0.409,0.6896,0.477,1000,0.469,0.846,0.4585,2000,0.4715,0.828,0.45666666666666667,3000,0.476,0.8236666666666667
ackley,random,1,60,0.2942,0.4033,0.6784,0.476,1000,0.465,0.828,0.4585,2000,0.466,0.812,0.4563333333333333,3000,0.47,0.807
ackley,random,1,61,0.2939,0.4021,0.675,0.478,1000,0.473,0.819,0.455,2000,0.468,0.805,0.4523333333333333,3000,0.4726666666666667,0.7996666666666666
ackley,random,1,62,0.2899,0.4034,0.6834,0.475,1000,0.484,0.822,0.4485,2000,0.4745,0.8075,0.448,3000,0.476,0.8026666666666666
ackley,random,1,63,0.2846,0.3977,0.6782,0.474,1000,0.488,0.839,0.45,2000,0.481,0.8225,0.448,3000,0.4836666666666667,0.817
ackley,random,1,64,0.2901,0.3903,0.6684,0.479,1000,0.477,0.817,0.4535,2000,0.466,0.803,0.45166666666666666,3000,0.4673333333333333,0.797
ackley,random,1,65,0.2888,0.3811,0.6563,0.478,1000,0.467,0.816,0.453,2000,0.4535,0.7995,0.4483333333333333,3000,0.454,0.7933333333333333
ackley,random,1,66,0.2879,0.3746,0.6498,0.477,1000,0.462,0.82,0.453,2000,0.45,0.805,0.4493333333333333,3000,0.4493333333333333,0.7983333333333333
ackley,random,1,67,0.2976,0.3637,0.6343,0.477,1000,0.427,0.803,0.4585,2000,0.422,0.7915,0.458,3000,0.42133333333333334,0.7816666666666666
ackley,random,1,68,0.3068,0.3525,0.6255,0.475,1000,0.411,0.778,0.4615,2000,0.4035,0.769,0.46166666666666667,3000,0.3983333333333333,0.7626666666666667
ackley,random,1,69,0.3122,0.3463,0.6128,0.482,1000,0.386,0.754,0.466,2000,0.3845,0.743,0.466,3000,0.37933333333333336,0.7396666666666667
ackley,random,1,70,0.3169,0.339,0.6026,0.486,1000,0.376,0.736,0.4705,2000,0.3665,0.727,0.4693333333333333,3000,0.362,0.7216666666666667
ackley,random,1,71,0.3088,0.3402,0.6092,0.481,1000,0.398,0.74,0.4615,2000,0.386,0.734,0.4613333333333333,3000,0.381,0.73
ackley,random,1,72,0.3125,0.3309,0.5991,0.482,1000,0.386,0.717,0.463,2000,0.3745,0.709,0.4633333333333333,3000,0.36766666666666664,0.7083333333333334
ackley,random,1,73,0.3105,0.3284,0.6048,0.483,1000,0.377,0.722,0.4655,2000,0.3705,0.716,0.4643333333333333,3000,0.363,0.716
ackley,random,1,74,0.3027,0.346,0.621,0.484,1000,0.391,0.754,0.465,2000,0.3845,0.7485,0.46266666666666667,3000,0.377,0.748
ackley,random,1,75,0.3046,0.3366,0.6098,0.483,1000,0.386,0.729,0.465,2000,0.378,0.724,0.463,3000,0.37166666666666665,0.7253333333333334
ackley,random,1,76,0.3019,0.3387,0.6123,0.485,1000,0.393,0.731,0.465,2000,0.381,0.729,0.461,3000,0.377,0.728
ackley,random,1,77,0.3032,0.3345,0.6059,0.484,1000,0.383,0.72,0.465,2000,0.374,0.7175,0.4613333333333333,3000,0.37066666666666664,0.7166666666666667
ackley,random,1,78,0.2938,0.3435,0.6157,0.481,1000,0.396,0.745,0.461,2000,0.3915,0.743,0.456,3000,0.3923333333333333,0.739
ackley,random,1,79,0.3028,0.3378,0.609,0.488,1000,0.357,0.744,0.47,2000,0.3625,0.739,0.464,3000,0.367,0.7336666666666667
ackley,random,1,80,0.2965,0.3397,0.6119,0.487,1000,0.378,0.751,0.4675,2000,0.379,0.7455,0.461,3000,0.38333333333333336,0.741
ackley,random,2,12,0.4202,0.7433,0.9358,0.504,1000,0.746,0.944,0.4955,2000,0.7505,0.947,0.49166666666666664,3000,0.7496666666666667,0.943
ackley,random,2,13,0.409,0.7644,0.9487,0.515,1000,0.776,0.959,0.501,2000,0.7785,0.962,0.49433333333333335,3000,0.7743333333333333,0.959
ackley,random,2,14,0.4101,0.7741,0.9625,0.511,1000,0.795,0.969,0.499,2000,0.7955,0.972,0.492,3000,0.7893333333333333,0.9703333333333334
ackley,random,2,15,0.4057,0.7767,0.9635,0.51,1000,0.795,0.97,0.499,2000,0.7905,0.9735,0.492,3000,0.783,0.9703333333333334
ackley,random,2,16,0.4104,0.7558,0.9579,0.505,1000,0.77,0.969,0.5025,2000,0.767,0.9725,0.495,3000,0.7623333333333333,0.97
ackley,random,2,17,0.3787,0.7832,0.9636,0.487,1000,0.792,0.974,0.4845,2000,0.788,0.975,0.474,3000,0.7833333333333333,0.972
ackley,random,2,18,0.371,0.7513,0.9468,0.472,1000,0.76,0.968,0.475,2000,0.762,0.9695,0.4663333333333333,3000,0.759,0.9663333333333334
ackley,random,2,19,0.3506,0.7586,0.9482,0.478,1000,0.771,0.968,0.4795,2000,0.771,0.9695,0.4633333333333333,3000,0.7693333333333333,0.9663333333333334
ackley,random,2,20,0.38,0.7504,0.9492,0.475,1000,0.755,0.967,0.4855,2000,0.7545,0.9685,0.466,3000,0.7506666666666667,0.9656666666666667
ackley,random,2,21,0.3915,0.7289,0.9343,0.489,1000,0.732,0.96,0.495,2000,0.7335,0.963,0.4756666666666667,3000,0.7316666666666667,0.9586666666666667
ackley,random,2,22,0.39,0.7249,0.9385,0.483,1000,0.735,0.961,0.49,2000,0.738,0.9635,0.4723333333333333,3000,0.7326666666666667,0.9593333333333334
ackley,random,2,23,0.3853,0.7519,0.9512,0.486,1000,0.76,0.971,0.488,2000,0.7685,0.9715,0.4706666666666667,3000,0.762,0.9673333333333334
ackley,random,2,24,0.3867,0.7452,0.9517,0.483,1000,0.746,0.971,0.486,2000,0.755,0.9715,0.468,3000,0.7486666666666667,0.967
ackley,random,2,25,0.3979,0.7433,0.9549,0.48,1000,0.734,0.972,0.488,2000,0.741,0.975,0.47333333333333333,3000,0.737,0.97
ackley,random,2,26,0.4054,0.7177,0.9535,0.481,1000,0.698,0.969,0.489,2000,0.704,0.972,0.475,3000,0.6996666666666667,0.9663333333333334
ackley,random,2,27,0.4055,0.6987,0.9385,0.479,1000,0.681,0.944,0.4875,2000,0.6845,0.9515,0.47733333333333333,3000,0.6816666666666666,0.9486666666666667
ackley,random,2,28,0.3875,0.6842,0.9215,0.476,1000,0.672,0.936,0.4825,2000,0.683,0.943,0.4713333333333333,3000,0.682,0.94
ackley,random,2,29,0.3923,0.6717,0.9067,0.475,1000,0.656,0.922,0.4825,2000,0.6635,0.9285,0.473,3000,0.6633333333333333,0.924
ackley,random,2,30,0.3553,0.6592,0.8919,0.472,1000,0.667,0.92,0.471,2000,0.677,0.927,0.46266666666666667,3000,0.676,0.923
ackley,random,2,31,0.3576,0.6316,0.8819,0.472,1000,0.651,0.919,0.47,2000,0.659,0.9265,0.4623333333333333,3000,0.6576666666666666,0.9223333333333333
ackley,random,2,32,0.3531,0.6263,0.8722,0.48,1000,0.644,0.917,0.47,2000,0.6525,0.9235,0.4593333333333333,3000,0.652,0.9203333333333333
ackley,random,2,33,0.3721,0.5975,0.8716,0.488,1000,0.592,0.914,0.4785,2000,0.605,0.9215,0.4686666666666667,3000,0.605,0.9183333333333333
ackley,random,2,34,0.3778,0.5649,0.86,0.485,1000,0.552,0.891,0.477,2000,0.5695,0.9055,0.468,3000,0.57,0.901
ackley,random,2,35,0.3643,0.5498,0.845,0.484,1000,0.558,0.889,0.476,2000,0.571,0.905,0.4663333333333333,3000,0.568,0.9006666666666666
ackley,random,2,36,0.3618,0.5401,0.8277,0.487,1000,0.555,0.881,0.4795,2000,0.5625,0.8955,0.4663333333333333,3000,0.557,0.8903333333333333
ackley,random,2,37,0.3513,0.5452,0.8333,0.485,1000,0.56,0.885,0.4715,2000,0.574,0.9015,0.459,3000,0.5706666666666667,0.8973333333333333
ackley,random,2,38,0.3493,0.5348,0.8259,0.481,1000,0.547,0.87,0.4675,2000,0.561,0.887,0.457,3000,0.56,0.882
ackley,random,2,39,0.327,0.5387,0.8333,0.474,1000,0.587,0.898,0.4595,2000,0.6,0.9085,0.44866666666666666,3000,0.592,0.9043333333333333
