benchmark,metric,new_method,new_surrogate_variant,new_value,new_seed_count,baseline_method,baseline_surrogate_variant,baseline_value,baseline_seed_count,new_beats_baseline,comparison_limited_by_seed_count,difference_new_minus_baseline
ackley,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.235560,5,straddle,gpr_fixed_or_existing,0.168400,5,False,False,0.067160
ackley,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.235560,5,randomized_straddle,gpr_fixed_or_existing,0.175380,5,False,False,0.060180
ackley,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.235560,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.175640,5,False,False,0.059920
ackley,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.272560,5,straddle,gpr_fixed_or_existing,0.168400,5,False,False,0.104160
ackley,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.272560,5,randomized_straddle,gpr_fixed_or_existing,0.175380,5,False,False,0.097180
ackley,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.272560,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.175640,5,False,False,0.096920
ackley,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.446300,5,straddle,gpr_fixed_or_existing,0.415400,5,False,False,0.030900
ackley,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.446300,5,randomized_straddle,gpr_fixed_or_existing,0.408400,5,False,False,0.037900
ackley,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.446300,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.425700,5,False,False,0.020600
ackley,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.457600,5,straddle,gpr_fixed_or_existing,0.415400,5,False,False,0.042200
ackley,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.457600,5,randomized_straddle,gpr_fixed_or_existing,0.408400,5,False,False,0.049200
ackley,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.457600,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.425700,5,False,False,0.031900
ackley,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.412933,5,straddle,gpr_fixed_or_existing,0.369733,5,False,False,0.043200
ackley,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.412933,5,randomized_straddle,gpr_fixed_or_existing,0.368200,5,False,False,0.044733
ackley,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.412933,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.383200,5,False,False,0.029733
ackley,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.435800,5,straddle,gpr_fixed_or_existing,0.369733,5,False,False,0.066067
ackley,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.435800,5,randomized_straddle,gpr_fixed_or_existing,0.368200,5,False,False,0.067600
ackley,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.435800,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.383200,5,False,False,0.052600
hartmann4,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.127680,5,straddle,gpr_fixed_or_existing,0.126340,5,False,False,0.001340
hartmann4,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.127680,5,randomized_straddle,gpr_fixed_or_existing,0.133380,5,True,False,-0.005700
hartmann4,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.127680,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.123640,5,False,False,0.004040
hartmann4,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.133400,5,straddle,gpr_fixed_or_existing,0.126340,5,False,False,0.007060
hartmann4,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.133400,5,randomized_straddle,gpr_fixed_or_existing,0.133380,5,False,False,0.000020
hartmann4,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.133400,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.123640,5,False,False,0.009760
hartmann4,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.112200,1,straddle,gpr_fixed_or_existing,0.126340,5,True,True,-0.014140
hartmann4,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.112200,1,randomized_straddle,gpr_fixed_or_existing,0.133380,5,True,True,-0.021180
hartmann4,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.112200,1,classifier_uncertainty_repulsion,gpc_fixed_iso,0.123640,5,True,True,-0.011440
hartmann4,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.380800,5,straddle,gpr_fixed_or_existing,0.382600,5,True,False,-0.001800
hartmann4,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.380800,5,randomized_straddle,gpr_fixed_or_existing,0.391800,5,True,False,-0.011000
hartmann4,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.380800,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.384700,5,True,False,-0.003900
hartmann4,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.392500,5,straddle,gpr_fixed_or_existing,0.382600,5,False,False,0.009900
hartmann4,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.392500,5,randomized_straddle,gpr_fixed_or_existing,0.391800,5,False,False,0.000700
hartmann4,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.392500,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.384700,5,False,False,0.007800
hartmann4,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.365500,1,straddle,gpr_fixed_or_existing,0.382600,5,True,True,-0.017100
hartmann4,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.365500,1,randomized_straddle,gpr_fixed_or_existing,0.391800,5,True,True,-0.026300
hartmann4,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.365500,1,classifier_uncertainty_repulsion,gpc_fixed_iso,0.384700,5,True,True,-0.019200
hartmann4,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.327667,5,straddle,gpr_fixed_or_existing,0.328800,5,True,False,-0.001133
hartmann4,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.327667,5,randomized_straddle,gpr_fixed_or_existing,0.338467,5,True,False,-0.010800
hartmann4,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.327667,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.326333,5,False,False,0.001334
hartmann4,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.338933,5,straddle,gpr_fixed_or_existing,0.328800,5,False,False,0.010133
hartmann4,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.338933,5,randomized_straddle,gpr_fixed_or_existing,0.338467,5,False,False,0.000466
hartmann4,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.338933,5,classifier_uncertainty_repulsion,gpc_fixed_iso,0.326333,5,False,False,0.012600
hartmann4,near_boundary_error_q30,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.301000,1,straddle,gpr_fixed_or_existing,0.328800,5,True,True,-0.027800
hartmann4,near_boundary_error_q30,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.301000,1,randomized_straddle,gpr_fixed_or_existing,0.338467,5,True,True,-0.037467
hartmann4,near_boundary_error_q30,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.301000,1,classifier_uncertainty_repulsion,gpc_fixed_iso,0.326333,5,True,True,-0.025333
