run_id,repeat,fold,stage,n_rows,mean_train_pool_B1,median_train_pool_B1,mean_absolute_M3_logit,median_absolute_M3_logit
w85__r11_f01,11,1,early_17_40,24,0.8071754695391812,0.8500140890259859,2.159798150495901,1.686135036862574
w85__r11_f01,11,1,mid_41_80,40,0.8397442951731715,0.8460193016441997,2.737503542111174,2.745036131310022
w85__r11_f01,11,1,late_81_160,80,1.2001078596201646,1.217260601878511,6.301847827070915,6.050583344941944
w85__r11_f01,11,1,unqueried_at_H160,164,1.824892540029932,1.739765060988169,13.046599740213168,12.445771142609685
w85__r11_f02,11,2,initial_1_16,16,1.748869376495227,1.7621936635793753,11.41542009280916,8.269417236968861
w85__r11_f02,11,2,early_17_40,24,0.7769683321441514,0.766564944207635,1.9532166226246253,2.0915268534552958
w85__r11_f02,11,2,mid_41_80,40,1.0196267293302124,0.968457861988602,3.7961078601734615,3.3463638793187416
w85__r11_f02,11,2,late_81_160,80,1.3638165265186593,1.3440099349108225,7.187889814330843,5.926248998281204
w85__r11_f02,11,2,unqueried_at_H160,164,1.818521626636018,1.7687495747064954,13.417175741696488,12.75423313279467
w85__r11_f03,11,3,initial_1_16,16,1.6360934113133487,1.6933766838937618,9.827533270424645,7.331346961736664
w85__r11_f03,11,3,early_17_40,24,0.8346608022761757,0.84127563776435,1.9630406758393957,1.6263399527446816
w85__r11_f03,11,3,mid_41_80,40,0.9395466362129928,0.9244795424741732,3.7708849359133807,3.4683318947410813
w85__r11_f03,11,3,late_81_160,80,1.2557293021391156,1.2131389159931825,6.780456245987468,6.3937450412173735
w85__r11_f03,11,3,unqueried_at_H160,164,1.8891027989814762,1.8608062369201575,14.046646467831822,13.458546261708776
w85__r11_f04,11,4,initial_1_16,16,1.6906958218715806,1.6438185086997767,11.93153270919465,12.516583975528047
w85__r11_f04,11,4,early_17_40,24,0.7888890032000152,0.8007121287884441,3.1458698023545235,2.0151356700282888
w85__r11_f04,11,4,mid_41_80,40,0.960733574834765,0.8673306047114704,3.7060305986044453,3.3672903962663945
w85__r11_f04,11,4,late_81_160,80,1.2617176005950843,1.2096588558147927,7.711063448401914,7.17376488225076
w85__r11_f04,11,4,unqueried_at_H160,164,1.833775907362005,1.7427780618471114,16.741991440317584,16.026001097001256
w85__r11_f05,11,5,initial_1_16,16,1.7722428451760404,1.6327584790422,12.547272891976924,9.94881679664081
w85__r11_f05,11,5,early_17_40,24,0.7395340240732186,0.7841589422512871,2.6599734098485475,2.528831376310844
w85__r11_f05,11,5,mid_41_80,40,1.0073539353772585,0.9580441174407397,5.1225168486591075,4.803975658183863
w85__r11_f05,11,5,late_81_160,80,1.5606610987278284,1.493989174195387,10.632614853757968,8.710094601149898
w85__r11_f05,11,5,unqueried_at_H160,164,1.8089162457938555,1.768417796224385,15.609346270640023,15.313662387475407
w85__r12_f01,12,1,initial_1_16,16,1.630897208785747,1.6337119531970024,10.054175299539253,7.043816447103431
w85__r12_f01,12,1,early_17_40,24,0.8761227605348173,0.8555950881416606,2.2500791841106973,2.5236405074391053
w85__r12_f01,12,1,mid_41_80,40,0.9070837280442966,0.8478167957677473,3.395100688407736,3.072925515002818
w85__r12_f01,12,1,late_81_160,80,1.3061511303937263,1.2889122851150434,6.677864744022633,6.1751871378617
w85__r12_f01,12,1,unqueried_at_H160,164,1.874117237291293,1.8652575833724392,13.585482087956661,13.068422067953566
w85__r12_f02,12,2,initial_1_16,16,1.7902188974837467,1.7250508850103616,12.224139199373466,8.85246953834912
w85__r12_f02,12,2,early_17_40,24,0.6651937645818511,0.6256314013791929,1.9698106649899667,1.2689158851291116
w85__r12_f02,12,2,mid_41_80,40,1.0483577408085132,0.9721089594613469,4.20328744891244,3.6101232090464483
w85__r12_f02,12,2,late_81_160,80,1.2702085760433126,1.2331628672021395,7.437455313564529,6.743860465852057
w85__r12_f02,12,2,unqueried_at_H160,164,1.8516228763193574,1.7922639534507194,16.040755512610907,15.641853260876045
w85__r12_f03,12,3,initial_1_16,16,1.6650786216293074,1.684855202930204,12.092212961345254,9.48170482619163
w85__r12_f03,12,3,early_17_40,24,0.7956338642708419,0.7797714423039843,2.711204953800235,2.44631817561787
w85__r12_f03,12,3,mid_41_80,40,0.9361729540347291,0.9496794510416136,4.575587937195449,4.273108885013766
w85__r12_f03,12,3,late_81_160,80,1.3777325707119874,1.2898937836173725,9.70525236509626,8.373076398225544
w85__r12_f03,12,3,unqueried_at_H160,164,1.8532512406013375,1.7439787569417862,17.434141006944607,16.703838444192193
w85__r12_f04,12,4,initial_1_16,16,1.6628857424748376,1.574231118283381,10.397535299831919,8.842340733150122
w85__r12_f04,12,4,early_17_40,24,0.8393176422715808,0.7958234213334705,2.2231001910542747,1.3496253135230396
w85__r12_f04,12,4,mid_41_80,40,0.9099137725410873,0.8804252906248726,3.337867174536418,3.2379134978130697
w85__r12_f04,12,4,late_81_160,80,1.257416014173911,1.2162921112698784,6.536482760288874,6.394054014875339
w85__r12_f04,12,4,unqueried_at_H160,164,1.866692349792564,1.7592851625713894,13.881358573656199,13.12677512661092
w85__r12_f05,12,5,initial_1_16,16,1.7890216858233856,1.8264215241235164,10.133593271523079,7.825349916303496
w85__r12_f05,12,5,early_17_40,24,0.843651200365008,0.8150203969149488,2.1257125696111037,1.8517172639195838
w85__r12_f05,12,5,mid_41_80,40,0.9378547978860183,0.9171977359660883,3.0138244624979658,3.018329596522504
w85__r12_f05,12,5,late_81_160,80,1.2025326830225223,1.2069865630525882,6.348354359073886,5.854155424961331
w85__r12_f05,12,5,unqueried_at_H160,164,1.855883852948891,1.7897488333393428,13.24032033911263,12.995391613126044
w85__r13_f01,13,1,initial_1_16,16,1.5367713155613738,1.5490422304966502,10.564172670309429,10.4458261827513
w85__r13_f01,13,1,early_17_40,24,0.6876528885076668,0.6972135777930448,1.7981781473660299,1.462516958602479
w85__r13_f01,13,1,mid_41_80,40,0.9290868369729397,0.9520109211014891,3.8119584419113495,3.460830459238866
w85__r13_f01,13,1,late_81_160,80,1.22404717058266,1.2113380827535702,6.827447418314567,6.538713134157443
w85__r13_f01,13,1,unqueried_at_H160,164,1.871033843529036,1.8176894039244298,15.123576090534762,14.482855631542503
w85__r13_f02,13,2,initial_1_16,16,1.7449575032232407,1.7213666585273002,11.483517393961382,9.594668283222486
w85__r13_f02,13,2,early_17_40,24,0.8032703865269887,0.8006561658076992,2.2607548210897175,1.998715777807782
w85__r13_f02,13,2,mid_41_80,40,0.9857007259089714,1.0011851984944886,3.240655521763496,3.1058510699997286
w85__r13_f02,13,2,late_81_160,80,1.354417830885643,1.3645784270495664,7.688645248055107,6.725521044755645
w85__r13_f02,13,2,unqueried_at_H160,164,1.8409805948128302,1.7811444092322852,13.973706041769283,13.14034402086413
