simulation_id,source_relative_path,raw_source_relative_path,position_bounds_order,formula,internal_unit,reported_unit,valid_melt_row_count,invalid_rule,T0_observation_count,adaptive_observation_count,nonfinite_height_count,negative_height_count,minimum_height_m,median_height_m,maximum_height_m,T0_total_height_m_recomputed,Phase1_delta_z_T0_m,T0_reproduction_absolute_error_m,identity_verified,penetration_depth_not_substituted,usable_for_primary_target,pinned_revision
sim_00019,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00019.parquet,final_data_processed/sim_00019/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,92898,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,18581,79602,0,0,0.0,7.199110041256063e-05,8.355259342351928e-05,8.215323032345623e-05,8.215323e-05,3.2345622762251086e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00020,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00020.parquet,final_data_processed/sim_00020/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,82053,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,11253,57549,0,0,0.0,5.596009941655211e-05,6.473313260357827e-05,6.348190800053999e-05,6.348191000000001e-05,1.999460018668915e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00021,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00021.parquet,final_data_processed/sim_00021/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,68711,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,13749,41422,0,0,0.0,8.16156534710899e-05,9.855854295892641e-05,9.398096881341189e-05,9.398097e-05,1.186588113465288e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00022,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00022.parquet,final_data_processed/sim_00022/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,91636,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,18328,77217,0,0,0.0,6.760772521374747e-05,8.307302778121084e-05,8.01061833044514e-05,8.0106185e-05,1.6955485951895832e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00023,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00023.parquet,final_data_processed/sim_00023/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,102959,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,13474,68905,0,0,0.0,5.7140521676046774e-05,6.917853897903115e-05,6.533113264595158e-05,6.5331135e-05,2.3540484204954623e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00024,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00024.parquet,final_data_processed/sim_00024/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,68716,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,13750,61240,0,0,0.0,7.553657633252442e-05,8.10579294920899e-05,8.016863284865394e-05,8.016863e-05,2.848653943483305e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00025,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00025.parquet,final_data_processed/sim_00025/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,89295,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,12360,63214,0,0,0.0,5.992205842630938e-05,6.998526077950373e-05,6.779280738555826e-05,6.779281e-05,2.6144417441522835e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00026,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00026.parquet,final_data_processed/sim_00026/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,68717,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,13751,60186,0,0,0.0,7.901131903054193e-05,8.989089837996289e-05,8.794537279754877e-05,8.794537e-05,2.7975487730405937e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00027,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00027.parquet,final_data_processed/sim_00027/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,68717,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,13751,61891,0,0,0.0,7.257091056089848e-05,8.042444824241102e-05,7.64526630518958e-05,7.645266e-05,3.0518957993370607e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00028,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00028.parquet,final_data_processed/sim_00028/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,101224,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,15540,79474,0,0,0.0,6.726576975779608e-05,7.852941052988172e-05,7.461553832399659e-05,7.461554e-05,1.676003411575644e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00029,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00029.parquet,final_data_processed/sim_00029/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,68718,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,13751,50112,0,0,0.0,8.349987911060452e-05,0.00016116157348733395,0.0001396854204358533,0.00013968542,4.358533119922653e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00030,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00030.parquet,final_data_processed/sim_00030/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,93923,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,12348,63145,0,0,0.0,5.782294101663865e-05,6.957584992051125e-05,6.865836621727794e-05,6.865836500000001e-05,1.2172779331829503e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00031,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00031.parquet,final_data_processed/sim_00031/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,89577,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,17916,74184,0,0,0.0,7.65674194553867e-05,8.466793951811269e-05,8.271785918623209e-05,8.271786000000001e-05,8.137679169840234e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00032,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00032.parquet,final_data_processed/sim_00032/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,102442,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,14324,73254,0,0,0.0,6.0544934967765585e-05,7.081953663146123e-05,6.93798647262156e-05,6.9379865e-05,2.737843995568798e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00033,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00033.parquet,final_data_processed/sim_00033/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,95673,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,19137,83762,0,0,0.0,7.778676808811724e-05,8.897212683223188e-05,8.698210876900703e-05,8.698211e-05,1.2309929686921475e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00034,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00034.parquet,final_data_processed/sim_00034/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,12106,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,2234,5833,0,0,0.0,5.648077421938069e-05,6.0590478824451566e-05,5.982982838759199e-05,5.982983e-05,1.6124080152654652e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00035,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00035.parquet,final_data_processed/sim_00035/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,97924,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,12461,63723,0,0,0.0,5.95718011027202e-05,9.051668166648597e-05,7.458905747625977e-05,7.458906e-05,2.523740236432849e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00036,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00036.parquet,final_data_processed/sim_00036/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,68721,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,13751,44028,0,0,0.0,8.71577431098558e-05,0.00020295858848839998,0.00010502061923034489,0.00010502062,7.696551051648501e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00037,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00037.parquet,final_data_processed/sim_00037/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,100570,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,16610,84947,0,0,0.0,6.720063538523391e-05,7.708875637035817e-05,7.464543523383327e-05,7.4645435e-05,2.3383327067173776e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00038,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00038.parquet,final_data_processed/sim_00038/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,68721,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,13751,47194,0,0,0.0,8.715214062249288e-05,0.0001812502887332812,0.00014251178072299808,0.0001425117799999,7.230980950730798e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00039,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00039.parquet,final_data_processed/sim_00039/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,51998,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,10403,42014,0,0,0.0,6.970357571844943e-05,8.060254185693339e-05,7.862361962907016e-05,7.862362e-05,3.709298357834276e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00040,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00040.parquet,final_data_processed/sim_00040/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,68722,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,12166,61980,0,0,0.0,6.840670903329737e-05,7.072064181556925e-05,6.959268648643047e-05,6.959268500000001e-05,1.4864304584286461e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00041,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00041.parquet,final_data_processed/sim_00041/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,41694,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,8339,25318,0,0,0.0,6.053431388863828e-05,7.770137744955719e-05,7.360055315075442e-05,7.360055e-05,3.1507544240739344e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00042,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00042.parquet,final_data_processed/sim_00042/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,83810,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,11031,56405,0,0,0.0,5.9267209508107044e-05,7.027736864984035e-05,6.911159289302304e-05,6.911159e-05,2.8930230471435267e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00043,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00043.parquet,final_data_processed/sim_00043/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,76052,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,15211,51138,0,0,0.0,6.193724038894288e-05,7.400094182230532e-05,7.209173054434359e-05,7.209173e-05,5.443435958062126e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00044,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00044.parquet,final_data_processed/sim_00044/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,99571,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,17887,89907,0,0,0.0,7.423004717566073e-05,8.294683357235044e-05,8.041338878683746e-05,8.041339e-05,1.2131625456816841e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00045,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00045.parquet,final_data_processed/sim_00045/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,97488,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,19501,86508,0,0,0.0,7.733801612630486e-05,8.711005648365244e-05,8.523990254616365e-05,8.523990000000001e-05,2.5461636380015584e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00046,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00046.parquet,final_data_processed/sim_00046/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,87072,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,17415,69420,0,0,0.0,7.262867075041868e-05,8.764448284637183e-05,8.449151209788397e-05,8.449151e-05,2.097883973202312e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00047,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00047.parquet,final_data_processed/sim_00047/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,76768,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,10312,52729,0,0,0.0,5.877746480109636e-05,6.733623013133183e-05,6.587016105186194e-05,6.587016e-05,1.0518619395633033e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00048,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00048.parquet,final_data_processed/sim_00048/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,70930,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,14186,44252,0,0,0.0,6.884744288981892e-05,0.0001080754809663631,7.634071153006516e-05,7.634071e-05,1.5300651641948076e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00049,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00049.parquet,final_data_processed/sim_00049/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,68726,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,13515,62528,0,0,0.0,7.296264448086731e-05,8.06139869382605e-05,7.902216020738706e-05,7.902216e-05,2.0738705891476528e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
